Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,91,320234,147,0,15,319014
1,27,81801,40,0,45,80905
1,84,15410,226,1,38,14340
0,58,2162466,66,0,19,2161639
0,82,779639,95,1,14,778437
1,53,1098996,239,0,18,1097833
1,10,444826,201,0,14,443996
0,56,1077230,227,0,15,1076451
1,86,33929,169,0,2,32910
0,58,1422032,55,0,19,1421220
1,86,652441,52,1,8,651695
0,41,402463,87,0,5,401243
0,27,18040,108,0,58,16886
1,10,402910,139,0,14,402068
0,50,1153229,240,0,18,1151997
1,95,750678,156,0,18,750031
1,22,9906,4,0,23,8728
1,0,12258,155,0,69,11053
1,52,2202990,65,0,19,2202343
0,45,1011398,159,0,18,1010715
0,52,375897,23,0,19,375253
1,10,992655,211,0,14,991897
1,85,4632,137,0,32,3406
0,10,581117,205,0,14,580287
1,43,493669,121,1,15,492404
1,52,749602,56,0,19,748862
0,27,1832,61,0,47,591
0,24,217780,244,0,5,216641
1,50,1088191,238,0,18,1087412
0,62,822069,208,0,14,821287
0,37,10709,218,1,78,9531
0,39,23056,193,0,74,22262
0,10,691455,92,0,14,690643
0,8,497406,34,1,4,496306
1,38,365512,36,0,4,364310
0,27,9985,151,0,66,9303
0,2,4174,29,1,42,2966
0,10,1070767,196,0,14,1069991
1,55,599280,204,0,14,598465
1,0,26139,27,0,42,25351
1,25,182780,42,1,12,181743
0,48,196658,242,0,5,195561
1,62,394684,22,0,14,394031
0,65,1897997,128,0,18,1897239
1,27,1860,163,0,70,1114
0,55,589228,206,0,14,588062
0,71,400728,176,0,15,399566
0,7,617253,207,0,14,616495
0,53,745129,162,1,9,744176
0,96,1428734,54,0,19,1428093
1,45,1968229,126,0,18,1967444
0,93,13702,26,1,41,12743
0,71,1193619,232,0,15,1192936
0,79,210588,243,0,5,209491
0,77,17599,79,1,51,16553
0,10,1057942,133,0,14,1056725
1,53,663709,105,0,18,662936
0,99,1471918,183,0,17,1470884
1,64,884301,141,1,14,883339
0,27,18090,97,0,53,17131
1,53,1783506,130,0,18,1782673
0,71,1194158,233,0,15,1193721
1,100,5205,98,1,54,4201
0,38,177073,106,1,20,175745
0,94,153559,235,0,80,152606
0,90,4472,216,0,76,3321
1,72,979496,116,0,19,978543
1,35,1905082,69,0,19,1904309
1,1,27009,45,1,28,25858
0,93,38006,197,0,75,37197
0,99,1221966,178,0,17,1220947
1,32,226729,43,0,12,226322
0,68,76658,39,1,45,76494
1,96,987733,114,0,19,987176
1,4,937169,158,1,18,936387
1,91,416187,122,0,15,415021
1,52,983808,115,0,19,982858
1,20,497744,120,1,15,496932
1,92,3831,170,1,73,3070
0,66,3587,164,1,71,2544
1,27,10011,38,0,44,9199
0,52,1474427,53,0,19,1473666
0,81,36547,223,0,37,35690
1,87,531335,174,0,1,530982
1,43,477748,119,1,15,476525
1,15,1925877,68,1,19,1925107
1,35,1564778,74,0,19,1564014
0,91,1106541,228,0,15,1105297
1,2,15525,110,0,31,14710
1,12,2102,112,1,59,1101
1,46,178084,111,0,16,176870
1,7,712890,93,0,14,712129
1,7,77581,8,0,8,76523
0,10,855470,140,0,14,854496
1,44,1677,77,0,49,712
0,91,301271,148,0,15,300510
0,17,11639,198,1,75,10170
1,95,2202884,185,0,18,2202237
1,99,1487286,181,0,17,1486264
1,27,2879,135,0,62,2091
0,57,12102,220,0,35,11231
1,82,563168,90,1,14,561921
1,69,12897,5,0,24,11857
0,10,878597,143,0,14,877761
0,6,2640,172,1,33,1327
1,53,2089274,125,0,18,2088630
0,38,384191,37,0,4,383100
1,51,323886,161,0,11,323095
0,88,571633,48,0,7,570836
0,96,684782,58,0,19,683826
0,95,914563,157,0,18,913814
0,0,31139,62,0,48,29922
0,78,1247221,180,1,17,1246121
1,78,1222996,107,0,19,1222181
0,10,297062,81,0,14,295851
0,62,1049347,134,0,14,1048619
1,54,36628,46,0,28,35402
1,15,1131697,171,1,19,1130438
0,81,31870,222,0,37,31118
1,25,295086,101,1,12,293887
1,10,946792,6,0,14,945539
0,61,2901,221,1,36,1762
0,99,1639752,124,0,17,1638709
0,59,644758,118,0,6,643769
1,89,17814,236,0,80,16873
1,23,826530,12,0,18,825718
0,50,335,10,0,25,3
1,63,7239,184,1,0,5971
0,40,41030,153,1,68,39978
0,0,19059,168,0,72,18244
0,97,1188618,194,0,14,1187623
0,52,1745136,192,0,19,1744339
1,34,2521,109,1,58,1283
0,91,250812,146,0,15,249592
0,58,731234,57,0,19,730422
1,7,1075329,3,0,14,1075195
0,25,137805,160,1,12,136807
0,62,492438,202,0,14,491209
0,16,1604402,189,0,18,1603254
1,0,11189,50,0,46,10047
1,70,13960,13,1,26,13361
0,0,39296,63,0,48,38151
1,7,375903,35,0,4,374896
0,90,12268,237,0,81,10958
1,58,2097143,191,0,19,2096334
0,27,13009,154,0,68,11804
0,88,550504,49,0,7,549704
1,33,11743,224,0,37,10985
0,34,556235,173,1,1,555144
0,56,1165493,230,0,15,1164663
0,75,381597,14,1,10,380962
1,19,9178,76,0,29,8375
1,53,2165485,186,0,18,2164835
0,46,41345,80,1,30,40839
0,73,29968,166,1,72,28721
0,28,358168,103,0,18,357524
1,5,517373,21,1,14,516597
0,98,37518,31,0,27,36670
0,47,1588977,123,0,17,1588012
1,67,1147481,177,0,17,1146423
0,82,15379,219,0,78,14528
0,80,77977,41,0,3,77144
0,10,658646,91,0,14,657867
1,27,3650,150,0,65,2478
1,5,551759,89,1,14,550737
1,58,35179,44,1,13,34406
1,27,614,51,0,46,222
1,14,1921338,127,1,18,1920505
1,25,287088,100,1,12,285889
0,71,1173402,231,0,15,1172566
1,27,37248,167,0,72,35989
1,51,55904,32,1,27,55386
0,4,1887968,129,1,18,1886823
0,24,432927,247,0,5,431740
1,27,13082,113,0,60,12327
0,71,386514,175,0,15,385279
0,62,832741,210,0,14,831566
0,27,28969,25,0,40,28568
0,74,738,2,0,22,1
0,102,5008,9,0,25,4142
1,32,227094,18,0,12,226831
0,0,14090,64,0,48,12945
1,15,1026,225,0,79,841
0,0,1863,104,0,57,1015
1,78,2029082,19,0,19,2027874
0,9,445921,17,1,4,445157
0,7,251858,20,0,14,251211
1,7,1022329,213,0,14,1021526
0,27,23025,136,0,63,22318
1,83,1675,215,0,34,854
0,101,26635,165,1,72,25832
1,35,2151652,67,0,19,2150759
0,47,2155792,187,0,18,2155145
0,30,392050,88,0,12,391007
1,60,19523,47,0,28,18321
0,52,1687805,71,0,19,1687044
