Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,10,373963,28,0,8,372953
1,40,257891,50,0,8,256881
1,43,235050,56,0,9,234100
0,56,213667,38,0,13,212129
1,13,587198,71,0,3,585768
0,47,2607,105,0,23,1612
0,52,1290307,45,0,18,1289624
1,43,318674,67,0,9,317781
0,10,340298,30,0,8,339360
1,27,4257,84,0,33,3034
1,54,714,42,1,22,1
1,28,441837,113,1,2,440959
0,59,426250,89,0,8,425120
1,10,575815,96,0,8,574721
0,8,7796,77,0,30,7146
0,20,705562,23,0,18,704282
0,41,217615,120,1,6,216422
0,15,553985,25,0,3,552546
1,24,381686,70,1,19,380409
1,46,669822,44,1,17,668569
0,2,220225,39,1,13,218687
0,0,9331,13,0,26,7841
1,3,539819,19,1,11,538632
0,37,762518,24,0,18,761364
0,37,633557,4,0,18,632190
1,25,272650,51,0,8,271751
0,26,117411,119,1,0,116032
0,41,283947,40,1,13,282400
0,30,319749,111,0,17,318496
1,17,368482,29,0,8,367493
1,40,502004,92,0,8,500910
1,10,549818,101,0,8,548385
1,19,523271,18,0,11,522144
0,14,626457,21,0,17,625132
0,50,307709,76,0,8,306750
1,29,267266,52,1,8,266289
1,48,747400,64,0,17,746270
1,40,496221,91,0,8,495283
0,16,24337,79,0,31,23213
0,15,29669,80,0,31,28731
1,25,617521,99,0,8,616619
1,48,1080003,107,0,17,1078741
0,52,1505678,22,0,18,1504257
0,6,427442,60,1,12,425919
0,50,431585,90,0,8,430644
0,41,25674,104,0,35,24613
1,54,1905561,49,1,17,1904098
1,3,64367,68,1,11,62844
0,38,263994,8,0,14,262717
0,49,924009,58,1,14,922486
1,11,288343,117,0,9,287549
0,1,514203,114,0,2,514066
1,21,722553,63,0,17,721447
1,54,1706820,5,1,17,1705558
1,11,212824,57,0,9,211883
1,10,444750,88,0,8,443839
0,31,493306,85,0,13,491759
0,31,245389,41,0,13,244757
0,59,437122,87,0,8,436220
0,52,1798125,75,0,18,1796725
0,7,518865,115,0,2,517981
1,40,544003,98,0,8,543026
0,6,286679,59,1,12,285567
1,53,20974,82,1,32,19538
1,12,16755,14,0,21,15559
1,2,456889,102,0,14,455630
1,52,5615,54,0,29,4575
1,42,14110,53,1,29,13145
1,58,1556126,74,0,16,1554660
0,1,622717,37,0,2,621833
1,11,496985,116,0,4,495984
0,56,2612,2,0,20,1824
1,55,1562,20,0,28,393
0,1,284733,112,0,2,283762
0,2,218013,33,0,7,216889
1,59,489099,95,0,8,488107
0,6,400752,61,1,12,399232
1,3,86161,15,0,27,85631
0,32,514924,66,0,2,514307
1,48,14514,81,0,31,13402
1,39,1056372,106,0,17,1055425
0,34,67859,16,0,1,66546
1,51,514925,17,0,11,513729
1,55,315559,118,0,9,315128
0,39,1977944,47,0,17,1976967
1,11,229688,55,0,9,228501
1,35,1855873,27,0,18,1854422
1,36,604409,97,1,8,603339
1,52,1862763,26,0,18,1861267
1,9,541977,109,0,10,540886
1,15,3259,103,1,34,2075
0,57,449733,1,0,13,448939
1,43,579257,43,0,9,578298
0,28,1593162,46,0,16,1591861
1,50,507159,93,0,8,506107
1,43,437723,35,0,9,436782
1,54,1564652,0,0,16,1564452
1,17,625575,100,0,8,624448
0,54,1263503,73,0,16,1262121
1,17,220328,31,0,8,219990
0,11,418436,34,0,9,417618
1,45,28060,83,0,32,27086
0,5,16230,9,1,24,14896
1,4,481887,94,0,8,480445
1,18,19265,78,0,31,18156
1,22,546194,72,1,0,544968
1,43,273888,86,0,9,272725
1,23,48657,12,0,25,47974
0,30,1679690,6,0,17,1678407
0,21,976612,65,0,17,975470
0,37,1497988,69,0,18,1497068
0,39,190441,11,0,15,189542
0,6,463276,62,1,12,461756
1,46,2058209,7,0,18,2056686
0,44,8433,110,0,36,7429
1,40,212508,32,0,8,211570
0,41,347997,36,1,12,346477
1,39,1973004,48,0,17,1972075
1,18,197165,10,0,5,196203
1,33,1698039,3,0,16,1696570
1,39,1127958,108,0,17,1127086
