Chromosome_Location,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Subclass,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,13483838,100,100,0,0,7,13482798,1
1,10815148,84,84,0,1,7,10814110,1
1,6955492,54,54,0,0,2,6953756,0
1,8380600,65,65,0,1,7,8379902,1
1,9240256,75,75,0,4,2,9238329,1
1,9377132,78,78,0,4,7,9376461,0
1,3221626,27,27,0,4,7,3220494,0
1,2102690,15,15,0,10,7,2100093,1
1,20867515,143,143,0,0,1,20866022,0
1,12160930,92,92,0,7,2,12160046,1
1,2680808,19,19,0,15,2,2679423,0
1,1401408,10,10,0,0,7,1400647,0
1,20915947,144,144,0,0,1,20914958,1
1,9200825,74,74,0,4,7,9199485,1
1,6638754,53,53,1,3,8,6637225,0
1,6441604,52,52,0,1,7,6440312,0
1,15741,0,0,0,17,7,14537,1
1,18526135,133,133,0,0,1,18525296,0
1,5430215,43,43,0,21,7,5429553,0
1,9310089,76,76,0,1,7,9309220,0
1,17383110,123,123,0,4,1,17381675,1
1,23649517,155,155,0,1,1,23648664,1
1,6362947,51,51,0,4,2,6361372,1
1,12665749,96,96,0,0,7,12664313,1
1,20479303,141,141,1,5,9,20477665,0
1,2737107,20,20,0,4,2,2736457,1
1,981427,6,6,0,4,7,980799,0
1,3054496,24,24,1,3,6,3053067,0
1,2642795,18,18,0,15,7,2641014,0
1,3511059,31,31,0,4,7,3509868,0
1,14412758,108,108,0,22,2,14411913,0
1,23514561,154,154,0,0,1,23513521,1
1,15376311,113,113,0,17,7,15375121,0
1,4838125,39,39,0,8,7,4836803,0
1,12246771,93,93,0,1,7,12245099,0
1,18735986,134,134,0,14,1,18734498,0
1,7567593,59,59,0,0,2,7566580,1
1,3453161,30,30,0,0,7,3451287,0
1,18766836,135,135,0,1,3,18765534,1
1,7857029,61,61,0,0,7,7856016,1
1,13282465,99,99,0,24,7,13280789,0
1,2579015,16,16,0,10,7,2576673,0
1,14839696,111,111,0,1,7,14837926,0
1,11412405,86,86,0,1,7,11411355,0
1,13967339,105,105,0,15,7,13965975,0
0,34835,165,165,0,18,0,33567,1
1,7776355,60,60,0,0,7,7775540,1
1,4299137,34,34,1,3,9,4297472,1
1,13580138,101,101,0,1,7,13578653,1
1,11497432,88,88,0,1,7,11496159,0
1,8750931,70,70,0,0,2,8750116,0
1,8422594,66,66,1,2,9,8420066,0
1,14931220,112,112,0,0,7,14928527,0
1,3097194,25,25,0,0,2,3096508,0
1,12488986,94,94,0,1,7,12486822,1
1,6016720,47,47,0,1,7,6015477,1
1,1662089,13,13,0,4,7,1659698,1
1,14479105,110,110,0,1,7,14478302,0
1,11473094,87,87,0,0,2,11472201,1
1,2912105,22,22,0,0,7,2911437,1
1,938369,5,5,0,1,7,937674,0
1,24218799,160,160,0,0,1,24217882,0
1,18429380,131,131,0,1,3,18428231,1
1,421354,1,1,0,10,7,418907,0
1,2597044,17,17,0,13,7,2596686,1
1,22586503,151,151,0,7,1,22583996,1
1,23902858,158,158,0,1,1,23901544,1
1,15398283,114,114,0,0,7,15396637,1
0,42748,167,167,0,13,5,41047,1
1,2862968,21,21,0,4,7,2861630,1
1,11737964,91,91,0,1,2,11736173,0
1,16416071,119,119,0,19,2,16413631,1
1,23866829,157,157,0,1,1,23865703,1
1,16025845,118,118,0,7,2,16025135,0
1,11600931,89,89,0,1,7,11599714,1
1,563875,4,4,1,5,9,561461,0
1,6088421,48,48,0,0,7,6085950,0
1,13013122,98,98,0,0,2,13011857,0
1,16835079,120,120,0,20,1,16833925,1
1,19133424,137,137,0,0,3,19132048,1
0,6835,163,163,0,13,0,4667,1
1,21703774,148,148,0,1,1,21701900,0
1,17573162,126,126,0,0,1,17572161,0
1,6956172,55,55,0,1,2,6955569,0
1,17736253,128,128,0,1,3,17735340,0
1,6283351,50,50,0,1,7,6282458,0
1,4102721,33,33,0,11,7,4101290,1
1,14476110,109,109,1,2,8,14473687,0
1,3312359,29,29,0,0,2,3311109,1
1,12849258,97,97,0,1,7,12848426,1
