Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,301826,243,1,31,299487,0
0,0,125132,82,1,4,122370,1
1,0,387675,28,0,5,385183,0
0,0,736453,80,2,23,733583,0
0,1,190552,81,1,21,188093,1
0,0,1516533,43,1,32,1514173,1
0,0,476728,161,1,15,474101,0
0,0,54199,31,1,58,51578,1
0,0,988200,209,1,23,985546,1
0,0,1062895,234,1,31,1060310,1
0,0,246580,88,1,19,243767,0
0,0,758419,46,1,22,756089,0
0,0,488327,205,2,23,485541,0
1,0,322020,237,0,19,319249,0
0,0,33755,25,1,44,30969,0
0,0,423886,68,1,6,421607,1
0,0,993191,44,1,32,990858,1
1,0,1150558,195,0,23,1147775,1
0,0,1152306,223,1,24,1149583,0
0,0,1161129,168,1,32,1158613,0
1,0,32977,217,0,85,30248,1
0,0,33431,24,1,55,30843,1
0,0,504459,248,1,12,501763,1
0,0,1757922,191,1,32,1755496,1
0,0,553480,176,2,1,550610,0
0,0,16153,29,1,56,13502,0
0,0,355891,245,1,6,353552,0
0,0,309384,109,1,5,306937,0
0,0,25495,52,1,61,22811,0
0,0,8691,198,1,78,6085,1
0,0,200907,151,1,11,198367,0
0,0,15222,214,1,82,12538,1
0,0,867065,115,1,23,864531,0
0,0,1966199,102,1,31,1963551,1
0,0,557682,143,1,15,555076,0
0,0,1024944,233,1,31,1022305,0
0,0,556640,255,1,7,553878,0
0,0,1176004,167,1,32,1173581,0
0,0,156435,33,2,19,153649,1
0,0,447956,179,1,24,445458,1
0,0,735391,127,1,31,733043,0
0,0,1102343,227,1,24,1099539,0
0,0,1314205,91,1,32,1311887,0
0,0,1034195,211,1,23,1031508,1
0,0,650434,39,2,14,647633,1
0,0,1800605,107,1,31,1797939,1
0,0,187941,232,1,5,185287,0
1,0,17633,20,0,53,14982,0
0,0,4209,120,1,69,1423,0
0,0,198843,126,1,5,196225,0
0,0,1065877,201,1,26,1063010,0
0,0,432191,134,1,16,429708,0
0,0,536061,258,1,15,533287,0
0,0,568671,175,1,32,566338,1
1,0,1123469,222,0,24,1120611,0
0,0,443238,159,1,15,440629,0
0,0,422008,203,1,17,419294,0
0,0,125047,38,1,3,122324,1
0,0,50888,153,1,20,48174,1
0,0,119436,257,1,2,116878,0
0,0,622377,41,1,31,620053,0
0,0,404953,163,1,15,402317,0
0,0,352788,252,1,18,350182,1
0,0,185153,22,1,27,182502,0
1,0,389747,166,0,15,387120,0
0,0,373899,27,1,5,371611,1
0,0,475012,141,1,7,472298,0
0,0,7162,18,1,51,4697,0
0,0,378614,165,1,15,375975,0
0,0,23290,219,1,50,20606,1
0,0,9867,62,1,63,7462,0
0,0,473501,204,2,23,470631,0
0,0,1713823,7,1,30,1711409,0
0,0,381075,238,1,16,378301,0
