Entity_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,3,12909,144,144,0,112,10807,1
0,0,123,6110,102,101,0,100,3849,0
1,0,40,457048,92,91,1,9,454787,0
0,0,136,478833,231,231,0,6,476677,0
0,0,92,16869,153,153,0,115,14662,0
1,0,50,552888,219,219,1,15,550654,0
0,0,99,835809,99,98,0,28,833647,0
0,0,123,3770,52,51,0,88,732,1
1,0,22,828777,111,110,1,47,827212,1
1,0,42,9061,57,56,1,73,6806,1
0,0,41,2776,156,156,0,116,509,0
1,0,30,76342,180,180,1,33,73994,1
1,0,47,7765,31,30,1,42,5519,1
0,0,1,3747,25,24,0,71,1363,1
0,1,90,692573,71,70,0,19,690150,0
0,0,89,27924,8,7,0,17,26149,1
0,0,0,754574,176,176,0,26,752403,0
0,0,38,1178466,118,118,0,43,1176085,0
1,0,36,53359,117,117,1,39,52601,1
1,0,25,96434,222,222,1,5,94266,1
1,0,24,45480,198,198,1,121,43330,1
0,0,66,604953,82,81,0,20,602554,0
1,0,2,5633,14,13,1,61,4134,0
1,0,112,813661,183,183,1,37,811541,0
0,0,49,4215,73,72,0,19,1969,1
0,0,87,480713,40,39,0,4,478230,0
1,0,67,114439,10,9,1,3,112868,1
0,0,61,14957,65,64,0,75,12933,0
1,0,29,356577,109,108,1,52,354673,0
0,0,21,45278,103,102,0,18,42840,0
1,0,55,50723,122,122,1,105,48507,1
1,0,68,562476,174,174,1,10,560179,0
0,0,31,56175,87,86,0,5,53914,1
1,0,85,1621,66,65,1,94,2,1
0,0,129,4679,116,116,0,39,2307,1
0,0,123,11646,125,125,0,106,9286,1
0,0,70,487264,97,96,0,17,485114,0
0,0,1,47037,178,178,0,119,44773,1
0,0,21,371476,173,173,0,18,369323,0
0,0,131,477337,12,11,0,9,476408,0
0,0,51,828692,196,196,0,48,827244,1
1,0,88,909033,35,34,1,39,906619,0
0,0,91,1062,4,3,0,70,1,0
1,0,12,441740,95,94,1,29,439797,1
1,0,7,81519,13,12,1,5,79698,1
0,0,59,65232,218,218,0,51,62692,1
0,0,118,707127,50,49,0,23,704929,0
0,0,101,76316,30,29,0,51,74154,1
1,0,113,777368,224,224,1,31,775140,0
0,0,54,3230,129,129,0,22,921,1
0,0,123,2056,51,50,0,87,2,1
0,0,123,4947,48,47,0,85,2638,0
1,0,12,372955,230,230,1,29,370655,1
0,0,111,2326647,18,17,0,53,2325364,0
1,0,65,11060,143,143,1,31,8994,1
1,0,130,51771,234,234,1,35,49540,1
0,0,86,59089,43,42,0,56,56687,1
1,0,50,113111,169,169,1,15,111105,1
0,0,86,79561,119,119,0,56,77369,1
1,0,71,1451239,130,130,1,51,1449053,0
0,0,116,1009290,47,46,0,38,1006993,0
1,0,92,170211,124,124,1,49,168412,1
0,0,123,4516,55,54,0,90,3179,1
0,0,97,611448,113,113,0,10,610807,0
0,0,109,5046,161,161,0,117,2860,1
1,0,16,1375691,121,121,1,45,1373202,0
0,0,16,4025,167,167,0,16,1761,1
1,0,38,224206,203,203,1,34,222371,1
1,0,10,689616,84,83,1,53,687517,0
1,0,9,335828,157,157,1,29,333633,1
1,0,16,1204656,199,199,1,45,1202680,0
1,0,65,7012,7,6,1,31,5501,1
1,0,117,2096,147,147,1,113,747,1
0,0,123,1138,6,5,0,107,2,0
1,0,31,8253,105,104,1,41,6340,1
1,0,73,1189025,190,190,1,51,1186812,0
1,0,125,496899,104,103,1,1,495853,0
0,0,60,15153,208,208,0,30,12949,1
0,0,131,1039862,78,77,0,37,1037046,0
0,0,49,20107,70,69,0,50,17801,1
1,0,65,799420,225,225,1,31,796943,0
0,0,3,391932,9,8,0,58,389746,1
0,0,77,3932,164,164,0,118,1401,0
0,0,68,915393,64,63,0,33,914149,0
0,0,124,244454,160,160,0,19,243822,0
0,0,131,394758,21,20,0,9,393970,0
0,0,34,574603,171,171,0,21,572120,0
1,0,11,4883,44,43,1,82,2628,1
1,0,121,252998,133,133,1,28,250869,0
0,0,74,2976,166,166,0,77,781,0
0,0,132,1159648,145,145,0,41,1157084,0
0,0,123,7454,54,53,0,89,5259,1
1,0,29,654471,77,76,1,52,652312,1
0,0,96,2907,38,37,0,72,667,0
0,0,44,4593,2,1,0,17,2230,1
0,0,111,1705791,91,90,0,53,1703299,1
1,0,9,598394,170,170,1,21,596190,0
0,0,52,2152,11,10,0,60,38,0
0,0,31,507624,193,193,0,3,505363,0
1,0,68,459000,175,175,1,10,456733,0
1,0,57,123424,232,232,1,8,121439,0
1,0,43,805063,181,181,1,38,803291,0
0,0,76,3147,45,44,0,83,535,1
0,0,123,7548,56,55,0,91,5362,0
0,0,123,11573,112,111,0,103,9210,0
0,0,59,81116,5,4,0,13,80040,1
0,0,21,703891,74,73,0,23,701787,0
0,0,4,351915,202,202,0,57,350539,1
0,0,8,6111,24,23,0,68,4843,1
1,0,78,299939,227,227,1,11,297915,1
0,0,114,115059,162,162,0,22,112891,1
0,0,53,1036,16,15,0,63,2,1
1,0,112,763015,85,84,1,37,760970,0
1,0,20,547726,136,136,1,7,545198,0
0,0,116,19404,201,201,0,122,17227,0
0,0,120,53099,223,223,0,38,50910,1
0,0,128,2191081,90,89,0,53,2188577,1
1,0,27,52834,185,185,1,0,50840,0
1,0,7,13918,123,123,1,105,11750,1
1,0,32,18062,135,135,1,108,16122,1
1,0,105,62927,151,151,1,24,60651,1
1,0,115,34512,93,92,1,97,32440,1
0,0,123,5683,58,57,0,92,3845,0
1,0,23,1835456,207,207,1,48,1833030,0
0,0,21,711734,33,32,0,23,710958,0
0,0,30,482055,114,114,0,10,479794,0
1,0,94,89110,209,209,1,16,86993,1
0,0,27,92121,141,141,0,40,90979,1
0,0,98,7735,187,187,0,79,5258,1
0,0,27,2352753,132,132,0,53,2351474,0
1,0,102,5117,217,217,1,81,2943,0
0,0,80,120751,188,188,0,3,119534,1
0,0,17,9642,212,212,0,124,7252,0
0,0,123,28514,0,112,0,104,26043,0
0,0,58,1699,88,87,0,8,101,1
1,0,17,3774,19,18,1,65,1570,0
1,0,131,468090,42,41,1,2,465892,0
1,0,75,811009,211,211,1,32,808763,0
1,0,40,619207,205,205,1,9,617003,0
0,0,33,369971,62,61,0,55,367785,0
1,0,64,10067,29,28,1,45,8418,1
1,0,104,1108,163,163,1,76,1,0
0,0,123,3468,72,71,0,95,1171,0
0,0,131,1009265,79,78,0,37,1006986,0
0,0,84,560608,182,182,0,16,558551,0
0,0,131,28523,83,82,0,37,26538,1
0,0,41,2650,26,25,0,34,386,1
0,0,113,6868,186,186,0,120,4559,1
0,0,133,50074,191,191,0,3,47909,1
0,0,121,487691,32,31,0,18,485538,0
1,0,127,17178,110,109,1,102,14941,1
0,0,13,669010,134,134,0,16,666635,0
0,0,15,2335,172,172,0,12,101,1
0,0,93,798,168,168,0,78,1,1
1,0,111,1167843,146,146,1,41,1165567,0
0,0,66,140815,228,228,0,11,140096,1
0,0,60,3637,165,165,0,33,1680,1
0,0,123,5471,139,139,0,111,3207,1
0,0,49,5333,22,21,0,66,3093,1
0,0,56,59387,96,95,0,41,57738,1
0,0,41,477141,200,200,0,7,476586,0
0,0,123,5583,101,100,0,99,3223,0
1,0,12,20192,204,204,1,29,18165,1
1,0,48,636865,81,80,1,20,634829,0
0,0,79,180595,120,120,0,59,178343,0
0,0,116,827,15,14,0,62,3,0
1,0,94,122003,229,229,1,11,119982,1
0,0,104,16433,195,195,0,80,14709,1
1,0,24,35613,197,197,1,121,33460,1
1,0,132,16106,75,74,1,96,14127,0
0,0,39,194620,126,126,0,54,192110,0
0,0,42,85349,67,66,0,4,84366,1
0,0,137,303473,216,216,0,12,301437,1
0,0,14,49973,27,26,0,23,48072,1
0,0,123,7225,108,107,0,101,4853,0
0,0,37,3201,61,60,0,74,2560,1
0,0,123,17152,138,138,0,110,14774,1
0,0,95,43304,159,159,0,56,40902,1
0,0,35,52112,106,105,0,44,49749,1
0,0,62,316113,226,226,0,11,313945,1
0,0,134,3704,23,22,0,67,1446,1
1,0,36,12933,115,115,1,39,10912,1
1,0,104,60946,148,148,1,53,58898,1
1,0,5,1287,20,19,1,69,1,0
0,0,123,3133,53,52,0,89,824,1
0,0,82,23314,236,236,0,2,21104,0
0,0,6,763294,177,177,0,26,761027,0
1,0,81,411395,39,38,1,13,410220,0
0,0,122,66424,233,233,0,35,64094,1
1,0,125,469090,36,35,1,1,466913,0
0,0,122,4184,235,235,0,35,1923,1
0,0,83,68193,149,149,0,25,66007,1
0,0,106,315631,215,215,0,12,313523,1
1,0,64,480279,206,206,1,45,478171,0
1,0,41,609383,80,79,1,20,607077,0
0,0,119,377705,100,99,0,58,375522,0
0,0,108,400277,28,27,0,10,398004,0
0,0,26,702444,213,213,0,22,701878,0
1,0,28,369509,63,62,1,13,367296,1
0,0,103,5540,46,45,0,84,3963,1
0,0,41,526037,41,40,0,3,525222,0
0,0,26,57522,127,127,0,22,55348,1
1,0,11,28472,221,221,1,46,26358,1
1,0,20,3258,210,210,1,123,754,1
1,0,18,961848,155,155,1,36,959689,0
1,0,65,16197,179,179,1,119,13717,1
0,0,123,1669,49,48,0,86,2,1
1,0,0,399311,94,93,1,14,397290,0
0,0,45,646569,184,184,0,12,644707,0
1,0,64,27218,69,68,1,50,24993,1
0,0,16,2152465,192,192,0,52,2150273,0
1,0,36,5726,1,0,1,125,3723,0
1,0,29,1909430,131,131,1,52,1907460,1
0,0,107,1835184,68,67,0,47,1832923,0
0,0,84,27070,142,142,0,16,24536,1
0,0,106,311650,214,214,0,12,309482,1
0,0,110,6765,194,194,0,80,4204,1
0,2,123,1518,60,59,0,93,1,1
1,0,25,477984,152,152,1,5,475453,0
1,0,71,19107,107,106,1,44,16912,1
1,0,135,2336,150,150,1,114,3,1
1,0,19,468765,86,85,1,53,466540,0
0,0,123,4334,98,97,0,98,1968,1
0,0,44,71096,140,140,0,40,68619,1
0,0,126,909502,76,75,0,34,907241,0
1,0,38,1116077,154,154,1,40,1113876,0
1,0,20,731499,34,33,1,23,729406,0
0,0,123,7491,128,128,0,22,5182,1
0,0,116,1333,17,16,0,64,3,0
0,0,46,14203,59,58,0,32,11819,1
0,0,78,1475,3,2,0,126,3,0
0,0,72,471716,220,220,0,5,470270,0
0,0,69,2123600,89,88,0,52,2121408,0
1,0,63,669243,189,189,1,18,667156,0
0,0,131,18709,37,36,0,27,16532,1
0,0,123,6479,137,137,0,109,5838,1
0,0,100,668634,158,158,0,24,666520,0
