Strand_Orientation,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,90,301826,243,243,2,0,31,299487
1,0,118,32772,98,98,1,1,4,29866
1,0,26,373899,28,28,2,0,5,371611
0,0,72,736453,78,78,3,0,23,733583
1,1,51,190552,80,80,2,0,21,188093
1,0,62,1516533,42,42,2,0,32,1514173
0,0,114,465591,162,162,2,0,15,462814
1,0,46,54199,31,31,2,0,58,51578
1,0,34,988200,207,207,2,0,23,985546
1,0,86,1062895,234,234,2,0,31,1060310
0,0,6,246580,87,87,2,0,19,243767
0,0,21,758419,44,44,2,0,22,756089
0,0,22,488327,203,203,3,0,23,485541
0,0,94,322020,237,237,1,1,19,319249
0,0,56,33755,26,26,2,0,44,30969
0,0,118,355891,245,245,2,0,6,353552
1,0,62,993191,43,43,2,0,32,990858
1,0,89,1150558,193,193,1,1,23,1147775
0,0,117,1152306,222,222,2,0,24,1149583
0,0,113,1161129,166,166,2,0,32,1158613
1,0,116,32977,216,216,1,1,85,30248
1,0,99,33431,25,25,2,0,55,30843
0,0,96,184674,5,5,2,0,12,182293
1,0,33,1757922,189,189,2,0,32,1755496
0,0,66,553480,174,174,3,0,1,550610
0,0,46,16153,29,29,2,0,56,13502
1,0,121,292921,246,246,2,0,6,290183
0,0,123,256062,179,179,2,0,5,253732
0,0,99,25495,49,49,2,0,61,22811
1,0,29,8691,196,196,2,0,78,6085
1,0,44,180436,213,213,2,0,11,177890
1,0,8,15222,212,212,2,0,82,12538
0,0,72,867065,117,117,2,0,23,864531
1,0,40,1966199,104,104,2,0,31,1963551
0,0,107,546874,143,143,2,0,15,544250
0,0,86,1024944,233,233,2,0,31,1022305
0,0,75,519004,251,251,2,0,7,516413
0,0,106,1176004,165,165,2,0,32,1173581
1,0,86,156435,33,33,3,0,19,153649
1,0,65,447956,177,177,2,0,24,445458
0,0,74,735391,129,129,2,0,31,733043
0,0,78,1102343,226,226,2,0,24,1099539
0,0,113,1314205,90,90,2,0,32,1311887
1,0,5,1034195,209,209,2,0,23,1031508
1,0,45,204433,61,61,2,0,14,201761
1,0,74,1800605,109,109,2,0,31,1797939
1,0,47,125132,81,81,2,0,4,122370
0,0,65,17633,21,21,1,1,53,14982
0,0,68,4209,122,122,2,0,69,1423
0,0,37,187941,232,232,2,0,5,185287
0,0,112,1065877,199,199,2,0,26,1063010
0,0,54,425184,136,136,2,0,16,422410
0,0,83,513629,257,257,3,0,15,510834
1,0,2,568671,173,173,2,0,32,566338
0,0,95,1123469,221,221,1,1,24,1120611
0,0,62,432436,159,159,1,1,15,429818
1,0,71,218715,54,54,2,0,17,215884
1,0,69,86749,153,153,1,1,3,84020
1,0,52,50888,152,152,2,0,20,48174
0,0,73,107074,254,254,1,1,2,104540
0,0,10,622377,40,40,2,0,31,620053
0,0,130,389747,164,164,1,1,15,387120
0,0,32,422008,201,201,2,0,17,419294
0,0,132,185153,23,23,2,0,27,182502
0,0,88,378614,163,163,2,0,15,375975
0,0,123,309384,111,111,2,0,5,306937
1,0,121,585607,82,82,2,0,6,583331
0,0,46,7162,19,19,2,0,51,4697
1,0,38,650434,38,38,3,0,14,647633
1,0,74,23290,218,218,2,0,50,20606
0,0,99,9867,59,59,2,0,63,7462
0,0,124,473501,202,202,3,0,23,470631
0,0,87,1713823,7,7,2,0,30,1711409
0,0,108,700388,14,14,2,0,15,697620
0,0,51,14845,46,46,3,0,60,11996
0,0,43,8092,214,214,2,0,83,5759
1,0,0,13979,198,198,1,1,80,11352
0,0,3,1053239,113,113,2,0,23,1050549
0,0,46,15062,86,86,2,0,66,12438
1,0,39,1100880,195,195,1,1,23,1098211
1,0,45,8115,172,172,3,0,49,5269
1,0,52,379418,170,170,2,0,34,376740
1,0,81,2047179,185,185,2,0,31,2044399
1,0,22,665447,73,73,3,0,23,662586
0,0,115,475012,142,142,2,0,7,472298
0,0,62,1324430,89,89,2,0,32,1322082
0,0,30,1156973,236,236,2,0,31,1154469
1,0,38,9580,197,197,1,1,79,6749
0,0,84,428427,88,88,3,0,20,425755
1,0,102,1096585,235,235,2,0,31,1093946
0,0,126,810651,169,169,2,0,22,808318
0,0,46,12594,151,151,2,0,76,9967
1,0,23,9089,217,217,2,0,85,6579
0,0,25,45075,125,125,1,1,72,42286
1,0,82,1611964,101,101,1,1,30,1609262
0,0,86,1828534,108,108,2,0,31,1825916
1,0,109,483376,97,97,2,0,24,480707
0,0,74,1865809,106,106,2,0,31,1862957
0,0,91,139709,253,253,2,0,1,138117
0,0,93,404584,119,119,2,0,22,402206
0,0,9,1731005,191,191,3,0,29,1728183
1,0,102,2060220,184,184,2,0,31,2057611
0,0,39,255561,17,17,1,1,23,253126
1,0,55,12158,10,10,2,0,43,9363
0,0,46,21771,84,84,2,0,64,19363
0,0,72,506933,18,18,3,0,23,504105
0,0,108,454333,158,158,2,0,15,451748
0,0,84,262330,244,244,2,0,6,259847
0,0,107,568854,259,259,2,0,15,566233
1,0,46,16377,145,145,2,0,74,13513
1,0,94,199898,35,35,1,1,19,197364
0,0,28,1633076,187,187,1,1,31,1630521
0,0,86,602587,41,41,2,0,31,600077
0,0,72,768058,75,75,2,0,23,765323
1,0,62,1129346,168,168,2,0,32,1126764
0,0,10,20976,56,56,2,0,46,18310
0,0,99,5331,150,150,2,0,75,2932
1,0,7,629809,114,114,3,0,13,627020
0,0,62,1825289,188,188,2,0,32,1822929
0,0,62,590672,258,258,1,1,15,588504
1,0,63,6553,121,121,2,0,68,4166
0,0,109,1169591,223,223,3,0,24,1166769
1,0,16,13678,156,156,2,0,3,10931
0,0,80,468388,67,67,3,0,6,465485
0,0,105,476059,149,149,1,1,5,473501
0,0,122,1251196,181,181,2,0,30,1248512
1,0,72,1015945,208,208,2,0,23,1013150
1,0,62,1147282,167,167,2,0,32,1144757
1,0,34,721934,74,74,2,0,23,719244
0,0,97,1582479,186,186,1,1,31,1579936
1,0,86,221070,141,141,2,0,9,218443
0,0,35,463778,79,79,2,0,16,460986
0,0,36,11062,4,4,2,0,39,8450
1,0,41,1570228,100,100,5,0,30,1568267
0,0,89,308185,64,64,1,1,23,306188
0,0,96,546370,45,45,2,0,8,543824
0,0,54,399549,239,239,2,0,16,396772
0,0,92,57145,55,55,3,0,46,54284
0,0,80,849988,205,205,2,0,23,847319
0,0,23,408107,16,16,1,1,5,405750
1,0,13,60414,227,227,2,0,87,57859
1,0,72,1007699,206,206,2,0,23,1005114
1,0,64,7898,9,9,2,0,42,5274
0,0,2,245264,47,47,2,0,0,242583
0,0,99,4732,124,124,2,0,71,2051
0,0,99,21506,57,57,2,0,62,18858
1,0,99,23129,127,127,3,0,73,20358
0,0,49,472189,69,69,2,0,18,469499
0,0,28,1014233,135,135,1,1,31,1011738
0,0,99,34218,58,58,2,0,62,31414
1,0,102,2102129,103,103,2,0,31,2099463
1,0,42,82609,138,138,3,0,19,79808
0,0,87,1317329,99,99,2,0,30,1314768
1,0,112,352788,250,250,2,0,18,350182
1,0,118,565683,140,140,2,0,6,563344
1,0,1,10603,6,6,3,0,40,7772
1,0,24,212927,0,0,5,0,13,211077
0,0,97,276688,210,210,1,1,24,274223
0,0,12,652210,96,96,2,0,8,649424
1,0,60,10893,91,91,2,0,33,8359
1,0,51,4709,30,30,2,0,57,2067
0,0,14,119436,255,255,2,0,2,116878
1,0,24,14331,230,230,2,0,88,11776
1,0,129,1650945,11,11,2,0,31,1648582
0,0,51,7054,123,123,2,0,70,4541
1,0,37,456596,15,15,2,0,5,453903
1,0,29,3590,211,211,2,0,82,942
0,0,113,1816759,190,190,2,0,32,1814429
1,0,114,2010450,110,110,2,0,32,2008033
1,0,66,529696,176,176,2,0,1,526820
0,0,131,280853,62,62,2,0,23,278046
1,0,118,423886,65,65,2,0,6,421607
1,0,31,408724,139,139,1,1,35,406415
0,0,125,1036042,118,118,2,0,25,1033382
0,0,58,25731,8,8,3,0,41,22858
0,0,99,35248,50,50,2,0,61,32438
1,0,128,2099,2,2,5,0,37,3
0,0,48,903444,116,116,1,1,23,900637
1,0,24,460231,148,148,2,0,13,457457
1,0,102,2171498,183,183,2,0,31,2169063
0,0,72,817323,77,77,2,0,23,814468
