Strand_Orientation,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,0,3,12909,141,141,1,0,111,10807
0,0,123,6110,100,99,1,0,99,3849
0,0,40,457048,90,89,0,1,9,454787
0,0,137,478833,231,231,1,0,6,476677
0,0,91,16869,150,150,1,0,114,14662
0,0,49,552888,219,219,0,1,15,550654
0,0,98,835809,97,96,1,0,28,833647
1,0,123,3770,50,49,2,0,87,732
0,0,11,1069200,209,209,0,1,45,1067095
1,0,42,9061,55,54,0,1,72,6806
0,0,41,2776,153,153,1,0,115,509
1,0,30,76342,178,178,0,1,33,73994
0,0,110,1167843,143,143,0,1,41,1165567
1,0,1,3747,25,24,1,0,70,1363
0,1,89,692573,69,68,1,0,19,690150
1,0,88,27924,8,7,3,0,17,26149
0,0,0,754574,174,174,1,0,26,752403
0,0,50,1157625,116,116,0,1,42,1155433
1,0,36,12933,112,112,0,1,39,10912
1,0,25,96434,222,222,0,1,5,94266
1,0,24,45480,196,196,0,1,120,43330
0,0,65,604953,80,79,1,0,20,602554
0,0,2,5633,14,13,0,1,60,4134
0,0,111,763015,83,82,0,1,37,760970
1,0,48,4215,71,70,1,0,19,1969
0,0,87,480713,38,37,1,0,4,478230
1,0,66,114439,10,9,0,1,3,112868
0,0,60,14957,64,63,1,0,74,12933
1,0,126,61722,221,221,0,1,51,61057
0,0,21,45278,101,100,1,0,18,42840
1,0,55,50723,120,120,0,1,104,48507
0,0,68,562476,172,172,0,1,10,560179
1,0,31,56175,85,84,1,0,5,53914
1,0,85,1621,65,64,0,1,93,2
0,0,116,1009290,45,44,1,0,38,1006993
1,0,123,11646,123,123,1,0,105,9286
0,0,70,487264,95,94,1,0,17,485114
1,0,1,47037,176,176,1,0,118,44773
0,0,21,371476,171,171,1,0,18,369323
0,0,132,477337,12,11,3,0,9,476408
0,0,106,1835184,67,66,1,0,46,1832923
1,0,36,53359,114,114,0,1,39,52601
0,0,90,1062,4,3,3,0,69,1
1,0,12,441740,93,92,0,1,29,439797
1,0,7,81519,13,12,0,1,5,79698
1,0,113,71686,213,213,1,0,49,69566
0,0,118,707127,48,47,1,0,23,704929
1,0,58,65232,218,218,1,0,50,62692
0,0,112,777368,224,224,0,1,31,775140
1,0,54,3230,127,127,1,0,22,921
1,0,123,2056,49,48,3,0,86,2
0,0,123,4947,46,45,1,0,84,2638
1,0,12,372955,230,230,0,1,29,370655
0,0,110,2326647,18,17,3,0,52,2325364
1,0,64,11060,140,140,0,1,31,8994
1,0,122,4184,235,235,1,0,35,1923
1,0,86,59089,41,40,1,0,55,56687
