Gene_Type,Genomic_End_Position,Gene_Db_Id,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,1160395,347,1,22,1159709,0
1,18293,404,1,95,17649,0
0,7200,135,0,45,6637,0
0,55025,359,0,83,54438,0
0,1464254,89,0,28,1463646,0
0,494817,203,0,23,494134,1
0,2016292,329,0,27,2015537,0
0,9057,388,0,90,8128,0
0,4555,133,0,64,3962,0
0,683253,99,0,28,682675,0
1,844685,368,1,22,844098,0
1,112468,401,1,94,111971,0
0,4870,340,0,78,4217,0
0,2682,264,0,76,1954,0
0,163066,8,0,8,162521,1
0,1955674,332,0,28,1955171,0
0,756041,100,0,28,755460,1
0,1368555,309,0,28,1367977,1
0,1487064,93,0,28,1486369,1
0,36247,73,0,15,35642,1
0,265007,258,0,23,264339,0
0,120884,35,0,14,120498,0
0,1921473,109,0,28,1920904,1
0,458814,352,0,17,458125,0
0,316703,371,0,16,316059,0
0,548591,226,0,19,548190,0
0,1604078,117,0,28,1603452,0
0,85370,62,0,58,84681,0
0,17407,261,0,74,16820,0
0,1033564,299,0,18,1032920,0
1,1738968,28,1,27,1738420,0
0,6677,379,0,86,6162,1
0,278070,222,0,3,277438,1
0,1731530,336,0,28,1730895,0
0,477620,206,0,6,476973,0
0,567879,381,0,20,567310,0
0,10321,127,0,61,9749,0
0,1686468,113,0,28,1685914,0
0,7629,230,0,70,6979,0
0,1645,356,0,83,1004,0
0,376974,56,0,3,376393,1
1,807869,25,1,27,807330,1
0,426818,138,0,4,426186,1
0,39701,53,0,57,39237,1
0,307213,259,0,23,306524,0
0,782,47,0,54,129,1
0,1132814,317,0,28,1132212,1
0,30799,74,0,15,30158,1
0,159847,68,0,14,159101,1
0,717564,270,0,27,716974,1
0,1637787,115,0,28,1637185,1
0,487905,171,0,3,487330,0
1,356421,430,1,13,355831,1
0,1932015,108,0,28,1931470,0
0,2027,40,0,52,1341,0
0,1743790,335,0,28,1743146,0
0,515441,207,0,6,514617,0
0,1118634,319,0,28,1117975,1
1,347837,18,1,3,347313,0
0,250738,323,0,3,250097,0
0,1579,3,0,34,1004,1
0,570400,77,0,7,569783,0
0,552848,146,0,22,552180,1
0,52129,265,0,76,51491,0
1,19103,380,1,86,18480,1
0,4829,257,0,73,4128,0
0,599763,233,0,10,598996,1
0,436400,12,0,16,435816,0
0,1148872,410,0,27,1148204,0
0,339516,225,0,3,338926,0
0,1581481,215,0,26,1580900,1
0,1081012,406,0,27,1080440,1
0,15668,344,0,79,15015,0
0,6518,304,0,1,5874,1
0,26110,306,0,14,25487,1
1,504309,428,1,4,503911,1
0,668902,150,0,22,668282,1
0,1995197,217,0,27,1994529,0
0,216763,322,0,3,216122,0
1,588625,158,1,4,587969,1
0,416038,383,0,31,415541,0
1,463493,102,1,0,462885,1
0,14001,394,0,92,13402,1
1,385637,21,1,22,384969,0
0,602338,320,0,6,601643,1
0,1845,389,0,91,1489,1
0,314714,124,0,12,314181,0
0,1473130,88,0,28,1472456,0
0,1134002,408,0,27,1133424,1
0,444695,32,0,3,444042,0
0,42175,386,0,88,41594,0
0,9261,129,0,62,8539,0
0,382637,58,0,3,382086,0
0,35038,303,0,1,34388,1
0,416102,247,0,16,415509,0
1,13194,349,1,81,12661,1
0,641578,84,0,11,640880,1
