Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,654188,51,3,1,26,650496,0
1,1056376,79,3,1,28,1052489,0
1,243279,50,3,1,20,239581,1
0,68272,3,1,0,3,58754,0
1,429433,58,3,1,11,427442,0
1,350186,25,3,1,19,346785,1
0,66842,1,1,0,1,57327,0
1,335949,41,3,1,13,332707,0
0,681513,77,2,0,25,680680,0
1,12430,55,3,1,49,10808,0
1,788786,11,3,1,31,784983,1
1,515535,64,3,1,11,511714,0
0,13686177,101,1,0,59,13681198,0
1,213136,65,3,1,13,209912,0
1,523896,82,3,1,19,520486,1
0,683957,10,2,0,24,682659,0
1,11747,61,3,1,36,8811,1
0,13341943,99,2,0,4,13338355,0
1,81642,29,3,1,24,72760,1
1,142018,87,3,1,55,138758,0
0,5300473,98,1,0,4,5299394,0
0,15212101,100,2,0,4,15211018,0
0,691157,94,1,0,24,690288,0
1,259348,92,3,1,14,255518,0
1,49886,73,3,1,52,46212,1
1,605221,45,3,1,15,603080,0
1,4154,14,3,1,37,495,1
0,66669,0,1,0,0,58960,0
1,608315,32,3,1,20,604602,1
0,1167562,7,1,0,7,1158722,0
0,682808,76,1,0,25,681615,0
1,1372594,33,3,1,26,1368890,0
1,300213,43,3,1,19,298375,0
1,337613,96,3,1,20,336009,1
1,45188,12,3,1,18,41949,1
1,581064,63,3,1,11,577246,0
1,44223,88,3,1,56,37483,0
1,602157,19,3,1,17,598276,0
1,1448442,38,3,1,30,1444648,0
1,469174,16,3,1,9,465341,0
1,458499,81,3,1,19,454699,1
1,1065895,84,3,1,27,1062773,0
1,5940,30,3,1,42,2119,1
1,11129,47,3,1,46,7485,1
1,469188,89,3,1,10,465982,0
1,430849,57,3,1,11,429539,0
1,1515,26,3,1,35,1,1
0,3249490,5,1,0,6,3247895,1
1,605437,62,3,1,11,602729,1
1,250445,44,3,1,19,248646,0
1,1109524,75,3,1,26,1105571,1
1,22025,17,3,1,39,18780,1
1,89728,24,3,1,8,86798,1
1,1359008,39,3,1,30,1356018,0
1,2438,53,3,1,48,6,1
1,1560,56,3,1,50,1,0
1,1219117,102,3,1,58,1216267,0
1,377243,97,3,1,20,373542,1
1,8619,78,3,1,54,6454,1
1,24589,80,3,1,20,20873,1
1,7843,42,3,1,44,4586,1
1,75404,52,3,1,23,71586,1
0,8248,8,1,0,57,38,1
1,1708705,70,3,1,29,1705583,1
1,26933,85,3,1,55,23172,1
1,3051,9,3,1,33,1,0
1,337509,68,3,1,19,335044,0
1,233680,59,3,1,21,230456,1
1,65270,54,3,1,32,61929,1
1,296568,95,3,1,20,292768,1
1,66045,91,3,1,31,62704,1
1,37473,48,3,1,47,33883,1
1,80768,60,3,1,21,77490,1
1,506172,34,3,1,27,503089,1
1,507690,36,3,1,16,504439,0
1,74860,86,3,1,55,71606,1
1,280505,28,3,1,21,278556,1
0,680050,93,2,0,24,678353,0
1,22348,46,3,1,45,18539,1
1,248545,69,3,1,19,245762,0
1,643039,71,3,1,15,641519,0
1,2692,72,3,1,51,2,0
0,1413533,6,1,0,5,1404693,0
1,587652,31,3,1,20,583996,1
1,43248,35,3,1,12,39526,1
0,3247776,4,1,0,6,3246661,1
1,247107,66,3,1,13,243913,0
1,7274,20,3,1,41,4287,1
1,4357,15,3,1,38,527,1
1,1671383,23,3,1,30,1667499,1
1,10865,74,3,1,53,9594,1
1,31420,90,3,1,27,29030,1
1,1529406,67,3,1,30,1525576,1
1,1287934,37,3,1,30,1284098,1
0,68055,2,1,0,2,58540,0
0,6687,13,0,0,12,6370,1
1,250771,49,3,1,22,246869,1
1,956510,83,3,1,26,952710,1
1,19296,40,3,1,43,16819,0
1,444498,22,3,1,11,440737,1
1,1690,21,3,1,34,2,0
1,446032,27,3,1,20,442286,1
1,8539,18,3,1,40,4712,0
