Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,3818,116,116,1,70,2061
0,497232,54,54,0,1,497002
0,1362603,67,67,1,35,1360342
0,10034,9,9,1,44,9492
0,705460,55,55,1,24,703286
0,720,117,117,1,49,1
0,551749,34,34,0,18,551012
1,160581,125,125,1,12,159610
1,2942,37,37,1,57,882
1,53693,62,62,1,29,52560
0,1058918,107,107,1,33,1056777
0,1193345,104,104,1,31,1191366
1,590889,94,94,1,15,588715
0,2356776,5,5,1,37,2355799
1,5081,19,19,1,11,2874
1,82404,8,8,1,38,80149
0,3053,22,22,1,51,873
1,501852,64,64,1,32,499696
0,195717,4,4,1,7,194815
1,454212,110,110,1,24,451945
1,1166328,32,32,1,34,1164352
1,114991,85,85,1,3,114542
1,161676,79,79,1,12,160684
0,2832,57,57,1,60,619
1,26356,45,45,1,58,24182
1,603844,95,95,1,15,602780
1,18169,7,7,1,16,16115
0,508321,36,36,1,2,506186
1,29015,29,29,1,55,27780
0,646319,101,101,1,13,643902
1,395040,109,109,1,24,392911
1,2179419,98,98,1,36,2176948
0,742170,81,81,1,24,739927
0,203063,82,82,1,6,200871
1,9199,103,103,1,67,7001
0,606833,39,39,1,37,604902
0,53186,23,23,1,0,51024
0,12912,2,2,0,42,12295
1,5374,106,106,1,68,4073
1,346367,44,44,1,24,344166
0,194168,89,89,1,18,192141
0,656983,75,75,1,31,654773
1,302402,48,48,0,12,301785
1,628874,61,61,1,15,628374
0,2355697,99,99,1,37,2354525
1,141673,126,126,1,12,140918
1,38921,65,65,1,11,36609
1,356850,24,24,0,40,356083
1,246323,71,71,1,27,244452
1,258202,88,88,1,26,255983
0,802663,63,63,1,28,801878
1,628270,40,40,1,15,627785
1,1105132,105,105,1,31,1103840
0,1157244,30,30,0,30,1157023
0,2001346,69,69,1,36,1998842
0,122127,119,119,1,71,120202
1,32651,28,28,1,54,31587
0,576256,1,1,1,18,575726
0,13846,11,11,1,45,12761
1,69895,3,3,1,22,67685
1,292285,128,128,1,25,290090
0,479217,80,80,1,14,477172
1,967593,59,59,1,37,965515
1,18788,27,27,1,41,16752
0,1431,21,21,1,50,1
0,843337,68,68,1,23,841178
1,27802,123,123,1,73,25553
1,521,0,0,0,52,3
0,149082,120,120,1,71,147823
0,630544,12,12,1,19,630077
1,85717,42,42,1,3,84713
0,2356,6,6,1,43,188
1,116089,78,78,0,2,115388
0,5373,102,102,1,66,3175
0,414917,91,91,1,19,412986
0,551038,41,41,1,15,548948
0,879776,20,20,1,26,877512
1,16562,25,25,1,26,16113
0,522056,129,129,1,14,520707
0,560632,58,58,1,18,560198
1,8796,47,47,1,4,6766
0,242101,49,49,0,17,241769
0,804175,50,50,1,24,801998
1,7341,15,15,1,46,5542
1,1092022,122,122,1,36,1090076
0,853635,113,113,1,31,852247
1,6731,38,38,1,28,4560
0,24063,90,90,1,65,21859
1,569,77,77,0,62,3
1,605835,112,112,1,31,604711
1,20468,93,93,1,5,18309
0,47761,115,115,1,70,45575
1,80858,13,13,1,37,80019
0,143770,130,130,1,8,141896
1,40865,17,17,1,22,38190
1,17708,31,31,1,56,16425
1,107570,33,33,1,10,105642
1,238993,72,72,1,25,236726
1,5239,53,53,1,59,3059
1,2117,26,26,1,53,3
1,45873,86,86,1,64,43711
0,305003,100,100,1,24,302736
0,724179,14,14,1,19,722086
1,564263,35,35,1,36,562332
0,487684,132,132,1,19,485708
1,9794,121,121,1,72,7884
0,395811,52,52,1,21,393328
0,399746,92,92,1,19,397836
0,510087,18,18,1,31,508918
0,640806,111,111,1,10,638620
0,630340,43,43,1,20,629867
1,45587,118,118,1,71,43530
0,12118,56,56,1,47,9896
1,591642,60,60,0,15,591283
0,28251,114,114,1,69,27310
1,15656,51,51,1,1,13635
0,551317,83,83,1,19,549344
0,2323,70,70,1,61,1850
0,17469,87,87,1,48,15220
0,2747,84,84,1,63,2046
1,1525088,97,97,1,35,1523784
0,1220025,96,96,1,35,1218841
1,1560715,16,16,1,37,1558235
1,8315,10,10,1,31,7779
0,415880,46,46,1,25,413892
1,352533,108,108,0,39,352018
0,429,127,127,1,74,1
0,461012,74,74,0,10,460530
1,216636,73,73,1,25,214564
1,61722,124,124,1,36,61057
0,111044,131,131,1,9,109113
0,875271,76,76,0,31,874933
0,1428134,66,66,1,35,1426182
