Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Entity_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,301826,243,243,31,1,0,85,299487,0
0,125132,82,82,4,1,0,46,122370,1
1,387675,27,27,5,0,1,100,385183,0
0,736453,80,80,23,2,0,69,733583,0
0,190552,81,81,21,1,0,50,188093,1
0,1516533,42,42,32,1,0,60,1514173,1
0,476728,161,161,15,1,0,103,474101,0
0,54199,30,30,58,1,0,45,51578,1
0,988200,209,209,23,1,0,34,985546,1
0,1062895,234,234,31,1,0,81,1060310,1
0,246580,88,88,19,1,0,6,243767,0
0,758419,46,46,22,1,0,21,756089,0
0,488327,205,205,23,2,0,22,485541,0
1,322020,237,237,19,0,1,90,319249,0
0,33755,24,24,44,1,0,54,30969,0
0,423886,68,68,6,1,0,114,421607,1
0,993191,43,43,32,1,0,60,990858,1
1,1150558,195,195,23,0,1,84,1147775,1
0,1152306,223,223,24,1,0,113,1149583,0
0,1161129,168,168,32,1,0,109,1158613,0
1,32977,217,217,85,0,1,112,30248,1
0,33431,23,23,55,1,0,95,30843,1
0,504459,248,248,12,1,0,108,501763,1
0,1757922,191,191,32,1,0,33,1755496,1
0,560388,176,176,1,2,0,87,557518,0
0,16153,28,28,56,1,0,45,13502,0
0,355891,245,245,6,1,0,114,353552,0
0,309384,109,109,5,1,0,119,306937,0
0,25495,52,52,61,1,0,95,22811,0
0,8691,198,198,78,1,0,29,6085,1
0,200907,151,151,11,1,0,48,198367,0
0,15222,214,214,82,1,0,8,12538,1
0,867065,115,115,23,1,0,69,864531,0
0,1966199,102,102,31,1,0,39,1963551,1
0,557682,143,143,15,1,0,103,555076,0
0,1024944,233,233,31,1,0,81,1022305,0
0,556640,255,255,7,1,0,94,553878,0
0,1176004,167,167,32,1,0,101,1173581,0
0,156435,32,32,19,2,0,81,153649,1
0,447956,179,179,24,1,0,63,445458,1
0,735391,127,127,31,1,0,70,733043,0
0,1102343,227,227,24,1,0,74,1099539,0
0,1314205,91,91,32,1,0,109,1311887,0
0,1034195,211,211,23,1,0,5,1031508,1
0,650434,38,38,14,2,0,37,647633,1
0,1800605,107,107,31,1,0,70,1797939,1
0,187941,232,232,5,1,0,36,185287,0
1,17633,19,19,53,0,1,63,14982,0
0,4209,120,120,69,1,0,65,1423,0
0,198843,126,126,5,1,0,75,196225,0
0,1065877,201,201,26,1,0,107,1063010,0
0,432191,134,134,16,1,0,17,429708,0
0,536061,258,258,15,1,0,83,533287,0
0,568671,175,175,32,1,0,2,566338,1
1,1123469,222,222,24,0,1,91,1120611,0
0,443238,159,159,15,1,0,102,440629,0
0,422008,203,203,17,1,0,32,419294,0
0,125047,37,37,3,1,0,43,122324,1
0,50888,153,153,20,1,0,51,48174,1
0,119436,257,257,2,1,0,14,116878,0
0,622377,40,40,31,1,0,10,620053,0
0,404953,163,163,15,1,0,83,402317,0
0,352788,252,252,18,1,0,107,350182,1
0,185153,21,21,27,1,0,128,182502,0
1,389747,166,166,15,0,1,126,387120,0
0,373899,26,26,5,1,0,26,371611,1
0,475012,141,141,7,1,0,111,472298,0
0,7162,17,17,51,1,0,45,4697,0
0,378614,165,165,15,1,0,83,375975,0
0,23290,219,219,50,1,0,70,20606,1
0,9867,62,62,63,1,0,95,7462,0
0,473501,204,204,23,2,0,120,470631,0
0,1713823,7,7,30,1,0,82,1711409,0
0,381075,238,238,16,1,0,17,378301,0
0,14845,49,49,60,2,0,50,11996,0
0,8092,215,215,83,1,0,43,5759,0
1,13979,200,200,80,0,1,0,11352,1
0,1053239,111,111,23,1,0,3,1050549,0
0,15062,87,87,66,1,0,45,12438,0
1,1100880,197,197,23,0,1,38,1098211,1
0,8115,174,174,49,2,0,44,5269,1
0,379418,172,172,34,1,0,51,376740,1
0,2047179,187,187,31,1,0,77,2044399,1
0,665447,75,75,23,2,0,22,662586,1
0,519004,254,254,7,1,0,71,516413,0
0,1324430,90,90,32,1,0,60,1322082,0
0,1156973,236,236,31,1,0,30,1154469,0
1,9580,199,199,79,0,1,37,6749,1
0,428427,89,89,20,2,0,80,425755,0
0,1096585,235,235,31,1,0,97,1093946,1
0,810651,171,171,22,1,0,122,808318,0
0,12594,152,152,76,1,0,45,9967,0
0,9089,218,218,85,1,0,23,6579,1
1,45075,123,123,72,0,1,25,42286,0
1,1611964,99,99,30,0,1,79,1609262,1
0,1828534,106,106,31,1,0,81,1825916,0
0,483376,96,96,24,1,0,104,480707,1
0,1865809,104,104,31,1,0,70,1862957,0
0,474706,45,45,1,1,0,5,471839,0
0,404584,117,117,22,1,0,89,402206,0
0,1731005,193,193,29,2,0,9,1728183,0
0,2060220,186,186,31,1,0,97,2057611,1
1,255561,15,15,23,0,1,38,253126,0
0,12158,10,10,43,1,0,53,9363,1
0,21771,85,85,64,1,0,45,19363,0
0,506933,16,16,23,2,0,69,504105,0
0,465591,164,164,15,1,0,110,462814,0
0,292921,246,246,6,1,0,117,290183,1
0,579976,259,259,15,1,0,83,577358,0
0,16377,145,145,74,1,0,45,13513,1
1,199898,34,34,19,0,1,90,197364,1
