Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Entity_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,6912,10,10,37,1,0,40,4054,1
1,166284,41,41,6,3,1,12,162214,0
0,3512,39,39,46,1,0,43,570,1
1,2374,42,42,47,3,1,41,2,0
0,613086,35,35,12,1,0,38,611617,1
0,39716,20,20,15,1,0,39,38265,1
1,106904,21,21,5,3,1,24,101847,0
0,2321780,60,60,21,1,0,33,2320431,0
1,2321637,22,22,22,3,1,6,2320534,0
1,513352,29,29,13,3,1,47,509741,1
1,5459,11,11,38,3,1,3,369,1
0,588483,38,38,4,1,0,9,586278,0
1,6009,72,72,57,3,1,8,1594,1
0,574606,47,47,3,1,0,27,573398,0
0,10189,66,66,56,1,0,20,8723,0
0,12357,13,13,40,1,0,22,7624,1
1,13981,7,7,17,3,1,2,12296,1
0,219070,16,16,7,1,0,10,217661,0
0,2470,33,33,44,1,0,45,2,0
1,48747,75,75,16,3,1,16,45235,1
0,14382,54,54,4,1,0,49,9970,1
0,1879,4,4,25,2,0,1,2,1
0,826483,26,26,11,1,0,19,824891,0
0,22057,57,57,8,1,0,26,19652,1
0,3165,36,36,45,2,0,44,1,1
0,528926,68,68,11,1,0,19,526836,1
1,2326,12,12,39,3,1,20,2,0
1,72456,17,17,6,3,1,30,65872,1
1,467386,67,67,11,0,1,42,461438,1
0,98452,49,49,2,1,0,18,96177,1
0,515521,32,32,7,1,0,6,512909,1
1,1251315,40,40,19,3,1,0,1250056,1
1,85207,71,71,4,3,1,13,81746,1
1,31870,56,56,51,3,1,14,22712,1
0,585395,46,46,3,1,0,11,582072,0
0,2053,50,50,33,1,0,8,2,0
1,13747,18,18,18,3,1,31,12191,1
1,6974,53,53,50,3,1,17,1995,1
0,1537,1,1,27,2,0,17,2,1
0,1556,2,2,60,2,0,22,3,1
0,1997,5,5,26,1,0,32,1,0
0,26175,24,24,21,2,0,51,23011,1
1,375450,15,15,23,3,1,33,373273,0
1,11280,8,8,35,3,1,25,2713,1
0,72487,45,45,22,1,0,50,68564,1
0,3322,9,9,36,2,0,48,2,0
0,2309,31,31,32,1,0,29,3,0
0,5982,0,0,59,1,0,13,4234,1
0,4784,27,27,43,1,0,46,3,0
0,1059473,74,74,20,1,0,7,1058121,0
0,2868,25,25,29,1,0,16,1600,1
0,348754,59,59,22,1,0,5,344585,1
0,4686,63,63,54,2,0,36,1,1
0,24031,23,23,28,1,0,9,21731,1
0,478366,55,55,14,1,0,26,476669,1
0,4676,65,65,55,1,0,35,3,0
0,1271,28,28,30,1,0,15,3,0
1,8695,51,51,34,3,1,47,5075,0
0,2498,43,43,48,1,0,23,3,0
1,1119042,64,64,19,3,1,4,1112740,1
0,595601,34,34,12,1,0,4,591036,1
0,78154,48,48,0,1,0,21,73799,1
0,37338,37,37,24,1,0,23,35617,1
0,799963,44,44,9,1,0,21,796517,0
1,576641,69,69,1,3,1,38,572922,0
0,769652,6,6,10,1,0,29,767703,0
0,5803,62,62,53,1,0,28,896,1
0,4720,19,19,42,1,0,3,2,0
0,4039,61,61,52,1,0,10,1,1
0,2312,52,52,49,1,0,34,2,0
0,35785,3,3,8,1,0,26,34078,1
0,5221,30,30,31,1,0,11,2141,1
1,4653,14,14,41,3,1,15,1,0
0,152656,70,70,6,1,0,37,149750,0
0,2190,73,73,58,1,0,13,1,0
0,21673,58,58,24,1,0,24,20189,1
