Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1623870,31,31,43,9,18,1622425,0
0,384182,75,75,14,4,7,382887,0
0,1885991,15,15,28,11,20,1884423,1
1,603942,60,60,25,2,16,602953,1
0,1345315,50,50,28,3,20,1343381,1
0,401051,46,46,1,0,6,400292,0
1,411951,38,38,28,2,15,410611,0
0,802557,79,79,26,16,13,801154,0
1,120630,14,14,48,24,3,119065,0
1,6897,4,4,22,24,25,5479,0
0,183296,63,63,5,19,4,181743,1
0,96204,71,71,7,5,36,95182,1
0,2001175,56,56,17,11,20,1999607,1
0,434782,74,74,33,9,7,433358,0
1,2122182,2,2,14,2,20,2120788,1
0,276965,36,36,13,14,2,276033,1
0,2077637,33,33,38,9,19,2076276,0
1,1662950,13,13,18,2,18,1661937,1
1,190053,62,62,15,2,12,189334,0
0,432759,20,20,9,22,9,431323,0
1,428550,45,45,41,2,6,427162,0
1,2196165,53,53,13,24,19,2194576,1
0,423414,19,19,32,1,9,422794,0
0,488962,26,26,42,1,2,488378,0
1,545819,23,23,25,24,16,544815,0
0,445437,43,43,12,10,20,444157,0
0,649350,3,3,24,9,20,647746,1
0,428424,41,41,53,21,7,427006,0
0,532018,81,81,35,9,6,530630,0
1,17774,66,66,45,2,24,16488,1
1,413826,42,42,27,2,7,412408,0
0,1356346,49,49,28,8,20,1354634,1
1,486119,29,29,16,24,17,484647,1
0,168069,0,0,10,11,5,166519,0
0,406516,40,40,14,9,7,405110,0
1,5338,44,44,23,24,1,4406,1
1,461547,47,47,41,2,6,460189,0
1,21584,9,9,47,2,11,19890,1
0,489416,6,6,42,0,2,489063,0
1,17138,17,17,40,24,21,16128,0
0,375903,7,7,4,6,2,374896,1
0,406809,78,78,19,10,20,405529,0
1,464293,21,21,46,2,9,462872,1
0,21672,11,11,21,0,28,20227,1
1,5370,61,61,45,2,23,3925,0
0,1412200,30,30,11,12,18,1410734,1
1,1111176,69,69,16,24,17,1109698,0
0,1053526,28,28,15,18,20,1052240,1
0,764059,24,24,6,14,16,762650,0
0,10843,64,64,49,0,33,9875,1
0,1876953,34,34,0,21,19,1875676,0
0,161,65,65,37,1,34,3,1
0,4346,58,58,8,20,31,2898,0
0,807440,72,72,34,17,14,806025,0
0,848504,1,1,25,9,19,847224,1
0,916885,37,37,50,0,16,915965,0
1,12708,12,12,51,2,28,11269,1
1,1720929,32,32,2,24,18,1719919,0
0,1673448,16,16,28,6,20,1672462,0
0,229325,57,57,44,21,8,227910,0
0,42175,59,59,45,20,32,40730,0
1,1613551,55,55,23,2,19,1612028,0
0,2133734,54,54,0,1,19,2133172,1
1,6645,68,68,20,2,35,5179,1
1,401095,22,22,3,2,10,399644,0
1,440871,73,73,27,2,7,439477,0
0,129767,80,80,31,15,0,128835,0
0,1142020,52,52,43,23,18,1140743,0
1,377047,76,76,39,2,7,375671,0
0,407538,25,25,29,0,0,407386,1
1,395492,77,77,10,2,7,394080,0
0,56906,8,8,52,19,27,55425,1
0,8854,39,39,54,10,30,7577,0
1,1480218,10,10,55,2,20,1478512,1
0,2350,5,5,7,13,26,965,0
0,3277,18,18,30,21,22,1805,0
1,587224,82,82,16,2,6,585836,0
0,1861827,35,35,11,13,19,1860490,0
0,1206373,51,51,12,0,20,1204937,0
1,385849,48,48,41,2,6,384458,0
1,2009,27,27,36,24,29,930,0
0,1178108,70,70,3,18,17,1176633,0
0,39044,67,67,10,7,35,37485,1
