Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
1,29,3818,116,1,70,2061,0
0,65,497232,53,0,1,497002,4
0,39,1362603,66,1,35,1360342,0
0,4,10034,9,1,44,9492,0
0,50,705460,54,1,24,703286,0
0,16,720,117,1,49,1,0
0,56,560632,57,1,18,560198,0
1,63,160581,125,1,12,159610,0
1,53,2942,36,1,57,882,0
1,5,53693,61,1,29,52560,0
0,67,1058918,107,1,33,1056777,0
0,17,1193345,104,1,31,1191366,0
1,46,590889,94,1,15,588715,0
0,59,2356776,5,1,37,2355799,0
1,38,5081,19,1,11,2874,0
1,26,82404,8,1,38,80149,0
0,45,3053,22,1,51,873,0
1,52,501852,63,1,32,499696,0
0,44,195717,4,1,7,194815,0
1,61,454212,110,1,24,451945,0
1,60,1166328,32,1,34,1164352,0
1,10,114991,84,1,3,114542,0
1,17,161676,78,1,12,160684,0
0,36,2832,56,1,60,619,0
1,31,26356,44,1,58,24182,0
1,18,603844,95,1,15,602780,0
1,2,18169,7,1,16,16115,0
0,58,508321,35,1,2,506186,0
1,9,29015,29,1,55,27780,0
0,1,646319,101,1,13,643902,0
1,61,395040,109,1,24,392911,0
1,62,2179419,98,1,36,2176948,0
0,61,742170,80,1,24,739927,0
0,38,203063,81,1,6,200871,0
1,20,9199,103,1,67,7001,0
0,13,606833,38,1,37,604902,0
0,66,53186,23,1,0,51024,0
0,48,12912,2,0,42,12295,1
1,3,5374,106,1,68,4073,0
1,61,346367,43,1,24,344166,0
0,55,194168,88,1,18,192141,0
0,37,656983,74,1,31,654773,0
1,47,302402,47,0,12,301785,4
1,46,628874,60,1,15,628374,0
0,13,2355697,99,1,37,2354525,0
1,17,141673,126,1,12,140918,0
1,64,38921,64,1,11,36609,0
1,52,356850,24,0,40,356083,4
1,2,246323,70,1,27,244452,0
1,41,258202,87,1,26,255983,0
0,3,802663,62,1,28,801878,0
1,46,628270,39,1,15,627785,0
1,37,1105132,105,1,31,1103840,0
0,32,1157244,30,0,30,1157023,3
0,62,2001346,68,1,36,1998842,0
0,41,122127,119,1,71,120202,0
1,65,32651,28,1,54,31587,0
0,56,576256,1,1,18,575726,0
0,2,13846,11,1,45,12761,0
1,15,69895,3,1,22,67685,0
1,7,292285,128,1,25,290090,0
0,39,479217,79,1,14,477172,0
1,59,967593,58,1,37,965515,0
1,29,18788,27,1,41,16752,0
0,37,1431,21,1,50,1,0
0,33,843337,67,1,23,841178,0
1,11,27802,123,1,73,25553,0
1,53,521,0,0,52,3,4
0,41,149082,120,1,71,147823,0
0,12,630544,12,1,19,630077,0
1,10,85717,41,1,3,84713,0
0,35,2356,6,1,43,188,0
1,14,116089,77,0,2,115388,4
0,20,5373,102,1,66,3175,0
0,12,414917,90,1,19,412986,0
0,18,551038,40,1,15,548948,0
0,30,879776,20,1,26,877512,0
1,41,16562,25,1,26,16113,0
0,39,522056,129,1,14,520707,0
0,55,573072,92,1,18,571858,0
1,48,8796,46,1,4,6766,0
0,18,242101,48,0,17,241769,3
0,50,804175,49,1,24,801998,0
1,22,7341,15,1,46,5542,0
1,62,1092022,122,1,36,1090076,0
0,17,853635,113,1,31,852247,0
1,3,6731,37,1,28,4560,0
0,6,24063,89,1,65,21859,0
1,27,569,76,0,62,3,4
1,17,605835,112,1,31,604711,0
1,24,20468,93,1,5,18309,0
0,29,47761,115,1,70,45575,0
1,59,80858,13,1,37,80019,0
0,42,143770,130,1,8,141896,0
1,19,40865,17,1,22,38190,0
1,6,17708,31,1,56,16425,0
1,34,107570,33,1,10,105642,0
1,49,238993,71,1,25,236726,0
1,23,5239,52,1,59,3059,0
1,51,2117,26,1,53,3,0
1,2,45873,85,1,64,43711,0
0,50,305003,100,1,24,302736,0
0,55,724179,14,1,19,722086,0
1,31,564263,34,1,36,562332,0
0,12,487684,132,1,19,485708,0
1,22,9794,121,1,72,7884,0
0,28,395811,51,1,21,393328,0
0,55,399746,91,1,19,397836,0
0,17,510087,18,1,31,508918,0
0,34,640806,111,1,10,638620,0
0,43,630340,42,1,20,629867,0
1,13,45587,118,1,71,43530,0
0,8,12118,55,1,47,9896,0
1,21,591642,59,0,15,591283,4
0,40,28251,114,1,69,27310,0
1,57,15656,50,1,1,13635,0
0,55,551317,82,1,19,549344,0
0,27,2323,69,1,61,1850,0
0,16,17469,86,1,48,15220,0
0,23,2747,83,1,63,2046,0
1,48,1525088,97,1,35,1523784,0
0,39,1220025,96,1,35,1218841,0
1,59,1560715,16,1,37,1558235,0
1,17,8315,10,1,31,7779,0
0,7,415880,45,1,25,413892,0
1,0,352533,108,0,39,352018,4
0,60,429,127,1,74,1,0
0,41,461012,73,0,10,460530,3
1,7,216636,72,1,25,214564,0
1,62,61722,124,1,36,61057,0
0,54,111044,131,1,9,109113,0
0,25,875271,75,0,31,874933,2
0,39,1428134,65,1,35,1426182,0
