Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,29,3818,116,1,70,2061,0,1
0,67,497232,50,0,1,497002,4,0
1,39,1362603,63,1,35,1360342,0,0
1,4,10034,10,1,44,9492,0,0
1,50,553680,110,1,24,551527,0,1
1,16,720,117,1,49,1,0,0
0,63,551749,31,0,18,551012,4,0
1,64,160581,125,1,12,159610,0,1
1,53,2942,34,1,57,882,0,1
1,3,802663,59,1,29,801878,0,0
1,52,501852,60,1,33,499696,0,1
1,37,1105132,105,1,32,1103840,0,1
1,46,590889,94,1,15,588715,0,1
1,59,2356776,6,1,37,2355799,0,0
1,38,5081,18,1,11,2874,0,1
1,26,82404,9,1,38,80149,0,1
1,45,3053,21,1,51,873,0,0
1,17,1193345,104,1,32,1191366,0,0
1,44,195717,5,1,7,194815,0,0
1,61,395040,109,1,24,392911,0,1
1,69,1058918,107,1,34,1056777,0,0
1,10,114991,83,1,3,114542,0,1
1,17,161676,76,1,12,160684,0,1
1,36,2832,53,1,60,619,0,0
1,31,26356,42,1,58,24182,0,1
1,18,603844,95,1,15,602780,0,1
1,2,18169,8,1,16,16115,0,1
1,58,508321,33,1,2,506186,0,0
1,9,29015,27,1,55,27780,0,1
1,1,646319,101,1,13,643902,0,0
1,61,346367,41,1,24,344166,0,1
1,62,2179419,98,1,36,2176948,0,1
1,50,705460,51,1,24,703286,0,0
1,38,203063,79,1,6,200871,0,0
1,20,9199,103,1,67,7001,0,1
1,13,606833,36,1,37,604902,0,0
1,68,53186,22,1,0,51024,0,0
0,48,12912,3,0,42,12295,1,0
1,3,5374,106,1,68,4073,0,1
1,50,305003,100,1,24,302736,0,0
1,55,194168,87,1,18,192141,0,0
1,17,605835,112,1,32,604711,0,1
0,47,302402,44,0,12,301785,4,1
1,46,628874,57,1,15,628374,0,1
1,13,2355697,99,1,37,2354525,0,0
1,17,141673,126,1,12,140918,0,1
1,66,38921,61,1,11,36609,0,1
0,52,356850,23,0,40,356083,4,1
1,30,879776,19,1,27,877512,0,0
1,41,229342,91,1,27,227192,0,1
1,3,6731,35,1,29,4560,0,1
1,46,628270,37,1,15,627785,0,1
0,25,875271,71,0,32,874933,2,0
1,5,53693,58,1,30,52560,0,1
1,62,2001346,65,1,36,1998842,0,0
1,41,122127,119,1,71,120202,0,0
1,67,32651,26,1,54,31587,0,1
1,55,573072,92,1,18,571858,0,0
1,2,13846,12,1,45,12761,0,0
1,19,64228,74,1,22,62066,0,1
1,49,238993,67,1,25,236726,0,1
1,39,479217,77,1,14,477172,0,0
1,59,967593,55,1,37,965515,0,1
1,29,18788,25,1,41,16752,0,1
1,37,1431,20,1,50,1,0,0
1,15,69895,4,1,22,67685,0,1
1,11,27802,123,1,73,25553,0,1
0,53,521,0,0,52,3,4,1
1,41,149082,120,1,71,147823,0,0
1,55,551317,81,1,19,549344,0,0
1,10,85717,39,1,3,84713,0,1
1,35,2356,7,1,43,188,0,0
0,14,116089,75,0,2,115388,4,1
1,20,5373,102,1,66,3175,0,0
1,55,399746,90,1,19,397836,0,0
1,18,551038,38,1,15,548948,0,0
1,41,258202,86,1,27,255983,0,1
1,54,7513,2,1,26,7115,0,1
1,39,522056,129,1,14,520707,0,0
1,56,560632,54,1,18,560198,0,0
1,48,8796,43,1,4,6766,0,1
0,18,242101,45,0,17,241769,3,0
1,61,742170,78,1,24,739927,0,0
1,22,7341,15,1,46,5542,0,1
1,62,1092022,122,1,36,1090076,0,1
1,37,656983,70,1,32,654773,0,0
1,65,29812,132,1,28,28472,0,1
1,6,24063,88,1,65,21859,0,0
0,27,569,73,0,62,3,4,1
1,17,510087,17,1,32,508918,0,0
1,24,20468,93,1,5,18309,0,1
1,29,47761,115,1,70,45575,0,0
1,59,80858,14,1,37,80019,0,1
1,42,143770,130,1,8,141896,0,0
1,28,395811,48,1,21,393328,0,0
1,6,17708,29,1,56,16425,0,1
1,34,107570,30,1,10,105642,0,1
1,7,216636,68,1,25,214564,0,1
1,23,5239,49,1,59,3059,0,1
1,51,2117,24,1,53,3,0,1
1,2,45873,84,1,64,43711,0,1
1,33,843337,64,1,23,841178,0,0
1,12,630544,13,1,19,630077,0,0
1,31,564263,32,1,36,562332,0,1
1,12,414917,89,1,19,412986,0,0
1,22,9794,121,1,72,7884,0,1
1,43,630340,40,1,20,629867,0,0
1,56,576256,1,1,18,575726,0,0
1,17,8315,11,1,32,7779,0,1
1,34,640806,111,1,10,638620,0,0
1,12,808511,72,1,19,806334,0,0
1,13,45587,118,1,71,43530,0,1
1,8,12118,52,1,47,9896,0,0
0,21,591642,56,0,15,591283,4,1
1,40,28251,114,1,69,27310,0,0
1,57,15656,47,1,1,13635,0,1
1,12,495949,80,1,19,493973,0,0
1,27,2323,66,1,61,1850,0,0
1,16,17469,85,1,48,15220,0,0
1,23,2747,82,1,63,2046,0,0
1,48,1525088,97,1,35,1523784,0,1
1,39,1220025,96,1,35,1218841,0,0
1,59,1560715,16,1,37,1558235,0,1
0,32,1157244,28,0,31,1157023,3,0
1,7,292285,128,1,25,290090,0,1
0,0,352533,108,0,39,352018,4,1
1,60,429,127,1,74,1,0,0
0,41,461012,69,0,10,460530,3,0
1,50,804175,46,1,24,801998,0,0
1,62,61722,124,1,36,61057,0,1
1,54,111044,131,1,9,109113,0,0
1,17,853635,113,1,32,852247,0,0
1,39,1428134,62,1,35,1426182,0,0
