Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,36,435022,85,85,14,434327,1
1,9,905931,43,43,8,905182,0
1,20,570089,27,27,8,569511,0
1,0,435780,39,39,9,435106,0
1,37,1654501,41,41,12,1653854,1
1,34,755,54,54,18,93,0
1,6,605502,68,68,5,604933,1
1,28,1565614,1,1,12,1565111,1
1,31,37689,21,21,24,37021,0
1,8,4852,24,24,25,4175,1
1,28,509037,87,87,2,508240,0
1,0,1091842,80,80,9,1091081,0
1,13,624606,14,14,13,623983,0
0,3,1204819,53,53,14,1204091,0
1,20,1064488,67,67,8,1063814,0
1,25,1153891,10,10,11,1153361,0
0,23,226568,59,59,1,225903,0
0,38,1728460,2,2,12,1728161,0
1,13,2105453,22,22,13,2104848,1
1,0,179239,37,37,10,178622,1
1,0,1142124,78,78,9,1141357,0
1,15,430900,26,26,6,430274,0
1,0,23414,75,75,36,22770,1
1,0,1104782,82,82,9,1104102,0
1,36,743660,16,16,14,742947,1
0,30,487905,31,31,1,487330,0
1,37,1560119,61,61,12,1559271,1
1,1,674303,17,17,14,673725,0
1,4,59496,23,23,15,58780,0
1,33,947466,44,44,8,947014,1
1,9,458055,69,69,8,457426,1
1,16,4340,20,20,23,3579,0
1,18,16318,35,35,28,15653,0
1,20,829209,73,73,8,828511,0
0,13,388745,86,86,2,388080,1
1,22,28212,64,64,34,27637,0
1,37,1690792,3,3,12,1690151,1
1,27,547641,33,33,3,547144,1
1,24,9043,55,55,18,8369,0
1,33,738855,28,28,8,738181,0
1,0,590414,57,57,0,589821,1
1,5,136301,83,83,7,135930,0
1,0,1192387,81,81,9,1191707,0
1,12,8575,11,11,21,7376,1
0,23,430064,7,7,1,429414,1
1,26,18257,76,76,37,17595,1
1,10,7133,46,46,30,6462,0
1,17,17466,30,30,26,16792,0
1,37,1732531,56,56,12,1731896,0
1,37,1702393,4,4,12,1701380,1
1,35,7796,51,51,32,7137,0
1,28,1607447,40,40,12,1606965,1
1,5,71817,9,9,20,71311,0
1,31,1682099,6,6,13,1681482,0
1,2,11162,77,77,38,10509,0
1,22,20358,63,63,34,19783,1
1,37,1507852,60,60,12,1507205,1
1,13,840636,5,5,13,840031,1
1,28,1661430,19,19,12,1660327,1
1,21,9429,45,45,29,8836,0
1,31,696859,34,34,13,696377,0
1,13,2529,29,29,17,1873,1
1,0,478865,38,38,9,478194,1
1,19,4297,74,74,35,3704,1
1,13,974933,47,47,13,974307,0
1,31,2154696,62,62,13,2154196,0
1,23,5579,84,84,39,4953,1
1,0,1172053,79,79,9,1171373,0
1,20,1154177,66,66,8,1153497,1
1,16,25270,49,49,31,24593,0
1,12,468982,18,18,0,468374,0
1,37,1728056,36,36,12,1727928,0
1,20,490761,71,71,8,490084,0
1,0,524975,58,58,0,524382,1
1,33,587573,72,72,8,586902,0
1,11,3403,13,13,22,2810,0
1,7,5600,52,52,33,4947,1
1,14,40393,25,25,16,39713,0
1,12,17274,12,12,21,16765,1
1,32,10604,8,8,19,9996,0
1,29,1266,0,0,40,595,0
1,33,475933,70,70,8,475256,0
1,13,989314,48,48,13,988862,0
1,36,1528548,15,15,14,1527883,0
1,22,472195,50,50,4,471323,1
1,7,4574,32,32,27,3870,0
0,17,1721960,42,42,12,1721430,0
1,22,68829,65,65,34,68515,1
