Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,38827,225,225,25,1,25,35924,3,1
1,0,4679,183,183,134,1,185,1893,3,0
0,0,9869,53,53,58,0,139,8244,0,1
1,0,825842,310,310,40,1,69,823350,3,0
0,0,502030,130,130,0,0,140,499289,0,0
1,0,79193,77,77,3,1,97,76656,3,1
1,0,2449,0,0,152,1,143,11,3,0
0,0,7010,291,291,148,0,142,4233,0,1
0,0,66235,247,247,41,0,166,64469,0,1
1,0,21822,317,317,13,1,27,18838,3,1
1,0,3014,94,94,66,1,83,228,3,1
0,0,77950,17,17,24,0,5,74987,0,1
1,0,510295,141,141,27,1,4,507728,3,1
1,0,847503,311,311,40,1,69,845194,3,0
1,0,6673,232,232,139,1,92,3815,3,0
1,0,181574,314,314,30,1,10,180063,3,1
1,0,625252,228,228,28,1,37,622190,3,0
1,0,981807,277,277,52,1,121,979324,3,1
1,0,16715,186,186,46,1,138,14439,3,1
1,0,2940,212,212,136,1,155,73,3,1
0,0,8383,219,219,137,0,20,7271,0,0
1,0,2351295,264,264,58,1,133,2348338,3,0
1,0,13435,271,271,144,1,174,10745,3,0
0,0,86361,188,188,15,0,163,83876,0,1
1,0,225780,78,78,27,1,4,223900,3,0
1,0,578138,99,99,27,1,4,576360,3,0
1,0,504140,267,267,2,1,28,500865,3,0
1,0,636457,213,213,13,1,27,635763,3,0
1,0,847195,163,163,35,1,1,845501,3,0
1,0,492362,27,27,1,1,168,490971,3,0
1,0,236472,223,223,3,1,46,233641,3,0
0,0,779582,203,203,31,0,139,776703,0,0
1,0,7188,124,124,121,1,110,4384,3,0
1,0,8831,110,110,119,1,111,6234,3,1
0,0,650247,101,101,27,0,51,648161,0,0
1,0,984,304,304,151,1,108,31,3,0
1,0,1094,23,23,75,1,107,159,3,1
0,0,24358,272,272,144,0,134,21590,0,0
0,0,1225,52,52,79,0,90,1,0,1
1,0,628999,143,143,12,1,124,626735,3,0
1,0,13990,115,115,16,1,12,11384,3,1
1,0,28068,64,64,67,1,135,25282,3,1
1,0,3158,254,254,93,1,67,408,3,1
1,0,2327020,263,263,58,1,133,2324351,3,0
0,0,9939,56,56,102,0,30,8926,0,0
0,0,65081,83,83,25,0,24,62292,0,1
1,0,9052,246,246,142,1,15,7148,3,1
0,2,805554,313,313,40,0,180,804478,0,0
0,0,782600,204,204,31,0,94,781197,0,0
1,0,3790,210,210,89,1,86,806,3,0
1,0,1573917,166,166,58,1,133,1571158,3,0
0,0,1995400,174,174,56,0,9,1993454,0,0
0,0,794113,242,242,33,0,25,793295,1,0
1,0,644271,97,97,58,1,14,641242,3,1
0,0,56433,248,248,41,0,166,54619,1,1
1,0,654938,252,252,27,1,91,652152,3,0
1,0,1032018,49,49,44,1,178,1029001,3,0
0,0,1140600,196,196,46,0,40,1138639,0,0
1,0,411506,58,58,33,1,175,408474,3,0
1,0,924785,236,236,57,1,125,922281,3,1
0,0,1204,126,126,87,0,84,2,0,0
0,0,8397,15,15,9,0,109,5578,0,1
0,0,764760,202,202,31,0,7,762982,0,0
1,0,976,20,20,74,1,148,2,3,1
1,0,587182,273,273,37,1,105,584897,3,1
1,0,3258,40,40,77,1,6,436,3,0
1,0,6116,57,57,103,1,181,4224,3,1
0,0,606712,237,237,12,0,13,603989,0,0
1,0,21218,241,241,26,1,73,18921,3,1
0,0,2501,82,82,38,0,137,102,1,1
1,0,7457,214,214,41,1,160,4911,3,1
0,0,490870,45,45,1,0,54,489493,0,0
1,0,4777,18,18,70,1,171,2027,3,1
0,0,26225,206,206,65,0,76,24447,0,1
1,0,22430,44,44,34,1,74,19944,3,1
1,0,15107,262,262,2,1,162,12237,3,1
1,0,41742,307,307,44,1,167,39727,3,1
0,0,663320,258,258,24,0,129,660522,0,0
0,0,58458,114,114,16,0,25,55432,0,1
1,0,486237,24,24,47,1,18,483109,3,0
1,0,353345,138,138,58,1,14,350952,3,0
1,0,16574,222,222,138,1,139,14088,3,1
0,0,3713,283,283,97,0,158,2106,1,0
1,0,44770,25,25,50,1,14,42977,3,1
0,0,3597,234,234,140,0,2,1834,0,0
1,0,5794,135,135,123,1,103,3014,3,0
0,1,655728,168,168,18,0,0,653962,0,0
0,0,33262,308,308,44,0,134,31331,0,1
0,0,791878,121,121,37,0,55,790079,0,0
1,0,760085,243,243,33,1,175,757590,3,0
0,0,1852491,173,173,54,0,127,1847980,0,0
1,0,130785,104,104,20,1,178,128263,3,0
1,0,122539,190,190,14,1,77,120197,3,1
0,0,594892,226,226,28,0,119,591674,0,0
0,0,571445,198,198,21,0,53,567813,0,0
1,0,690966,179,179,32,1,113,687994,3,0
1,0,9553,113,113,85,1,29,7784,3,0
1,0,582823,21,21,21,1,75,581135,3,0
0,0,67475,296,296,56,0,179,65139,0,1
1,0,25743,230,230,14,1,77,24748,3,1
1,0,71114,195,195,4,1,108,69705,3,1
0,0,103187,323,323,9,0,120,101616,1,0
0,0,702008,180,180,32,0,61,700188,0,0
1,0,585311,227,227,28,1,16,582390,3,0
1,0,2350211,167,167,59,1,85,2347587,3,0
1,0,491613,133,133,41,1,130,488857,3,1
1,0,12191,231,231,14,1,19,9909,3,1
1,0,1182,91,91,115,1,115,1,3,1
1,0,59561,140,140,50,1,122,57681,3,1
0,0,14595,65,65,67,0,156,12280,0,1
1,0,9360,255,255,94,1,47,6577,3,0
0,0,1434052,154,154,52,0,149,1432280,0,0
1,0,29749,161,161,29,1,82,26915,3,1
1,0,430057,185,185,33,1,175,427406,3,0
1,0,14455,89,89,113,1,57,11690,3,0
0,0,30562,278,278,18,0,162,28739,1,1
0,0,4524,240,240,141,0,2,2574,0,0
0,0,4216,132,132,47,0,59,1460,0,1
0,0,19758,184,184,135,0,86,17038,0,0
0,0,47207,80,80,112,0,99,45534,0,1
0,0,36437,102,102,117,0,164,35517,0,1
1,0,5595,68,68,107,1,38,2761,3,1
1,0,912033,72,72,41,1,136,909235,3,0
1,0,2693,280,280,96,1,71,396,3,0
0,0,4036,63,63,67,0,107,1289,0,1
1,0,93761,71,71,65,1,58,90201,3,1
1,0,11733,73,73,82,1,59,9154,3,0
1,0,706189,14,14,29,1,44,704129,3,0
0,0,120500,322,322,9,0,150,118605,0,0
1,0,26060,259,259,2,1,162,23298,3,1
1,0,351197,217,217,62,1,116,348939,3,0
0,0,8589,29,29,42,0,156,6541,0,1
0,0,1385359,153,153,52,0,66,1383590,0,0
1,0,688837,87,87,26,1,8,685982,3,0
0,0,54516,93,93,41,0,166,53479,0,1
0,0,1739,12,12,72,0,26,3,1,1
0,0,201879,299,299,61,0,130,200095,0,0
1,0,670094,37,37,59,1,85,667467,3,0
1,0,628364,100,100,27,1,91,625434,3,0
0,0,3779,182,182,133,0,161,1517,0,0
0,0,64637,150,150,65,0,16,62859,0,1
1,0,4799,270,270,144,1,52,2103,3,0
1,0,7313,235,235,140,1,108,4734,3,0
0,0,19476,159,159,128,0,152,17815,0,1
1,0,7957,142,142,126,1,176,5381,3,0
1,0,829858,119,119,37,1,22,827087,3,0
1,0,2071578,164,164,58,1,14,2068987,3,0
1,0,411543,244,244,31,1,100,408877,3,0
1,0,848494,162,162,35,1,1,847454,3,0
1,0,8756,145,145,45,1,170,5919,3,1
0,0,169188,306,306,44,0,17,166855,0,1
1,0,16396,294,294,149,1,177,13598,3,0
1,0,492103,129,129,0,1,81,489575,3,0
1,0,14953,302,302,53,1,11,12005,3,1
0,0,427483,287,287,46,0,39,425420,0,0
1,0,570499,251,251,27,1,91,567725,3,0
1,0,3857,103,103,118,1,182,1095,3,1
1,0,68621,191,191,57,1,88,67503,3,1
1,0,245943,61,61,4,1,108,244298,3,0
1,0,556405,239,239,28,1,37,554000,3,1
0,0,9141,220,220,137,0,64,8410,0,0
1,0,873816,171,171,52,1,156,871123,3,0
1,0,14712,221,221,91,1,175,11650,3,0
1,0,2360044,13,13,59,1,151,2358530,3,0
1,0,11256,253,253,92,1,169,8914,3,1
1,0,7825,90,90,114,1,132,5795,3,0
0,0,1137976,136,136,57,0,157,1133828,0,0
1,0,96498,208,208,29,1,82,94816,3,1
1,0,83774,187,187,15,1,112,82602,3,1
0,0,1981,297,297,99,0,39,2,0,0
1,0,483389,320,320,5,1,141,481422,3,0
0,0,85945,309,309,16,0,179,83153,0,1
0,0,21702,59,59,104,0,67,18811,0,0
0,0,22871,4,4,25,0,63,21810,0,1
1,0,5339,51,51,101,1,61,2904,3,1
0,0,728090,36,36,30,0,107,725151,0,0
1,0,3210,22,22,73,1,89,616,3,1
0,0,258722,218,218,9,0,120,256827,0,0
0,0,10587,181,181,132,0,50,8119,0,1
1,0,145152,315,315,13,1,27,142906,3,1
1,0,572075,300,300,17,1,104,569139,3,0
0,0,2028848,178,178,56,0,147,2027736,2,0
1,0,33122,281,281,42,1,48,30594,3,1
1,0,690828,274,274,37,1,22,688522,3,0
0,0,45706,260,260,2,0,138,43370,0,1
1,0,588116,3,3,8,1,13,586977,3,0
0,0,4613,117,117,5,0,144,1626,0,1
0,0,12865,289,289,39,0,183,9965,0,1
1,0,4342,81,81,32,1,113,1385,3,1
1,0,15683,256,256,95,1,172,12888,3,0
1,0,378832,38,38,63,1,119,376718,3,0
0,0,25602,134,134,51,0,136,22921,0,1
0,0,563158,321,321,21,0,96,560651,0,0
0,0,467624,170,170,11,0,68,464685,0,0
0,0,2010044,11,11,56,0,156,2009265,2,0
0,0,4567,55,55,80,0,160,1604,0,0
1,0,24449,112,112,85,1,29,21516,3,0
1,0,33240,54,54,41,1,130,30436,3,1
1,0,197559,193,193,9,1,43,195199,3,1
0,0,955,155,155,88,0,34,2,1,1
0,0,447897,285,285,46,0,118,446350,1,0
0,0,61849,46,46,65,0,16,60071,0,1
1,0,1721524,41,41,58,1,14,1718519,3,1
1,0,21022,62,62,105,1,115,18272,3,1
1,0,517997,131,131,0,1,81,514713,3,0
1,0,1984663,165,165,58,1,133,1981777,3,0
1,0,4543,137,137,124,1,8,1706,3,1
1,0,16034,125,125,24,1,93,13233,3,0
1,0,1133115,269,269,52,1,146,1130755,3,1
0,0,1973,1,1,154,0,56,3,1,1
1,0,1174681,75,75,48,1,35,1172813,3,0
0,0,3158,6,6,40,0,106,342,0,1
1,0,648458,160,160,22,1,146,645735,3,0
0,0,31215,301,301,68,0,65,30121,1,1
0,0,1171911,147,147,49,0,153,1168945,0,0
0,0,2772,318,318,13,0,3,301,0,1
1,0,265804,201,201,10,1,19,263906,3,0
0,0,496864,169,169,6,0,5,494066,0,0
1,0,1709527,107,107,59,1,151,1707056,3,1
1,0,29971,144,144,45,1,124,27197,3,1
1,0,5025,157,157,127,1,31,2677,3,1
1,0,474181,192,192,4,1,108,471830,3,0
0,0,20670,139,139,125,0,119,18052,0,1
0,0,1430611,98,98,52,0,83,1429409,1,0
1,0,2149200,265,265,58,1,133,2146741,3,0
1,0,30617,149,149,66,1,109,28410,3,1
0,0,750304,209,209,37,0,183,747923,0,0
1,0,10460,76,76,111,1,2,8049,3,1
1,0,754760,205,205,31,1,100,752910,3,0
1,0,6217,319,319,13,1,98,3602,3,1
1,0,396132,245,245,31,1,6,393928,3,0
1,0,128705,207,207,29,1,82,127131,3,1
1,0,496021,26,26,1,1,186,493463,3,0
1,0,56619,316,316,13,1,27,53854,3,1
0,0,4421,31,31,76,0,173,3684,0,1
0,0,117865,211,211,2,0,103,115973,0,1
0,0,6529,156,156,36,0,95,4547,0,1
1,0,174847,194,194,9,1,22,172793,3,1
1,0,8963,176,176,131,1,4,6399,3,1
0,0,6840,284,284,146,0,166,3826,0,0
1,0,1175229,146,146,49,1,60,1172704,3,0
1,0,110366,249,249,64,1,142,107442,3,1
1,0,7278,95,95,116,1,41,4399,3,0
1,0,22938,85,85,56,1,165,21226,3,1
1,0,1130391,197,197,46,1,138,1127446,3,0
1,0,11829,32,32,48,1,35,8980,3,1
1,0,1443,19,19,71,1,49,1,3,1
0,0,7112,282,282,145,0,99,4374,0,1
1,0,1008775,189,189,58,1,14,1006142,3,0
1,0,7245,290,290,147,1,80,4687,3,1
1,0,12451,175,175,130,1,81,9695,3,1
0,0,2274,50,50,78,0,68,1,0,0
1,0,2194888,106,106,59,1,85,2192474,3,1
1,0,905310,39,39,45,1,124,902803,3,0
0,0,729858,200,200,37,0,183,727477,0,0
1,0,214887,305,305,9,1,43,212992,3,0
0,0,34372,2,2,50,0,153,33320,0,1
0,0,38223,30,30,43,0,112,36197,0,1
1,0,18751,109,109,84,1,78,16475,3,1
1,0,2120212,105,105,58,1,133,2117660,3,0
1,0,3783,84,84,25,1,25,1453,3,1
1,0,596370,276,276,11,1,123,593812,3,0
1,0,19819,122,122,0,1,81,16985,3,1
0,0,392186,224,224,11,0,8,389424,0,0
0,0,36463,116,116,16,0,114,33455,0,1
1,0,439193,286,286,46,1,138,435576,3,0
0,0,598524,92,92,7,0,107,596251,1,0
0,0,17724,293,293,59,0,184,14986,1,1
1,0,107280,48,48,19,1,33,104554,3,0
1,0,2892,67,67,106,1,128,97,3,0
0,0,478312,10,10,11,0,21,477440,0,0
1,0,46833,74,74,110,1,32,44356,3,0
1,0,342240,152,152,59,1,151,339421,3,1
1,0,2020967,177,177,56,1,158,2018517,3,0
1,0,68416,261,261,2,1,28,66416,3,1
1,0,4460,127,127,87,1,95,2295,3,0
0,0,553364,250,250,18,0,51,550602,0,0
1,0,201254,158,158,60,1,110,198909,3,0
0,0,851849,120,120,37,0,87,849015,0,0
1,0,3538,292,292,98,1,62,857,3,1
1,0,12394,303,303,150,1,150,9605,3,0
0,0,748745,35,35,30,0,90,745776,0,0
1,0,14564,60,60,81,1,131,12819,3,1
0,0,39476,268,268,143,0,186,36720,0,1
1,0,13956,215,215,90,1,102,10954,3,0
1,0,58311,298,298,57,1,125,56848,3,1
0,0,645301,275,275,11,0,8,642806,0,0
1,0,5678,128,128,122,1,5,4257,3,1
1,0,458839,16,16,11,1,159,457553,3,0
0,0,811998,312,312,40,0,45,810235,0,0
1,0,26744,325,325,43,1,23,24147,3,1
0,0,968,8,8,153,0,158,3,0,0
1,0,905988,96,96,42,1,48,903148,3,0
1,0,9121,288,288,39,1,117,6152,3,1
1,0,582104,238,238,12,1,8,579438,3,0
1,0,79885,229,229,11,1,123,77750,3,1
1,0,2982,70,70,109,1,154,445,3,1
0,0,169312,66,66,55,0,79,166550,0,0
1,0,1113039,295,295,58,1,14,1110685,3,1
0,0,531490,33,33,3,0,42,528650,0,0
0,0,4734,123,123,86,0,26,2191,0,0
1,0,710712,199,199,37,1,105,708220,3,0
0,0,367390,216,216,62,0,101,364778,1,0
1,0,56555,324,324,43,1,23,54387,3,1
0,0,18183,233,233,139,0,89,15433,0,0
1,0,4073,5,5,69,1,38,1218,3,0
1,0,15577,69,69,108,1,50,12521,3,1
1,0,2028531,266,266,58,1,133,2025571,3,0
1,0,27589,108,108,83,1,126,25172,3,0
0,0,4119,43,43,34,0,145,967,0,1
1,0,27235,148,148,30,1,138,24623,3,1
1,0,783456,79,79,34,1,74,780772,3,0
0,0,11142,111,111,120,0,77,8839,0,1
