Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,0,65081,85,85,21,0,23,62292,0,1
1,0,4679,183,183,131,1,184,1893,3,0
1,0,308397,303,303,55,1,13,305485,3,0
1,0,847503,312,312,36,1,68,845194,3,0
0,0,502030,130,130,0,0,137,499289,0,0
1,0,79193,78,78,3,1,94,76656,3,1
1,0,2449,0,0,149,1,140,11,3,0
0,0,7010,291,291,145,0,139,4233,0,1
1,0,491613,133,133,37,1,128,488857,3,1
1,0,56619,316,316,11,1,26,53854,3,1
1,0,3014,94,94,63,1,82,228,3,1
1,0,639965,257,257,20,1,91,637563,3,0
1,0,570499,250,250,23,1,89,567725,3,0
1,0,7457,211,211,37,1,157,4911,3,1
1,0,6673,231,231,136,1,90,3815,3,0
0,0,716265,35,35,26,0,105,713932,0,0
1,0,29749,160,160,25,1,81,26915,3,1
1,0,1133115,271,271,49,1,143,1130755,3,1
1,0,60671,175,175,43,1,135,58218,3,1
1,0,2940,209,209,133,1,152,73,3,1
0,0,8383,217,217,134,0,19,7271,0,0
0,0,17724,293,293,56,0,182,14986,1,1
1,0,13435,273,273,141,1,172,10745,3,0
0,0,359419,72,72,13,0,161,357746,0,0
1,0,510295,140,140,23,1,4,507728,3,1
1,0,628364,99,99,23,1,89,625434,3,0
1,0,504140,268,268,2,1,27,500865,3,0
1,0,12191,230,230,12,1,18,9909,3,1
1,0,848494,161,161,31,1,1,847454,3,0
1,0,492362,28,28,1,1,166,490971,3,0
1,0,236472,221,221,3,1,45,233641,3,0
0,0,782600,203,203,27,0,92,781197,0,0
1,0,7188,124,124,118,1,108,4384,3,0
1,0,8831,110,110,116,1,109,6234,3,1
1,0,654938,251,251,23,1,89,652152,3,0
1,0,984,305,305,148,1,106,31,3,0
1,0,1094,24,24,72,1,105,159,3,1
0,0,24358,274,274,141,0,132,21590,0,0
0,0,1225,52,52,76,0,88,1,0,1
0,0,2772,318,318,11,0,3,301,0,1
0,0,36463,115,115,14,0,112,33455,0,1
1,0,28068,63,63,64,1,133,25282,3,1
1,0,3158,253,253,90,1,66,408,3,1
1,0,2351295,265,265,55,1,131,2348338,3,0
0,0,9939,56,56,99,0,29,8926,0,0
1,0,10214,240,240,22,1,74,7875,3,1
1,0,9052,245,245,139,1,14,7148,3,1
0,0,811998,313,313,36,0,44,810235,0,0
1,0,4342,83,83,28,1,111,1385,3,1
1,0,3790,207,207,86,1,85,806,3,0
1,0,1721524,40,40,55,1,13,1718519,3,1
0,0,2010044,11,11,53,0,153,2009265,2,0
0,0,4119,42,42,30,0,142,967,0,1
1,0,1008775,188,188,55,1,13,1006142,3,0
0,0,66235,246,246,37,0,164,64469,0,1
1,0,556405,238,238,24,1,35,554000,3,1
1,0,8756,144,144,42,1,168,5919,3,1
0,0,4216,132,132,44,0,59,1460,0,1
1,0,430057,185,185,29,1,173,427406,3,0
0,0,1137976,136,136,54,0,154,1133828,0,0
0,0,1204,126,126,84,0,83,2,0,0
0,0,103187,322,322,8,0,118,101616,1,0
0,0,779582,202,202,27,0,136,776703,0,0
1,0,976,21,21,71,1,145,2,3,1
1,0,690828,275,275,33,1,21,688522,3,0
1,0,3258,39,39,74,1,6,436,3,0
1,0,6116,57,57,100,1,179,4224,3,1
1,0,628999,142,142,10,1,122,626735,3,0
1,0,688837,88,88,22,1,8,685982,3,0
1,0,9121,288,288,35,1,115,6152,3,1
1,0,33240,54,54,37,1,128,30436,3,1
0,0,490870,46,46,1,0,53,489493,0,0
1,0,4777,19,19,67,1,169,2027,3,1
0,0,26225,204,204,62,0,75,24447,0,1
1,0,783456,81,81,30,1,72,780772,3,0
1,0,15107,263,263,2,1,160,12237,3,1
0,0,169188,307,307,41,0,16,166855,0,1
1,0,683526,258,258,20,1,35,681076,3,0
1,0,63873,309,309,14,1,11,60922,3,1
0,0,1185502,68,68,44,0,59,1183688,0,0
1,0,644271,97,97,55,1,13,641242,3,1
1,0,16574,220,220,135,1,136,14088,3,1
0,0,3713,284,284,94,0,155,2106,1,0
1,0,59561,139,139,47,1,120,57681,3,1
0,0,3597,233,233,137,0,2,1834,0,0
1,0,5794,135,135,120,1,101,3014,3,0
1,0,665511,167,167,15,1,90,663544,3,0
1,0,41742,308,308,41,1,165,39727,3,1
1,0,829858,119,119,33,1,21,827087,3,0
0,0,794113,241,241,29,0,24,793295,1,0
0,0,169312,65,65,52,0,78,166550,0,0
1,0,471708,197,197,17,1,73,469507,3,0
1,0,144749,117,117,12,1,76,141924,3,1
1,0,625252,227,227,24,1,35,622190,3,0
1,0,582823,22,22,17,1,73,581135,3,0
0,0,702008,179,179,28,0,61,700188,0,0
1,0,9553,113,113,82,1,28,7784,3,0
1,0,648458,158,158,18,1,143,645735,3,0
0,0,1917064,172,172,53,0,153,1914173,0,1
1,0,122539,189,189,12,1,76,120197,3,1
1,0,84540,306,306,4,1,115,82828,3,1
0,0,120500,321,321,8,0,147,118605,0,0
1,0,411506,58,58,29,1,173,408474,3,0
0,0,594892,225,225,24,0,117,591674,0,0
1,0,2350211,165,165,56,1,84,2347587,3,0
1,0,912033,73,73,37,1,134,909235,3,0
1,0,25743,229,229,12,1,76,24748,3,1
1,0,1182,92,92,112,1,113,1,3,1
0,0,4231,134,134,48,0,58,1391,0,1
0,0,14595,64,64,64,0,153,12280,0,1
1,0,9360,254,254,91,1,46,6577,3,0
1,0,14953,302,302,50,1,10,12005,3,1
1,0,88710,159,159,25,1,43,87850,0,1
1,0,760085,242,242,29,1,173,757590,3,0
1,0,14455,90,90,110,1,57,11690,3,0
1,0,106204,280,280,15,1,152,104012,4,1
0,0,4524,239,239,138,0,2,2574,0,0
1,0,486237,25,25,44,1,17,483109,3,0
0,0,19758,184,184,132,0,85,17038,0,0
0,0,47207,82,82,109,0,97,45534,0,1
0,0,36437,101,101,114,0,162,35517,0,1
1,0,5595,67,67,104,1,37,2761,3,1
1,0,931453,223,223,37,1,134,928565,3,0
1,0,2693,281,281,93,1,70,396,3,0
0,0,4036,62,62,64,0,105,1289,0,1
1,0,93761,71,71,62,1,58,90201,3,1
1,0,11733,74,74,79,1,59,9154,3,0
1,0,27235,147,147,26,1,135,24623,3,1
0,0,166461,192,192,8,0,103,164566,0,1
1,0,26060,260,260,2,1,160,23298,3,1
1,0,351197,214,214,59,1,114,348939,3,0
1,0,33122,282,282,38,1,47,30594,3,1
1,0,1425113,14,14,49,1,143,1422420,3,0
1,0,225780,79,79,23,1,4,223900,3,0
0,0,56433,247,247,37,0,164,54619,1,1
0,0,1739,12,12,69,0,25,3,1,1
0,0,201879,300,300,58,0,128,200095,0,0
1,0,1320804,150,150,56,1,84,1318300,3,0
0,0,650247,100,100,23,0,50,648161,0,0
0,0,3779,182,182,130,0,159,1517,0,0
0,0,64637,149,149,62,0,15,62859,0,1
1,0,4799,272,272,141,1,51,2103,3,0
1,0,7313,234,234,137,1,106,4734,3,0
0,0,19476,157,157,125,0,149,17815,0,1
1,0,7957,141,141,123,1,174,5381,3,0
0,0,840765,121,121,33,0,183,837994,0,0
1,0,2120212,105,105,55,1,131,2117660,3,0
0,0,739713,326,326,27,0,178,736933,0,0
0,0,2442,154,154,32,0,177,1297,0,1
1,0,29971,143,143,42,1,122,27197,3,1
1,0,1032018,49,49,41,1,176,1029001,3,0
1,0,16396,294,294,146,1,175,13598,3,0
1,0,492103,129,129,0,1,80,489575,3,0
0,0,3892,44,44,51,0,158,599,0,1
1,0,439193,287,287,43,1,135,435576,3,0
1,0,578138,98,98,23,1,4,576360,3,0
1,0,3857,103,103,115,1,180,1095,3,1
1,0,924785,235,235,54,1,123,922281,3,1
1,0,474181,191,191,4,1,106,471830,3,0
1,0,577397,7,7,24,1,35,576201,3,0
0,0,9141,218,218,134,0,64,8410,0,0
1,0,981807,278,278,49,1,119,979324,3,1
1,0,14712,219,219,88,1,173,11650,3,0
1,0,2360044,13,13,56,1,148,2358530,3,0
1,0,11256,252,252,89,1,167,8914,3,1
1,0,7825,91,91,111,1,130,5795,3,0
0,0,9869,53,53,55,0,136,8244,0,1
1,0,128705,205,205,25,1,81,127131,3,1
0,0,86361,187,187,13,0,161,83876,0,1
0,0,1981,298,298,96,0,38,2,0,0
0,0,16147,256,256,6,0,93,12986,0,1
1,0,494127,310,310,14,1,11,492577,3,1
0,0,21702,59,59,101,0,66,18811,0,0
1,0,38827,224,224,21,1,24,35924,3,1
1,0,5339,51,51,98,1,61,2904,3,1
0,0,748745,34,34,26,0,88,745776,0,0
1,0,3210,23,23,70,1,87,616,3,1
1,0,265842,215,215,8,1,42,263029,3,0
0,0,10587,181,181,129,0,49,8119,0,1
1,0,636457,210,210,11,1,26,635763,3,0
0,0,30562,279,279,15,0,160,28739,1,1
1,0,58311,299,299,54,1,123,56848,3,1
1,0,905988,96,96,38,1,47,903148,3,0
1,0,710712,199,199,33,1,102,708220,3,0
0,0,45706,261,261,2,0,135,43370,0,1
0,0,8397,16,16,8,0,107,5578,0,1
1,0,483389,320,320,5,1,138,481422,3,0
0,0,3158,6,6,36,0,104,342,0,1
1,0,690966,178,178,28,1,111,687994,3,0
1,0,15683,255,255,92,1,170,12888,3,0
1,0,378832,37,37,60,1,117,376718,3,0
1,0,39618,84,84,49,1,143,36688,3,1
0,0,571445,198,198,17,0,52,567813,0,0
0,0,478312,10,10,9,0,20,477440,0,0
1,0,2020967,176,176,53,1,155,2018517,3,0
0,0,4567,55,55,77,0,157,1604,0,0
1,0,24449,112,112,82,1,28,21516,3,0
0,0,54516,93,93,37,0,164,53479,0,1
1,0,203978,193,193,8,1,42,202245,3,1
0,0,955,153,153,85,0,32,2,1,1
1,0,1130391,196,196,43,1,135,1127446,3,0
0,0,61849,47,47,62,0,15,60071,0,1
1,0,1824669,163,163,55,1,131,1821786,3,0
1,0,21022,61,61,102,1,113,18272,3,1
1,0,517997,131,131,0,1,80,514713,3,0
1,0,2028531,267,267,55,1,131,2025571,3,0
1,0,4543,137,137,121,1,8,1706,3,1
0,0,77950,18,18,20,0,5,74987,0,1
0,0,1337382,270,270,49,0,36,1335682,1,0
0,0,1973,1,1,151,0,55,3,1,1
1,0,9934,87,87,46,1,60,6965,3,1
1,0,16389,180,180,36,1,40,14728,3,1
1,0,242630,118,118,19,1,15,239769,3,1
0,0,31215,301,301,65,0,65,30121,1,1
1,0,1175229,145,145,46,1,60,1172704,3,0
1,0,6217,319,319,11,1,96,3602,3,1
1,0,79885,228,228,9,1,121,77750,3,1
0,0,517648,168,168,6,0,41,514706,0,0
1,0,1709527,107,107,56,1,148,1707056,3,1
1,0,905310,38,38,42,1,122,902803,3,0
1,0,5025,155,155,124,1,30,2677,3,1
0,0,4613,116,116,5,0,141,1626,0,1
0,0,20670,138,138,122,0,117,18052,0,1
0,0,1434052,152,152,49,0,146,1432280,0,0
1,0,2327020,264,264,55,1,131,2324351,3,0
1,0,30617,148,148,63,1,107,28410,3,1
0,0,791878,120,120,33,0,54,790079,0,0
1,0,10460,77,77,108,1,2,8049,3,1
0,0,764760,201,201,27,0,7,762982,0,0
1,0,21822,317,317,11,1,26,18838,3,1
1,0,411543,243,243,27,1,98,408877,3,0
1,0,706189,15,15,25,1,43,704129,3,0
1,0,496021,27,27,1,1,185,493463,3,0
1,0,145152,315,315,11,1,26,142906,3,1
0,0,4421,32,32,73,0,171,3684,0,1
0,0,117865,208,208,2,0,101,115973,0,1
1,0,19013,45,45,32,1,28,16263,3,1
1,0,197559,194,194,8,1,42,195199,3,1
1,0,8963,174,174,128,1,4,6399,3,1
0,0,6840,285,285,143,0,164,3826,0,0
0,0,34372,2,2,47,0,150,33320,0,1
1,0,110366,248,248,61,1,139,107442,3,1
1,0,7278,95,95,113,1,41,4399,3,0
0,0,67475,297,297,53,0,177,65139,0,1
0,0,1140600,195,195,43,0,39,1138639,0,0
1,0,1174681,76,76,45,1,33,1172813,3,0
1,0,1443,20,20,68,1,48,1,3,1
0,0,7112,283,283,142,0,97,4374,0,1
1,0,1113039,296,296,55,1,13,1110685,3,1
1,0,7245,290,290,144,1,79,4687,3,1
1,0,12451,173,173,127,1,80,9695,3,1
0,0,2274,50,50,75,0,67,1,0,0
1,0,2194888,106,106,56,1,84,2192474,3,1
1,0,16715,186,186,43,1,135,14439,3,1
0,0,750304,206,206,33,0,181,747923,0,0
0,0,258722,216,216,8,0,118,256827,0,0
1,0,44770,26,26,47,1,13,42977,3,1
1,0,56555,323,323,39,1,22,54387,3,1
1,0,18751,109,109,81,1,77,16475,3,1
1,0,2149200,266,266,55,1,131,2146741,3,0
0,0,13820,29,29,21,0,63,12766,0,1
0,0,645301,276,276,9,0,8,642806,0,0
1,0,19819,122,122,0,1,80,16985,3,1
1,0,458839,17,17,9,1,156,457553,3,0
0,0,58458,114,114,14,0,24,55432,0,1
0,0,447897,286,286,43,0,116,446350,1,0
1,0,588116,3,3,7,1,12,586977,3,0
1,0,342240,151,151,56,1,148,339421,3,1
1,0,130785,104,104,16,1,176,128263,3,0
1,0,2892,66,66,103,1,125,97,3,0
1,0,596370,277,277,9,1,121,593812,3,0
1,0,46833,75,75,107,1,31,44356,3,0
1,0,670094,36,36,56,1,84,667467,3,0
0,0,2028848,177,177,53,0,144,2027736,2,0
1,0,68416,262,262,2,1,27,66416,3,1
1,0,4460,127,127,84,1,93,2295,3,0
0,1,655728,166,166,15,0,0,653962,0,0
1,0,201254,156,156,57,1,108,198909,3,0
1,0,4289,169,169,34,1,51,3018,3,1
1,0,3538,292,292,95,1,62,857,3,1
1,0,12394,304,304,147,1,147,9605,3,0
1,0,396132,244,244,27,1,6,393928,3,0
1,0,14564,60,60,78,1,129,12819,3,1
0,0,39476,269,269,140,0,185,36720,0,1
1,0,13956,212,212,87,1,100,10954,3,0
1,0,68621,190,190,54,1,86,67503,3,1
0,0,390438,237,237,10,0,95,389477,0,0
1,0,5678,128,128,119,1,5,4257,3,1
0,0,467624,170,170,9,0,67,464685,0,0
1,0,825842,311,311,36,1,68,823350,3,0
0,0,38223,31,31,39,0,110,36197,0,1
0,0,968,8,8,150,0,155,3,0,0
1,2,11541,325,325,39,1,101,8509,3,1
0,0,12865,289,289,35,0,181,9965,0,1
0,0,606712,236,236,10,0,12,603989,0,0
0,0,392186,222,222,9,0,8,389424,0,0
1,0,2982,70,70,106,1,151,445,3,1
1,0,22938,86,86,53,1,163,21226,3,1
1,0,1573917,164,164,55,1,131,1571158,3,0
1,0,59850,102,102,4,1,106,57439,3,1
0,0,4734,123,123,83,0,25,2191,0,0
0,0,729858,200,200,33,0,181,727477,0,0
0,0,367390,213,213,59,0,99,364778,1,0
0,0,966472,30,30,40,0,56,963723,0,0
0,0,18183,232,232,136,0,87,15433,0,0
