Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,0,1097,13,13,7,55,51,1
1,0,30308,54,54,6,11,2,27168
1,0,81368,21,21,2,84,22,80808
0,0,763,10,10,1,25,52,5
0,0,703218,19,19,8,27,36,701626
1,0,5286,83,83,2,30,75,4336
1,0,93861,101,101,2,50,32,92599
0,0,716461,50,50,6,51,38,713525
0,0,581462,113,113,5,24,4,578019
0,0,213521,149,149,2,51,10,212382
0,0,38881,134,134,2,59,86,36347
0,0,302755,63,63,8,43,14,301802
1,0,83014,123,123,8,91,22,81473
1,0,720,142,142,8,28,92,1
0,0,666404,22,22,8,26,24,665952
1,0,30302,0,0,2,87,31,29316
1,0,5807,132,132,2,34,26,3882
1,0,118859,99,99,2,35,9,115842
0,0,9728,43,43,6,41,67,6585
0,0,12029,48,48,8,89,69,11478
1,0,6579,70,70,2,9,16,5257
1,0,4234,79,79,2,45,73,3116
0,0,100844,35,35,7,72,12,99663
1,0,32123,61,61,2,51,10,29739
0,0,929052,125,125,2,87,31,925927
1,0,4123,91,91,5,1,76,1628
0,0,297517,82,82,6,88,14,294389
0,0,8113,67,67,2,92,70,5945
1,0,4229,139,139,6,52,89,1371
1,0,33235,7,7,8,79,9,30782
0,0,1206,16,16,8,88,53,1
0,0,789292,98,98,2,11,29,788021
1,0,53098,128,128,2,24,34,49949
1,0,99066,114,114,2,83,1,97825
0,0,506906,102,102,0,88,14,503742
0,0,1289,11,11,8,93,49,3
1,0,546,144,144,8,63,94,1
1,0,383983,5,5,2,60,46,383429
1,0,37772,137,137,6,61,11,34755
1,0,57661,45,45,2,57,41,55166
1,0,74545,151,151,2,69,8,72053
0,0,8781,28,28,2,49,59,5653
0,0,599,1,1,7,32,58,3
1,0,81855,147,147,6,15,10,78709
1,0,341238,29,29,2,74,4,338959
0,0,227216,80,80,8,70,43,225387
0,0,5181,106,106,2,89,79,4192
1,0,99079,55,55,2,3,2,97820
1,0,35758,6,6,7,79,9,35156
1,0,46653,89,89,2,18,38,44743
0,0,521345,25,25,6,56,1,518232
1,1,54155,60,60,6,39,10,50976
1,0,96937,122,122,2,62,30,96035
0,0,1771,20,20,8,18,55,5
0,0,9252,129,129,8,81,85,7177
1,0,1005,18,18,8,64,54,1
0,0,573456,49,49,2,31,3,572590
1,0,552643,119,119,2,29,20,550361
0,0,1017672,51,51,2,12,34,1015075
1,0,1291,14,14,8,94,56,11
1,0,55385,131,131,6,54,0,52233
0,0,6751,107,107,2,92,79,5450
1,0,3425,120,120,2,68,84,855
1,0,68231,100,100,6,75,23,65097
0,0,750258,9,9,7,71,38,748432
1,0,201286,39,39,2,3,21,199007
0,0,313484,153,153,6,37,14,310344
1,0,13944,65,65,5,0,44,11467
1,0,43791,74,74,6,79,9,40663
0,0,116617,57,57,6,44,13,113450
1,0,1126783,133,133,5,14,39,1124243
1,0,4790,126,126,6,20,63,1644
0,0,304,130,130,7,82,64,2
1,0,30678,116,116,7,42,9,29548
0,0,642289,109,109,6,49,8,639173
1,0,40231,112,112,7,16,82,38468
1,0,704,15,15,3,17,57,18
0,0,701522,73,73,2,34,26,698580
1,0,33620,88,88,6,69,38,30504
0,0,673825,85,85,2,74,26,670661
0,0,782421,66,66,2,74,26,781378
0,0,100486,56,56,2,46,13,98009
0,0,632799,52,52,6,70,19,629461
0,0,559272,84,84,6,54,40,556483
1,0,4270,38,38,5,85,42,1799
0,0,673601,77,77,2,81,27,670680
0,0,429068,86,86,6,86,25,425925
1,0,484,141,141,8,60,91,2
1,0,7065,72,72,2,75,72,6076
0,0,532553,154,154,2,7,14,531252
1,0,28960,2,2,2,87,31,27503
1,0,1651,96,96,2,15,62,830
0,0,307836,152,152,8,43,14,304756
0,0,1330,12,12,8,65,50,2
0,0,492209,24,24,2,83,1,489726
0,0,704396,17,17,8,46,36,703461
0,0,225838,94,94,6,33,17,222980
1,0,24175,40,40,6,19,47,21059
0,0,1482,108,108,2,44,80,1
0,0,3560,33,33,2,6,65,861
1,0,40333,121,121,6,23,84,37199
0,0,296392,26,26,6,51,15,293633
0,0,694715,136,136,2,34,26,691713
0,0,212280,148,148,8,31,10,211864
0,0,232598,155,155,2,31,3,230508
1,0,52289,87,87,6,10,38,48939
0,0,796646,64,64,2,11,29,794730
0,0,762911,105,105,2,34,26,760413
0,0,1815,95,95,2,52,78,1
1,0,11460,145,145,7,72,95,9091
0,0,767496,97,97,2,11,29,766105
1,0,341160,156,156,2,87,3,338881
0,0,135805,157,157,6,29,5,132644
0,0,458580,59,59,2,67,18,455587
1,0,2735,81,81,2,60,74,246
1,0,4884,53,53,2,73,46,1753
0,0,562767,62,62,6,57,6,559651
0,0,720169,30,30,6,50,23,717008
1,0,11360,93,93,6,44,77,8184
0,0,1011,8,8,8,39,48,1
0,0,7732,69,69,6,38,71,4595
0,0,696,117,117,7,81,83,1
1,0,153763,104,104,5,53,21,151067
0,0,329442,68,68,7,4,17,326975
1,0,5115,58,58,5,38,38,2545
0,0,315827,127,127,6,80,15,312663
1,0,36371,143,143,2,58,93,34218
0,0,326955,34,34,6,11,18,323962
1,0,6322,47,47,6,19,15,3197
0,0,772874,150,150,6,82,28,769737
0,0,638513,75,75,2,42,7,636579
0,0,220362,118,118,5,11,18,217744
1,0,40751,44,44,2,66,68,38379
1,0,5438,140,140,7,72,90,3198
1,0,8449,124,124,6,76,45,5315
0,0,99546,111,111,2,28,12,97369
0,0,11809,41,41,2,78,66,9641
0,0,8362,135,135,2,90,87,5834
1,0,96112,115,115,6,14,1,92984
1,0,7840,71,71,2,9,16,6842
1,0,16287,37,37,2,13,60,13156
1,0,371763,4,4,9,40,45,371065
1,0,3141,92,92,7,32,61,982
1,0,5564,42,42,2,35,36,2433
0,0,567659,27,27,1,19,33,567123
