Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,24,38827,224,224,1,25,35924,3,1
1,184,4679,182,182,1,134,1893,3,0
1,13,308397,302,302,1,58,305485,3,0
1,68,825842,310,310,1,40,823350,3,0
0,138,502030,130,130,0,0,499289,0,0
1,96,79193,78,78,1,3,76656,3,1
1,141,2449,0,0,1,152,11,3,0
0,140,7010,290,290,0,148,4233,0,1
0,165,66235,246,246,0,41,64469,0,1
1,26,21822,317,317,1,13,18838,3,1
1,82,3014,95,95,1,66,228,3,1
0,5,77950,17,17,0,24,74987,0,1
1,4,510295,140,140,1,27,507728,3,1
1,68,847503,311,311,1,40,845194,3,0
1,91,6673,231,231,1,139,3815,3,0
1,9,181574,314,314,1,30,180063,3,1
1,36,625252,227,227,1,28,622190,3,0
1,120,981807,276,276,1,52,979324,3,1
1,136,16715,185,185,1,46,14439,3,1
1,153,2940,211,211,1,136,73,3,1
0,19,8383,218,218,0,137,7271,0,0
0,183,17724,292,292,0,59,14986,1,1
1,173,13435,270,270,1,144,10745,3,0
0,162,86361,187,187,0,15,83876,0,1
1,4,225780,79,79,1,27,223900,3,0
1,4,578138,99,99,1,27,576360,3,0
1,27,504140,266,266,1,2,500865,3,0
1,26,636457,212,212,1,13,635763,3,0
1,1,847195,163,163,1,35,845501,3,0
1,167,492362,27,27,1,1,490971,3,0
1,45,236472,222,222,1,3,233641,3,0
0,137,779582,202,202,0,31,776703,0,0
1,109,7188,124,124,1,121,4384,3,0
1,110,8831,110,110,1,119,6234,3,1
0,50,650247,101,101,0,27,648161,0,0
1,107,984,304,304,1,151,31,3,0
1,106,1094,23,23,1,75,159,3,1
0,132,24358,271,271,0,144,21590,0,0
0,89,1225,53,53,0,79,1,0,1
1,123,628999,142,142,1,12,626735,3,0
1,11,13990,115,115,1,16,11384,3,1
1,133,28068,65,65,1,67,25282,3,1
1,66,3158,253,253,1,93,408,3,1
1,131,2351295,263,263,1,58,2348338,3,0
0,29,9939,57,57,0,102,8926,0,0
0,23,65081,84,84,0,25,62292,0,1
1,14,9052,245,245,1,142,7148,3,1
0,179,805554,313,313,0,40,804478,0,0
0,93,782600,203,203,0,31,781197,0,0
1,85,3790,209,209,1,89,806,3,0
1,13,1721524,41,41,1,58,1718519,3,1
0,154,2010044,11,11,0,56,2009265,2,0
0,24,794113,241,241,0,33,793295,1,0
1,13,1008775,188,188,1,58,1006142,3,0
0,165,56433,247,247,0,41,54619,1,1
1,90,654938,251,251,1,27,652152,3,0
1,177,1032018,50,50,1,44,1029001,3,0
0,39,1140600,195,195,0,46,1138639,0,0
1,174,411506,59,59,1,33,408474,3,0
0,155,1137976,136,136,0,57,1133828,0,0
0,83,1204,126,126,0,87,2,0,0
0,108,8397,15,15,0,9,5578,0,1
0,7,764760,201,201,0,31,762982,0,0
1,146,976,20,20,1,74,2,3,1
1,104,587182,272,272,1,37,584897,3,1
1,6,3258,40,40,1,77,436,3,0
1,180,6116,58,58,1,103,4224,3,1
0,12,606712,236,236,0,12,603989,0,0
1,72,21218,240,240,1,26,18921,3,1
0,135,2501,83,83,0,38,102,1,1
1,158,7457,213,213,1,41,4911,3,1
0,53,490870,46,46,0,1,489493,0,0
1,170,4777,18,18,1,70,2027,3,1
0,75,26225,205,205,0,65,24447,0,1
1,73,22430,44,44,1,34,19944,3,1
1,161,15107,261,261,1,2,12237,3,1
1,166,41742,307,307,1,44,39727,3,1
0,127,663320,257,257,0,24,660522,0,0
0,24,58458,114,114,0,16,55432,0,1
1,17,486237,24,24,1,47,483109,3,0
1,13,644271,98,98,1,58,641242,3,1
1,137,16574,221,221,1,138,14088,3,1
0,156,3713,282,282,0,97,2106,1,0
1,13,44770,25,25,1,50,42977,3,1
0,2,3597,233,233,0,140,1834,0,0
1,102,5794,135,135,1,123,3014,3,0
0,0,655728,168,168,0,18,653962,0,0
0,132,33262,308,308,0,44,31331,0,1
0,54,791878,121,121,0,37,790079,0,0
1,174,760085,242,242,1,33,757590,3,0
0,78,169312,67,67,0,55,166550,0,0
1,177,130785,104,104,1,20,128263,3,0
1,76,122539,189,189,1,14,120197,3,1
0,118,594892,225,225,0,28,591674,0,0
0,52,571445,197,197,0,21,567813,0,0
1,112,690966,178,178,1,32,687994,3,0
1,28,9553,113,113,1,85,7784,3,0
1,74,582823,21,21,1,21,581135,3,0
0,154,1917064,173,173,0,56,1914173,0,1
1,76,25743,229,229,1,14,24748,3,1
1,107,71114,194,194,1,4,69705,3,1
0,119,103187,323,323,0,9,101616,1,0
0,60,702008,179,179,0,32,700188,0,0
1,15,585311,226,226,1,28,582390,3,0
1,84,2350211,167,167,1,59,2347587,3,0
1,128,491613,133,133,1,41,488857,3,1
1,18,12191,230,230,1,14,9909,3,1
1,114,1182,92,92,1,115,1,3,1
1,121,59561,139,139,1,50,57681,3,1
0,154,14595,66,66,0,67,12280,0,1
1,46,9360,254,254,1,94,6577,3,0
1,10,14953,301,301,1,53,12005,3,1
1,81,29749,161,161,1,29,26915,3,1
1,174,430057,184,184,1,33,427406,3,0
1,56,14455,90,90,1,113,11690,3,0
0,161,30562,277,277,0,18,28739,1,1
0,2,4524,239,239,0,141,2574,0,0
0,58,4216,132,132,0,47,1460,0,1
0,85,19758,183,183,0,135,17038,0,0
0,98,47207,81,81,0,112,45534,0,1
0,163,36437,102,102,0,117,35517,0,1
1,37,5595,69,69,1,107,2761,3,1
1,134,912033,73,73,1,41,909235,3,0
1,70,2693,279,279,1,96,396,3,0
0,106,4036,64,64,0,67,1289,0,1
1,57,93761,72,72,1,65,90201,3,1
1,58,11733,74,74,1,82,9154,3,0
1,43,706189,14,14,1,29,704129,3,0
0,148,120500,322,322,0,9,118605,0,0
