Gene_Type,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1169344,41,44,1158920,0
0,7614,2,60,1030,1
0,609988,159,10,605538,1
0,1211309,163,49,1200861,0
0,71128,81,45,60752,1
1,18759,153,107,8548,1
0,52109,55,5,41772,1
0,64484,128,30,55971,1
0,424181,139,10,413739,0
0,225503,223,8,215040,0
1,1026196,142,49,1015775,0
0,26884,60,16,16478,1
0,458221,50,10,447770,1
0,685626,120,30,675331,0
0,18045,173,110,7588,0
0,108909,131,27,98518,1
0,47512,125,29,39092,1
0,775910,132,33,765552,0
0,22103,171,33,14689,1
0,332104,168,33,321641,0
0,7780,8,63,2,1
1,11317,86,30,5433,1
0,573981,160,10,563530,0
0,459416,61,34,449073,1
1,5380,25,75,2,1
1,214744,9,38,206012,1
0,31572,75,36,21127,1
0,63253,174,111,52823,1
0,286931,192,51,283691,0
1,162112,184,23,156224,0
0,14171,179,34,4392,1
0,11492,32,78,5925,1
0,252780,212,16,242332,0
0,45907,207,50,38978,1
0,13390,162,70,2987,0
0,698669,82,23,688299,0
0,9732,193,116,1,0
1,1233807,177,46,1224493,1
0,62951,94,53,52593,1
0,970184,185,46,959784,1
0,138304,216,13,127910,1
0,13701,154,108,3220,1
0,689245,14,29,678794,0
0,5595,6,62,1,1
0,213628,100,52,203258,0
1,24168,113,98,13795,0
0,31191,122,35,20812,1
0,3034,91,95,2,0
0,347060,220,34,339083,1
1,127990,151,53,117557,1
0,390898,219,34,380639,1
0,60872,208,50,50520,1
0,225073,35,27,217409,1
0,842551,213,35,832124,0
0,475972,77,2,470489,0
0,534898,114,33,529028,1
0,59093,69,29,53591,1
0,2345983,166,50,2335691,0
0,33876,201,121,23431,0
0,2017022,4,48,2011656,0
1,796435,42,32,786038,0
0,908777,38,37,898398,0
1,1020605,202,48,1014285,0
1,25728,93,55,21774,1
0,13163,65,87,2601,0
1,789447,214,35,779023,0
0,7954,194,117,2,0
1,743366,12,28,733188,0
0,1028641,19,40,1018586,0
0,69531,218,13,59128,1
0,5243,68,88,2,0
0,9826,22,74,2831,0
1,12411,134,102,1858,1
0,6482,3,61,3,0
0,78813,198,51,72588,1
0,12312,197,51,7990,1
0,40663,199,120,30197,1
0,51361,101,27,40991,1
0,288082,210,50,277652,0
0,328819,64,30,318764,0
0,127475,172,54,117093,1
0,32850,187,9,28143,1
0,207695,52,15,204667,0
0,36235,217,13,25871,1
0,11147,33,79,4143,0
1,1351353,156,46,1340908,0
0,656937,158,22,646543,0
0,745319,40,32,734937,0
0,353296,97,51,348857,1
0,7476,0,59,127,0
0,63323,188,18,53163,1
0,5481,157,109,1,0
0,5231,27,66,1,1
0,78745,63,43,68291,1
1,574518,143,12,565420,0
1,27113,195,118,16665,1
1,647211,117,46,636820,0
0,802151,13,50,791817,1
0,65194,21,0,54806,0
0,6388,124,100,323,1
1,296067,110,33,288610,0
0,62219,39,82,51870,0
0,19188,34,80,11071,1
0,34912,170,33,27714,1
0,330111,109,15,322282,0
1,595061,48,25,584655,0
1,52443,44,48,42064,1
0,5929,152,69,3,0
1,35770,43,83,25298,1
0,5956,20,73,733,0
0,586972,47,8,576509,0
0,88568,200,120,78117,1
1,13525,108,97,3143,0
0,623676,90,12,613279,0
0,11537,175,112,1098,1
0,505288,11,4,494840,0
0,39653,24,37,33702,1
0,158064,215,13,147781,1
0,54831,126,51,44338,1
0,1392969,105,49,1382515,1
0,2345195,167,51,2334792,0
0,5893,36,81,1,0
0,1174010,190,43,1168695,0
0,563694,144,26,556752,1
0,89016,119,42,78604,1
0,487135,85,38,478468,1
0,3341,191,115,3,0
0,5467,73,91,2,0
0,6015,149,28,103,1
0,6046,79,93,2,1
0,24830,102,27,14646,1
0,599807,111,18,589443,0
0,8611,118,68,3,0
0,940675,89,49,930293,1
0,21015,76,18,14486,1
0,94486,148,37,84056,1
0,19647,54,85,9304,1
0,1142692,88,48,1136952,1
0,17336,67,12,6891,1
1,6309,70,89,1,1
0,6144,62,86,3,0
0,818767,121,29,810066,0
1,566844,204,17,556376,0
1,6275,17,72,3,0
1,9243,23,65,3028,1
0,230403,211,10,222871,0
0,545365,222,19,535076,0
0,54812,5,32,50482,1
1,5690,78,92,3,0
0,6239,136,104,3,1
1,47046,57,67,36631,0
0,1352921,107,49,1342479,0
0,548110,155,18,541838,0
1,1415129,7,46,1406220,0
0,53597,31,57,43140,1
0,6877,30,77,2,0
0,82139,164,3,71676,1
1,571446,181,33,561022,1
0,138943,49,23,131411,0
1,40882,92,41,30431,1
0,64329,98,1,53935,0
0,19778,83,94,9420,0
0,409474,180,33,399029,1
0,656716,87,21,646334,0
0,1441553,106,49,1431102,0
0,796416,189,29,789632,0
0,18102,16,71,7759,0
0,635740,96,14,625292,0
0,29124,137,104,18715,1
0,510863,221,6,500484,0
0,347622,84,50,337195,0
1,8750,10,64,352,0
1,12299,147,106,2049,1
0,816094,66,33,805796,0
0,746001,146,31,735628,0
0,18044,37,30,13358,1
0,902706,95,38,892584,0
0,97751,80,23,91272,1
0,406298,26,31,400980,0
0,490459,112,7,480062,0
0,188433,129,10,178087,1
0,191125,46,24,180626,0
0,400877,71,31,396354,0
0,571102,15,39,563645,0
0,508446,161,10,497998,0
0,22907,1,50,17262,1
1,192236,130,28,185259,1
0,7036,196,119,1,1
0,1048694,138,41,1038261,0
1,14711,135,103,4479,1
0,5905,53,84,1,1
1,8139,178,113,1,1
1,15047,123,99,4680,1
0,610602,141,26,600223,0
0,46671,99,96,36289,1
0,149649,116,23,143326,0
0,682115,115,33,675892,0
0,30892,74,22,20468,0
0,56068,176,112,45617,0
0,2370774,165,50,2360422,0
0,107347,18,56,100946,1
1,364951,59,55,356759,1
1,79790,209,50,69342,1
0,34480,145,24,24017,1
0,501262,103,20,494255,0
0,7213,72,90,1,1
1,12287,133,101,1776,1
0,572820,183,11,566630,0
0,1301475,104,49,1291027,1
0,53674,205,58,43286,1
0,7785,140,105,1726,0
0,1049310,58,47,1038856,0
0,22220,224,39,11901,1
1,934030,203,48,926063,1
0,243214,169,33,232769,0
0,76316,29,31,71757,1
0,5029,28,76,2,1
0,780586,127,36,770171,0
0,12152,206,122,4158,1
0,102066,45,11,91621,1
0,19621,51,56,13649,1
0,72152,150,28,61794,1
0,600090,182,33,589645,1
1,9497,186,114,3,0
0,364064,56,33,353619,1
