Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Genomic_Start_Position
0,1160395,345,21,1159709
0,18293,402,94,17649
0,7200,132,44,6637
0,55025,357,82,54438
0,1464254,86,27,1463646
1,494817,200,22,494134
0,2016292,327,26,2015537
0,9057,386,89,8128
0,4555,130,63,3962
0,683253,96,27,682675
0,844685,366,21,844098
0,112468,399,93,111971
0,4870,338,77,4217
0,2682,261,75,1954
0,158502,17,8,158113
0,1955674,330,27,1955171
1,756041,97,27,755460
1,1368555,307,27,1367977
1,1487064,90,27,1486369
1,44362,298,14,43754
0,265007,255,22,264339
0,128464,414,13,128075
1,1921473,106,27,1920904
0,458814,350,16,458125
0,316703,369,15,316059
0,548591,222,18,548190
0,1604078,114,27,1603452
0,85370,59,57,84681
0,17407,258,73,16820
0,1033564,295,17,1032920
0,1738968,26,26,1738420
1,6677,377,85,6162
1,278070,218,3,277438
0,1731530,334,27,1730895
0,515441,203,6,514617
0,567879,379,19,567310
0,10321,124,60,9749
0,1686468,110,27,1685914
0,7629,226,69,6979
0,1645,354,82,1004
1,376974,53,3,376393
1,807869,23,26,807330
0,431207,424,4,430704
1,39701,50,56,39237
0,307213,256,22,306524
1,782,44,53,129
1,1132814,315,27,1132212
1,36247,70,14,35642
1,170789,66,13,170208
1,717564,267,26,716974
1,1637787,112,27,1637185
0,487905,167,3,487330
1,628319,181,12,627354
0,1932015,105,27,1931470
0,2027,38,51,1341
0,1743790,333,27,1743146
0,521226,204,6,520573
1,1118634,317,27,1117975
0,347837,16,3,347313
0,250738,321,3,250097
1,1579,2,33,1004
0,578960,74,7,578253
1,552848,142,21,552180
0,52129,262,75,51491
1,19103,378,85,18480
0,4829,254,72,4128
1,603114,235,9,602248
0,436400,10,15,435816
0,1148872,408,26,1148204
0,339516,221,3,338926
1,1581481,211,25,1580900
1,1081012,404,26,1080440
0,15668,342,78,15015
1,6518,301,1,5874
1,33001,18,13,32291
1,527500,426,4,526817
1,668902,146,21,668282
0,1995197,213,26,1994529
0,216763,320,3,216122
0,596495,157,4,595866
0,416038,381,30,415541
1,463493,99,0,462885
1,14001,392,91,13402
0,385637,19,21,384969
1,627298,98,6,626603
1,1845,387,90,1489
1,375081,120,11,374536
0,1473130,85,27,1472456
1,1134002,406,26,1133424
0,444695,30,3,444042
0,42175,384,87,41594
0,9261,126,61,8539
0,382637,55,3,382086
1,35038,300,1,34388
0,416102,244,15,415509
1,13194,347,80,12661
1,653543,82,10,652923
1,327963,421,4,327337
0,78452,297,14,77844
0,2893,382,86,2228
1,38888,77,13,38181
1,22995,302,13,22609
1,1066542,403,26,1065931
0,438865,349,16,438233
0,345916,151,15,345353
0,499409,364,21,498789
0,262228,36,21,261515
1,350824,412,13,350453
0,224418,164,16,223792
0,17055,46,55,16375
1,1049,281,47,204
1,807166,149,21,806492
1,874302,272,26,873739
1,281,8,35,3
0,16035,340,77,15472
1,311595,410,13,311224
1,6125,9,35,5631
0,582243,75,7,581596
0,1670681,27,26,1670067
0,544317,144,21,543658
0,285006,243,15,284026
0,482096,251,15,481446
0,16573,162,65,15977
0,1236,123,43,691
1,2152710,104,27,2152117
0,218124,163,16,217234
1,505974,292,9,505327
0,314714,121,11,314181
0,729959,94,27,729363
1,358436,275,13,358038
1,594102,229,9,593512
1,22696,71,14,22061
0,1261581,322,25,1260970
0,160801,401,93,160181
0,10872,102,59,10210
1,412598,277,29,411981
1,517192,291,9,516578
1,53893,304,10,53279
0,253563,285,15,252895
0,237931,283,15,237338
0,266589,174,16,265723
0,1078119,190,27,1077559
1,468817,294,9,467864
1,1243238,184,27,1242540
0,1176204,397,22,1175530
0,6197,385,88,5628
1,47042,78,13,46335
0,374682,40,27,374062
0,1420673,89,27,1420101
1,388432,192,28,388043
0,70633,57,57,70109
0,11230,372,48,10535
0,694973,305,26,694383
0,1677970,116,27,1677395
0,5761,373,49,5141
0,1886263,214,26,1885670
1,320021,420,4,319437
1,282372,171,13,281740
0,456160,319,22,455483
1,36542,383,87,35961
1,602338,318,6,601643
1,377041,361,11,376496
1,1142859,407,26,1142287
1,1481322,91,27,1480762
1,1306828,205,25,1306226
1,1739,5,32,1236
0,410649,138,13,410251
0,1587490,208,25,1586741
1,2442,282,47,1612
1,333597,422,4,332944
0,1411596,20,27,1410949
0,260483,175,16,259935
0,917604,271,26,916954
1,371048,274,13,370350
1,11470,45,54,11081
0,377176,139,13,376607
0,1943209,7,27,1942577
1,7470,266,76,6853
0,120884,33,13,120498
1,21243,13,37,20602
1,617680,230,9,617066
0,340144,411,13,339536
0,862102,239,21,861431
0,1875155,215,26,1874526
1,633183,231,9,632827
0,59685,47,55,58891
0,1611491,328,26,1610868
0,31626,355,82,31012
1,76266,276,13,75574
0,430625,11,15,430509
0,288480,173,16,287506
0,1187163,344,21,1186465
0,1200244,310,27,1199621
0,18926,388,91,18276
1,2115566,24,27,2114982
1,1109679,314,27,1109041
1,1559,49,56,987
0,413954,416,27,413337
1,159847,65,13,159101
1,1139142,313,27,1138561
1,462219,362,21,461563
1,1348,165,66,512
0,1344856,196,20,1344239
1,203566,68,13,203195
1,3660,193,67,3085
0,1001979,93,27,1001410
0,1671935,117,27,1671336
1,3008,160,45,2760
0,17644,346,79,17072
0,393310,278,29,392783
0,1025055,189,27,1024453
1,1654543,29,26,1654004
1,11006,12,36,10434
0,1840810,108,27,1840178
1,1182146,311,27,1181541
1,356421,429,12,355831
0,398667,246,15,398035
1,1235855,185,27,1235211
0,1806636,335,27,1806064
0,7249,51,56,6641
0,452612,279,27,451995
0,425782,137,13,425384
0,1121,1,31,531
1,725245,148,21,724664
0,7534,341,78,7151
0,14571,375,49,14272
0,244449,286,15,243556
0,622513,25,27,621803
0,261062,172,13,260553
0,253089,176,16,252442
0,305429,370,23,304515
0,690105,145,21,689434
1,26110,303,13,25487
0,55203,79,13,54550
1,6670,224,68,6140
0,467996,363,21,467418
0,1079,125,61,750
1,1784731,331,27,1784156
0,1392058,306,27,1391459
1,174019,63,13,173294
1,44727,393,92,44119
0,978860,273,26,978390
0,7294,259,74,6638
0,9111,129,62,8734
1,641578,81,10,640880
0,2852,15,39,2211
0,1610144,113,27,1609563
1,225709,67,13,225092
1,873,4,34,262
1,504309,425,4,503911
0,1707,376,84,1054
0,570400,73,7,569783
0,897457,270,26,896894
1,528985,290,9,528356
1,930600,240,21,929947
0,459742,247,15,459083
0,8892,374,49,8245
0,410431,179,14,409799
1,95645,62,2,95094
1,296809,419,4,296102
1,438791,31,3,438168
0,302673,242,15,302005
0,332148,409,13,331510
0,22912,56,57,22523
1,20624,72,42,19953
0,276224,133,21,275592
1,605996,236,9,605367
1,631273,155,4,630704
1,893116,237,21,892445
1,9993,32,40,9376
1,1448091,87,27,1447573
1,12594,195,46,11959
0,389569,245,15,388676
0,28027,42,52,27344
1,426818,134,4,426186
0,32545,260,75,31979
0,11424,39,51,10828
0,474095,352,16,473496
1,891600,269,26,891058
1,1570983,119,27,1570405
1,487260,199,22,486679
0,28680,127,62,27985
0,478938,100,0,478315
0,1109266,396,22,1108595
0,21792,343,78,21193
1,652493,234,9,651543
1,538452,143,21,537880
0,21840,227,70,21079
0,567898,122,18,567485
0,53116,395,92,52718
0,308712,368,15,308044
1,641268,232,9,640657
0,1591262,329,26,1590720
0,559332,141,19,558976
0,643220,197,6,642618
1,588625,154,4,587969
0,269583,418,4,268954
0,1591401,209,25,1590901
1,1060193,187,27,1059636
0,272757,178,16,271798
0,21892,337,77,21179
1,400683,54,3,400036
0,11825,43,52,11139
1,610947,365,21,610288
0,1183104,323,25,1182499
0,1871216,107,27,1870641
1,1100102,405,26,1099440
0,223254,287,15,222562
1,2130876,103,27,2130250
1,5418,228,70,4696
1,274287,170,13,273715
1,212591,428,7,211887
0,253619,168,13,252897
1,190891,64,13,190256
1,33533,389,91,32910
0,66227,299,1,65685
1,1038285,188,27,1037734
0,1299223,183,27,1298663
0,555039,76,7,554104
1,1790185,216,26,1789544
1,110877,152,2,110344
0,70385,296,14,69732
0,406686,135,4,406078
1,1894275,109,27,1893637
0,48963,356,82,48349
0,63431,61,58,62859
0,563485,92,19,563114
1,1947,14,38,1330
1,849658,22,26,849029
0,17246,264,75,16593
1,11667,257,73,10975
1,1192370,312,27,1191744
1,789660,147,21,789061
0,484940,353,16,484143
0,551183,223,18,550740
0,1665163,28,26,1664528
0,15815,359,82,15231
0,423275,201,22,422700
0,50225,394,92,49587
0,23909,360,82,23259
0,1935320,212,26,1934724
1,1439745,88,27,1439215
0,1646736,210,25,1646206
1,5356,348,81,4736
0,281837,177,16,281250
0,217404,21,15,216745
0,462632,136,4,462006
0,565167,380,19,564760
1,4939,6,32,4241
0,497547,249,15,496699
0,2159962,324,26,2159390
1,1722444,336,24,1721857
1,627125,83,10,626559
0,510533,430,5,509916
1,2103139,217,27,2102468
0,211634,417,0,211245
1,34921,265,76,34262
0,1578872,118,27,1578312
0,602022,158,4,601444
1,9539,194,46,8904
1,497850,293,9,497083
0,465000,351,16,464038
0,283286,423,4,282588
0,1863,41,52,1279
0,1337715,207,25,1337152
1,10499,37,50,10110
0,6256,128,62,5888
0,77237,58,57,76545
0,1685667,115,27,1685527
1,584282,131,9,583626
0,1212108,309,27,1211533
1,8071,391,91,7124
1,636879,156,4,636250
1,1357417,308,27,1356881
1,1413348,206,25,1412725
0,897652,238,21,897068
1,102031,0,2,101630
0,460277,280,27,459570
1,550961,288,9,550314
1,2082607,34,27,2081918
1,673589,182,26,672981
0,262590,284,15,261997
0,1069989,191,27,1069351
1,54130,398,93,53294
1,238595,169,13,237978
1,2039757,326,26,2039173
0,55031,263,75,54300
1,42738,390,91,42403
1,698962,95,27,698387
1,1037760,367,21,1037092
0,522585,431,5,522157
1,1653046,111,27,1652444
0,610905,153,4,610333
0,9693,358,82,9067
0,331967,150,15,331098
1,57983,60,58,57381
0,488252,248,15,487683
0,152203,400,93,151562
1,7816,166,66,6941
0,473006,250,15,472107
1,8984,253,71,8412
0,296422,241,15,295724
0,786,371,83,88
0,541203,101,6,540331
1,1896,252,71,1198
0,433446,202,22,432955
0,297265,220,3,296609
0,421453,415,27,420860
1,10738,161,65,10142
0,422988,180,14,422386
0,739582,268,26,738989
0,741926,198,15,741234
1,2021354,35,27,2020752
0,22510,52,41,21845
0,12963,339,77,12349
1,1279824,186,27,1279111
0,2141017,325,26,2140400
1,213605,69,13,212727
1,649380,233,9,648745
1,1773473,332,27,1772775
1,542828,289,9,542232
1,3185,159,64,2544
1,1094415,316,27,1093786
0,548259,140,19,547909
0,4704,225,69,4066
0,67780,413,13,67067
0,288418,219,3,287768
1,498188,427,8,497556
1,633393,80,10,632488
0,606832,84,26,606242
1,11303,48,55,10641
1,667099,3,9,666332
