Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,493953,86,86,14,2,1,17,493609,0
1,9446,81,81,39,2,1,3,7647,0
0,5255,73,73,20,3,0,34,2763,0
0,287968,35,35,14,0,0,42,286817,0
1,2113129,4,4,18,2,1,1,2112008,1
1,339503,95,95,5,2,1,17,338613,1
1,571876,57,57,5,2,1,38,570902,0
1,446968,56,56,18,2,1,1,445976,0
0,747945,58,58,9,3,0,40,745645,0
0,415,77,77,38,3,0,18,74,0
1,34900,83,83,41,2,1,44,34403,0
0,1568049,33,33,18,3,0,23,1567459,1
1,806760,70,70,12,2,1,37,805210,0
1,752839,23,23,18,2,1,1,752246,1
1,1050401,91,91,17,2,1,7,1050087,1
0,434997,7,7,4,0,0,19,434554,1
1,796791,67,67,13,2,1,39,795304,0
1,57693,63,63,11,2,1,12,56791,1
1,1786875,47,47,17,2,1,27,1786159,1
1,776048,25,25,12,2,1,46,775092,0
1,155295,89,89,42,2,1,14,154171,0
0,14817,15,15,26,4,0,18,14209,0
1,74492,20,20,3,2,1,39,73803,0
1,1037381,92,92,17,2,1,27,1036476,1
1,1751697,6,6,17,1,1,7,1751281,0
1,318778,36,36,14,2,1,6,318386,0
1,1078009,0,0,14,2,1,17,1077569,1
1,994934,12,12,13,2,1,11,993237,0
1,524283,28,28,6,2,1,30,523744,0
1,1575106,48,48,17,2,1,27,1574483,0
1,810033,66,66,13,2,1,11,808633,0
1,1226536,43,43,18,2,1,1,1225625,1
0,292232,49,49,4,0,0,8,291777,0
1,520133,87,87,14,2,1,17,519183,1
0,579,45,45,32,4,0,18,1,1
1,1605890,79,79,17,2,1,7,1605162,0
1,1285729,42,42,18,2,1,1,1284860,1
1,767190,26,26,12,2,1,37,766081,0
1,624101,24,24,6,2,1,29,623469,1
0,6256,13,13,24,3,0,18,4343,1
1,3678,41,41,30,2,1,32,1996,1
0,415202,8,8,4,0,0,20,414870,0
1,456990,38,38,5,2,1,20,456034,0
1,26464,54,54,34,2,1,17,24623,1
0,43740,64,64,2,0,0,5,43105,0
0,556441,27,27,6,0,0,28,555500,0
1,310242,37,37,14,2,1,17,309811,0
0,409340,94,94,18,0,0,10,408633,0
0,14261,88,88,21,3,0,2,11517,1
0,69017,90,90,4,5,0,35,68592,1
1,1643722,31,31,18,2,1,41,1642802,1
1,84542,19,19,28,2,1,4,84111,1
0,2665,11,11,23,3,0,18,1541,1
1,1180888,78,78,16,2,1,33,1179752,1
0,309976,52,52,15,3,0,17,309383,0
0,598,60,60,35,4,0,18,2,1
0,876723,51,51,14,0,0,42,875551,0
1,1445532,21,21,18,2,1,41,1444765,1
1,829655,3,3,17,2,1,7,828978,1
1,1493,82,82,40,2,1,24,471,1
1,1115404,69,69,18,2,1,1,1114712,1
1,2418,10,10,22,2,1,25,715,1
1,447558,85,85,14,2,1,21,447142,1
0,1735953,72,72,16,0,0,36,1735636,0
1,1067748,80,80,14,2,1,17,1067248,0
0,2026309,9,9,18,0,0,23,2025506,1
1,483,18,18,28,2,1,4,1,1
0,1735532,71,71,16,3,0,26,1734645,0
1,647282,5,5,18,2,1,41,646296,1
1,787501,68,68,13,2,1,11,786539,0
0,18905,62,62,37,3,0,18,17574,1
1,703062,65,65,17,2,1,7,702091,0
1,1021876,55,55,17,2,1,7,1021316,0
1,3924,61,61,36,2,1,15,2239,1
1,302448,34,34,14,2,1,17,301999,0
1,796821,75,75,12,2,1,46,795886,0
1,15756,44,44,31,2,1,37,14755,1
1,232541,29,29,0,2,1,35,231249,0
0,459577,76,76,15,3,0,16,458618,0
1,75990,1,1,8,2,1,31,74263,1
1,156954,97,97,1,2,1,22,155782,0
1,389254,84,84,10,2,1,0,388238,1
0,12112,17,17,27,0,0,18,11726,0
0,3821,14,14,25,3,0,18,1521,1
1,1680779,32,32,18,2,1,1,1680060,0
0,11816,46,46,33,3,0,18,9516,1
1,571767,74,74,18,2,1,41,570709,1
1,1658775,30,30,18,2,1,26,1658077,1
1,1430208,22,22,18,2,1,1,1429318,0
1,1217,96,96,43,2,1,22,24,0
1,145136,59,59,7,2,1,7,143469,1
0,828817,2,2,17,0,0,43,828224,1
1,408301,93,93,18,2,1,1,407363,0
1,1000,40,40,29,2,1,9,2,0
0,457660,39,39,5,0,0,13,457121,0
1,2307,50,50,19,2,1,2,1621,1
1,322283,53,53,15,2,1,45,321357,0
0,11716,16,16,27,0,0,18,11321,0
