Entity_Type,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,447558,84,13,447142,1
1,9446,79,38,7647,0
0,5255,73,19,2763,0
1,994934,12,12,993237,0
1,2113129,5,17,2112008,1
1,339503,95,5,338613,1
1,571876,60,5,570902,0
0,409340,94,17,408633,0
0,747945,61,9,745645,0
0,415,76,37,74,0
1,34900,81,40,34403,0
0,1568049,34,17,1567459,1
1,796821,75,11,795886,0
1,677663,24,17,676746,0
1,1037381,92,16,1036476,1
0,434997,7,4,434554,1
1,787501,70,12,786539,0
0,514049,83,10,513210,1
1,1751697,6,16,1751281,0
1,767190,27,11,766081,0
1,155295,90,41,154171,0
0,14817,15,25,14209,0
1,74492,20,3,73803,0
1,1021876,58,16,1021316,0
1,1605890,77,16,1605162,0
1,310242,37,13,309811,0
1,1067748,78,13,1067248,0
1,810033,68,12,808633,0
1,524283,29,6,523744,0
1,1162532,40,16,1161927,0
1,796791,69,12,795304,0
1,1226536,45,17,1225625,1
0,292232,52,4,291777,0
1,493953,85,13,493609,0
0,579,47,31,1,1
1,1575106,51,16,1574483,0
1,1285729,44,17,1284860,1
1,738027,49,11,736090,0
1,624101,25,6,623469,1
0,6256,13,23,4343,1
1,3678,43,29,1996,1
0,415202,8,4,414870,0
1,456990,38,5,456034,0
1,26464,57,33,24623,1
0,43740,66,2,43105,0
0,556441,28,6,555500,0
1,302448,35,13,301999,0
1,408301,93,17,407363,0
0,14261,88,20,11517,1
0,69017,91,4,68592,1
1,1643722,32,17,1642802,1
1,84542,19,27,84111,1
0,2665,11,22,1541,1
1,1145346,89,14,1144930,0
1,1078009,0,13,1077569,1
0,598,63,34,2,1
0,743148,41,13,742618,0
1,1445532,21,17,1444765,1
0,828817,3,16,828224,1
1,1493,80,39,471,1
1,752839,23,17,752246,1
1,2418,10,21,715,1
1,405646,54,13,404846,1
0,1735532,71,15,1734645,0
0,995699,86,13,995106,1
0,2026309,9,17,2025506,1
1,483,18,27,1,1
0,1708125,2,15,1707238,0
1,571767,74,17,570709,1
1,888037,87,11,886754,0
0,18905,65,36,17574,1
0,1735953,72,15,1735636,0
1,846780,4,16,844948,1
1,3924,64,35,2239,1
0,287968,36,13,286817,0
1,776048,26,11,775092,0
1,15756,46,30,14755,1
1,232541,30,0,231249,0
1,322283,56,14,321357,0
1,75990,1,8,74263,1
1,156954,97,1,155782,0
1,389254,82,10,388238,1
0,12112,17,26,11726,0
0,3821,14,24,1521,1
1,1680779,33,17,1680060,0
0,11816,48,32,9516,1
1,446968,59,17,445976,0
1,1658775,31,17,1658077,1
1,1430208,22,17,1429318,0
1,1217,96,42,24,0
1,145136,62,7,143469,1
1,703062,67,16,702091,0
1,1786875,50,16,1786159,1
1,1000,42,28,2,0
0,457660,39,5,457121,0
1,2307,53,18,1621,1
0,309976,55,14,309383,0
0,11716,16,26,11321,0
