Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,155219,154,154,7,2,154221,0
0,447552,1,1,0,16,446896,0
0,1524263,36,36,16,23,1522857,0
0,919364,82,82,12,22,918156,0
0,10687,108,108,17,34,9590,0
0,1108489,107,107,25,23,1107152,1
0,33930,49,49,17,31,32737,0
0,340376,72,72,1,4,339975,0
0,566165,33,33,20,8,564966,0
1,6500,31,31,2,29,5433,0
1,496522,92,92,2,10,495068,1
0,480599,127,127,0,16,480417,0
0,1494962,37,37,5,23,1493559,1
0,437003,64,64,1,18,436320,0
0,726501,39,39,10,23,725125,1
0,1117420,106,106,12,23,1116176,1
0,617159,56,56,25,5,615924,0
0,1404649,103,103,12,23,1403372,0
1,3182,22,22,2,35,2247,0
1,553803,89,89,2,12,552229,0
0,1359,79,79,0,32,532,1
1,492874,55,55,2,9,492284,0
0,512575,152,152,21,6,511070,0
0,831522,13,13,17,22,830434,1
0,7259,7,7,0,26,6249,0
1,452810,93,93,2,10,452175,0
0,68405,136,136,19,49,67296,1
0,1047742,141,141,19,22,1046660,1
0,526360,149,149,25,5,525035,1
0,1898756,45,45,19,23,1897875,1
0,1944921,120,120,0,23,1944244,0
0,2480,73,73,19,45,1071,1
0,437973,94,94,0,1,437293,1
0,209311,50,50,4,11,208193,1
0,1587887,118,118,10,22,1586445,1
1,1867030,44,44,2,23,1865636,0
0,15753,11,11,19,27,14641,0
0,580857,34,34,25,8,579490,0
1,10644,91,91,2,47,9307,1
0,367224,148,148,0,5,366097,0
0,1267766,60,60,12,23,1266495,1
0,1506761,114,114,24,21,1505442,1
0,626028,40,40,17,7,624868,1
0,290343,71,71,23,4,289018,0
0,1172370,105,105,12,23,1171051,0
1,411413,87,87,2,24,410007,1
0,42426,98,98,17,3,41221,0
0,532332,150,150,25,5,531106,1
1,1789020,70,70,2,22,1787623,1
0,523945,111,111,25,1,522770,1
0,601068,110,110,17,7,599905,1
0,151073,138,138,19,49,149964,0
0,1733432,124,124,23,23,1732098,0
1,924253,83,83,2,22,923378,1
0,1651899,46,46,17,23,1651012,1
0,228042,112,112,17,4,226948,0
0,484137,78,78,17,15,482659,0
0,1002291,85,85,17,22,1001194,0
0,1751668,123,123,5,23,1750310,0
0,211061,153,153,5,0,209817,0
1,18783,27,27,2,39,17596,0
1,65502,30,30,2,41,63997,0
1,813285,54,54,2,17,812281,0
0,2018230,117,117,17,22,2016848,0
1,434666,126,126,2,16,433053,0
0,598434,74,74,0,10,597786,1
0,1248251,61,61,15,23,1246854,1
0,559992,88,88,25,5,558766,1
0,231983,80,80,8,10,230514,1
0,423600,145,145,19,23,422017,0
1,9275,47,47,2,43,7716,1
0,2090497,21,21,5,23,2089121,1
0,472615,52,52,9,5,471425,0
0,412929,51,51,25,5,411703,0
0,1933792,5,5,1,23,1933010,0
1,1778404,122,122,27,23,1777100,1
0,1127672,133,133,3,18,1126485,0
0,1741983,16,16,11,22,1740772,0
1,1072628,132,132,27,18,1071504,0
0,1152412,35,35,25,20,1151105,1
0,146779,90,90,6,10,145715,1
0,432268,6,6,19,15,431189,0
1,1015761,63,63,2,23,1014583,0
1,1365596,65,65,27,21,1364481,0
0,405983,8,8,1,18,405798,0
1,52782,135,135,2,49,51379,1
1,852,48,48,2,31,1,0
0,233697,3,3,0,11,233434,1
0,1601313,68,68,20,21,1599847,0
1,2053277,20,20,27,23,2051877,1
1,597683,128,128,2,10,596868,1
1,23787,26,26,2,38,22417,0
0,494627,41,41,23,1,493452,0
0,1622991,119,119,0,22,1622125,1
1,262696,59,59,2,13,261617,0
0,1413484,12,12,25,23,1412150,0
0,54854,28,28,0,39,53844,0
0,2157389,43,43,10,23,2156019,0
0,6378,58,58,17,44,4900,1
0,439354,99,99,17,12,437786,0
0,1093548,134,134,18,18,1092211,0
0,211328,151,151,19,8,209856,1
0,59441,97,97,19,3,58461,0
1,1804221,69,69,2,22,1803316,1
0,1547471,115,115,21,21,1546002,1
0,155993,109,109,22,19,154689,1
1,6733,25,25,2,37,6122,0
0,12244,29,29,17,40,11150,0
0,1499180,113,113,21,21,1497708,0
0,67849,96,96,19,3,66767,0
0,340851,9,9,0,4,340480,0
1,377112,2,2,27,15,375718,0
0,586,0,0,1,33,2,0
0,1398991,104,104,16,23,1398122,0
0,458510,17,17,0,4,457881,1
1,929394,76,76,2,17,928210,1
0,13267,23,23,0,36,11954,0
1,1459767,38,38,2,23,1458433,0
0,7956,32,32,22,30,6742,1
1,162444,139,139,27,49,161326,0
0,207419,57,57,0,16,207000,0
0,378535,53,53,20,13,377627,0
0,1683736,14,14,17,22,1682645,0
0,497535,155,155,0,12,496600,0
1,114367,137,137,2,49,112967,0
0,298468,77,77,17,15,296987,0
1,417432,100,100,2,12,415855,0
0,1420721,67,67,25,21,1419405,0
0,318880,147,147,17,5,317777,1
0,799780,140,140,0,14,799199,0
0,8841,18,18,19,28,7366,1
0,37052,129,129,26,48,35940,0
0,1361937,102,102,17,23,1361035,1
0,174865,131,131,12,9,173582,1
0,485,4,4,1,25,3,1
0,27971,81,81,6,46,26910,1
0,403184,95,95,23,1,402012,0
0,85134,86,86,14,13,83866,1
0,1951553,121,121,16,23,1950669,0
1,1386264,101,101,2,23,1384861,0
1,2074708,19,19,2,23,2073437,1
1,1071422,143,143,2,22,1070148,1
0,987463,84,84,0,22,986558,0
0,383794,24,24,19,23,382214,0
0,1370954,66,66,19,21,1369569,1
0,1156856,125,125,0,17,1155972,1
0,1026521,62,62,19,23,1025604,0
0,24760,144,144,17,50,23234,1
0,304330,146,146,19,5,303281,1
0,17944,130,130,17,48,16457,1
0,899374,75,75,3,17,898190,0
0,1672453,15,15,5,22,1671053,0
0,349644,10,10,23,4,348280,0
0,1558841,116,116,0,21,1557681,1
0,6048,42,42,11,42,4708,0
0,1065367,142,142,13,22,1064159,1
