Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,0,1713823,10,10,2,87,28,1711409
1,0,32772,100,100,1,117,4,29866
1,0,373899,31,31,2,26,5,371611
1,0,721934,78,78,2,34,23,719244
0,0,428427,91,91,3,84,20,425755
1,0,1516533,46,46,2,62,30,1514173
0,0,465591,163,163,2,113,15,462814
1,0,54199,34,34,2,46,56,51578
1,0,952113,118,118,1,39,23,949273
0,0,1024944,233,233,2,86,29,1022305
1,0,199898,38,38,1,94,19,197364
0,0,404584,120,120,2,93,21,402206
0,0,473501,202,202,3,122,23,470631
0,0,246580,90,90,2,4,19,243767
0,0,33755,29,29,2,56,42,30969
0,0,355891,244,244,2,117,6,353552
0,0,602339,47,47,2,62,30,600009
1,0,1100880,194,194,1,39,23,1098211
0,0,1123469,221,221,1,95,24,1120611
0,0,1161129,168,168,2,112,30,1158613
1,0,32977,216,216,1,115,83,30248
1,0,33431,28,28,2,99,53,30843
0,0,184674,7,7,2,96,12,182293
1,0,1757922,188,188,2,33,30,1755496
0,0,553480,173,173,3,66,1,550610
0,0,16153,32,32,2,46,54,13502
1,0,292921,245,245,2,119,6,290183
0,0,256062,178,178,2,121,5,253732
0,0,25495,53,53,2,99,59,22811
1,0,8691,195,195,2,29,76,6085
1,0,180436,213,213,2,44,11,177890
1,0,15222,212,212,2,6,80,12538
0,0,849988,205,205,2,80,23,847319
1,0,1919214,106,106,2,74,29,1916677
0,0,546874,144,144,2,106,15,544250
0,0,1014233,136,136,1,28,29,1011738
0,0,519004,251,251,2,75,7,516413
0,0,1176004,167,167,2,105,30,1173581
1,0,82609,139,139,3,42,19,79808
0,0,316755,121,121,1,95,24,314314
0,0,622377,44,44,2,8,29,620053
1,0,483376,99,99,2,108,24,480707
0,0,1314205,93,93,2,112,30,1311887
1,0,1015945,209,209,2,72,23,1013150
1,0,204433,66,66,2,45,14,201761
0,0,1745786,15,15,2,74,29,1743231
1,0,125132,84,84,2,47,4,122370
0,0,17633,24,24,1,65,51,14982
0,0,4209,123,123,2,68,67,1423
0,0,187941,232,232,2,37,5,185287
0,0,1035713,61,61,2,50,25,1032837
0,0,425184,137,137,2,54,16,422410
0,0,513629,257,257,3,83,15,510834
1,0,565358,86,86,2,112,30,563163
0,0,1115182,220,220,2,78,24,1112378
0,0,432436,160,160,1,62,15,429818
1,0,218715,58,58,2,71,17,215884
1,0,86749,154,154,1,69,3,84020
0,0,396102,73,73,1,94,19,393418
0,0,107074,254,254,1,73,2,104540
0,0,602587,45,45,2,86,29,600077
0,0,389747,165,165,1,126,15,387120
0,0,422008,200,200,2,32,17,419294
0,0,1065877,198,198,2,111,25,1063010
0,0,378614,164,164,2,88,15,375975
0,0,309384,112,112,2,121,5,306937
1,0,585607,85,85,2,119,6,583331
0,0,7162,22,22,2,46,49,4697
1,0,650434,42,42,3,38,14,647633
1,0,23290,218,218,2,74,48,20606
0,0,9867,64,64,2,99,61,7462
1,0,442799,201,201,1,48,23,439932
1,0,1695278,9,9,2,41,28,1692543
0,0,700388,17,17,2,107,15,697620
0,0,14845,50,50,3,51,58,11996
0,0,8092,214,214,2,43,81,5759
1,0,13979,197,197,1,0,78,11352
0,0,1045611,208,208,3,72,23,1042786
0,0,15062,89,89,2,46,64,12438
0,0,1061168,114,114,4,72,23,1059124
1,0,8115,172,172,3,45,47,5269
1,0,379418,170,170,2,52,32,376740
1,0,1966199,105,105,2,40,29,1963551
0,0,585177,204,204,3,22,23,582301
0,0,475012,143,143,2,114,7,472298
0,0,1324430,92,92,2,62,30,1322082
1,0,1096585,235,235,2,102,29,1093946
1,0,9580,196,196,1,38,77,6749
1,0,50888,153,153,2,52,20,48174
1,0,1062895,234,234,2,86,29,1060310
0,0,758419,48,48,2,21,21,756089
0,0,12594,152,152,2,46,74,9967
1,0,9089,217,217,2,23,83,6579
0,0,45075,126,126,1,25,70,42286
1,0,1578209,102,102,1,110,28,1575672
0,0,1818146,110,110,2,102,29,1815771
0,0,466038,176,176,2,65,24,463714
0,0,1851640,108,108,2,81,29,1848668
0,0,139709,253,253,2,91,1,138117
0,0,290907,119,119,1,17,21,288478
1,0,1171520,41,41,2,7,27,1169280
1,0,2047179,184,184,2,81,29,2044399
0,0,800723,166,166,2,3,22,798375
1,0,12158,13,13,2,55,41,9363
0,0,21771,87,87,2,46,62,19363
0,0,488327,203,203,3,22,23,485541
0,0,454333,159,159,2,107,15,451748
0,0,262330,243,243,2,84,6,259847
0,0,568854,259,259,2,106,15,566233
1,0,16377,146,146,2,46,72,13513
1,0,180486,37,37,2,42,19,177754
0,0,1596686,185,185,2,40,29,1594209
0,0,301826,242,242,2,90,29,299487
0,0,736453,82,82,3,72,23,733583
0,0,1006971,1,1,5,82,30,1005142
0,0,20976,60,60,2,8,44,18310
0,0,5331,151,151,2,99,73,2932
1,0,629809,115,115,3,5,13,627020
0,0,1825289,187,187,2,62,30,1822929
0,0,590672,258,258,1,62,15,588504
1,0,6553,122,122,2,63,66,4166
0,0,1152306,222,222,2,116,24,1149583
1,0,13678,157,157,2,15,3,10931
0,0,468388,71,71,3,80,6,465485
0,0,476059,150,150,1,104,5,473501
1,0,1152001,179,179,1,110,28,1149578
1,0,1007699,206,206,2,72,23,1005114
1,0,1129346,169,169,2,62,30,1126764
0,0,696919,76,76,2,22,23,694046
0,0,1156973,236,236,2,30,29,1154469
1,0,221070,142,142,2,86,9,218443
0,0,463778,83,83,2,35,16,460986
0,0,11062,6,6,2,36,37,8450
1,0,1553361,181,181,2,41,28,1550629
0,0,280853,67,67,2,127,23,278046
0,0,546370,49,49,2,96,8,543824
0,0,399549,238,238,2,54,16,396772
0,0,57145,59,59,3,92,44,54284
0,0,817323,81,81,2,72,23,814468
0,0,408107,19,19,1,23,5,405750
1,0,60414,227,227,2,12,85,57859
1,0,988200,207,207,2,34,23,985546
1,0,7898,12,12,2,64,40,5274
0,0,245264,51,51,2,2,0,242583
0,0,4732,125,125,2,99,69,2051
0,0,21506,62,62,2,99,60,18858
1,0,23129,128,128,3,99,71,20358
0,0,428401,72,72,2,76,18,425663
1,0,950785,134,134,2,40,29,948302
0,0,34218,63,63,2,99,60,31414
0,0,2065088,103,103,1,28,29,2062416
0,0,15093,158,158,3,128,19,12226
0,0,1251196,180,180,2,120,28,1248512
1,0,352788,249,249,2,111,18,350182
1,0,565683,141,141,2,117,6,563344
1,0,10603,8,8,3,1,38,7772
1,0,212927,0,0,5,24,13,211077
0,0,1200167,193,193,2,34,23,1197396
0,0,652210,98,98,2,11,8,649424
1,0,10893,94,94,2,60,31,8359
1,0,4709,33,33,2,51,55,2067
0,0,119436,255,255,2,13,2,116878
1,0,14331,230,230,2,24,86,11776
0,0,1633076,186,186,1,28,29,1630521
0,0,7054,124,124,2,51,68,4541
1,0,456596,18,18,2,37,5,453903
1,0,3590,211,211,2,29,80,942
0,0,1816759,189,189,2,112,30,1814429
1,0,2010450,111,111,2,113,30,2008033
1,0,529696,175,175,2,66,1,526820
0,0,272153,68,68,2,72,23,269451
1,0,423886,69,69,2,117,6,421607
1,0,408724,140,140,1,31,33,406415
0,0,1189938,225,225,2,109,24,1187140
0,0,25731,11,11,3,58,39,22858
0,0,35248,54,54,2,99,59,32438
1,0,2099,4,4,5,124,35,3
0,0,867065,117,117,2,72,23,864531
1,0,460231,149,149,2,24,13,457457
0,0,2113696,55,55,1,28,29,2111357
0,0,783613,80,80,2,34,23,780839
1,0,35322,191,191,2,63,75,32611
0,0,506933,21,21,3,72,23,504105
1,0,41459,219,219,3,108,84,38613
0,0,584285,174,174,0,21,1,581721
0,0,404953,162,162,2,88,15,402317
0,0,16042,113,113,3,51,65,13142
1,0,574686,148,148,1,93,13,571897
1,0,596823,97,97,2,118,8,594229
0,0,71558,155,155,1,77,3,69066
0,0,1102343,226,226,2,78,24,1099539
0,0,556640,252,252,2,98,7,553878
0,0,22835,147,147,2,99,72,20457
0,0,65602,27,27,2,46,52,62846
1,0,2171498,182,182,2,102,29,2169063
1,0,3099,88,88,2,51,63,313
1,0,2201057,57,57,2,112,30,2198634
0,0,1865809,107,107,2,74,29,1862957
1,0,2060220,183,183,2,102,29,2057611
1,0,8030,145,145,2,51,72,5538
1,0,54570,30,30,3,56,42,51787
1,0,12466,229,229,2,103,85,9926
1,0,1650945,14,14,2,125,29,1648582
0,0,1181628,224,224,2,78,24,1179322
1,0,580806,96,96,5,85,8,578836
0,0,321121,171,171,2,97,30,318503
1,0,880730,135,135,2,40,29,877992
1,0,7331,95,95,3,61,46,4482
1,0,156435,36,36,3,86,19,153649
1,0,249052,75,75,2,3,9,246272
1,0,344245,16,16,2,100,0,341906
1,0,194602,248,248,3,86,9,191840
0,0,536061,256,256,2,88,15,533287
0,0,1828534,109,109,2,86,29,1825916
1,0,450835,70,70,2,117,6,448496
0,0,14547,23,23,2,46,50,12235
0,0,417885,138,138,2,53,16,415123
1,0,237391,74,74,2,20,9,234584
0,0,7271,25,25,2,99,51,4884
0,0,3982,3,3,2,70,34,1541
1,0,21057,156,156,2,43,3,18763
0,0,388287,239,239,2,116,16,385492
0,0,11601,43,43,2,51,57,9187
0,0,185153,26,26,2,128,26,182502
0,0,110238,228,228,3,101,85,107374
0,0,768058,79,79,2,72,23,765323
1,0,8573,215,215,2,65,82,6039
1,0,7513,5,5,2,123,36,4757
1,0,191757,116,116,2,59,10,188965
1,0,205713,246,246,2,19,9,202903
1,0,1409461,101,101,3,34,28,1406588
1,0,775880,132,132,2,81,29,773208
1,0,12861,240,240,2,109,87,10087
0,0,735391,130,130,2,74,29,733043
0,0,1731005,190,190,3,7,27,1728183
0,0,171302,231,231,4,11,12,169443
1,0,187696,247,247,2,14,9,185057
1,0,2180588,56,56,2,57,30,2178147
1,0,17047,40,40,2,105,43,14579
0,0,222070,177,177,2,67,5,219359
0,0,1169591,223,223,3,108,24,1166769
1,0,2776,52,52,1,10,59,113
1,0,935144,133,133,2,86,29,932427
0,0,8596,127,127,2,51,70,5819
0,0,24923,65,65,2,18,45,22032
0,0,42017,199,199,1,49,79,39222
1,0,1150558,192,192,1,89,23,1147775
1,0,665447,77,77,3,22,23,662586
0,0,276688,210,210,1,97,24,274223
1,0,396615,250,250,1,9,18,394090
0,0,381075,237,237,2,16,16,378301
1,0,2102129,104,104,2,102,29,2099463
0,0,255561,20,20,1,39,23,253126
1,0,22052,241,241,2,7,88,19278
0,0,198843,129,129,2,79,5,196225
0,0,763632,131,131,2,74,29,761305
0,0,421319,161,161,2,126,15,418704
1,0,167573,39,39,3,27,19,164778
1,0,11536,35,35,2,51,56,9554
1,0,597333,2,2,1,9,18,595705
