Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,1169344,41,1,0,44,1158920
1,7614,2,0,0,60,1030
1,609988,156,1,0,10,605538
0,1211309,161,1,0,49,1200861
1,71128,81,1,0,45,60752
1,18759,150,3,1,107,8548
1,52109,56,1,0,5,41772
1,18044,37,1,0,30,13358
0,424181,137,1,0,10,413739
0,225503,222,1,0,8,215040
0,1026196,140,3,1,49,1015775
0,330111,109,1,0,15,322282
1,458221,51,1,0,10,447770
0,328819,65,1,0,30,318764
0,18045,172,1,0,110,7588
1,83617,101,1,0,27,73238
0,743366,13,3,1,28,733188
0,775910,130,1,0,33,765552
0,796435,42,3,1,32,786038
0,296067,110,3,1,33,288610
1,7780,9,2,0,63,2
0,818767,119,1,0,29,810066
0,573981,157,1,0,10,563530
1,459416,62,1,0,34,449073
1,5380,26,3,1,75,2
1,214744,10,3,1,38,206012
1,31572,75,1,0,36,21127
1,63253,173,1,0,111,52823
0,286931,190,1,0,51,283691
0,149649,114,2,0,23,143326
1,14171,178,2,0,34,4392
1,11492,32,1,0,78,5925
1,26884,61,1,0,16,16478
1,45907,205,2,0,50,38978
0,13390,159,1,0,70,2987
0,193120,183,2,0,23,183374
0,9732,191,1,0,116,1
1,1233807,176,3,1,46,1224493
1,62951,94,1,0,53,52593
1,970184,184,1,0,46,959784
1,138304,215,1,0,13,127910
1,13701,151,1,0,108,3220
0,328850,47,1,0,29,318795
1,5595,7,2,0,62,1
0,213628,100,1,0,52,203258
0,24168,112,3,1,98,13795
1,31191,120,1,0,35,20812
0,3034,91,2,0,95,2
1,347060,219,2,0,34,339083
1,127990,148,3,1,53,117557
1,390898,218,1,0,34,380639
1,60872,206,1,0,50,50520
1,141214,129,1,0,27,130814
0,842551,211,1,0,35,832124
0,475972,77,2,0,2,470489
1,409474,179,1,0,33,399029
1,47512,123,1,0,29,39092
0,2345983,164,1,0,50,2335691
0,33876,199,1,0,121,23431
0,2017022,5,2,0,48,2011656
0,745319,40,1,0,32,734937
0,908777,38,1,0,37,898398
0,1020605,200,3,1,48,1014285
1,25728,93,3,1,55,21774
0,13163,66,1,0,87,2601
0,789447,212,3,1,35,779023
0,7954,192,2,0,117,2
1,229560,213,1,0,28,219184
0,1028641,20,1,0,40,1018586
1,69531,217,1,0,13,59128
0,5243,69,1,0,88,2
0,9826,23,2,0,74,2831
1,12411,132,3,1,102,1858
0,6482,4,2,0,61,3
1,78813,196,1,0,51,72588
1,12312,195,2,0,51,7990
1,40663,197,1,0,120,30197
1,24830,102,1,0,27,14646
0,288082,208,1,0,50,277652
1,64484,127,2,0,30,55971
1,127475,170,1,0,54,117093
1,32850,186,1,0,9,28143
0,207695,53,1,0,15,204667
1,36235,216,1,0,13,25871
0,11147,33,2,0,79,4143
0,1351353,153,3,1,46,1340908
0,30892,74,1,0,22,20468
1,54812,6,1,0,32,50482
1,353296,97,2,0,51,348857
0,7476,0,2,0,59,127
1,21015,76,1,0,18,14486
0,5481,154,2,0,109,1
1,5231,27,1,0,66,1
1,78745,64,1,0,43,68291
0,574518,141,3,1,12,565420
1,27113,193,3,1,118,16665
0,647211,115,3,1,46,636820
1,802151,14,1,0,50,791817
0,65194,22,1,0,0,54806
1,6388,122,1,0,100,323
0,243214,167,1,0,33,232769
0,62219,39,1,0,82,51870
1,19188,34,1,0,80,11071
1,22103,169,1,0,33,14689
0,239506,160,2,0,15,231410
0,217558,3,3,1,25,208664
1,52443,44,3,1,48,42064
0,5929,149,1,0,69,3
1,35770,43,3,1,83,25298
0,5956,21,1,0,73,733
0,586972,46,1,0,8,576509
1,88568,198,1,0,120,78117
0,13525,108,3,1,97,3143
0,623676,90,1,0,12,613279
1,11537,174,1,0,112,1098
0,505288,12,1,0,4,494840
1,39653,25,1,0,37,33702
1,158064,214,1,0,13,147781
1,54831,125,1,0,51,44338
1,1392969,105,1,0,49,1382515
0,2345195,165,1,0,51,2334792
0,5893,36,1,0,81,1
0,1174010,188,2,0,43,1168695
0,595061,49,3,1,25,584655
1,89016,117,1,0,42,78604
1,487135,85,1,0,38,478468
0,3341,189,2,0,115,3
0,5467,73,2,0,91,2
1,225073,35,1,0,27,217409
1,6046,79,2,0,93,2
0,610602,139,1,0,26,600223
0,548110,152,1,0,18,541838
0,8611,116,1,0,68,3
1,940675,89,1,0,49,930293
0,566844,202,3,1,17,556376
1,94486,145,1,0,37,84056
1,19647,55,1,0,85,9304
1,1142692,88,2,0,48,1136952
1,17336,68,1,0,12,6891
1,6309,70,3,1,89,1
0,6144,63,1,0,86,3
0,796416,187,1,0,29,789632
0,252780,210,1,0,16,242332
0,6275,18,3,1,72,3
1,9243,24,3,1,65,3028
0,230403,209,1,0,10,222871
0,638425,171,1,0,18,628055
1,34341,16,2,0,32,26002
0,5690,78,3,1,92,3
1,6239,134,2,0,104,3
0,47046,58,3,1,67,36631
0,1352921,107,1,0,49,1342479
0,536745,48,1,0,18,531839
0,1415129,8,3,1,46,1406220
1,53597,31,1,0,57,43140
0,6877,30,1,0,77,2
1,82139,162,1,0,3,71676
1,534898,113,2,0,33,529028
1,97751,80,2,0,23,91272
1,40882,92,3,1,41,30431
0,64329,98,1,0,1,53935
0,19778,83,1,0,94,9420
1,364064,57,1,0,33,353619
0,501262,103,1,0,20,494255
0,1441553,106,1,0,49,1431102
0,736142,224,3,1,29,726108
0,18102,17,1,0,71,7759
0,635740,96,1,0,14,625292
1,29124,135,1,0,104,18715
0,510863,220,1,0,6,500484
0,347622,84,1,0,50,337195
0,8750,11,3,1,64,352
1,12299,144,3,1,106,2049
0,816094,67,1,0,33,805796
0,424985,124,1,0,31,418893
1,11317,86,3,1,30,5433
0,902706,95,1,0,38,892584
0,656937,155,1,0,22,646543
0,400877,71,2,0,31,396354
0,490459,111,1,0,7,480062
1,188433,128,1,0,10,178087
1,34480,143,1,0,24,24017
1,76316,29,2,0,31,71757
0,571102,15,1,0,39,563645
0,508446,158,1,0,10,497998
1,22907,1,2,0,50,17262
1,72152,147,1,0,28,61794
1,7036,194,1,0,119,1
0,1048694,136,1,0,41,1038261
1,14711,133,3,1,103,4479
1,5905,54,1,0,84,1
1,8139,177,3,1,113,1
1,15047,121,3,1,99,4680
