Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,320234,147,147,23,15,319014,0
0,81801,40,40,11,45,80905,1
1,15410,226,226,2,38,14340,1
0,2162466,66,66,11,19,2161639,0
1,779639,95,95,2,14,778437,0
0,1098996,239,239,3,18,1097833,1
0,444826,201,201,11,14,443996,1
0,1077230,227,227,11,15,1076451,0
0,33929,169,169,20,2,32910,1
0,1422032,55,55,15,19,1421220,0
1,652441,52,52,2,8,651695,1
0,402463,87,87,21,5,401243,0
0,18040,108,108,23,58,16886,0
0,402910,139,139,11,14,402068,1
0,1153229,240,240,22,18,1151997,0
0,750678,156,156,24,18,750031,1
0,9906,4,4,22,23,8728,1
0,12258,155,155,23,69,11053,1
0,2202990,65,65,24,19,2202343,1
0,1011398,159,159,1,18,1010715,0
0,375897,23,23,26,19,375253,0
0,992655,211,211,11,14,991897,1
0,4632,137,137,22,32,3406,1
0,581117,205,205,15,14,580287,0
1,493669,121,121,33,15,492404,1
0,749602,56,56,16,19,748862,1
0,1832,61,61,22,47,591,0
0,217780,244,244,12,5,216641,0
0,1088191,238,238,16,18,1087412,1
0,822069,208,208,18,14,821287,0
1,10709,218,218,2,78,9531,0
0,23056,193,193,18,74,22262,0
0,691455,92,92,11,14,690643,0
1,497406,34,34,2,4,496306,0
0,365512,36,36,23,4,364310,1
0,9985,151,151,0,66,9303,0
1,4174,29,29,2,42,2966,0
0,1070767,196,196,11,14,1069991,0
0,599280,204,204,11,14,598465,1
0,26139,27,27,11,42,25351,1
1,182780,42,42,2,12,181743,1
0,196658,242,242,14,5,195561,0
0,394684,22,22,1,14,394031,1
0,1897997,128,128,11,18,1897239,0
0,1860,163,163,0,70,1114,1
0,589228,206,206,23,14,588062,0
0,400728,176,176,0,15,399566,0
0,617253,207,207,11,14,616495,0
1,745129,162,162,2,9,744176,0
0,1428734,54,54,26,19,1428093,0
0,1968229,126,126,11,18,1967444,1
1,13702,26,26,2,41,12743,0
0,1193619,232,232,1,15,1192936,0
0,210588,243,243,20,5,209491,0
1,17599,79,79,2,51,16553,0
0,1057942,133,133,22,14,1056725,0
0,663709,105,105,11,18,662936,1
0,1471918,183,183,5,17,1470884,0
1,884301,141,141,2,14,883339,1
0,18090,97,97,29,53,17131,0
0,1783506,130,130,11,18,1782673,1
0,1194158,233,233,0,15,1193721,0
1,5205,98,98,2,54,4201,1
1,177073,106,106,2,20,175745,0
0,153559,235,235,29,80,152606,0
0,4472,216,216,23,76,3321,0
0,979496,116,116,29,19,978543,1
0,1905082,69,69,11,19,1904309,1
1,27009,45,45,2,28,25858,1
0,38006,197,197,11,75,37197,0
0,1221966,178,178,14,17,1220947,0
0,226729,43,43,0,12,226322,1
1,76658,39,39,0,45,76494,0
0,987733,114,114,0,19,987176,1
1,937169,158,158,2,18,936387,1
0,416187,122,122,23,15,415021,1
0,983808,115,115,29,19,982858,1
1,497744,120,120,33,15,496932,1
1,3831,170,170,2,73,3070,1
1,3587,164,164,2,71,2544,0
0,10011,38,38,11,44,9199,1
0,1474427,53,53,27,19,1473666,0
0,36547,223,223,9,37,35690,0
0,531335,174,174,0,1,530982,1
1,477748,119,119,2,15,476525,1
1,1925877,68,68,2,19,1925107,1
0,1564778,74,74,16,19,1564014,1
0,1106541,228,228,22,15,1105297,0
0,15525,110,110,8,31,14710,1
1,2102,112,112,2,59,1101,1
0,178084,111,111,21,16,176870,1
0,712890,93,93,18,14,712129,1
0,77581,8,8,20,8,76523,1
0,855470,140,140,7,14,854496,0
0,1677,77,77,28,49,712,1
0,301271,148,148,18,15,300510,0
1,11639,198,198,2,75,10170,0
0,2202884,185,185,24,18,2202237,1
0,1487286,181,181,14,17,1486264,1
0,2879,135,135,11,62,2091,1
0,12102,220,220,0,35,11231,0
1,563168,90,90,2,14,561921,1
0,12897,5,5,0,24,11857,1
0,878597,143,143,11,14,877761,0
1,2640,172,172,2,33,1327,0
0,2089274,125,125,24,18,2088630,1
0,384191,37,37,14,4,383100,0
0,323886,161,161,25,11,323095,1
0,571633,48,48,11,7,570836,0
0,684782,58,58,29,19,683826,0
0,914563,157,157,26,18,913814,0
0,31139,62,62,22,48,29922,0
1,1247221,180,180,2,17,1246121,0
0,1222996,107,107,16,19,1222181,1
0,297062,81,81,22,14,295851,0
0,1049347,134,134,15,14,1048619,0
0,36628,46,46,23,28,35402,1
1,1131697,171,171,2,19,1130438,1
0,31870,222,222,11,37,31118,0
1,295086,101,101,2,12,293887,1
0,946792,6,6,22,14,945539,1
1,2901,221,221,2,36,1762,0
0,1639752,124,124,19,17,1638709,0
0,644758,118,118,25,6,643769,0
0,17814,236,236,28,80,16873,1
0,826530,12,12,18,18,825718,1
0,335,10,10,0,25,3,0
1,7239,184,184,2,0,5971,1
1,41030,153,153,2,68,39978,0
0,19059,168,168,11,72,18244,0
0,1188618,194,194,30,14,1187623,0
0,1745136,192,192,16,19,1744339,0
1,2521,109,109,2,58,1283,1
0,250812,146,146,22,15,249592,0
0,731234,57,57,11,19,730422,0
0,1075329,3,3,1,14,1075195,1
1,137805,160,160,2,12,136807,0
0,492438,202,202,22,14,491209,0
0,1604402,189,189,17,18,1603254,0
0,11189,50,50,23,46,10047,1
1,13960,13,13,2,26,13361,1
0,39296,63,63,22,48,38151,0
0,375903,35,35,20,4,374896,1
0,12268,237,237,22,81,10958,0
0,2097143,191,191,11,19,2096334,1
0,13009,154,154,23,68,11804,0
0,550504,49,49,11,7,549704,0
0,11743,224,224,11,37,10985,1
1,556235,173,173,2,1,555144,0
0,1165493,230,230,11,15,1164663,0
1,381597,14,14,2,10,380962,0
0,9178,76,76,11,29,8375,1
0,2165485,186,186,24,18,2164835,1
1,41345,80,80,32,30,40839,0
1,29968,166,166,2,72,28721,0
0,358168,103,103,24,18,357524,0
1,517373,21,21,2,14,516597,1
0,37518,31,31,11,27,36670,0
0,1588977,123,123,30,17,1588012,0
0,1147481,177,177,7,17,1146423,1
0,15379,219,219,11,78,14528,0
0,77977,41,41,11,3,77144,0
0,658646,91,91,11,14,657867,0
0,3650,150,150,6,65,2478,1
1,551759,89,89,2,14,550737,1
1,35179,44,44,2,13,34406,1
0,614,51,51,0,46,222,1
1,1921338,127,127,2,18,1920505,1
1,287088,100,100,2,12,285889,1
0,1173402,231,231,18,15,1172566,0
0,37248,167,167,23,72,35989,1
1,55904,32,32,2,27,55386,1
1,1887968,129,129,2,18,1886823,0
0,432927,247,247,14,5,431740,0
0,13082,113,113,0,60,12327,1
0,386514,175,175,22,15,385279,0
0,832741,210,210,22,14,831566,0
0,28969,25,25,1,40,28568,0
0,738,2,2,0,22,1,0
0,5008,9,9,11,25,4142,0
0,227094,18,18,1,12,226831,1
0,14090,64,64,22,48,12945,0
0,1026,225,225,0,79,841,1
0,1863,104,104,18,57,1015,0
0,2029082,19,19,22,19,2027874,1
1,445921,17,17,2,4,445157,0
0,251858,20,20,0,14,251211,0
0,1022329,213,213,18,14,1021526,1
0,23025,136,136,0,63,22318,0
0,1675,215,215,11,34,854,1
1,26635,165,165,33,72,25832,0
0,2151652,67,67,9,19,2150759,1
0,2155792,187,187,24,18,2155145,0
0,392050,88,88,0,12,391007,0
0,19523,47,47,23,28,18321,1
0,1687805,71,71,4,19,1687044,0
0,10624,96,96,31,52,9845,0
0,266241,144,144,11,15,265438,0
0,313431,85,85,11,14,312547,0
0,486743,59,59,14,1,485586,0
0,285745,83,83,11,14,284939,0
1,827468,209,209,2,14,826311,1
0,1047,1,1,25,21,259,0
0,265814,200,200,25,11,265029,1
0,18784,99,99,18,55,18002,0
0,997273,212,212,11,14,996476,1
0,305564,86,86,8,14,304740,0
1,13592,102,102,2,56,12324,1
0,30765,28,28,11,42,29968,1
0,422034,16,16,14,4,420934,0
0,941707,7,7,11,14,940901,1
0,12388,138,138,0,64,11468,0
1,269718,149,149,2,19,269074,1
0,65754,234,234,28,80,64810,1
0,1522877,182,182,25,17,1521903,1
0,17173,217,217,23,77,16040,1
0,13948,30,30,10,43,13148,0
0,387281,11,11,23,14,386064,0
1,290434,82,82,2,14,289571,0
0,975187,117,117,29,19,974237,1
0,1679298,73,73,25,19,1678525,0
1,6002,241,241,2,82,5043,0
1,1592913,75,75,33,19,1591840,1
