Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,301826,242,242,29,299487,0
1,0,32772,98,98,4,29866,1
0,0,373899,29,29,5,371611,1
0,0,721934,76,76,23,719244,1
0,0,428427,89,89,20,425755,0
0,0,1516533,44,44,30,1514173,1
0,0,465591,161,161,15,462814,0
0,0,54199,32,32,56,51578,1
1,0,952113,116,116,23,949273,1
0,0,1062895,234,234,29,1060310,1
1,0,199898,36,36,19,197364,1
0,0,404584,118,118,21,402206,0
0,0,473501,202,202,23,470631,0
0,0,246580,88,88,19,243767,0
0,0,33755,27,27,42,30969,0
0,0,355891,244,244,6,353552,0
0,0,993191,45,45,30,990858,1
1,0,1100880,194,194,23,1098211,1
1,0,1123469,221,221,24,1120611,0
0,0,1161129,166,166,30,1158613,0
1,0,32977,216,216,83,30248,1
0,0,33431,26,26,53,30843,1
0,0,184674,6,6,12,182293,0
0,0,1757922,188,188,30,1755496,1
0,0,553480,173,173,1,550610,0
0,0,16153,30,30,54,13502,0
0,0,292921,245,245,6,290183,1
0,0,256062,178,178,5,253732,0
0,0,25495,51,51,59,22811,0
0,0,8691,195,195,76,6085,1
0,0,180436,213,213,11,177890,1
0,0,15222,212,212,80,12538,1
0,0,849988,205,205,23,847319,0
0,0,1966199,103,103,29,1963551,1
0,0,546874,142,142,15,544250,0
0,0,1024944,233,233,29,1022305,0
0,0,519004,251,251,7,516413,0
0,0,1176004,165,165,30,1173581,0
0,0,82609,137,137,19,79808,1
1,0,316755,119,119,24,314314,0
0,0,735391,128,128,29,733043,0
0,0,483376,97,97,24,480707,1
0,0,1314205,91,91,30,1311887,0
0,0,1015945,209,209,23,1013150,1
0,0,204433,64,64,14,201761,1
0,0,1800605,108,108,29,1797939,1
0,0,125132,82,82,4,122370,1
1,0,17633,22,22,51,14982,0
0,0,4209,121,121,67,1423,0
0,0,187941,232,232,5,185287,0
0,0,1035713,59,59,25,1032837,0
0,0,425184,135,135,16,422410,0
0,0,513629,257,257,15,510834,0
0,0,568671,172,172,30,566338,1
0,0,1115182,220,220,24,1112378,0
1,0,432436,158,158,15,429818,0
0,0,218715,56,56,17,215884,1
1,0,86749,152,152,3,84020,1
1,0,396102,71,71,19,393418,0
1,0,107074,254,254,2,104540,0
0,0,622377,42,42,29,620053,0
1,0,389747,163,163,15,387120,0
0,0,422008,200,200,17,419294,0
0,0,1065877,198,198,25,1063010,0
0,0,378614,162,162,15,375975,0
0,0,309384,110,110,5,306937,0
0,0,585607,83,83,6,583331,1
0,0,7162,20,20,49,4697,0
0,0,650434,40,40,14,647633,1
0,0,23290,218,218,48,20606,1
0,0,9867,62,62,61,7462,0
1,0,442799,201,201,23,439932,1
0,0,1695278,8,8,28,1692543,1
0,0,700388,15,15,15,697620,0
0,0,14845,48,48,58,11996,0
0,0,8092,214,214,81,5759,0
1,0,13979,197,197,78,11352,1
0,0,1045611,208,208,23,1042786,0
0,0,15062,87,87,64,12438,0
0,0,1061168,112,112,23,1059124,0
0,0,8115,171,171,47,5269,1
0,0,379418,169,169,32,376740,1
0,0,2047179,184,184,29,2044399,1
0,0,585177,204,204,23,582301,0
0,0,475012,141,141,7,472298,0
0,0,1324430,90,90,30,1322082,0
0,0,1156973,236,236,29,1154469,0
1,0,9580,196,196,77,6749,1
0,0,50888,151,151,20,48174,1
0,0,1096585,235,235,29,1093946,1
0,0,758419,46,46,21,756089,0
0,0,12594,150,150,74,9967,0
0,0,9089,217,217,83,6579,1
1,0,45075,124,124,70,42286,0
1,0,1578209,100,100,28,1575672,1
0,0,1828534,107,107,29,1825916,0
0,0,466038,176,176,24,463714,0
0,0,1865809,105,105,29,1862957,0
0,0,139709,253,253,1,138117,0
1,0,290907,117,117,21,288478,0
0,0,1171520,39,39,27,1169280,1
0,0,2060220,183,183,29,2057611,1
0,0,800723,164,164,22,798375,0
0,0,12158,11,11,41,9363,1
0,0,21771,85,85,62,19363,0
0,0,488327,203,203,23,485541,0
0,0,454333,157,157,15,451748,0
0,0,262330,243,243,6,259847,0
0,0,568854,259,259,15,566233,0
0,0,16377,144,144,72,13513,1
0,0,180486,35,35,19,177754,1
1,0,1633076,186,186,29,1630521,0
0,0,602587,43,43,29,600077,0
0,0,736453,80,80,23,733583,0
0,0,1129346,168,168,30,1126764,1
0,0,20976,58,58,44,18310,0
0,0,5331,149,149,73,2932,0
0,0,629809,113,113,13,627020,1
0,0,1825289,187,187,30,1822929,0
1,0,590672,258,258,15,588504,0
0,0,6553,120,120,66,4166,1
0,0,1152306,222,222,24,1149583,0
