Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,12909,143,143,111,10807,1
0,0,6110,99,100,99,3849,0
1,0,457048,89,90,9,454787,0
0,0,478833,231,231,6,476677,0
0,0,16869,152,152,114,14662,0
1,0,552888,220,220,15,550654,0
0,0,835809,96,97,28,833647,0
0,0,3770,49,50,87,732,1
1,0,1069200,211,211,45,1067095,0
1,0,9061,54,55,72,6806,1
0,0,2776,155,155,115,509,0
1,0,76342,180,180,33,73994,1
1,0,1167843,145,145,41,1165567,0
0,0,3747,24,25,70,1363,1
0,1,692573,68,69,19,690150,0
0,0,27924,7,8,17,26149,1
0,0,754574,176,176,26,752403,0
1,0,1157625,117,117,42,1155433,0
1,0,12933,113,113,39,10912,1
1,0,96434,222,222,5,94266,1
1,0,45480,198,198,120,43330,1
0,0,604953,79,80,20,602554,0
1,0,5633,13,14,60,4134,0
1,0,763015,82,83,37,760970,0
0,0,4215,70,71,19,1969,1
0,0,480713,37,38,4,478230,0
1,0,114439,9,10,3,112868,1
0,0,14957,63,64,74,12933,0
1,0,356577,106,107,51,354673,0
0,0,45278,100,101,18,42840,0
1,0,50723,121,121,104,48507,1
1,0,562476,174,174,10,560179,0
0,0,56175,84,85,5,53914,1
1,0,1621,64,65,93,2,1
0,0,1009290,44,45,38,1006993,0
0,0,11646,124,124,105,9286,1
0,0,487264,94,95,17,485114,0
0,0,47037,178,178,118,44773,1
0,0,371476,173,173,18,369323,0
0,0,477337,11,12,9,476408,0
0,0,1835184,66,67,46,1832923,0
1,0,53359,115,115,39,52601,1
0,0,1062,3,4,69,1,0
1,0,441740,92,93,29,439797,1
1,0,81519,12,13,5,79698,1
0,0,65232,219,219,50,62692,1
0,0,707127,47,48,23,704929,0
0,0,76316,29,30,50,74154,1
1,0,777368,224,224,31,775140,0
0,0,3230,128,128,22,921,1
0,0,2056,48,49,86,2,1
0,0,4947,45,46,84,2638,0
1,0,372955,230,230,29,370655,1
0,0,2326647,17,18,52,2325364,0
1,0,11060,142,142,31,8994,1
0,0,4184,235,235,35,1923,1
0,0,59089,40,41,55,56687,1
1,0,113111,168,168,15,111105,1
0,0,79561,118,118,55,77369,1
1,0,1451239,129,129,50,1449053,0
