Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
1,1037760,370,22,1037092
0,18293,404,96,17649
0,1236,126,44,691
0,55025,360,84,54438
0,1457890,90,28,1457246
1,487260,205,23,486679
0,1995197,222,27,1994529
0,9057,388,91,8128
0,28680,132,64,27985
0,622513,28,28,621803
1,807166,156,22,806492
0,112468,401,95,111971
0,4870,342,79,4217
0,2682,269,77,1954
1,163066,9,8,162521
0,1943209,10,28,1942577
0,735451,97,28,734867
1,1357417,313,28,1356881
1,1481322,93,28,1480762
1,36247,73,15,35642
0,1187163,348,22,1186465
0,120884,36,14,120498
1,1894275,111,28,1893637
0,438865,353,17,438233
0,308712,371,16,308044
0,1033564,302,18,1032920
0,1578872,120,28,1578312
0,77237,62,58,76545
0,17407,266,75,16820
0,497483,127,17,496893
1,1707996,30,27,1707370
1,6677,380,87,6162
1,278070,227,3,277438
0,1686468,112,28,1685914
0,477620,210,6,476973
0,565167,383,20,564760
1,3882,128,61,3223
0,1685667,117,28,1685527
0,7629,235,71,6979
0,1645,357,84,1004
1,376974,57,3,376393
0,767988,276,27,767290
1,426818,141,4,426186
0,7249,55,57,6641
0,265007,264,23,264339
0,28027,46,53,27344
1,1118634,322,28,1117975
1,30799,74,15,30158
1,159847,68,14,159101
0,694973,310,27,694383
0,1610144,115,28,1609563
0,487905,172,3,487330
1,356421,430,13,355831
1,1921473,108,28,1920904
1,10499,40,51,10110
0,1739252,338,28,1738602
0,515441,211,6,514617
1,1109679,319,28,1109041
0,347837,19,3,347313
0,250738,326,3,250097
1,4939,8,33,4241
0,570400,76,7,569783
0,544317,150,22,543658
0,52129,270,77,51491
1,19103,381,87,18480
0,4829,263,74,4128
1,599763,238,10,598996
0,430625,13,16,430509
1,1142859,409,27,1142287
0,339516,230,3,338926
1,1413348,214,26,1412725
1,1066542,405,27,1065931
0,15668,346,80,15015
1,6518,307,1,5874
1,26110,309,14,25487
1,504309,428,4,503911
1,610947,368,22,610288
0,1935320,221,27,1934724
0,216763,325,3,216122
1,588625,161,4,587969
1,412598,286,30,411981
1,463493,102,0,462885
1,14001,394,93,13402
0,276224,140,22,275592
1,602338,323,6,601643
1,1845,389,92,1489
0,314714,123,12,314181
0,1464254,89,28,1463646
1,1100102,407,27,1099440
0,444695,33,3,444042
