Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,0,301826,242,2,0,30,299487
1,0,32772,97,1,1,4,29866
1,0,373899,29,2,0,5,371611
1,0,721934,74,2,0,23,719244
0,0,428427,87,3,0,20,425755
1,0,1516533,43,2,0,31,1514173
0,0,465591,161,2,0,15,462814
1,0,54199,32,2,0,57,51578
1,0,952113,116,1,1,23,949273
1,0,1062895,234,2,0,30,1060310
1,0,199898,36,1,1,19,197364
0,0,404584,118,2,0,21,402206
0,0,473501,202,3,0,23,470631
0,0,246580,86,2,0,19,243767
0,0,33755,27,2,0,43,30969
0,0,355891,244,2,0,6,353552
1,0,993191,44,2,0,31,990858
1,0,1100880,194,1,1,23,1098211
0,0,1123469,221,1,1,24,1120611
0,0,1161129,166,2,0,31,1158613
1,0,32977,216,1,1,84,30248
1,0,33431,26,2,0,54,30843
0,0,184674,6,2,0,12,182293
1,0,1757922,188,2,0,31,1755496
0,0,553480,173,3,0,1,550610
0,0,16153,30,2,0,55,13502
1,0,292921,245,2,0,6,290183
0,0,256062,178,2,0,5,253732
0,0,25495,50,2,0,60,22811
1,0,8691,195,2,0,77,6085
1,0,180436,213,2,0,11,177890
1,0,15222,212,2,0,81,12538
0,0,849988,205,2,0,23,847319
1,0,1966199,103,2,0,30,1963551
0,0,546874,142,2,0,15,544250
0,0,1024944,233,2,0,30,1022305
0,0,519004,251,2,0,7,516413
0,0,1176004,165,2,0,31,1173581
1,0,82609,137,3,0,19,79808
0,0,316755,119,1,1,24,314314
0,0,735391,128,2,0,30,733043
1,0,483376,96,2,0,24,480707
0,0,1314205,89,2,0,31,1311887
1,0,1015945,209,2,0,23,1013150
1,0,204433,62,2,0,14,201761
1,0,1800605,108,2,0,30,1797939
1,0,125132,80,2,0,4,122370
0,0,17633,22,1,1,52,14982
0,0,4209,121,2,0,68,1423
0,0,187941,232,2,0,5,185287
0,0,1065877,198,2,0,25,1063010
0,0,425184,135,2,0,16,422410
0,0,513629,257,3,0,15,510834
1,0,568671,172,2,0,31,566338
0,0,1115182,220,2,0,24,1112378
0,0,432436,158,1,1,15,429818
1,0,218715,55,2,0,17,215884
1,0,86749,152,1,1,3,84020
0,0,396102,69,1,1,19,393418
0,0,107074,254,1,1,2,104540
0,0,622377,41,2,0,30,620053
0,0,389747,163,1,1,15,387120
0,0,422008,200,2,0,17,419294
0,0,185153,24,2,0,26,182502
0,0,378614,162,2,0,15,375975
0,0,309384,110,2,0,5,306937
1,0,585607,81,2,0,6,583331
0,0,7162,20,2,0,50,4697
1,0,650434,39,3,0,14,647633
1,0,23290,218,2,0,49,20606
0,0,9867,60,2,0,62,7462
1,0,442799,201,1,1,23,439932
0,0,1713823,8,2,0,29,1711409
0,0,700388,15,2,0,15,697620
0,0,14845,47,3,0,59,11996
0,0,8092,214,2,0,82,5759
1,0,13979,197,1,1,79,11352
0,0,1045611,208,3,0,23,1042786
0,0,15062,85,2,0,65,12438
0,0,1061168,112,4,0,23,1059124
1,0,8115,171,3,0,48,5269
1,0,379418,169,2,0,33,376740
1,0,2047179,184,2,0,30,2044399
0,0,585177,204,3,0,23,582301
0,0,475012,141,2,0,7,472298
0,0,1324430,88,2,0,31,1322082
0,0,1156973,236,2,0,30,1154469
1,0,9580,196,1,1,78,6749
1,0,50888,151,2,0,20,48174
1,0,1096585,235,2,0,30,1093946
0,0,758419,45,2,0,21,756089
0,0,12594,150,2,0,75,9967
1,0,9089,217,2,0,84,6579
0,0,45075,124,1,1,71,42286
1,0,1611964,100,1,1,29,1609262
0,0,1828534,107,2,0,30,1825916
0,0,466038,176,2,0,24,463714
0,0,1865809,105,2,0,30,1862957
0,0,139709,253,2,0,1,138117
0,0,290907,117,1,1,21,288478
0,0,1731005,190,3,0,28,1728183
1,0,2060220,183,2,0,30,2057611
0,0,800723,164,2,0,22,798375
1,0,12158,11,2,0,42,9363
0,0,21771,83,2,0,63,19363
0,0,488327,203,3,0,23,485541
0,0,454333,157,2,0,15,451748
0,0,262330,243,2,0,6,259847
0,0,568854,259,2,0,15,566233
1,0,16377,144,2,0,73,13513
1,0,180486,35,2,0,19,177754
0,0,1633076,186,1,1,30,1630521
0,0,602587,42,2,0,30,600077
0,0,736453,78,3,0,23,733583
1,0,1129346,168,2,0,31,1126764
0,0,20976,57,2,0,45,18310
0,0,5331,149,2,0,74,2932
1,0,629809,113,3,0,13,627020
0,0,1825289,187,2,0,31,1822929
0,0,590672,258,1,1,15,588504
1,0,6553,120,2,0,67,4166
0,0,1152306,222,2,0,24,1149583
1,0,13678,155,2,0,3,10931
0,0,468388,67,3,0,6,465485
0,0,476059,148,1,1,5,473501
0,0,1251196,180,2,0,29,1248512
1,0,1007699,206,2,0,23,1005114
1,0,1147282,167,2,0,31,1144757
0,0,696919,72,2,0,23,694046
0,0,1582479,185,1,1,30,1579936
1,0,221070,140,2,0,9,218443
0,0,463778,79,2,0,16,460986
0,0,11062,5,2,0,38,8450
1,0,1570228,99,5,0,29,1568267
0,0,280853,63,2,0,23,278046
0,0,546370,46,2,0,8,543824
0,0,399549,238,2,0,16,396772
0,0,57145,56,3,0,45,54284
0,0,817323,77,2,0,23,814468
0,0,408107,17,1,1,5,405750
1,0,60414,227,2,0,86,57859
1,0,988200,207,2,0,23,985546
1,0,7898,10,2,0,41,5274
0,0,245264,48,2,0,0,242583
