Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,65081,85,85,21,0,23,62292,1
1,0,4679,183,183,131,3,185,1893,0
1,0,308397,303,303,55,3,13,305485,0
1,0,847503,312,312,36,3,69,845194,0
0,0,502030,130,130,0,0,138,499289,0
1,0,79193,78,78,3,3,95,76656,1
1,0,2449,0,0,149,3,141,11,0
0,0,7010,291,291,145,0,140,4233,1
1,0,491613,133,133,37,3,129,488857,1
1,0,56619,316,316,11,3,26,53854,1
1,0,3014,94,94,63,3,83,228,1
1,0,639965,257,257,20,3,92,637563,0
1,0,570499,250,250,23,3,90,567725,0
1,0,7457,211,211,37,3,158,4911,1
1,0,6673,231,231,136,3,91,3815,0
0,0,716265,35,35,26,0,106,713932,0
1,0,29749,160,160,25,3,82,26915,1
1,0,1133115,271,271,49,3,144,1130755,1
1,0,60671,175,175,43,3,136,58218,1
1,0,2940,209,209,133,3,153,73,1
0,0,8383,217,217,134,0,19,7271,0
0,0,17724,293,293,56,1,183,14986,1
1,0,13435,273,273,141,3,173,10745,0
0,0,359419,72,72,13,0,162,357746,0
1,0,510295,140,140,23,3,4,507728,1
1,0,628364,99,99,23,3,90,625434,0
1,0,504140,268,268,2,3,27,500865,0
1,0,12191,230,230,12,3,18,9909,1
1,0,848494,161,161,31,3,1,847454,0
1,0,492362,28,28,1,3,167,490971,0
1,0,236472,221,221,3,3,46,233641,0
0,0,782600,203,203,27,0,93,781197,0
1,0,7188,124,124,118,3,109,4384,0
1,0,8831,110,110,116,3,110,6234,1
1,0,654938,251,251,23,3,90,652152,0
1,0,984,305,305,148,3,107,31,0
1,0,1094,24,24,72,3,106,159,1
0,0,24358,274,274,141,0,133,21590,0
0,0,1225,52,52,76,0,89,1,1
0,0,2772,318,318,11,0,3,301,1
0,0,36463,115,115,14,0,113,33455,1
1,0,28068,63,63,64,3,134,25282,1
1,0,3158,253,253,90,3,67,408,1
1,0,2351295,265,265,55,3,132,2348338,0
0,0,9939,56,56,99,0,29,8926,0
1,0,10214,240,240,22,3,75,7875,1
1,0,9052,245,245,139,3,14,7148,1
0,0,811998,313,313,36,0,45,810235,0
1,0,4342,83,83,28,3,112,1385,1
1,0,3790,207,207,86,3,86,806,0
1,0,1721524,40,40,55,3,13,1718519,1
0,0,2010044,11,11,53,2,154,2009265,0
0,0,4119,42,42,30,0,143,967,1
1,0,1008775,188,188,55,3,13,1006142,0
0,0,66235,246,246,37,0,165,64469,1
1,0,556405,238,238,24,3,35,554000,1
1,0,8756,144,144,42,3,169,5919,1
0,0,4216,132,132,44,0,60,1460,1
1,0,430057,185,185,29,3,174,427406,0
0,0,1137976,136,136,54,0,155,1133828,0
0,0,1204,126,126,84,0,84,2,0
0,0,103187,322,322,8,1,119,101616,0
0,0,779582,202,202,27,0,137,776703,0
1,0,976,21,21,71,3,146,2,1
1,0,690828,275,275,33,3,21,688522,0
1,0,3258,39,39,74,3,6,436,0
1,0,6116,57,57,100,3,180,4224,1
