Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,1037760,370,370,22,4,169,1037092,1
1,0,18293,404,404,96,3,157,17649,0
0,0,1236,126,126,44,4,0,691,0
0,0,55025,360,360,84,4,100,54438,0
0,0,1457890,90,90,28,4,96,1457246,0
0,0,487260,206,206,23,4,124,486679,1
0,0,1995197,223,223,27,4,150,1994529,0
0,0,9057,388,388,91,4,90,8128,0
1,0,28680,132,132,64,3,165,27985,0
0,0,622513,28,28,28,4,96,621803,0
0,0,807166,156,156,22,4,116,806492,1
1,0,112468,401,401,95,1,36,111971,0
0,0,4870,342,342,79,4,139,4217,0
0,0,2682,269,269,77,4,130,1954,0
0,0,163066,9,9,8,4,142,162521,1
0,0,1943209,10,10,28,4,57,1942577,0
0,0,735451,97,97,28,4,96,734867,0
0,0,1357417,313,313,28,4,147,1356881,1
0,0,1481322,93,93,28,4,74,1480762,1
0,0,36247,73,73,15,4,62,35642,1
0,0,1187163,348,348,22,4,169,1186465,0
0,0,120884,36,36,14,2,106,120498,0
0,1,1894275,111,111,28,4,28,1893637,1
0,0,438865,353,353,17,4,21,438233,0
0,0,308712,371,371,16,4,26,308044,0
0,0,1033564,302,302,18,4,168,1032920,0
0,0,1578872,120,120,28,4,17,1578312,0
0,0,77237,62,62,58,4,130,76545,0
0,0,17407,266,266,75,4,41,16820,0
0,0,497483,127,127,17,4,113,496893,0
0,0,1707996,30,30,27,4,68,1707370,1
0,0,6677,380,380,87,4,89,6162,1
0,0,278070,228,228,3,4,158,277438,1
0,0,1686468,112,112,28,4,96,1685914,0
0,0,477620,211,211,6,4,112,476973,0
0,0,565167,383,383,20,2,79,564760,0
0,0,3882,128,128,61,4,41,3223,1
0,0,1685667,117,117,28,0,161,1685527,0
0,0,4704,235,235,71,4,126,4066,0
0,0,1645,357,357,84,4,103,1004,0
0,0,376974,57,57,3,4,151,376393,1
0,0,767988,276,276,27,4,48,767290,0
0,0,426818,141,141,4,4,128,426186,1
0,0,7249,55,55,57,4,41,6641,0
0,0,265007,264,264,23,4,5,264339,0
0,0,28027,46,46,53,4,126,27344,0
0,0,1118634,322,322,28,4,153,1117975,1
0,0,30799,74,74,15,4,65,30158,1
0,0,159847,68,68,14,4,98,159101,1
0,0,694973,310,310,27,4,68,694383,0
0,0,1610144,115,115,28,4,74,1609563,0
0,0,487905,173,173,3,4,151,487330,0
1,0,356421,430,430,13,3,137,355831,1
0,0,1921473,108,108,28,4,57,1920904,1
0,0,10499,40,40,51,2,93,10110,1
0,1,1739252,338,338,28,4,96,1738602,0
0,0,515441,212,212,6,4,63,514617,0
0,0,1109679,319,319,28,4,96,1109041,1
1,0,347837,19,19,3,3,9,347313,0
0,0,250738,326,326,3,4,158,250097,0
0,0,4939,8,8,33,4,1,4241,1
0,0,570400,76,76,7,4,114,569783,0
1,0,544317,150,150,22,1,112,543658,0
0,0,52129,270,270,77,4,130,51491,0
1,0,19103,381,381,87,3,31,18480,1
0,0,4829,263,263,74,4,37,4128,0
0,0,599763,238,238,10,4,6,598996,1
0,0,430625,13,13,16,4,133,430509,0
0,0,1142859,409,409,27,4,48,1142287,1
0,0,339516,231,231,3,4,81,338926,0
0,0,1413348,215,215,26,4,13,1412725,1
0,0,1066542,405,405,27,4,67,1065931,1
0,0,15668,346,346,80,4,20,15015,0
0,0,6518,307,307,1,4,151,5874,1
0,0,26110,309,309,14,4,31,25487,1
1,0,504309,428,428,4,3,146,503911,1
0,0,610947,368,368,22,4,169,610288,1
0,0,1935320,222,222,27,4,122,1934724,0
0,0,216763,325,325,3,4,144,216122,0
1,0,588625,161,161,4,3,108,587969,1
0,0,412598,286,286,30,4,44,411981,1
1,0,463493,102,102,0,3,78,462885,1
0,0,14001,394,394,93,4,154,13402,1
0,0,276224,140,140,22,4,80,275592,0
0,0,602338,323,323,6,4,92,601643,1
0,0,1845,389,389,92,2,87,1489,1
0,0,314714,123,123,12,4,25,314181,0
0,0,1464254,89,89,28,4,96,1463646,0
0,0,1100102,407,407,27,4,101,1099440,1
0,0,444695,33,33,3,4,110,444042,0
0,0,42175,386,386,89,4,150,41594,0
0,0,1079,130,130,63,2,75,750,0
0,0,382637,59,59,3,4,158,382086,0
0,0,35038,306,306,1,4,120,34388,1
0,0,410050,253,253,16,4,23,409331,0
1,0,13194,351,351,82,3,104,12661,1
0,0,641578,83,83,11,4,54,640880,1
0,0,320021,423,423,4,4,97,319437,1
0,0,70385,303,303,15,4,159,69732,0
0,0,2893,384,384,88,4,148,2228,0
0,0,36160,21,21,14,4,53,35462,1
1,0,628319,188,188,13,3,63,627354,1
1,0,978860,281,281,27,1,117,978390,0
0,0,288480,178,178,17,4,99,287506,0
0,0,331967,157,157,16,4,133,331098,0
0,0,467996,366,366,22,4,164,467418,0
0,0,1344856,203,203,21,4,123,1344239,0
0,1,340144,413,413,14,4,98,339536,0
0,0,218124,170,170,17,4,21,217234,0
0,0,11303,52,52,56,4,75,10641,1
0,0,12594,202,202,47,4,94,11959,1
0,0,789660,155,155,22,4,58,789061,1
0,0,855201,25,25,27,4,170,854569,1
0,0,873,6,6,35,4,32,262,1
0,0,16035,344,344,79,4,52,15472,0
0,0,301818,284,284,14,4,31,301183,1
0,0,281,11,11,36,5,71,3,1
0,0,578960,77,77,7,4,114,578253,0
0,0,1665163,31,31,27,4,151,1664528,0
0,0,538452,149,149,22,4,117,537880,1
0,0,278450,249,249,16,4,45,277617,0
0,0,473006,259,259,16,4,133,472107,0
0,0,10738,169,169,67,4,130,10142,1
1,0,15631,124,124,43,1,54,14972,0
0,0,2130876,105,105,28,4,96,2130250,1
0,0,750998,205,205,16,4,131,750414,0
0,0,497850,299,299,10,4,41,497083,1
0,0,653543,84,84,11,4,54,652923,1
0,0,698962,98,98,28,4,96,698387,1
0,0,350824,414,414,14,2,98,350453,1
0,0,584282,136,136,10,4,6,583626,1
0,0,425782,145,145,14,2,46,425384,0
0,0,1183104,328,328,26,4,38,1182499,0
0,0,160801,403,403,95,4,49,160181,0
0,0,6106,95,95,60,4,126,5495,1
0,0,393310,287,287,30,4,10,392783,0
0,0,514088,298,298,10,4,41,513441,1
0,0,667099,5,5,10,4,6,666332,1
0,0,244449,293,293,16,4,119,243556,0
0,0,223254,294,294,16,4,23,222562,0
0,0,260483,180,180,17,4,99,259935,0
0,0,1069989,198,198,28,4,57,1069351,0
0,0,198335,44,44,10,4,6,197730,1
0,0,1235855,191,191,28,2,96,1235211,1
0,0,1109266,398,398,23,4,138,1108595,0
0,0,6197,387,387,90,4,155,5628,0
0,0,38888,79,79,14,4,56,38181,1
