Gene_Subclass,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,24,38827,224,1,25,35924,3,1
1,0,184,4679,182,1,134,1893,3,0
1,0,13,308397,302,1,58,305485,3,0
1,0,68,825842,310,1,40,823350,3,0
0,0,138,502030,131,0,0,499289,0,0
1,0,96,79193,78,1,3,76656,3,1
1,0,141,2449,0,1,152,11,3,0
0,0,140,7010,290,0,148,4233,0,1
0,0,165,66235,246,0,41,64469,0,1
1,0,26,21822,317,1,13,18838,3,1
1,0,82,3014,96,1,66,228,3,1
0,0,5,77950,18,0,24,74987,0,1
1,0,4,510295,141,1,27,507728,3,1
1,0,68,847503,311,1,40,845194,3,0
1,0,91,6673,231,1,139,3815,3,0
1,0,9,181574,314,1,30,180063,3,1
1,0,36,625252,227,1,28,622190,3,0
1,0,144,1133115,269,1,52,1130755,3,1
1,0,136,60671,175,1,46,58218,3,1
1,0,153,2940,211,1,136,73,3,1
0,0,19,8383,218,0,137,7271,0,0
0,0,183,17724,292,0,59,14986,1,1
1,0,173,13435,271,1,144,10745,3,0
0,0,162,86361,187,0,15,83876,0,1
1,0,4,225780,79,1,27,223900,3,0
1,0,4,578138,100,1,27,576360,3,0
1,0,27,504140,266,1,2,500865,3,0
1,0,26,636457,212,1,13,635763,3,0
1,0,1,847195,163,1,35,845501,3,0
1,0,167,492362,28,1,1,490971,3,0
1,0,46,236472,222,1,3,233641,3,0
0,0,137,779582,202,0,31,776703,0,0
1,0,109,7188,125,1,121,4384,3,0
1,0,110,8831,111,1,119,6234,3,1
0,0,51,650247,102,0,27,648161,0,0
1,0,107,984,304,1,151,31,3,0
1,0,106,1094,24,1,75,159,3,1
0,0,132,24358,272,0,144,21590,0,0
0,0,89,1225,52,0,79,1,0,1
1,0,123,628999,143,1,12,626735,3,0
1,0,11,13990,116,1,16,11384,3,1
1,0,133,28068,64,1,67,25282,3,1
1,0,66,3158,253,1,93,408,3,1
1,0,131,2351295,263,1,58,2348338,3,0
0,0,29,9939,56,0,102,8926,0,0
0,0,23,65081,85,0,25,62292,0,1
1,0,14,9052,245,1,142,7148,3,1
0,2,179,805554,313,0,40,804478,0,0
0,0,93,782600,203,0,31,781197,0,0
1,0,85,3790,209,1,89,806,3,0
1,0,13,1721524,41,1,58,1718519,3,1
0,0,154,2010044,11,0,56,2009265,2,0
0,0,24,794113,241,0,33,793295,1,0
1,0,13,1008775,188,1,58,1006142,3,0
0,0,165,56433,247,0,41,54619,1,1
1,0,90,654938,251,1,27,652152,3,0
1,0,169,8756,145,1,45,5919,3,1
0,0,59,4216,133,0,47,1460,0,1
1,0,174,411506,58,1,33,408474,3,0
0,0,155,1137976,137,0,57,1133828,0,0
0,0,83,1204,127,0,87,2,0,0
0,0,108,8397,16,0,9,5578,0,1
0,0,7,764760,201,0,31,762982,0,0
1,0,146,976,21,1,74,2,3,1
1,0,104,587182,273,1,37,584897,3,1
1,0,6,3258,40,1,77,436,3,0
1,0,180,6116,57,1,103,4224,3,1
0,0,12,606712,236,0,12,603989,0,0
1,0,72,21218,240,1,26,18921,3,1
0,0,135,2501,84,0,38,102,1,1
1,0,158,7457,213,1,41,4911,3,1
0,0,54,490870,46,0,1,489493,0,0
1,0,170,4777,19,1,70,2027,3,1
0,0,75,26225,205,0,65,24447,0,1
1,0,73,22430,44,1,34,19944,3,1
1,0,161,15107,261,1,2,12237,3,1
1,0,166,41742,307,1,44,39727,3,1
0,0,127,663320,257,0,24,660522,0,0
0,0,24,58458,115,0,16,55432,0,1
0,0,59,1185502,69,0,47,1183688,0,0
1,0,13,644271,99,1,58,641242,3,1
1,0,137,16574,221,1,138,14088,3,1
0,0,156,3713,283,0,97,2106,1,0
1,0,121,59561,140,1,50,57681,3,1
0,0,2,3597,233,0,140,1834,0,0
1,0,102,5794,136,1,123,3014,3,0
0,1,0,655728,168,0,18,653962,0,0
0,0,132,33262,308,0,44,31331,0,1
0,0,55,791878,122,0,37,790079,0,0
1,0,174,760085,242,1,33,757590,3,0
0,0,78,169312,66,0,55,166550,0,0
1,0,177,130785,105,1,20,128263,3,0
1,0,76,122539,189,1,14,120197,3,1
0,0,118,594892,225,0,28,591674,0,0
0,0,53,571445,197,0,21,567813,0,0
1,0,112,690966,178,1,32,687994,3,0
1,0,28,9553,114,1,85,7784,3,0
1,0,74,582823,22,1,21,581135,3,0
0,0,154,1917064,172,0,56,1914173,0,1
1,0,76,25743,229,1,14,24748,3,1
1,0,107,71114,194,1,4,69705,3,1
0,0,119,103187,323,0,9,101616,1,0
0,0,61,702008,179,0,32,700188,0,0
1,0,15,585311,226,1,28,582390,3,0
1,0,84,2350211,167,1,59,2347587,3,0
1,0,128,491613,134,1,41,488857,3,1
1,0,18,12191,230,1,14,9909,3,1
1,0,114,1182,93,1,115,1,3,1
