Gene_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,3818,116,116,70,2061,1
0,497232,53,53,1,497002,0
1,1362603,66,66,35,1360342,0
1,10034,8,8,44,9492,0
1,705460,54,54,24,703286,0
1,720,117,117,49,1,0
0,551749,33,33,18,551012,0
1,160581,125,125,12,159610,1
1,2942,36,36,57,882,1
1,53693,61,61,29,52560,1
1,1058918,107,107,33,1056777,0
1,1193345,104,104,31,1191366,0
1,590889,94,94,15,588715,1
1,2356776,4,4,37,2355799,0
1,5081,18,18,11,2874,1
1,82404,7,7,38,80149,1
1,3053,21,21,51,873,0
1,501852,63,63,32,499696,1
1,195717,3,3,7,194815,0
1,454212,110,110,24,451945,1
1,1166328,31,31,34,1164352,1
1,114991,84,84,3,114542,1
1,161676,78,78,12,160684,1
1,2832,56,56,60,619,0
1,26356,44,44,58,24182,1
1,603844,95,95,15,602780,1
1,18169,6,6,16,16115,1
1,508321,35,35,2,506186,0
1,29015,28,28,55,27780,1
1,646319,101,101,13,643902,0
1,395040,109,109,24,392911,1
1,2179419,98,98,36,2176948,1
1,742170,80,80,24,739927,0
1,203063,81,81,6,200871,0
1,9199,103,103,67,7001,1
1,606833,38,38,37,604902,0
1,53186,22,22,0,51024,0
0,12912,1,1,42,12295,0
1,5374,106,106,68,4073,1
1,346367,43,43,24,344166,1
1,194168,88,88,18,192141,0
1,656983,74,74,31,654773,0
0,302402,47,47,12,301785,1
1,628874,60,60,15,628374,1
1,2355697,99,99,37,2354525,0
1,141673,126,126,12,140918,1
1,38921,64,64,11,36609,1
0,356850,23,23,40,356083,1
1,246323,70,70,27,244452,1
1,258202,87,87,26,255983,1
1,802663,62,62,28,801878,0
1,628270,39,39,15,627785,1
1,1105132,105,105,31,1103840,1
0,1157244,29,29,30,1157023,0
1,2001346,68,68,36,1998842,0
1,122127,119,119,71,120202,0
1,32651,27,27,54,31587,1
1,573072,92,92,18,571858,0
1,13846,10,10,45,12761,0
1,69895,2,2,22,67685,1
1,292285,128,128,25,290090,1
1,479217,79,79,14,477172,0
1,967593,58,58,37,965515,1
1,18788,26,26,41,16752,1
1,1431,20,20,50,1,0
1,843337,67,67,23,841178,0
1,27802,123,123,73,25553,1
0,521,0,0,52,3,1
1,149082,120,120,71,147823,0
1,630544,11,11,19,630077,0
1,85717,41,41,3,84713,1
1,2356,5,5,43,188,0
0,116089,77,77,2,115388,1
1,5373,102,102,66,3175,0
1,414917,90,90,19,412986,0
1,551038,40,40,15,548948,0
1,879776,19,19,26,877512,0
1,16562,24,24,26,16113,1
1,522056,129,129,14,520707,0
1,560632,57,57,18,560198,0
1,8796,46,46,4,6766,1
0,242101,48,48,17,241769,0
1,804175,49,49,24,801998,0
1,7341,14,14,46,5542,1
1,1092022,122,122,36,1090076,1
1,853635,113,113,31,852247,0
1,6731,37,37,28,4560,1
1,24063,89,89,65,21859,0
0,569,76,76,62,3,1
1,605835,112,112,31,604711,1
1,20468,93,93,5,18309,1
1,47761,115,115,70,45575,0
1,80858,12,12,37,80019,1
1,143770,130,130,8,141896,0
1,40865,16,16,22,38190,1
1,17708,30,30,56,16425,1
1,107570,32,32,10,105642,1
1,238993,71,71,25,236726,1
1,5239,52,52,59,3059,1
1,2117,25,25,53,3,1
1,45873,85,85,64,43711,1
1,305003,100,100,24,302736,0
1,724179,13,13,19,722086,0
1,564263,34,34,36,562332,1
1,487684,132,132,19,485708,0
1,9794,121,121,72,7884,1
1,395811,51,51,21,393328,0
1,399746,91,91,19,397836,0
1,510087,17,17,31,508918,0
1,640806,111,111,10,638620,0
1,630340,42,42,20,629867,0
1,45587,118,118,71,43530,1
1,12118,55,55,47,9896,0
0,591642,59,59,15,591283,1
1,28251,114,114,69,27310,0
1,15656,50,50,1,13635,1
1,551317,82,82,19,549344,0
1,2323,69,69,61,1850,0
1,17469,86,86,48,15220,0
1,2747,83,83,63,2046,0
1,1525088,97,97,35,1523784,1
1,1220025,96,96,35,1218841,0
1,1560715,15,15,37,1558235,1
1,8315,9,9,31,7779,1
1,415880,45,45,25,413892,0
0,352533,108,108,39,352018,1
1,429,127,127,74,1,0
0,461012,73,73,10,460530,0
1,216636,72,72,25,214564,1
1,61722,124,124,36,61057,1
1,111044,131,131,9,109113,0
0,875271,75,75,31,874933,0
1,1428134,65,65,35,1426182,0
