Gene_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1037760,371,371,22,1037092,1
1,18293,404,404,99,17649,0
0,1236,126,126,44,691,0
0,48963,360,360,87,48349,0
0,1457890,90,90,28,1457246,0
0,487260,206,206,23,486679,1
0,1995197,223,223,27,1994529,0
0,6197,388,388,93,5628,0
1,28680,132,132,64,27985,0
0,622513,28,28,28,621803,0
0,807166,156,156,22,806492,1
1,66807,400,400,98,66169,1
0,38417,289,289,81,37731,1
0,7294,268,268,77,6638,0
0,163066,9,9,8,162521,1
0,1943209,10,10,28,1942577,0
0,735451,97,97,28,734867,0
0,1357417,314,314,28,1356881,1
0,1481322,93,93,28,1480762,1
0,36247,73,73,15,35642,1
0,1187163,349,349,22,1186465,0
0,120884,36,36,14,120498,0
0,1894275,111,111,28,1893637,1
0,438865,354,354,17,438233,0
0,308712,372,372,16,308044,0
0,1033564,303,303,18,1032920,0
0,1578872,120,120,28,1578312,0
0,77237,62,62,58,76545,0
0,11667,266,266,76,10975,1
0,497483,127,127,17,496893,0
0,1707996,30,30,27,1707370,1
0,2901,380,380,89,2218,0
0,278070,228,228,3,277438,1
0,1686468,112,112,28,1685914,0
0,477620,211,211,6,476973,0
0,565167,384,384,20,564760,0
0,3882,128,128,61,3223,1
0,1685667,117,117,28,1685527,0
0,4704,235,235,71,4066,0
0,5356,353,353,86,4736,1
0,376974,57,57,3,376393,1
0,767988,276,276,27,767290,0
0,426818,141,141,4,426186,1
0,7249,55,55,57,6641,0
0,265007,265,265,23,264339,0
0,28027,46,46,53,27344,0
0,1118634,323,323,28,1117975,1
0,30799,74,74,15,30158,1
0,159847,68,68,14,159101,1
0,694973,311,311,27,694383,0
0,1610144,115,115,28,1609563,0
0,487905,173,173,3,487330,0
1,356421,430,430,13,355831,1
0,1921473,108,108,28,1920904,1
0,10499,40,40,51,10110,1
0,1739252,339,339,28,1738602,0
0,515441,212,212,6,514617,0
0,1109679,320,320,28,1109041,1
1,347837,19,19,3,347313,0
0,250738,327,327,3,250097,0
0,4939,8,8,33,4241,1
0,570400,76,76,7,569783,0
1,544317,150,150,22,543658,0
0,32545,269,269,78,31979,0
0,6677,381,381,90,6162,1
0,8984,263,263,74,8412,1
0,599763,239,239,10,598996,1
0,430625,13,13,16,430509,0
0,1142859,409,409,27,1142287,1
0,339516,231,231,3,338926,0
0,1413348,215,215,26,1412725,1
0,1066542,405,405,27,1065931,1
0,7534,346,346,83,7151,0
0,6518,308,308,1,5874,1
0,26110,310,310,14,25487,1
1,504309,428,428,4,503911,1
0,610947,369,369,22,610288,1
0,1935320,222,222,27,1934724,0
0,216763,326,326,3,216122,0
1,588625,161,161,4,587969,1
0,412598,286,286,30,411981,1
1,463493,102,102,0,462885,1
0,8071,393,393,96,7124,1
0,276224,140,140,22,275592,0
0,602338,324,324,6,601643,1
0,9057,389,389,94,8128,0
0,314714,123,123,12,314181,0
0,1464254,89,89,28,1463646,0
0,1100102,407,407,27,1099440,1
0,444695,33,33,3,444042,0
0,36542,386,386,92,35961,1
0,1079,130,130,63,750,0
0,382637,59,59,3,382086,0
0,35038,307,307,1,34388,1
0,410050,254,254,16,409331,0
0,40043,351,351,84,39399,1
0,641578,83,83,11,640880,1
0,320021,423,423,4,319437,1
0,70385,304,304,15,69732,0
1,19103,382,382,90,18480,1
0,36160,21,21,14,35462,1
1,628319,188,188,13,627354,1
1,978860,281,281,27,978390,0
0,288480,178,178,17,287506,0
0,331967,157,157,16,331098,0
0,467996,367,367,22,467418,0
0,1344856,203,203,21,1344239,0
0,340144,413,413,14,339536,0
0,218124,170,170,17,217234,0
0,11303,52,52,56,10641,1
0,12594,202,202,47,11959,1
0,789660,155,155,22,789061,1
0,855201,25,25,27,854569,1
0,873,6,6,35,262,1
0,12963,344,344,82,12349,0
0,301818,284,284,14,301183,1
0,281,11,11,36,3,1
0,578960,77,77,7,578253,0
0,1665163,31,31,27,1664528,0
0,538452,149,149,22,537880,1
0,278450,250,250,16,277617,0
0,473006,260,260,16,472107,0
0,10738,169,169,67,10142,1
1,15631,124,124,43,14972,0
0,2130876,105,105,28,2130250,1
0,750998,205,205,16,750414,0
0,497850,300,300,10,497083,1
0,653543,84,84,11,652923,1
0,698962,98,98,28,698387,1
0,350824,414,414,14,350453,1
0,584282,136,136,10,583626,1
0,425782,145,145,14,425384,0
0,1183104,329,329,26,1182499,0
0,160801,402,402,98,160181,0
0,6106,95,95,60,5495,1
0,393310,287,287,30,392783,0
0,514088,299,299,10,513441,1
0,667099,5,5,10,666332,1
0,244449,294,294,16,243556,0
0,223254,295,295,16,222562,0
0,260483,180,180,17,259935,0
0,1069989,198,198,28,1069351,0
0,198335,44,44,10,197730,1
0,1235855,191,191,28,1235211,1
0,1109266,398,398,23,1108595,0
0,42175,387,387,92,41594,0
0,38888,79,79,14,38181,1
0,2159962,330,330,27,2159390,0
0,1411596,23,23,28,1410949,0
0,2152710,106,106,28,2152117,1
0,22912,60,60,58,22523,0
0,2442,291,291,48,1612,1
0,673589,189,189,27,672981,1
1,1671935,119,119,28,1671336,0
0,11230,376,376,49,10535,0
0,1875155,225,225,27,1874526,0
0,311313,422,422,4,310645,1
0,274287,176,176,14,273715,1
0,433446,210,210,23,432955,0
0,2893,385,385,91,2228,0
0,541203,104,104,6,540331,0
0,375081,122,122,12,374536,1
0,1134002,408,408,27,1133424,1
0,1473130,88,88,28,1472456,0
1,1261581,328,328,26,1260970,0
0,1121,3,3,32,531,0
0,405277,144,144,14,404699,0
0,1581481,220,220,26,1580900,1
0,1049,290,290,48,204,1
0,327963,424,424,4,327337,1
0,1392058,312,312,28,1391459,0
0,253089,181,181,17,252442,0
0,897457,278,278,27,896894,0
0,358436,283,283,14,358038,1
0,782,48,48,54,129,1
0,371048,282,282,14,370350,1
0,1932015,107,107,28,1931470,0
0,7205,273,273,79,6567,1
0,76266,285,285,14,75574,1
0,16265,14,14,37,15666,1
0,605996,245,245,10,605367,1
0,332148,411,411,14,331510,0
1,844685,370,370,22,844098,0
0,1790185,226,226,27,1789544,1
0,617680,240,240,10,617066,1
0,17055,50,50,56,16375,0
0,1591262,334,334,27,1590720,0
0,23909,364,364,87,23259,0
0,67780,415,415,14,67067,0
0,425359,255,255,16,424565,0
0,281837,182,182,17,281250,0
0,1169771,350,350,22,1169145,0
0,1192370,319,319,28,1191744,1
0,14001,394,394,96,13402,1
0,2103139,227,227,28,2102468,1
0,1094415,322,322,28,1093786,1
0,59685,51,51,56,58891,0
0,395098,43,43,28,394403,1
0,128464,416,416,14,128075,0
0,1132814,321,321,28,1132212,1
1,385637,22,22,22,384969,0
0,26079,168,168,67,25390,0
0,567879,383,383,20,567310,0
0,190891,67,67,14,190256,1
0,7816,172,172,68,6941,1
0,756041,100,100,28,755460,1
0,1653046,113,113,28,1652444,1
0,7200,138,138,45,6637,0
0,21792,348,348,83,21193,0
0,388432,199,199,29,388043,1
0,1001979,96,96,28,1001410,0
0,1611491,333,333,27,1610868,0
0,6125,12,12,36,5631,1
0,1806636,340,340,28,1806064,0
