Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
1,3818,117,117,0,70,2061
0,497232,50,50,4,1,497002
0,1220025,97,97,0,36,1218841
0,2356,7,7,0,44,188
1,553680,111,111,0,24,551527
0,17469,86,86,0,49,15220
0,551749,32,32,4,18,551012
1,160581,125,125,0,12,159610
1,17708,30,30,0,57,16425
0,802663,58,58,0,29,801878
1,501852,59,59,0,33,499696
1,1105132,106,106,0,32,1103840
1,590889,95,95,0,15,588715
0,2355697,99,99,0,38,2354525
1,5081,19,19,0,11,2874
0,2356776,6,6,0,38,2355799
0,1431,21,21,0,51,1
0,1193345,105,105,0,32,1191366
0,195717,5,5,0,7,194815
1,395040,110,110,0,24,392911
0,1058918,108,108,0,34,1056777
1,114991,84,84,0,3,114542
1,161676,77,77,0,12,160684
1,5239,49,49,0,60,3059
1,2942,34,34,0,58,882
1,603844,96,96,0,15,602780
1,18169,8,8,0,16,16115
0,508321,33,33,0,2,506186
1,32651,27,27,0,55,31587
0,646319,102,102,0,13,643902
1,346367,41,41,0,24,344166
0,2001346,64,64,0,37,1998842
0,705460,51,51,0,24,703286
0,203063,80,80,0,6,200871
1,9199,104,104,0,67,7001
1,80858,14,14,0,38,80019
0,53186,22,22,0,0,51024
1,18788,26,26,0,42,16752
1,5374,107,107,0,68,4073
0,305003,100,100,0,24,302736
0,194168,88,88,0,18,192141
1,605835,113,113,0,32,604711
1,302402,44,44,4,12,301785
1,628874,56,56,0,15,628374
1,1560715,16,16,0,38,1558235
1,141673,126,126,0,12,140918
1,38921,60,60,0,11,36609
1,352533,109,109,4,40,352018
0,879776,20,20,0,27,877512
1,229342,92,92,0,27,227192
1,6731,35,35,0,29,4560
1,628270,37,37,0,15,627785
0,875271,70,70,2,32,874933
1,53693,57,57,0,30,52560
1,1092022,122,122,0,37,1090076
0,122127,119,119,0,71,120202
1,2117,25,25,0,54,3
0,573072,93,93,0,18,571858
0,10034,9,9,0,45,9492
1,64228,74,74,0,22,62066
1,238993,66,66,0,25,236726
0,479217,78,78,0,14,477172
0,606833,36,36,0,38,604902
1,356850,24,24,4,41,356083
0,6331,18,18,0,50,3935
1,69895,4,4,0,22,67685
1,27802,123,123,0,73,25553
1,4270,23,23,0,52,3989
0,149082,120,120,0,71,147823
0,551317,82,82,0,19,549344
1,85717,39,39,0,3,84713
0,12912,3,3,1,43,12295
1,116089,75,75,4,2,115388
0,5373,103,103,0,66,3175
0,399746,91,91,0,19,397836
0,551038,38,38,0,15,548948
1,258202,87,87,0,27,255983
1,7513,2,2,0,26,7115
0,522056,129,129,0,14,520707
0,560632,53,53,0,18,560198
1,8796,43,43,0,4,6766
0,242101,45,45,3,17,241769
0,742170,79,79,0,24,739927
0,13846,12,12,0,46,12761
1,886828,76,76,0,37,884852
0,656983,69,69,0,32,654773
1,29812,132,132,0,28,28472
0,24063,89,89,0,65,21859
1,569,73,73,4,62,3
0,510087,17,17,0,32,508918
1,20468,94,94,0,5,18309
0,47761,116,116,0,70,45575
1,2179419,98,98,0,37,2176948
0,143770,130,130,0,8,141896
0,395811,48,48,0,21,393328
0,50190,28,28,0,56,48196
1,107570,31,31,0,10,105642
1,216636,67,67,0,25,214564
1,26356,42,42,0,59,24182
1,521,0,0,4,53,3
1,45873,85,85,0,64,43711
0,843337,63,63,0,23,841178
0,630544,13,13,0,19,630077
1,61722,124,124,0,37,61057
0,414917,90,90,0,19,412986
1,9794,121,121,0,72,7884
0,630340,40,40,0,20,629867
0,576256,1,1,0,18,575726
1,8315,11,11,0,32,7779
0,640806,112,112,0,10,638620
0,808511,72,72,0,19,806334
1,45587,118,118,0,71,43530
1,7341,15,15,0,47,5542
1,591642,55,55,4,15,591283
0,28251,115,115,0,69,27310
1,15656,47,47,0,1,13635
0,495949,81,81,0,19,493973
0,2323,65,65,0,61,1850
0,12118,52,52,0,48,9896
0,2747,83,83,0,63,2046
0,1428134,62,62,0,36,1426182
0,2001160,71,71,0,35,1999253
1,967593,54,54,0,38,965515
0,1157244,29,29,3,31,1157023
1,292285,128,128,0,25,290090
1,131468,101,101,0,39,129252
0,429,127,127,0,74,1
0,461012,68,68,3,10,460530
0,804175,46,46,0,24,801998
0,1718373,10,10,0,36,1716442
0,111044,131,131,0,9,109113
0,853635,114,114,0,32,852247
1,1375094,61,61,0,36,1372983
