Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,391137,85,85,2,1,8,389704,1
0,257891,48,48,20,0,8,256881,1
0,273888,84,84,22,0,9,272725,1
1,220225,37,37,2,1,13,218687,0
0,587198,69,69,14,0,3,585768,1
0,2377,103,103,10,0,23,1157,1
0,1381990,67,67,3,0,17,1381346,1
0,360740,118,118,22,0,9,359730,1
0,340298,28,28,22,0,8,339360,0
1,3259,101,101,2,1,34,2075,1
1,2882,65,65,2,1,22,2106,0
1,441837,112,112,2,1,2,440959,1
0,431585,89,89,22,0,8,430644,0
1,604409,96,96,2,1,8,603339,1
0,14514,79,79,22,0,31,13402,1
0,762518,23,23,3,0,17,761364,0
1,217615,120,120,2,1,6,216422,0
0,553985,24,24,16,0,3,552546,0
0,2612,3,3,1,0,19,1824,0
1,690506,66,66,2,1,16,689499,0
0,245389,39,39,1,0,13,244757,0
0,86161,13,13,0,0,26,85631,1
0,547086,18,18,10,0,11,545914,1
0,1253659,43,43,3,0,17,1252076,1
0,705562,22,22,3,0,17,704282,0
0,272650,49,49,22,0,8,271751,1
1,117411,119,119,2,1,0,116032,0
0,449733,1,1,1,0,13,448939,0
0,626457,20,20,3,0,16,625132,0
0,368482,27,27,22,0,8,367493,1
0,507159,92,92,22,0,8,506107,1
0,575815,95,95,22,0,8,574721,1
1,531481,17,17,2,1,11,530381,1
1,669822,42,42,2,1,16,668569,1
0,307709,75,75,22,0,8,306750,0
1,267266,50,50,2,1,8,266289,1
0,976612,61,61,4,0,16,975470,0
0,502004,91,91,22,0,8,500910,1
0,29669,78,78,20,0,31,28731,0
1,20974,80,80,2,1,32,19538,1
0,625575,98,98,22,0,8,624448,1
0,1127958,106,106,18,0,16,1127086,1
0,1798125,74,74,3,0,17,1796725,0
1,463276,59,59,2,1,12,461756,0
0,437122,86,86,20,0,8,436220,0
1,2899,108,108,2,1,36,1952,0
0,1973004,46,46,22,0,16,1972075,1
0,514925,15,15,6,0,11,513729,1
0,400165,2,2,10,0,14,399113,0
0,1027129,100,100,22,0,14,1026155,1
0,315559,117,117,0,0,9,315128,1
0,514203,113,113,1,0,2,514066,0
0,747400,60,60,3,0,16,746270,1
1,1905561,47,47,2,1,16,1904098,1
0,229688,53,53,20,0,9,228501,1
0,450224,88,88,21,0,8,449385,1
0,263994,8,8,10,0,14,262717,0
1,283947,38,38,2,1,13,282400,0
0,444750,87,87,22,0,8,443839,1
0,1855873,26,26,22,0,17,1854422,1
0,518865,114,114,11,0,2,517981,0
0,549818,99,99,14,0,8,548385,1
1,347997,34,34,2,1,12,346477,0
0,28060,81,81,20,0,32,27086,1
1,714,40,40,2,1,21,1,1
1,924009,56,56,2,1,14,922486,0
1,14110,51,51,2,1,29,13145,1
0,21643,52,52,22,0,30,20600,0
0,1564652,0,0,1,0,15,1564452,1
0,622717,35,35,12,0,2,621833,0
0,496985,115,115,8,0,4,495984,1
0,16755,12,12,4,0,20,15559,1
0,17420,32,32,4,0,28,16842,0
0,284733,111,111,23,0,2,283762,0
0,218013,31,31,10,0,7,216889,0
0,496221,90,90,22,0,8,495283,1
1,427442,57,57,2,1,12,425919,0
0,1562,19,19,20,0,27,393,1
0,514924,62,62,0,0,2,514307,0
0,19265,76,76,22,0,31,18156,1
0,1080003,105,105,7,0,16,1078741,1
0,67859,14,14,3,0,1,66546,0
0,523271,16,16,6,0,11,522144,1
0,318674,63,63,22,0,9,317781,1
0,2003523,73,73,22,0,16,2002453,0
0,235050,54,54,22,0,9,234100,1
0,1862763,25,25,3,0,17,1861267,1
0,617521,97,97,22,0,8,616619,1
0,2058209,7,7,25,0,17,2056686,1
1,64367,64,64,2,1,11,62844,1
0,25674,102,102,1,0,35,24613,0
0,493306,83,83,16,0,13,491759,0
0,317984,107,107,22,0,10,317091,0
0,1698039,4,4,16,0,15,1696570,1
0,515623,93,93,22,0,8,514700,1
0,579257,41,41,20,0,9,578298,1
0,1593162,44,44,13,0,15,1591861,0
0,212824,55,55,22,0,9,211883,1
0,1556126,72,72,14,0,15,1554660,1
0,220328,29,29,0,0,8,219990,1
0,437723,33,33,22,0,9,436782,1
0,3154,82,82,22,0,33,2129,0
0,48657,10,10,5,0,24,47974,1
0,489099,94,94,22,0,8,488107,1
0,24337,77,77,19,0,31,23213,0
1,546194,70,70,2,1,0,544968,1
0,288343,116,116,22,0,9,287549,1
0,9331,11,11,15,0,25,7841,0
1,1706820,5,5,24,1,16,1705558,1
0,1056372,104,104,9,0,16,1055425,1
0,1505678,21,21,22,0,17,1504257,0
0,1263503,71,71,17,0,15,1262121,0
0,213667,36,36,16,0,13,212129,0
1,381686,68,68,2,1,18,380409,1
0,8433,109,109,22,0,36,7429,0
0,212508,30,30,22,0,8,211570,1
1,400752,58,58,2,1,12,399232,0
0,1977944,45,45,22,0,16,1976967,0
0,197165,9,9,7,0,5,196203,1
0,319749,110,110,3,0,16,318496,0
0,1679690,6,6,3,0,16,1678407,0
