Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
0,1169344,41,1,44,1158920
1,7614,2,0,60,1030
1,609988,159,1,10,605538
0,1211309,163,1,49,1200861
1,71128,81,1,45,60752
1,18759,153,3,107,8548
1,52109,55,1,5,41772
1,64484,128,2,30,55971
0,424181,139,1,10,413739
0,225503,223,1,8,215040
0,1026196,142,3,49,1015775
1,26884,60,1,16,16478
1,458221,50,1,10,447770
0,685626,120,1,30,675331
0,18045,173,1,110,7588
1,108909,131,1,27,98518
1,47512,125,1,29,39092
0,775910,132,1,33,765552
1,22103,171,1,33,14689
0,332104,168,1,33,321641
1,7780,8,2,63,2
1,11317,86,3,30,5433
0,573981,160,1,10,563530
1,459416,61,1,34,449073
1,5380,25,3,75,2
1,214744,9,3,38,206012
1,31572,75,1,36,21127
1,63253,174,1,111,52823
0,286931,192,1,51,283691
0,162112,184,3,23,156224
1,14171,179,2,34,4392
1,11492,32,1,78,5925
0,252780,212,1,16,242332
1,45907,207,2,50,38978
0,13390,162,1,70,2987
0,698669,82,1,23,688299
0,9732,193,1,116,1
1,1233807,177,3,46,1224493
1,62951,94,1,53,52593
1,970184,185,1,46,959784
1,138304,216,1,13,127910
1,13701,154,1,108,3220
0,689245,14,1,29,678794
1,5595,6,2,62,1
0,213628,100,1,52,203258
0,24168,113,3,98,13795
1,31191,122,1,35,20812
0,3034,91,2,95,2
1,347060,220,2,34,339083
1,127990,151,3,53,117557
1,390898,219,1,34,380639
1,60872,208,1,50,50520
1,225073,35,1,27,217409
0,842551,213,1,35,832124
0,475972,77,2,2,470489
1,534898,114,2,33,529028
1,59093,69,1,29,53591
0,2345983,166,1,50,2335691
0,33876,201,1,121,23431
0,2017022,4,2,48,2011656
0,796435,42,3,32,786038
0,908777,38,1,37,898398
0,1020605,202,3,48,1014285
1,25728,93,3,55,21774
0,13163,65,1,87,2601
0,789447,214,3,35,779023
0,7954,194,2,117,2
0,743366,12,3,28,733188
0,1028641,19,1,40,1018586
1,69531,218,1,13,59128
0,5243,68,1,88,2
0,9826,22,2,74,2831
1,12411,134,3,102,1858
0,6482,3,2,61,3
1,78813,198,1,51,72588
1,12312,197,2,51,7990
1,40663,199,1,120,30197
1,51361,101,1,27,40991
0,288082,210,1,50,277652
0,328819,64,1,30,318764
1,127475,172,1,54,117093
1,32850,187,1,9,28143
0,207695,52,1,15,204667
1,36235,217,1,13,25871
0,11147,33,2,79,4143
0,1351353,156,3,46,1340908
0,656937,158,1,22,646543
0,745319,40,1,32,734937
1,353296,97,2,51,348857
0,7476,0,2,59,127
1,63323,188,1,18,53163
0,5481,157,2,109,1
1,5231,27,1,66,1
1,78745,63,1,43,68291
0,574518,143,3,12,565420
1,27113,195,3,118,16665
0,647211,117,3,46,636820
1,802151,13,1,50,791817
0,65194,21,1,0,54806
1,6388,124,1,100,323
0,296067,110,3,33,288610
0,62219,39,1,82,51870
1,19188,34,1,80,11071
1,34912,170,1,33,27714
0,330111,109,1,15,322282
0,595061,48,3,25,584655
1,52443,44,3,48,42064
0,5929,152,1,69,3
1,35770,43,3,83,25298
0,5956,20,1,73,733
0,586972,47,1,8,576509
1,88568,200,1,120,78117
0,13525,108,3,97,3143
0,623676,90,1,12,613279
1,11537,175,1,112,1098
0,505288,11,1,4,494840
1,39653,24,1,37,33702
1,158064,215,1,13,147781
1,54831,126,1,51,44338
1,1392969,105,1,49,1382515
0,2345195,167,1,51,2334792
0,5893,36,1,81,1
0,1174010,190,2,43,1168695
1,563694,144,1,26,556752
1,89016,119,1,42,78604
1,487135,85,1,38,478468
0,3341,191,2,115,3
0,5467,73,2,91,2
1,6015,149,2,28,103
1,6046,79,2,93,2
1,24830,102,1,27,14646
0,599807,111,1,18,589443
0,8611,118,1,68,3
1,940675,89,1,49,930293
1,21015,76,1,18,14486
1,94486,148,1,37,84056
1,19647,54,1,85,9304
1,1142692,88,2,48,1136952
1,17336,67,1,12,6891
1,6309,70,3,89,1
0,6144,62,1,86,3
0,818767,121,1,29,810066
0,566844,204,3,17,556376
0,6275,17,3,72,3
1,9243,23,3,65,3028
0,230403,211,1,10,222871
0,545365,222,1,19,535076
1,54812,5,1,32,50482
0,5690,78,3,92,3
1,6239,136,2,104,3
0,47046,57,3,67,36631
0,1352921,107,1,49,1342479
0,548110,155,1,18,541838
0,1415129,7,3,46,1406220
1,53597,31,1,57,43140
0,6877,30,1,77,2
1,82139,164,1,3,71676
1,571446,181,3,33,561022
0,138943,49,2,23,131411
1,40882,92,3,41,30431
0,64329,98,1,1,53935
0,19778,83,1,94,9420
1,409474,180,1,33,399029
0,656716,87,1,21,646334
0,1441553,106,1,49,1431102
0,796416,189,1,29,789632
0,18102,16,1,71,7759
0,635740,96,1,14,625292
1,29124,137,1,104,18715
0,510863,221,1,6,500484
0,347622,84,1,50,337195
0,8750,10,3,64,352
1,12299,147,3,106,2049
0,816094,66,1,33,805796
0,746001,146,1,31,735628
1,18044,37,1,30,13358
0,902706,95,1,38,892584
1,97751,80,2,23,91272
0,406298,26,1,31,400980
0,490459,112,1,7,480062
1,188433,129,1,10,178087
0,191125,46,1,24,180626
0,400877,71,2,31,396354
0,571102,15,1,39,563645
0,508446,161,1,10,497998
1,22907,1,2,50,17262
1,192236,130,3,28,185259
1,7036,196,1,119,1
0,1048694,138,1,41,1038261
1,14711,135,3,103,4479
1,5905,53,1,84,1
1,8139,178,3,113,1
1,15047,123,3,99,4680
0,610602,141,1,26,600223
1,46671,99,1,96,36289
0,149649,116,2,23,143326
0,682115,115,1,33,675892
0,30892,74,1,22,20468
0,56068,176,1,112,45617
0,2370774,165,1,50,2360422
1,107347,18,1,56,100946
1,364951,59,3,55,356759
1,79790,209,3,50,69342
1,34480,145,1,24,24017
0,501262,103,1,20,494255
1,7213,72,1,90,1
1,12287,133,3,101,1776
0,572820,183,1,11,566630
1,1301475,104,1,49,1291027
1,53674,205,1,58,43286
0,7785,140,2,105,1726
0,1049310,58,1,47,1038856
1,22220,224,1,39,11901
1,934030,203,3,48,926063
0,243214,169,1,33,232769
1,76316,29,2,31,71757
1,5029,28,2,76,2
0,780586,127,1,36,770171
1,12152,206,1,122,4158
1,102066,45,1,11,91621
1,19621,51,1,56,13649
1,72152,150,1,28,61794
1,600090,182,1,33,589645
0,9497,186,3,114,3
1,364064,56,1,33,353619
