Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation,Encoded_Protein,Gene_Db_Id,Entity_Type,Gene_Id,Genomic_End_Position
0,43,1168695,0,2,188,0,188,1174010
0,60,127,0,2,0,0,1,7476
0,10,605538,1,1,155,0,155,609988
1,50,1158055,1,3,160,1,160,1168419
0,44,1158920,0,1,39,0,39,1169344
1,107,8548,1,3,149,1,149,18759
0,5,41772,1,1,57,0,57,52109
0,30,13358,1,1,36,0,36,18044
0,10,413739,0,1,138,0,138,424181
0,8,215040,0,1,222,0,222,225503
0,50,930293,1,1,88,0,88,940675
0,15,322282,0,1,107,0,107,330111
0,10,447770,1,1,51,0,51,458221
0,30,318764,0,1,65,0,65,328819
0,110,7588,0,1,173,0,173,18045
0,27,73238,1,1,100,0,100,83617
1,28,733188,0,3,12,1,12,743366
1,33,714922,0,3,129,1,129,723117
1,32,786038,0,3,41,1,41,796435
1,33,288610,0,3,108,1,108,296067
0,63,1,1,2,7,0,7,5595
0,29,810066,0,1,118,0,118,818767
0,10,563530,0,1,156,0,156,573981
0,34,380639,1,1,218,0,218,390898
0,75,2,1,2,25,0,25,6832
0,38,35644,1,1,190,0,190,46065
0,35,832124,0,1,211,0,211,842551
0,111,52823,1,1,174,0,174,63253
0,52,72588,1,1,196,0,196,78813
0,23,143326,0,2,113,0,113,149649
0,33,805796,0,1,67,0,67,816094
1,78,2172,0,3,31,1,31,11516
0,16,16478,1,1,62,0,62,26884
0,51,17262,1,2,1,0,2,22907
0,70,3,0,1,148,0,148,5929
0,23,183374,0,2,183,0,183,193120
0,116,1,0,1,191,0,191,9732
0,46,959784,1,1,184,0,184,970184
0,53,203258,0,1,99,0,99,213628
1,46,636820,0,3,114,1,114,647211
0,13,127910,1,1,215,0,215,138304
0,108,3220,1,1,150,0,150,13701
0,29,318795,0,1,46,0,46,328850
0,62,3,0,2,4,0,4,6482
0,52,2334792,0,1,165,0,165,2345195
1,98,13795,0,3,110,1,110,24168
0,34,449073,1,1,63,0,63,459416
0,95,2,0,2,90,0,90,3034
0,34,245186,1,1,111,0,111,252973
0,54,52593,1,1,93,0,93,62951
0,34,339083,1,2,219,0,219,347060
0,51,38978,1,2,205,0,205,45907
0,27,130814,1,1,130,0,130,141214
1,35,779023,0,3,212,1,212,789447
0,2,470489,0,2,77,0,77,475972
0,33,399029,1,1,179,0,179,409474
0,29,39092,1,1,123,0,123,47512
0,51,791817,1,1,13,0,13,802151
0,121,23431,0,1,199,0,199,33876
0,49,1709332,1,2,170,0,170,1717944
0,32,734937,0,1,38,0,38,745319
0,37,881293,0,1,19,0,19,891588
1,49,926063,1,3,201,1,201,934030
0,55,117093,1,1,171,0,171,127475
0,87,2601,0,1,66,0,66,13163
0,35,20812,1,1,119,0,119,31191
0,117,2,0,2,192,0,192,7954
0,28,219184,1,1,213,0,213,229560
0,39,563645,0,1,14,0,14,571102
0,13,59128,1,1,217,0,217,69531
0,88,2,0,1,69,0,69,5243
0,74,733,0,1,21,0,21,5956
1,102,1858,1,3,133,1,133,12411
0,61,1030,1,0,2,0,0,7614
0,52,44338,1,1,125,0,125,54831
0,51,2360422,0,1,163,0,163,2370774
0,120,30197,1,1,197,0,197,40663
0,27,14646,1,1,101,0,101,24830
1,51,69342,1,3,207,1,207,79790
0,30,55971,1,2,127,0,127,64484
1,54,117557,1,3,147,1,147,127990
0,9,28143,1,1,186,0,186,32850
0,15,204667,0,1,53,0,53,207695
0,13,25871,1,1,216,0,216,36235
0,79,4143,0,2,32,0,32,11147
1,46,1224493,1,3,177,1,177,1233807
0,22,20468,0,1,74,0,74,30892
0,32,50482,1,1,6,0,6,54812
0,52,306168,0,1,48,0,48,311779
0,59,43286,1,1,203,0,203,53674
0,18,14486,1,1,76,0,76,21015
0,109,1,0,2,153,0,153,5481
1,66,3028,1,3,23,1,23,9243
0,42,78604,1,1,116,0,116,89016
1,12,565420,0,3,141,1,141,574518
1,118,16665,1,3,193,1,193,27113
0,45,60752,1,1,81,0,81,71128
0,51,337195,0,1,84,0,84,347622
0,0,54806,0,1,22,0,22,65194
0,100,323,1,1,121,0,121,6388
0,33,232769,0,1,167,0,167,243214
0,82,51870,0,1,37,0,37,62219
0,80,11071,1,1,33,0,33,19188
0,33,14689,1,1,169,0,169,22103
0,15,231410,0,2,159,0,159,239506
1,25,208664,0,3,3,1,3,217558
0,48,1038856,0,1,60,0,60,1049310
0,69,3,0,1,115,0,115,8611
1,83,25298,1,3,42,1,42,35770
0,73,1460,0,1,17,0,17,11755
0,8,576509,0,1,45,0,45,586972
0,120,78117,1,1,198,0,198,88568
1,97,3143,0,3,106,1,106,13525
0,12,613279,0,1,89,0,89,623676
0,112,1098,1,1,175,0,175,11537
0,4,494840,0,1,11,0,11,505288
0,36,770171,0,1,126,0,126,780586
0,13,147781,1,1,214,0,214,158064
0,52,7990,1,2,195,0,195,12312
0,50,1342479,0,1,105,0,105,1352921
0,52,348857,1,2,96,0,96,353296
0,81,1,0,1,35,0,35,5893
0,43,1137248,0,1,122,0,122,1147531
1,25,584655,0,3,49,1,49,595061
0,41,1038261,0,1,137,0,137,1048694
1,38,206012,1,3,9,1,9,214744
0,115,3,0,2,189,0,189,3341
0,91,2,0,2,73,0,73,5467
0,27,217409,1,1,34,0,34,225073
0,93,2,1,2,79,0,79,6046
0,26,600223,0,1,140,0,140,610602
0,18,541838,0,1,151,0,151,548110
1,68,36631,0,3,59,1,59,47046
0,49,2011656,0,2,5,0,5,2017022
1,17,556376,0,3,202,1,202,566844
0,37,33702,1,1,24,0,24,39653
0,85,9304,1,1,56,0,56,19647
1,49,1014285,0,3,200,1,200,1020605
0,12,6891,1,1,68,0,68,17336
1,89,1,1,3,70,1,70,6309
0,86,3,0,1,64,0,64,6144
0,29,789632,0,1,187,0,187,796416
0,16,242332,0,1,210,0,210,252780
0,72,7759,0,1,16,0,16,18102
1,65,352,0,3,10,1,10,8750
0,10,222871,0,1,209,0,209,230403
0,18,628055,0,1,172,0,172,638425
0,32,26002,1,2,15,0,15,34341
1,92,3,0,3,78,1,78,5690
0,104,3,1,2,135,0,135,6239
0,67,1,1,1,26,0,26,5231
0,50,1291027,1,1,103,0,103,1301475
0,18,531839,0,1,47,0,47,536745
1,46,1340908,0,3,152,1,152,1351353
0,57,100946,1,1,18,0,18,107347
0,77,2,1,2,28,0,28,5029
0,3,71676,1,1,162,0,162,82139
0,33,529028,1,2,112,0,112,534898
0,23,91272,1,2,80,0,80,97751
0,40,1018586,0,1,20,0,20,1028641
0,1,53935,0,1,97,0,97,64329
0,94,9420,0,1,83,0,83,19778
0,33,353619,1,1,58,0,58,364064
0,20,494255,0,1,102,0,102,501262
0,50,1382515,1,1,104,0,104,1392969
1,29,726108,0,3,224,1,224,736142
0,71,2987,0,1,158,0,158,13390
0,14,625292,0,1,95,0,95,635740
0,104,18715,1,1,136,0,136,29124
0,6,500484,0,1,220,0,220,510863
0,51,277652,0,1,208,0,208,288082
0,64,1905,1,1,8,0,8,12200
1,106,2049,1,3,144,1,144,12299
0,33,765552,0,1,131,0,131,775910
0,31,418893,0,1,124,0,124,424985
1,30,5433,1,3,86,1,86,11317
0,38,478468,1,1,85,0,85,487135
0,22,646543,0,1,154,0,154,656937
0,31,396354,0,2,71,0,71,400877
0,7,480062,0,1,109,0,109,490459
0,10,178087,1,1,128,0,128,188433
0,24,24017,1,1,143,0,143,34480
0,31,71757,1,2,29,0,29,76316
0,39,11901,1,1,223,0,223,22220
0,10,497998,0,1,157,0,157,508446
0,50,1674489,1,1,55,0,55,1684949
0,28,61794,1,1,146,0,146,72152
0,119,1,1,1,194,0,194,7036
1,41,30431,1,3,91,1,91,40882
1,103,4479,1,3,134,1,134,14711
0,84,1,1,1,54,0,54,5905
1,113,1,1,3,178,1,178,8139
1,99,4680,1,3,120,1,120,15047
0,26,556752,1,1,142,0,142,563694
0,96,36289,1,1,98,0,98,46671
0,23,131411,0,2,50,0,50,138943
0,33,589645,1,1,181,0,181,600090
0,21,646334,0,1,87,0,87,656716
0,112,45617,0,1,176,0,176,56068
0,51,2335691,0,1,164,0,164,2345983
0,57,13649,1,1,52,0,52,19621
1,56,21774,1,3,92,1,92,25728
0,51,50520,1,1,206,0,206,60872
0,23,688299,0,1,82,0,82,698669
0,19,535076,0,1,221,0,221,545365
0,90,1,1,1,72,0,72,7213
1,101,1776,1,3,132,1,132,12287
0,11,566630,0,1,182,0,182,572820
0,50,1200861,0,1,161,0,161,1211309
0,58,43140,1,1,30,0,30,53597
0,105,1726,0,2,139,0,139,7785
0,47,1838054,0,1,40,0,40,1848415
0,38,892584,0,1,94,0,94,902706
1,49,42064,1,3,43,1,43,52443
0,33,27714,1,1,168,0,168,34912
0,30,675331,0,1,117,0,117,685626
1,76,1581,1,3,27,1,27,11957
0,36,21127,1,1,75,0,75,31572
0,122,4158,1,1,204,0,204,12152
0,11,91621,1,1,44,0,44,102066
1,56,356759,1,3,61,1,61,364951
0,28,103,1,2,145,0,145,6015
1,33,561022,1,3,180,1,180,571446
1,114,3,0,3,185,1,185,9497
0,33,321641,0,1,166,0,166,332104
