Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,419867,29,29,32,0,0,4,419010,1
0,1404526,44,44,52,0,0,20,1403861,1
0,25097,61,61,24,0,0,34,24648,0
0,1795788,47,47,10,0,0,21,1795339,1
0,360949,37,37,29,0,0,22,360191,1
0,2126663,23,23,33,0,0,22,2125983,1
0,106626,2,2,48,0,0,0,106183,0
0,1512529,20,20,29,0,0,22,1511897,1
0,1801028,84,84,7,0,0,22,1800459,0
0,187539,4,4,16,0,0,8,186739,0
0,249755,32,32,2,0,0,16,248955,0
0,18478,14,14,24,0,0,28,17702,0
0,455384,88,88,47,0,0,16,454782,0
0,582312,0,0,5,0,0,4,581629,1
0,334491,38,38,49,0,0,22,333733,1
0,249191,31,31,26,0,0,12,247920,0
0,192020,68,68,27,0,0,7,191304,0
0,390327,11,11,29,0,0,22,389875,1
0,5270,60,60,24,0,0,33,4815,1
0,1249825,36,36,33,0,0,22,1249373,1
0,541726,16,16,24,0,0,13,540743,1
0,260224,51,51,51,0,0,11,259535,1
0,1915099,46,46,10,0,0,21,1914353,1
0,1266329,78,78,37,0,0,20,1265664,0
0,229245,104,104,35,0,0,4,228751,0
0,439937,91,91,3,0,0,11,439305,0
0,47774,63,63,24,0,0,34,46746,0
0,215252,107,107,8,0,0,9,214692,0
0,2055769,81,81,3,0,0,21,2055320,1
0,241884,26,26,34,0,0,10,241294,0
0,404244,65,65,50,0,0,24,403621,1
1,187858,12,12,38,1,1,19,187097,0
0,1351182,73,73,49,0,0,22,1350433,1
0,407069,57,57,35,0,0,15,406629,0
0,190450,99,99,43,0,0,3,190100,0
0,1500372,21,21,7,0,0,22,1500022,0
0,19040,54,54,24,0,0,32,18594,0
0,1292754,33,33,7,0,0,22,1292116,0
0,873951,10,10,12,0,0,14,873346,0
0,491545,93,93,3,0,0,11,490745,1
0,447197,92,92,16,0,0,11,446745,1
0,1335494,34,34,31,0,0,22,1334871,1
1,311877,50,50,28,1,1,3,310678,0
0,508560,17,17,29,2,0,13,507559,1
0,1480543,79,79,1,0,0,20,1479323,1
0,1962152,45,45,20,0,0,21,1961658,1
0,2108845,48,48,7,0,0,22,2108303,1
0,24241,28,28,24,0,0,30,23690,0
0,369901,13,13,42,0,0,3,369557,1
0,533902,105,105,0,0,0,4,533237,1
0,1327169,35,35,7,0,0,22,1326369,0
0,17745,70,70,12,0,0,2,16912,1
1,509814,67,67,17,3,1,5,509014,0
0,58473,1,1,18,0,0,12,57784,0
0,1027295,100,100,30,0,0,21,1026840,0
1,374729,76,76,11,1,1,23,373830,1
0,258510,77,77,43,0,0,3,258202,0
0,981065,40,40,22,0,0,22,980400,1
0,3241,97,97,19,0,0,27,2789,0
0,2054734,8,8,31,0,0,22,2054069,1
0,469905,59,59,15,0,0,15,469240,0
0,293595,56,56,41,0,0,15,292942,0
0,21345,87,87,26,0,0,36,20596,0
0,533360,15,15,14,0,0,13,532377,1
0,1188592,74,74,7,0,0,22,1187834,1
0,1146722,86,86,14,0,0,17,1145835,1
0,30522,85,85,40,0,0,35,29761,1
0,2006097,82,82,9,0,0,21,2005645,0
0,2046738,9,9,7,0,0,22,2046013,1
0,989439,22,22,7,0,0,22,989029,1
0,535778,102,102,52,2,0,12,534804,1
0,574747,30,30,14,0,0,17,573722,0
0,985522,39,39,6,0,0,22,984710,1
0,548988,18,18,52,0,0,13,548008,1
0,976756,41,41,45,0,0,22,976091,1
0,2720,96,96,19,0,0,27,1839,0
0,522763,55,55,27,0,0,17,521789,1
1,1694721,6,6,13,1,1,21,1693825,1
0,434224,90,90,16,0,0,11,433772,0
0,25672,62,62,24,0,0,34,25139,0
0,835812,95,95,24,4,0,17,835600,0
0,1117094,98,98,39,0,0,18,1116687,0
0,6198,5,5,44,0,0,25,5503,1
0,614408,94,94,21,0,0,11,613791,1
0,213832,25,25,16,0,0,11,212933,1
0,2014286,49,49,40,0,0,22,2013333,1
0,3147,52,52,24,0,0,31,2389,1
0,121362,106,106,25,0,0,1,120919,0
0,386361,58,58,15,0,0,15,385708,0
0,166893,3,3,46,0,0,7,166510,1
0,16682,71,71,4,0,0,2,16377,1
0,203789,69,69,27,0,0,7,203085,0
0,1589372,24,24,33,0,0,22,1589025,1
0,1379076,72,72,6,0,0,22,1378327,1
0,1474,7,7,36,0,0,26,1025,1
0,972438,42,42,7,0,0,22,971773,1
0,26420,53,53,24,0,0,32,25257,1
0,1129040,101,101,10,0,0,21,1128585,1
0,430215,103,103,29,0,0,22,429457,1
0,2189977,80,80,20,0,0,21,2189303,1
0,4118,27,27,24,0,0,29,3549,0
0,45033,89,89,23,0,0,37,44497,0
0,576203,43,43,5,0,0,6,575301,1
0,930230,64,64,10,0,0,21,929781,1
0,1966887,83,83,29,0,0,22,1966264,0
0,561672,66,66,0,0,0,4,560914,1
0,1125325,75,75,6,0,0,22,1124525,1
0,1533448,19,19,7,0,0,22,1532690,0
