Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,447558,84,84,2,20,13,447142,1
1,9446,79,79,2,3,38,7647,0
0,5255,73,73,3,32,19,2763,0
1,994934,12,12,2,10,12,993237,0
1,2113129,5,5,2,1,17,2112008,1
1,339503,95,95,2,16,5,338613,1
1,571876,60,60,2,36,5,570902,0
0,409340,94,94,0,9,17,408633,0
0,747945,61,61,3,38,9,745645,0
0,415,76,76,3,17,37,74,0
1,34900,81,81,2,42,40,34403,0
0,1568049,34,34,3,22,17,1567459,1
1,796821,75,75,2,44,11,795886,0
1,677663,24,24,2,1,17,676746,0
1,1037381,92,92,2,26,16,1036476,1
0,434997,7,7,0,18,4,434554,1
1,787501,70,70,2,10,12,786539,0
0,514049,83,83,3,0,10,513210,1
1,1751697,6,6,1,6,16,1751281,0
1,767190,27,27,2,35,11,766081,0
1,155295,90,90,2,12,41,154171,0
0,14817,15,15,4,17,25,14209,0
1,74492,20,20,2,37,3,73803,0
1,1021876,58,58,2,6,16,1021316,0
1,1605890,77,77,2,6,16,1605162,0
1,310242,37,37,2,16,13,309811,0
1,1067748,78,78,2,16,13,1067248,0
1,810033,68,68,2,10,12,808633,0
1,524283,29,29,2,29,6,523744,0
1,1162532,40,40,2,6,16,1161927,0
1,796791,69,69,2,37,12,795304,0
1,1226536,45,45,2,1,17,1225625,1
0,292232,52,52,0,7,4,291777,0
1,493953,85,85,2,16,13,493609,0
0,579,47,47,4,17,31,1,1
1,1575106,51,51,2,26,16,1574483,0
1,1285729,44,44,2,1,17,1284860,1
1,738027,49,49,2,35,11,736090,0
1,624101,25,25,2,28,6,623469,1
0,6256,13,13,3,17,23,4343,1
1,3678,43,43,2,31,29,1996,1
0,415202,8,8,0,19,4,414870,0
1,456990,38,38,2,19,5,456034,0
1,26464,57,57,2,16,33,24623,1
0,43740,66,66,0,5,2,43105,0
0,556441,28,28,0,27,6,555500,0
1,302448,35,35,2,16,13,301999,0
1,408301,93,93,2,1,17,407363,0
0,14261,88,88,3,2,20,11517,1
0,69017,91,91,5,33,4,68592,1
1,1643722,32,32,2,39,17,1642802,1
1,84542,19,19,2,4,27,84111,1
0,2665,11,11,3,17,22,1541,1
1,1145346,89,89,2,15,14,1144930,0
1,1078009,0,0,2,16,13,1077569,1
0,598,63,63,4,17,34,2,1
0,743148,41,41,0,10,13,742618,0
1,1445532,21,21,2,39,17,1444765,1
0,828817,3,3,0,41,16,828224,1
1,1493,80,80,2,23,39,471,1
1,752839,23,23,2,1,17,752246,1
1,2418,10,10,2,24,21,715,1
1,405646,54,54,2,16,13,404846,1
0,1735532,71,71,3,25,15,1734645,0
0,995699,86,86,3,10,13,995106,1
0,2026309,9,9,0,22,17,2025506,1
1,483,18,18,2,4,27,1,1
0,1708125,2,2,3,14,15,1707238,0
1,571767,74,74,2,39,17,570709,1
1,888037,87,87,2,44,11,886754,0
0,18905,65,65,3,17,36,17574,1
0,1735953,72,72,0,34,15,1735636,0
1,846780,4,4,2,6,16,844948,1
1,3924,64,64,2,13,35,2239,1
0,287968,36,36,0,40,13,286817,0
1,776048,26,26,2,44,11,775092,0
1,15756,46,46,2,35,30,14755,1
1,232541,30,30,2,33,0,231249,0
1,322283,56,56,2,43,14,321357,0
1,75990,1,1,2,30,8,74263,1
1,156954,97,97,2,21,1,155782,0
1,389254,82,82,2,0,10,388238,1
0,12112,17,17,0,17,26,11726,0
0,3821,14,14,3,17,24,1521,1
1,1680779,33,33,2,1,17,1680060,0
0,11816,48,48,3,17,32,9516,1
1,446968,59,59,2,1,17,445976,0
1,1658775,31,31,2,25,17,1658077,1
1,1430208,22,22,2,1,17,1429318,0
1,1217,96,96,2,21,42,24,0
1,145136,62,62,2,6,7,143469,1
1,703062,67,67,2,6,16,702091,0
1,1786875,50,50,2,26,16,1786159,1
1,1000,42,42,2,8,28,2,0
0,457660,39,39,0,11,5,457121,0
1,2307,53,53,2,2,18,1621,1
0,309976,55,55,3,16,14,309383,0
0,11716,16,16,0,17,26,11321,0
