Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,0,1160395,347,347,3,56,22,1159709
0,0,18293,404,404,3,156,95,17649
0,0,7200,135,135,4,24,45,6637
0,0,55025,359,359,4,100,83,54438
0,0,1464254,88,88,4,96,28,1463646
1,0,494817,203,203,4,14,23,494134
0,0,2016292,329,329,4,62,27,2015537
0,0,9057,388,388,4,90,90,8128
0,0,4555,132,132,4,130,64,3962
0,0,683253,98,98,4,58,28,682675
0,0,844685,368,368,3,112,22,844098
0,0,112468,401,401,1,37,94,111971
0,0,4870,340,340,4,139,78,4217
0,0,2682,265,265,4,130,76,1954
1,0,163066,8,8,4,142,8,162521
0,0,1955674,332,332,4,160,28,1955171
1,0,756041,99,99,4,96,28,755460
1,0,1368555,309,309,4,75,28,1367977
1,0,1487064,92,92,4,28,28,1486369
1,0,36247,72,72,4,63,15,35642
0,0,265007,259,259,4,5,23,264339
0,0,120884,34,34,2,106,14,120498
1,0,1921473,108,108,4,58,28,1920904
0,0,458814,352,352,4,99,17,458125
0,0,308712,370,370,4,26,16,308044
0,0,548591,226,226,2,41,19,548190
0,0,1604078,116,116,4,75,28,1603452
0,0,85370,61,61,4,76,58,84681
0,0,17407,262,262,4,42,74,16820
0,0,1033564,299,299,4,167,18,1032920
0,0,1738968,27,27,3,41,27,1738420
1,0,6677,379,379,4,89,86,6162
1,0,278070,222,222,4,157,3,277438
0,0,1731530,336,336,4,58,28,1730895
0,0,477620,206,206,4,112,6,476973
0,0,567879,381,381,2,88,20,567310
0,0,10321,126,126,4,42,61,9749
0,0,1686468,112,112,4,96,28,1685914
0,0,7629,230,230,4,42,70,6979
0,0,1645,356,356,4,104,83,1004
1,0,376974,55,55,4,150,3,376393
1,0,807869,24,24,3,117,27,807330
1,0,426818,138,138,4,128,4,426186
1,0,39701,52,52,4,42,57,39237
0,0,307213,260,260,4,14,23,306524
1,0,782,46,46,4,126,54,129
1,0,1132814,317,317,4,58,28,1132212
1,0,30799,73,73,4,67,15,30158
1,0,159847,67,67,4,98,14,159101
1,0,717564,271,271,4,122,27,716974
1,0,1637787,114,114,4,58,28,1637185
0,0,487905,170,170,4,150,3,487330
1,0,356421,430,430,3,137,13,355831
0,0,1932015,107,107,4,96,28,1931470
0,0,2027,39,39,4,71,52,1341
0,0,1743790,335,335,4,58,28,1743146
0,0,515441,207,207,4,65,6,514617
1,0,1118634,319,319,4,152,28,1117975
0,0,347837,17,17,3,9,3,347313
0,0,250738,323,323,4,157,3,250097
1,0,1579,3,3,4,166,34,1004
0,0,570400,76,76,4,114,7,569783
1,0,552848,146,146,4,163,22,552180
0,0,52129,266,266,4,130,76,51491
1,0,19103,380,380,3,31,86,18480
0,0,4829,258,258,4,38,73,4128
1,0,599763,233,233,4,6,10,598996
0,0,430625,12,12,4,133,16,430509
0,0,1148872,410,410,4,34,27,1148204
0,0,339516,225,225,4,82,3,338926
1,0,1581481,215,215,4,84,26,1580900
1,0,1081012,406,406,4,169,27,1080440
0,0,15668,344,344,4,20,79,15015
1,0,6518,304,304,4,150,1,5874
1,0,26110,306,306,4,31,14,25487
1,0,504309,428,428,3,145,4,503911
1,0,668902,150,150,4,77,22,668282
0,0,1995197,217,217,4,149,27,1994529
0,0,216763,322,322,4,143,3,216122
1,0,588625,158,158,3,108,4,587969
0,0,416038,383,383,4,64,31,415541
1,0,463493,101,101,3,79,0,462885
1,0,14001,394,394,4,153,92,13402
0,0,385637,20,20,3,56,22,384969
1,0,602338,320,320,4,92,6,601643
1,0,1845,389,389,2,87,91,1489
0,0,314714,123,123,4,25,12,314181
0,0,1473130,87,87,4,27,28,1472456
1,0,1134002,408,408,4,48,27,1133424
0,0,444695,31,31,4,110,3,444042
0,0,42175,386,386,4,149,88,41594
0,0,9261,128,128,4,42,62,8539
0,0,382637,57,57,4,157,3,382086
1,0,35038,303,303,4,120,1,34388
0,0,410050,248,248,4,23,16,409331
1,0,13194,349,349,3,105,81,12661
1,0,641578,83,83,4,55,11,640880
1,0,320021,423,423,4,97,4,319437
0,0,70385,300,300,4,158,15,69732
0,0,2893,384,384,4,147,87,2228
1,0,36160,19,19,4,54,14,35462
1,0,628319,184,184,3,65,13,627354
1,0,1066542,405,405,4,69,27,1065931
0,0,438865,351,351,4,21,17,438233
0,0,331967,154,154,4,133,16,331098
0,0,499409,366,366,3,56,22,498789
0,0,262228,37,37,4,168,22,261515
0,1,340144,413,413,4,98,14,339536
0,0,218124,167,167,4,21,17,217234
0,0,17055,48,48,4,42,56,16375
1,0,1049,286,286,4,68,48,204
1,0,807166,153,153,4,116,22,806492
1,0,874302,276,276,3,117,27,873739
1,0,281,10,10,5,73,36,3
0,0,16035,342,342,4,53,78,15472
1,0,301818,280,280,4,31,14,301183
1,0,6125,11,11,4,73,36,5631
0,0,578960,77,77,4,114,7,578253
0,0,1670681,28,28,4,122,27,1670067
0,0,544317,148,148,1,112,22,543658
0,0,278450,244,244,4,46,16,277617
0,0,473006,254,254,4,133,16,472107
0,0,16573,166,166,4,126,66,15977
0,0,1236,125,125,4,0,44,691
1,0,2152710,106,106,4,160,28,2152117
0,0,750998,201,201,4,131,16,750414
1,0,497850,296,296,4,42,10,497083
1,0,653543,84,84,4,55,11,652923
0,0,729959,96,96,4,17,28,729363
1,0,350824,414,414,2,98,14,350453
1,0,584282,133,133,4,6,10,583626
0,0,425782,142,142,2,47,14,425384
0,0,1261581,324,324,3,129,26,1260970
0,0,160801,403,403,4,49,94,160181
0,0,10872,104,104,3,102,60,10210
1,0,412598,282,282,4,45,30,411981
1,0,514088,295,295,4,42,10,513441
1,0,667099,4,4,4,6,10,666332
0,0,244449,290,290,4,119,16,243556
0,0,223254,291,291,4,23,16,222562
0,0,260483,176,176,4,99,17,259935
0,0,1078119,193,193,4,160,28,1077559
1,0,198335,42,42,4,6,10,197730
1,0,1243238,187,187,4,160,28,1242540
0,0,1176204,399,399,4,5,23,1175530
0,0,6197,387,387,4,154,89,5628
1,0,38888,79,79,4,57,14,38181
0,0,374682,41,41,4,17,28,374062
0,0,1420673,91,91,4,160,28,1420101
1,0,388432,195,195,2,74,29,388043
0,0,70633,59,59,4,126,58,70109
0,0,11230,374,374,4,125,49,10535
0,0,694973,307,307,4,70,27,694383
0,0,1677970,118,118,4,136,28,1677395
0,0,5761,375,375,4,22,50,5141
0,0,1886263,218,218,4,101,27,1885670
1,0,311313,422,422,4,135,4,310645
1,0,274287,173,173,4,98,14,273715
0,0,456160,321,321,4,118,23,455483
1,0,36542,385,385,4,149,88,35961
0,0,541203,103,103,4,65,6,540331
1,0,375081,122,122,4,25,12,374536
1,0,1142859,409,409,4,48,27,1142287
1,0,1481322,93,93,4,75,28,1480762
1,0,1306828,209,209,4,91,26,1306226
1,0,1739,6,6,4,34,33,1236
0,0,405277,141,141,4,31,14,404699
0,0,1587490,212,212,4,91,26,1586741
1,0,2442,287,287,4,29,48,1612
1,1,327963,424,424,4,97,4,327337
0,0,1411596,21,21,4,17,28,1410949
0,0,253089,177,177,4,21,17,252442
0,0,917604,275,275,4,101,27,916954
1,0,358436,279,279,2,57,14,358038
1,0,11470,47,47,2,126,55,11081
1,0,371048,278,278,4,98,14,370350
0,0,1943209,9,9,4,58,28,1942577
1,0,7470,270,270,4,126,77,6853
1,0,76266,281,281,4,47,14,75574
1,0,21243,14,14,4,16,38,20602
1,0,605996,239,239,4,6,10,605367
0,0,332148,411,411,4,98,14,331510
0,0,862102,242,242,3,1,22,861431
0,0,1875155,219,219,4,48,27,1874526
1,0,617680,234,234,4,15,10,617066
0,0,59685,49,49,4,76,56,58891
0,0,1611491,330,330,4,122,27,1610868
0,0,31626,357,357,4,22,83,31012
0,0,67780,415,415,4,31,14,67067
0,0,425359,249,249,4,23,16,424565
0,0,288480,175,175,4,99,17,287506
0,0,1187163,346,346,4,168,22,1186465
0,0,1200244,312,312,4,58,28,1199621
0,0,18926,390,390,4,151,92,18276
1,0,2115566,25,25,4,96,28,2114982
1,0,1109679,316,316,4,96,28,1109041
1,0,1559,51,51,4,42,57,987
0,0,413954,418,418,4,17,28,413337
0,0,128464,416,416,2,7,14,128075
1,0,1139142,315,315,4,58,28,1138561
1,0,462219,364,364,4,115,22,461563
1,0,1348,168,168,4,42,67,512
0,0,1344856,199,199,4,123,21,1344239
1,0,190891,66,66,4,98,14,190256
1,0,3660,196,196,4,42,68,3085
0,0,1001979,95,95,4,165,28,1001410
0,0,1671935,119,119,3,120,28,1671336
1,0,3008,164,164,4,143,46,2760
0,0,17644,348,348,4,155,80,17072
0,0,393310,283,283,4,10,30,392783
0,0,1025055,192,192,4,75,28,1024453
1,0,1654543,30,30,4,150,27,1654004
1,0,11006,13,13,4,139,37,10434
0,0,1840810,110,110,4,58,28,1840178
1,0,1182146,313,313,4,58,28,1181541
1,0,377041,363,363,4,25,12,376496
0,0,389569,250,250,4,109,16,388676
1,0,1235855,188,188,2,96,28,1235211
0,0,1806636,337,337,4,146,28,1806064
0,0,7249,53,53,4,42,57,6641
0,0,452612,284,284,4,96,28,451995
0,0,410649,143,143,2,31,14,410251
0,0,1121,2,2,4,162,32,531
1,0,725245,152,152,4,116,22,724664
0,0,7534,343,343,2,148,79,7151
0,0,14571,377,377,4,101,50,14272
0,0,237931,288,288,4,23,16,237338
0,0,622513,26,26,4,96,28,621803
0,0,253619,171,171,4,31,14,252897
0,0,244194,180,180,4,21,17,243160
0,0,305429,372,372,4,9,24,304515
0,0,690105,149,149,3,56,22,689434
1,0,22995,305,305,2,57,14,22609
1,0,47042,80,80,4,31,14,46335
1,0,6670,228,228,4,42,69,6140
0,0,467996,365,365,4,163,22,467418
0,0,1079,127,127,2,76,62,750
1,1,1784731,333,333,4,146,28,1784156
0,0,1392058,308,308,4,165,28,1391459
1,0,170789,68,68,4,31,14,170208
1,0,44727,395,395,3,66,93,44119
0,0,978860,277,277,1,117,27,978390
0,0,7294,263,263,4,42,75,6638
0,0,9111,131,131,2,76,63,8734
1,0,633393,82,82,4,60,11,632488
0,0,2852,16,16,4,36,40,2211
0,0,1610144,115,115,4,75,28,1609563
1,0,219644,71,71,4,54,14,218985
1,0,873,5,5,4,32,35,262
0,0,462632,140,140,4,97,4,462006
0,0,1707,378,378,4,87,85,1054
0,0,555039,78,78,4,78,7,554104
0,0,897457,274,274,4,61,27,896894
1,0,522983,294,294,4,6,10,522417
1,0,930600,243,243,4,168,22,929947
0,0,445439,134,134,4,109,16,444747
0,0,8892,376,376,4,4,50,8245
0,0,407298,183,183,4,85,15,406639
1,0,95645,64,64,4,111,2,95094
1,0,296809,421,421,4,97,4,296102
1,0,438791,32,32,4,143,3,438168
0,0,296422,245,245,4,133,16,295724
1,0,311595,412,412,2,98,14,311224
0,0,22912,58,58,2,130,58,22523
1,0,20624,74,74,4,67,43,19953
0,0,276224,137,137,4,81,22,275592
1,0,603114,238,238,4,15,10,602248
0,0,610905,157,157,4,135,4,610333
1,0,893116,240,240,3,11,22,892445
1,0,9993,33,33,4,127,41,9376
