Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,12909,145,145,0,113,10807,1
0,0,6110,102,101,0,101,3849,0
1,0,457048,91,90,1,9,454787,0
0,0,478833,231,231,0,6,476677,0
0,0,16869,155,155,0,116,14662,0
0,0,4025,166,166,0,16,1761,1
1,0,20192,203,203,1,29,18165,1
0,0,3770,52,51,0,89,732,1
1,0,828777,111,110,1,48,827212,1
1,0,9061,57,56,1,74,6806,1
0,0,2776,158,158,0,117,509,0
1,0,211189,119,119,1,34,209180,1
1,0,7765,30,29,1,43,5519,1
0,0,3747,25,24,0,72,1363,1
0,0,555948,172,172,0,20,553549,0
0,0,487264,97,96,0,17,485114,0
0,0,763294,176,176,0,26,761027,0
0,0,1178466,118,118,0,44,1176085,0
1,0,53359,117,117,1,40,52601,1
1,0,96434,222,222,1,5,94266,1
1,0,45480,197,197,1,122,43330,1
1,0,609383,80,79,1,20,607077,0
1,0,5633,13,12,1,62,4134,0
1,0,813661,182,182,1,38,811541,0
0,0,243718,99,98,0,19,243449,0
0,0,480713,38,37,0,4,478230,0
1,0,114439,9,8,1,3,112868,1
0,0,14957,65,64,0,76,12933,0
1,0,356577,109,108,1,53,354673,0
0,0,371476,173,173,0,18,369323,0
1,0,50723,123,123,1,106,48507,1
0,0,611448,113,113,0,10,610807,0
0,0,56175,86,85,0,5,53914,1
1,0,1621,66,65,1,95,2,1
0,0,4679,116,116,0,40,2307,1
0,0,11646,126,126,0,107,9286,1
0,0,45278,103,102,0,18,42840,0
0,0,47037,178,178,0,120,44773,1
0,0,487691,31,30,0,18,485538,0
0,0,477337,11,10,0,9,476408,0
0,0,828692,195,195,0,49,827244,1
1,0,909033,33,32,1,40,906619,0
0,0,1062,4,3,0,71,1,0
0,0,15153,209,209,0,30,12949,1
1,0,81519,12,11,1,5,79698,1
0,0,65232,218,218,0,52,62692,1
0,0,710857,50,49,0,23,709519,0
0,0,76316,29,28,0,52,74154,1
1,0,799420,225,225,1,32,796943,0
0,0,7491,129,129,0,22,5182,1
0,0,2056,51,50,0,88,2,1
0,0,4947,46,45,0,86,2638,0
1,0,441740,94,93,1,29,439797,1
0,0,2326647,18,17,0,54,2325364,0
1,0,777368,224,224,1,32,775140,0
1,0,51771,234,234,1,36,49540,1
0,0,59089,41,40,0,57,56687,1
1,0,552888,219,219,1,15,550654,0
0,0,79561,120,120,0,57,77369,1
1,0,1451239,131,131,1,52,1449053,0
0,0,1009290,45,44,0,39,1006993,0
1,0,170211,125,125,1,50,168412,1
0,0,4516,55,54,0,91,3179,1
1,0,122003,229,229,1,11,119982,1
0,0,5046,160,160,0,118,2860,1
1,0,1375691,122,122,1,46,1373202,0
0,0,27070,143,143,0,16,24536,1
1,0,224206,202,202,1,35,222371,1
1,0,689616,83,82,1,54,687517,0
1,0,372955,230,230,1,29,370655,1
1,0,1204656,198,198,1,46,1202680,0
1,0,11060,144,144,1,32,8994,1
1,0,2096,148,148,1,114,747,1
0,0,1138,6,5,0,108,2,0
1,0,8253,105,104,1,42,6340,1
1,0,1189025,189,189,1,52,1186812,0
1,0,496899,104,103,1,1,495853,0
0,0,1474,17,16,0,31,101,1
0,0,1039862,78,77,0,38,1037046,0
0,0,20107,70,69,0,51,17801,1
0,0,14203,59,58,0,33,11819,1
0,0,391932,8,7,0,59,389746,1
0,0,3932,163,163,0,119,1401,0
0,0,915393,64,63,0,34,914149,0
0,0,682195,71,70,0,19,679628,0
0,0,394758,21,20,0,9,393970,0
0,0,580782,170,170,0,21,579763,0
1,0,4883,42,41,1,83,2628,1
1,0,519612,205,205,1,28,517492,1
0,0,2976,165,165,0,78,781,0
0,0,1159648,146,146,0,42,1157084,0
0,0,7454,54,53,0,90,5259,1
1,0,654471,77,76,1,53,652312,1
0,0,2907,36,35,0,73,667,0
0,0,27924,7,6,0,17,26149,1
0,0,1705791,90,89,0,54,1703299,1
0,0,3230,130,130,0,22,921,1
0,0,2152,10,9,0,61,38,0
0,0,507624,192,192,0,3,505363,0
0,0,482055,114,114,0,10,479794,0
1,0,123424,232,232,1,8,121439,0
1,0,805063,180,180,1,39,803291,0
0,0,3147,43,42,0,84,535,1
0,0,7548,56,55,0,92,5362,0
0,0,11573,112,111,0,104,9210,0
1,0,369509,63,62,1,13,367296,1
0,0,707127,49,48,0,23,704929,0
0,0,351915,201,201,0,58,350539,1
0,0,6111,24,23,0,69,4843,1
0,0,307939,226,226,0,11,306221,1
1,0,464804,167,167,1,22,462621,1
0,0,1036,15,14,0,64,2,1
1,0,763015,84,83,1,38,760970,0
1,0,547726,137,137,1,7,545198,0
0,0,19404,200,200,0,123,17227,0
0,0,53099,223,223,0,39,50910,1
0,0,2191081,89,88,0,54,2188577,1
1,0,52834,184,184,1,0,50840,0
1,0,13918,124,124,1,106,11750,1
1,0,18062,136,136,1,109,16122,1
1,0,436942,177,177,1,24,434816,0
1,0,34512,92,91,1,98,32440,1
0,0,5683,58,57,0,93,3845,0
1,0,1835456,208,208,1,49,1833030,0
1,0,731499,32,31,1,23,729406,0
1,0,562476,174,174,1,10,560179,0
0,0,560608,181,181,0,16,558551,0
0,0,92121,142,142,0,41,90979,1
0,0,7735,186,186,0,80,5258,1
0,0,2352753,133,133,0,54,2351474,0
1,0,5117,217,217,1,82,2943,0
0,0,120751,187,187,0,3,119534,1
0,0,9642,214,214,0,125,7252,0
0,0,28514,0,112,0,105,26043,0
0,0,1699,87,86,0,8,101,1
1,0,3774,19,18,1,66,1570,0
1,0,468090,40,39,1,2,465892,0
0,0,3637,164,164,0,34,1680,1
1,0,619207,206,206,1,9,617003,0
0,0,369971,62,61,0,56,367785,0
1,0,10067,28,27,1,46,8418,1
1,0,1108,162,162,1,77,1,0
0,0,3468,72,71,0,96,1171,0
0,0,1009265,79,78,0,38,1006986,0
1,0,609450,135,135,1,16,607396,0
0,0,28523,82,81,0,38,26538,1
0,0,2650,26,25,0,35,386,1
0,0,6868,185,185,0,121,4559,1
0,0,50074,190,190,0,3,47909,1
1,0,669243,188,188,1,18,667156,0
1,0,17178,110,109,1,103,14941,1
0,0,4593,2,1,0,17,2230,1
0,0,161779,96,95,0,12,159506,1
0,0,798,168,168,0,79,1,1
1,0,1167843,147,147,1,42,1165567,0
1,0,299939,227,227,1,11,297915,1
1,0,18493,47,46,1,34,16673,1
0,0,5471,140,140,0,112,3207,1
0,0,5333,22,21,0,67,3093,1
0,0,59387,95,94,0,42,57738,1
0,0,477141,199,199,0,7,476586,0
0,0,5583,101,100,0,100,3223,0
1,0,40877,204,204,1,29,40377,1
1,0,175988,212,212,1,21,173664,0
0,0,180595,121,121,0,60,178343,0
0,0,827,14,13,0,63,3,0
0,0,140815,228,228,0,11,140096,1
0,0,16433,194,194,0,81,14709,1
1,0,35613,196,196,1,122,33460,1
1,0,16106,75,74,1,97,14127,0
0,0,194620,127,127,0,55,192110,0
