Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position
0,0,301826,242,2,31,299487
1,0,125132,82,2,4,122370
0,0,387675,28,1,5,385183
0,0,736453,80,3,23,733583
1,1,190552,81,2,21,188093
1,0,1516533,43,2,32,1514173
0,0,476728,160,2,15,474101
1,0,54199,31,2,58,51578
1,0,988200,208,2,23,985546
1,0,1062895,233,2,31,1060310
0,0,246580,88,2,19,243767
0,0,758419,46,2,22,756089
0,0,488327,204,3,23,485541
0,0,322020,236,1,19,319249
0,0,33755,25,2,44,30969
1,0,423886,68,2,6,421607
1,0,993191,44,2,32,990858
1,0,1150558,194,1,23,1147775
0,0,1152306,222,2,24,1149583
0,0,1161129,167,2,32,1158613
1,0,32977,216,1,85,30248
1,0,33431,24,2,55,30843
1,0,504459,247,2,12,501763
1,0,1757922,190,2,32,1755496
0,0,553480,175,3,1,550610
0,0,16153,29,2,56,13502
0,0,355891,244,2,6,353552
0,0,309384,109,2,5,306937
0,0,25495,52,2,61,22811
1,0,8691,197,2,78,6085
0,0,200907,151,2,11,198367
1,0,15222,213,2,82,12538
0,0,867065,115,2,23,864531
1,0,1966199,102,2,31,1963551
0,0,557682,143,2,15,555076
0,0,1024944,232,2,31,1022305
0,0,556640,254,2,7,553878
0,0,1176004,166,2,32,1173581
1,0,156435,33,3,19,153649
1,0,447956,178,2,24,445458
0,0,735391,127,2,31,733043
0,0,1102343,226,2,24,1099539
0,0,1314205,91,2,32,1311887
1,0,1034195,210,2,23,1031508
1,0,650434,39,3,14,647633
1,0,1800605,107,2,31,1797939
0,0,187941,231,2,5,185287
0,0,17633,20,1,53,14982
0,0,4209,120,2,69,1423
0,0,198843,126,2,5,196225
0,0,1065877,200,2,26,1063010
0,0,432191,134,2,16,429708
0,0,536061,258,2,15,533287
1,0,568671,174,2,32,566338
0,0,1123469,221,1,24,1120611
0,0,443238,158,2,15,440629
0,0,422008,202,2,17,419294
1,0,125047,38,2,3,122324
1,0,50888,153,2,20,48174
0,0,107074,256,1,2,104540
0,0,622377,41,2,31,620053
0,0,404953,162,2,15,402317
1,0,352788,251,2,18,350182
0,0,185153,22,2,27,182502
0,0,389747,165,1,15,387120
1,0,373899,27,2,5,371611
0,0,475012,141,2,7,472298
0,0,7162,18,2,51,4697
0,0,378614,164,2,15,375975
1,0,23290,218,2,50,20606
0,0,9867,62,2,63,7462
0,0,473501,203,3,23,470631
0,0,1713823,7,2,30,1711409
0,0,381075,237,2,16,378301
0,0,14845,49,3,60,11996
0,0,8092,214,2,83,5759
1,0,13979,199,1,80,11352
0,0,1053239,111,2,23,1050549
0,0,15062,87,2,66,12438
1,0,1100880,196,1,23,1098211
1,0,8115,173,3,49,5269
1,0,379418,171,2,34,376740
1,0,2047179,186,2,31,2044399
1,0,665447,75,3,23,662586
0,0,519004,253,2,7,516413
0,0,1324430,90,2,32,1322082
0,0,1156973,235,2,31,1154469
1,0,9580,198,1,79,6749
0,0,428427,89,3,20,425755
1,0,1096585,234,2,31,1093946
0,0,810651,170,2,22,808318
0,0,12594,152,2,76,9967
1,0,9089,217,2,85,6579
0,0,45075,123,1,72,42286
1,0,1611964,99,1,30,1609262
0,0,1828534,106,2,31,1825916
1,0,483376,96,2,24,480707
0,0,1865809,104,2,31,1862957
0,0,139709,255,2,1,138117
0,0,404584,117,2,22,402206
0,0,1731005,192,3,29,1728183
1,0,2060220,185,2,31,2057611
0,0,255561,16,1,23,253126
1,0,12158,10,2,43,9363
0,0,21771,85,2,64,19363
0,0,506933,17,3,23,504105
0,0,465591,163,2,15,462814
1,0,292921,245,2,6,290183
0,0,579976,259,2,15,577358
1,0,16377,145,2,74,13513
1,0,199898,35,1,19,197364
0,0,1633076,188,1,31,1630521
0,0,602587,42,2,31,600077
0,0,768058,77,2,23,765323
1,0,1129346,169,2,32,1126764
