Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation,Host_Taxon
0,520756,28,28,2,3,0,2,519809,1,2
0,434643,30,30,4,3,0,0,432829,0,2
0,11438889,14,14,7,7,0,6,11438077,1,2
0,15089831,18,18,7,3,0,9,15088605,0,2
0,5649719,8,8,7,3,0,9,5648142,1,2
0,2775423,6,6,7,3,0,9,2774086,0,2
0,1447996,2,2,7,7,0,9,1447043,1,2
0,22979736,24,24,7,3,0,4,22978261,1,2
0,1833747,4,4,7,3,0,6,1832821,1,2
1,559806,32,32,6,5,1,4,558834,0,2
0,2646920,5,5,7,8,0,6,2645877,0,2
0,12197203,17,17,7,6,0,6,12196105,0,2
0,10381344,13,13,7,3,0,9,10380256,1,2
0,73871,0,0,0,0,0,1,73416,0,0
0,11705435,16,16,7,7,0,6,11704542,0,2
0,23628449,25,25,7,4,0,3,23628117,1,2
0,1120997,29,29,3,3,0,5,1120479,1,2
0,3138110,34,34,6,3,0,7,3137298,1,2
0,16157563,19,19,7,4,0,6,16156159,1,2
0,3848398,1,1,1,2,0,8,3847910,0,1
0,21906493,23,23,7,4,0,3,21905750,1,2
0,7139860,10,10,7,3,0,6,7138967,1,2
0,8559,27,27,2,3,0,2,7741,1,2
0,16867243,20,20,7,3,0,4,16866602,1,2
0,7636842,11,11,7,2,0,9,7635970,1,2
0,18311896,21,21,7,2,0,3,18311003,1,2
0,2858803,33,33,6,3,0,7,2858432,0,2
0,7635530,12,12,7,3,0,9,7634784,1,2
0,2780894,7,7,7,4,0,9,2779937,1,2
0,24599377,26,26,7,1,0,4,24599018,1,2
0,6549201,9,9,7,3,0,6,6548746,0,2
0,1966177,31,31,5,3,0,10,1965272,0,2
0,1579373,3,3,7,2,0,9,1578207,1,2
0,11546763,15,15,7,3,0,6,11545570,1,2
0,21871006,22,22,7,4,0,3,21870218,0,2
