Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,1474,50,49,9,39,24,0
1,34744,158,157,9,11,33178,0
0,4776857,72,71,8,14,4776225,1
0,682801,117,116,8,13,681272,1
1,192280,162,161,9,11,190928,0
1,2991723,155,154,9,11,2990299,1
0,126298,63,62,11,14,124904,1
0,234927,106,105,7,13,233464,1
0,28198,37,36,7,31,26588,0
1,117932,4,4,9,16,116413,1
1,194108,16,16,9,18,192547,1
1,45373,137,136,9,10,43850,0
0,1673892,128,127,0,7,1672390,1
1,56811,2,2,9,16,55260,1
1,34085,100,99,11,13,32568,0
1,13747,44,43,10,34,12274,0
1,4722977,92,91,9,15,4721453,1
1,55488,41,40,9,32,53963,1
1,6514,23,23,9,23,4976,1
1,1182456,119,118,9,4,1180816,1
1,397,21,21,9,21,120,0
1,268059,141,140,9,11,266604,0
0,1799779,65,64,0,14,1798304,1
0,140801,161,160,7,11,139203,0
0,4109268,69,68,7,14,4108888,0
1,147206,102,101,9,13,145692,1
0,4874210,76,75,7,14,4872705,1
1,54617,121,120,9,5,53031,0
1,1134,48,47,9,38,394,1
1,5469370,56,55,9,14,5468462,0
0,4658068,89,88,7,15,4656557,0
1,189308,104,103,9,13,187760,0
1,147872,14,14,9,18,146312,1
0,4811681,75,74,7,14,4810350,1
1,43444,101,100,12,13,41978,0
1,4055896,84,83,9,12,4054376,0
0,47692,59,58,11,14,46340,1
1,87159,61,60,11,14,85747,1
1,2653794,144,143,9,11,2652725,1
1,3085393,156,155,9,11,3083824,1
0,96632,122,121,7,5,95058,0
1,1587516,123,122,9,6,1585925,1
0,4967327,79,78,7,14,4966602,1
1,4097911,87,86,9,12,4096637,0
1,4785610,93,92,6,15,4785032,1
1,1565211,133,132,9,8,1563723,1
1,926246,64,63,13,14,924816,1
0,4542881,70,69,7,14,4541535,0
1,2900714,152,151,9,11,2899262,1
0,31216,38,37,8,32,29741,1
0,593688,114,113,7,13,592108,1
1,135030,13,13,9,18,133507,0
1,13271,46,45,9,36,11830,0
0,2882434,67,66,8,14,2880989,0
0,138222,160,159,8,11,136702,0
1,32771,49,48,9,38,31464,0
1,120397,12,12,9,18,118489,0
0,1783574,129,128,0,7,1782018,0
0,76678,60,59,11,14,74915,1
1,12451,45,44,9,35,11360,1
0,1629760,126,125,7,7,1628255,1
0,2161844,66,65,7,14,2161053,0
1,2790703,147,146,9,11,2789186,1
1,4871690,96,95,1,15,4870365,1
1,167770,15,15,9,18,166233,1
1,4866989,95,94,1,15,4866255,1
0,126989,140,139,8,10,125412,0
0,47277,42,41,8,33,45691,0
1,3088628,157,156,9,11,3087307,1
1,18623,35,162,9,30,18300,1
1,10546,20,20,9,20,9201,1
0,40024,7,7,7,0,38597,1
1,5571,32,32,9,30,4160,1
1,121323,5,5,9,16,119770,1
1,10341,8,8,9,1,9201,0
1,364495,110,109,9,13,363050,1
0,5667,52,51,7,41,4153,0
0,4883498,78,77,8,14,4881942,1
1,4696555,91,90,4,15,4695357,0
0,98113,62,61,11,14,96665,1
0,4790735,74,73,8,14,4789134,1
1,2842847,151,150,9,11,2842087,1
1,335414,109,108,9,13,333937,1
1,11536,9,9,9,17,10562,0
1,208752,105,104,9,13,207286,1
1,56392,10,10,9,17,54844,0
0,26455,58,57,11,14,24893,1
0,616961,115,114,7,13,615417,1
1,106612,3,3,9,16,106202,1
1,4907622,98,97,3,15,4906250,1
1,1633265,127,126,9,7,1631685,1
0,4782124,73,72,8,14,4781585,1
1,4912,19,19,9,20,4080,1
0,4971029,80,79,7,14,4969470,1
1,93783,159,158,9,11,92470,0
1,21634,29,29,10,27,20639,0
0,4877715,77,76,8,14,4876315,1
1,4685459,90,89,1,15,4683882,1
0,1579460,125,124,8,7,1577859,1
1,2794118,148,147,9,11,2793789,0
0,19432,0,0,8,16,17837,1
1,660088,116,115,9,13,658460,1
1,13354,33,33,9,30,11827,1
1,13439,24,24,9,24,11985,0
1,41821,40,39,9,32,40324,1
0,5380636,82,81,7,14,5379008,0
1,1565816,124,123,9,7,1564291,1
0,3300734,68,67,7,14,3299619,0
0,1789201,130,129,0,7,1788008,0
1,2963001,153,152,9,11,2961642,0
1,70716,138,137,9,10,69197,0
1,1494614,132,131,9,8,1493022,1
1,12732,28,28,10,26,11219,1
1,16779,34,34,9,30,15187,1
1,38437,136,135,9,10,36916,0
0,1792811,131,130,0,7,1791306,0
0,2586486,143,142,8,11,2584942,0
0,3074,31,31,7,29,1527,1
1,4496,22,22,9,22,3127,1
1,546312,113,112,9,13,544894,1
0,4064628,85,84,0,12,4063192,0
1,1176353,118,117,9,4,1175359,1
1,15374,54,53,9,43,14245,0
1,1622,57,56,11,14,585,1
1,2436,18,18,9,20,1291,1
1,56650,36,35,9,30,55175,1
0,10563,51,50,7,40,9100,1
0,53263,1,1,8,16,51710,1
1,2810144,150,149,9,11,2809842,1
0,4592637,88,87,7,15,4591225,0
1,9494,53,52,9,42,7965,1
1,29574,17,17,9,19,28997,0
0,23403,30,30,7,28,22009,1
0,5282553,81,80,7,14,5281459,0
1,35078,135,134,9,10,33526,0
0,309925,108,107,8,13,308399,0
0,8343,27,27,7,25,6676,1
1,69439,11,11,9,17,67885,0
1,19005,47,46,9,37,17968,1
1,501101,111,110,9,13,499566,1
0,4728447,71,70,8,14,4728247,1
1,138167,6,6,9,16,137305,1
1,63306,43,42,9,33,61772,0
0,1057855,83,82,8,3,1056242,1
0,4803585,94,93,8,15,4802227,1
1,4875012,97,96,5,15,4874521,1
1,511211,112,111,3,13,509571,1
1,4930611,99,98,2,15,4929155,0
1,2775177,146,145,9,11,2774642,1
1,286908,142,141,9,11,285556,0
1,4070879,86,85,9,12,4070196,0
1,9188,134,133,9,9,7638,0
1,1190683,120,119,9,4,1189121,1
1,158094,103,102,9,13,156706,1
1,16687,55,54,9,44,14902,1
0,237565,107,106,7,13,236150,1
1,34585,39,38,9,32,33074,1
1,6249,26,26,9,2,4591,0
1,2797682,149,148,9,11,2796528,0
0,2972153,154,153,7,11,2970543,0
1,107750,139,138,9,10,106153,0
1,16196,25,25,9,24,14732,0
1,2769881,145,144,9,11,2769468,1
