Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,16460955,213,206,6,44,16457260,0
0,138161,119,112,22,26,134502,0
0,203930,66,61,19,17,200193,0
0,4553753,46,0,6,23,4549992,0
0,4840,0,6,27,1,914,1
0,9779285,176,169,6,13,9775560,0
0,334096,70,65,19,17,330365,0
0,3840387,88,81,19,30,3836677,0
0,1195742,53,5,1,15,1191876,1
0,8918600,172,165,6,13,8914875,0
0,1910663,203,196,19,44,1906803,0
0,1668281,29,32,19,22,1666599,0
0,2060217,125,118,31,28,2056039,0
0,4813930,143,136,6,8,4810370,0
0,65541,112,105,19,25,61918,1
0,2103880,130,123,6,29,2100152,0
0,10591984,181,174,7,13,10589706,0
0,4340768,36,39,19,22,4339005,0
0,83566,55,50,32,16,79856,1
0,20151480,214,207,20,44,20150096,1
0,11683010,182,175,7,13,11680997,0
0,44719,19,18,27,6,40601,1
1,11229,116,109,17,26,7763,1
0,239685,17,16,12,5,237098,0
0,4000548,154,147,6,13,3997084,1
0,2481188,85,79,19,19,2479680,0
0,12013049,184,177,6,13,12009273,1
0,12740701,186,179,6,13,12737024,0
0,338864,71,66,19,17,335124,0
0,10244238,179,172,6,13,10240936,1
0,3815,91,84,4,31,90,1
0,628721,41,43,19,21,624993,1
0,47239,3,9,29,1,43805,1
0,4278879,155,148,6,13,4275136,1
0,4939976,158,151,6,13,4936233,1
0,154797,63,58,19,17,150979,0
0,587534,137,130,33,39,585909,0
0,4522804,37,40,19,22,4521833,0
0,9462057,173,166,6,13,9458497,1
0,27954,114,107,19,26,24217,0
0,279004,131,124,32,37,275159,0
0,1147490,108,101,26,24,1145631,1
0,7007346,164,157,6,13,7005166,1
1,1139483,105,98,21,24,1135756,1
0,5598267,159,152,6,13,5595391,0
0,1143911,106,99,19,24,1140042,1
0,583704,136,129,32,39,582196,0
0,1703058,30,33,19,22,1701376,1
0,3105,111,104,24,25,838,1
0,4513,23,26,32,14,785,0
0,990197,101,94,19,24,986493,1
0,4293498,35,38,19,22,4292311,1
0,1152291,109,102,15,24,1148608,1
0,1678839,95,88,15,31,1675105,1
0,2259949,199,192,7,11,2258465,1
0,77533,20,19,29,6,73331,1
0,422887,110,103,19,25,419138,1
0,3622347,92,85,19,31,3618703,0
0,5954817,161,154,6,13,5951374,1
0,15794397,194,187,7,13,15790722,0
0,2626786,34,37,19,22,2624759,0
0,1698923,120,113,19,27,1695120,1
0,129819,62,57,19,17,126013,1
0,16013824,195,188,6,13,16010084,1
0,10462169,180,173,6,13,10459962,1
0,278985,138,131,32,38,276142,0
0,4527437,94,87,5,31,4523676,0
0,39991,2,8,33,1,37926,1
0,78806,14,22,29,4,75012,1
0,209762,113,106,19,25,205917,0
0,2452752,86,4,13,20,2449024,0
0,3071,198,191,7,10,1,1
0,6067584,162,155,7,13,6064796,1
0,1313993,28,31,34,22,1312530,0
0,2385281,148,141,7,13,2382667,0
0,3663817,42,3,11,23,3660173,0
0,5949017,160,153,7,13,5946681,1
0,1171908,49,5,1,15,1168174,1
0,324588,68,63,19,17,320857,0
0,89469,61,56,19,17,85705,0
0,95167,135,128,32,32,91325,0
0,3058427,87,80,19,30,3054798,0
0,2318413,81,75,19,19,2314616,0
0,72448,18,17,27,6,68270,1
0,15575977,189,182,6,13,15572300,0
0,7376461,166,159,7,13,7374150,0
0,1643702,74,69,19,18,1639890,1
0,1066754,216,209,22,41,1065571,1
0,6072691,163,156,6,13,6068918,1
0,2216609,129,122,19,28,2212887,0
0,45538,59,54,19,17,41732,0
0,62173,9,22,29,3,61124,1
0,3879497,89,82,6,30,3875733,0
0,3998549,219,212,9,43,3996303,0
0,47179,21,24,19,0,43448,0
0,651422,202,195,19,44,647718,1
0,970358,98,91,15,24,968556,1
0,15188591,188,181,7,13,15186471,1
0,95588,132,125,32,33,91746,0
0,933349,96,89,19,24,929525,0
0,329342,69,64,19,17,325611,0
0,333473,24,27,0,22,329763,1
0,2401,141,134,6,8,65,1
0,9582610,175,168,6,13,9579467,1
0,3049087,150,143,7,13,3047831,0
0,1021293,48,48,19,15,1017589,1
0,50499,8,13,32,3,46531,1
0,660379,139,132,32,36,656534,1
0,75831,60,55,19,17,72196,1
0,7120666,165,158,6,13,7119032,0
0,64291,12,14,32,4,60047,1
0,128558,117,110,22,26,125670,0
0,166154,65,60,19,17,162348,0
0,3579565,152,145,7,13,3578197,1
0,820521,146,139,6,13,819496,1
0,4285337,157,150,6,13,4284348,1
0,36414,5,10,28,2,33385,1
0,577054,90,83,19,30,573326,1
0,388457,25,28,19,22,386850,1
0,2071573,128,121,23,28,2069770,0
0,1705473,121,114,19,27,1701874,1
0,53020,4,22,29,1,48803,1
1,431084,201,194,25,44,427217,1
0,1849714,31,34,19,22,1845908,1
0,2296751,218,211,9,42,2295359,0
0,1309324,27,30,19,22,1307483,0
0,2151123,76,1,11,18,2147506,1
0,9578594,174,167,7,13,9577091,1
0,972317,197,190,6,9,970326,1
0,1637142,73,68,19,18,1633333,1
0,132277,118,111,19,26,129494,0
0,15710916,192,185,6,13,15707113,0
0,4312155,142,135,6,8,4308352,0
0,1402028,57,52,19,16,1398297,0
0,1049774,215,208,22,41,1047327,1
0,15790203,193,186,6,13,15786472,0
0,35572,45,46,19,23,31850,1
0,1630586,72,67,19,18,1626783,1
0,10008881,178,171,7,13,10006623,0
0,7732801,209,202,19,44,7728989,0
0,2191903,77,71,19,19,2188100,0
0,63847,16,15,32,6,59612,1
0,2186645,217,210,6,42,2182830,0
0,2804198,205,198,22,44,2802744,1
0,726058,145,138,6,13,722345,1
0,1657273,75,70,19,18,1653761,1
0,431513,93,86,15,31,427800,0
0,7801604,170,163,6,13,7797783,1
0,9357129,210,203,19,44,9353467,0
0,52090,13,20,27,4,47957,1
0,1124935,102,95,15,24,1121207,1
0,2332044,83,77,19,19,2328241,0
0,2065035,126,119,19,28,2061388,0
0,53721,22,25,19,0,49990,0
0,652903,133,126,32,35,648881,1
0,985033,100,93,24,24,981335,1
0,2307206,79,73,19,19,2303436,0
0,1908029,147,140,7,13,1905427,0
0,28839,43,44,14,23,25132,1
0,11959711,183,176,7,13,11956169,0
0,319829,67,62,19,17,316098,0
0,4004773,206,199,20,44,4003152,0
0,91293,15,23,29,4,86278,1
0,3620418,153,146,6,13,3616747,1
0,10005750,177,170,6,13,10002838,0
0,9382536,211,204,10,44,9381414,1
0,1145528,107,100,26,24,1144470,1
1,5331246,38,41,17,22,5328981,0
0,447807,44,45,20,23,446937,0
0,2191719,122,115,15,27,2188102,1
0,2327068,82,76,19,19,2323274,0
1,159443,64,59,18,17,155850,0
0,977090,47,47,11,15,973266,0
0,1181603,51,5,1,15,1177872,1
0,3942314,40,42,19,21,3938604,0
1,1176752,50,49,2,15,1173039,1
0,1957169,124,117,19,28,1953366,0
0,1200116,54,5,1,15,1196301,1
1,2449393,149,142,8,13,2446677,1
0,1966167,33,36,19,22,1963411,1
0,62145,7,12,29,2,61864,1
0,2069666,127,120,22,28,2066351,0
0,2308247,204,197,7,44,2307577,0
0,765769,140,133,32,34,764270,0
0,37767,1,7,32,1,34525,1
0,603897,26,29,19,22,600274,1
0,2336954,84,78,19,19,2333202,0
1,1134638,104,97,21,24,1130899,1
0,2313444,80,74,19,19,2309641,0
0,5098514,207,200,22,44,5096660,1
0,4283484,156,149,6,13,4279741,1
0,7542966,208,201,24,44,7539256,0
0,7783560,169,162,7,13,7780308,0
0,1186466,52,5,1,15,1182723,1
0,12019079,185,178,6,13,12015300,1
0,7772134,167,160,6,13,7771136,0
0,15685855,191,184,7,13,15683891,0
0,3501676,151,144,6,13,3498395,0
0,3175883,39,2,11,21,3172254,0
0,15650717,190,183,6,13,15648225,1
0,2302259,78,72,19,19,2298363,0
0,4041319,220,213,31,43,4037516,0
0,10051797,212,205,24,44,10048057,1
0,284585,58,53,19,16,280740,0
0,2364879,200,193,6,12,2363188,0
0,8313586,171,164,6,13,8309909,0
0,576555,134,127,32,40,575134,0
0,629638,196,189,6,7,626021,1
0,2224448,123,116,23,27,2222719,0
0,3332,144,137,6,8,2571,1
1,967249,97,90,16,24,963552,1
1,72858,11,21,29,4,68880,1
0,14275183,187,180,6,13,14273723,0
0,123502,115,108,19,26,119669,0
0,65003,10,21,30,3,62277,1
0,145983,56,51,3,16,142360,1
0,7777943,168,161,6,13,7774500,0
0,1910918,32,35,19,22,1908330,1
0,1129781,103,96,19,24,1126050,1
0,59232,6,11,30,2,57178,1
0,979875,99,92,19,24,976177,1
