Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,29,3818,117,70,2061,0,1
0,67,497232,50,1,497002,4,0
1,38,1220025,98,36,1218841,0,0
1,35,2356,7,44,188,0,0
1,49,553680,111,24,551527,0,1
1,17,17469,87,49,15220,0,0
0,63,551749,32,18,551012,4,0
1,64,160581,125,12,159610,0,1
1,7,17708,30,57,16425,0,1
1,3,802663,58,29,801878,0,0
1,52,501852,59,33,499696,0,1
1,36,1105132,106,32,1103840,0,1
1,44,590889,96,15,588715,0,1
1,14,2355697,100,38,2354525,0,0
1,37,5081,19,11,2874,0,1
1,59,2356776,6,38,2355799,0,0
1,36,1431,21,51,1,0,0
1,18,1193345,105,32,1191366,0,0
1,43,195717,5,7,194815,0,0
1,61,395040,110,24,392911,0,1
1,69,1058918,108,34,1056777,0,0
1,11,114991,85,3,114542,0,1
1,18,161676,78,12,160684,0,1
1,24,5239,49,60,3059,0,1
1,53,2942,34,58,882,0,1
1,19,603844,97,15,602780,0,1
1,2,18169,8,16,16115,0,1
1,58,508321,33,2,506186,0,0
1,67,32651,27,55,31587,0,1
1,1,646319,103,13,643902,0,0
1,61,346367,41,24,344166,0,1
1,62,2001346,64,37,1998842,0,0
1,49,705460,51,24,703286,0,0
1,37,203063,81,6,200871,0,0
1,21,5373,104,67,3175,0,0
1,59,80858,14,38,80019,0,1
1,68,53186,22,0,51024,0,0
1,29,18788,26,42,16752,0,1
1,3,5374,107,68,4073,0,1
1,49,305003,101,24,302736,0,0
1,55,194168,89,18,192141,0,0
1,18,605835,113,32,604711,0,1
0,45,302402,44,12,301785,4,1
1,44,628874,56,15,628374,0,1
1,59,1560715,16,38,1558235,0,1
1,18,141673,126,12,140918,0,1
1,66,38921,60,11,36609,0,1
0,0,352533,109,40,352018,4,1
1,30,879776,20,27,877512,0,0
1,40,229342,93,27,227192,0,1
1,3,6731,35,29,4560,0,1
1,44,628270,37,15,627785,0,1
0,26,875271,71,32,874933,2,0
1,6,53693,57,30,52560,0,1
1,62,1092022,122,37,1090076,0,1
1,40,122127,119,71,120202,0,0
1,50,2117,25,54,3,0,1
1,55,573072,94,18,571858,0,0
1,5,10034,9,45,9492,0,0
1,20,64228,75,22,62066,0,1
1,48,238993,67,25,236726,0,1
1,38,479217,79,14,477172,0,0
1,14,606833,36,38,604902,0,0
0,52,356850,24,41,356083,4,1
1,49,6331,18,50,3935,0,0
1,16,69895,4,22,67685,0,1
1,12,27802,123,73,25553,0,1
1,4,4270,23,52,3989,0,1
1,40,149082,120,71,147823,0,0
1,55,551317,83,19,549344,0,0
1,11,85717,39,3,84713,0,1
0,46,12912,3,43,12295,1,0
0,15,116089,76,2,115388,4,1
1,7,24063,90,66,21859,0,0
1,55,399746,92,19,397836,0,0
1,19,551038,38,15,548948,0,0
1,40,258202,88,27,255983,0,1
1,54,7513,2,26,7115,0,1
1,38,522056,129,14,520707,0,0
1,56,560632,53,18,560198,0,0
1,46,8796,43,4,6766,0,1
0,19,242101,45,17,241769,3,0
1,61,742170,80,24,739927,0,0
1,2,13846,12,46,12761,0,0
1,62,886828,77,37,884852,0,1
1,36,656983,70,32,654773,0,0
1,65,29812,132,28,28472,0,1
1,2,45873,86,65,43711,0,1
1,27,2323,66,62,1850,0,0
1,18,510087,17,32,508918,0,0
1,25,20468,95,5,18309,0,1
1,29,47761,116,70,45575,0,0
1,62,2179419,99,37,2176948,0,1
1,41,143770,130,8,141896,0,0
1,28,395811,48,21,393328,0,0
1,25,50190,28,56,48196,0,0
1,34,107570,31,10,105642,0,1
1,8,216636,68,25,214564,0,1
1,31,26356,42,59,24182,0,1
0,53,521,0,53,3,4,1
1,24,2747,84,64,2046,0,0
1,33,843337,63,23,841178,0,0
1,13,630544,13,19,630077,0,0
1,62,61722,124,37,61057,0,1
1,13,414917,91,19,412986,0,0
1,23,9794,121,72,7884,0,1
1,42,630340,40,20,629867,0,0
1,56,576256,1,18,575726,0,0
1,18,8315,11,32,7779,0,1
1,34,640806,112,10,638620,0,0
1,13,808511,73,19,806334,0,0
1,14,45587,118,71,43530,0,1
1,23,7341,15,47,5542,0,1
0,22,591642,55,15,591283,4,1
1,39,28251,115,69,27310,0,0
1,57,15656,47,1,13635,0,1
1,13,495949,82,19,493973,0,0
1,10,33070,65,61,31073,0,1
1,9,12118,52,48,9896,0,0
0,27,569,74,63,3,4,1
1,38,1428134,62,36,1426182,0,0
1,51,2001160,72,35,1999253,0,0
1,59,967593,54,38,965515,0,1
0,32,1157244,29,31,1157023,3,0
1,8,292285,128,25,290090,0,1
1,28,131468,102,39,129252,0,1
1,60,429,127,74,1,0,0
0,40,461012,69,10,460530,3,0
1,49,804175,46,24,801998,0,0
1,46,1718373,10,36,1716442,0,0
1,54,111044,131,9,109113,0,0
1,18,853635,114,32,852247,0,0
1,47,1375094,61,36,1372983,0,1
