Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation,Host_Taxon
0,12245091,117,117,13,21,0,11,12243976,0,4
0,21500635,170,170,13,39,0,12,21499448,1,4
0,14417657,126,126,13,20,0,11,14416290,0,4
1,24261916,182,182,13,23,1,18,24259394,0,4
0,16932900,143,143,13,20,0,12,16931788,0,4
0,22420594,175,175,13,39,0,5,22418891,0,4
0,5694837,86,86,13,39,0,8,5693386,0,4
1,4347332,75,75,13,33,1,18,4345470,0,4
0,19098062,156,156,13,20,0,12,19092804,1,4
0,189059,56,56,13,39,0,8,186996,1,4
0,7321944,29,29,1,44,0,7,7320766,1,3
0,5535594,82,82,13,39,0,8,5533789,1,4
0,16125431,136,136,13,20,0,8,16124496,0,4
0,16086668,135,135,13,39,0,11,16085061,1,4
0,6407978,88,88,13,20,0,11,6406782,1,4
0,22775605,177,177,13,21,0,12,22774434,0,4
1,6962,185,185,10,26,1,14,4240,1,4
0,22370663,174,174,13,40,0,5,22368995,0,4
0,6622485,89,89,13,20,0,8,6621288,0,4
0,517377,186,186,11,24,0,24,516034,0,4
0,740910,58,58,13,39,0,11,739147,1,4
0,4478317,21,21,1,44,0,7,4476602,1,3
0,6623857,90,90,13,21,0,8,6622859,0,4
0,8304208,99,99,13,27,0,11,8302604,1,4
0,1163943,62,62,13,21,0,11,1162260,1,4
1,166610,3,3,2,35,1,10,159343,0,1
0,12044915,45,45,1,45,0,25,12043926,0,3
0,7085743,95,95,13,20,0,11,7084628,1,4
0,11411332,113,113,13,21,0,11,11410333,0,4
0,14082326,121,121,13,20,0,11,14081394,1,4
0,15525233,53,53,1,0,0,25,15523344,0,3
0,9950434,108,108,13,21,0,8,9949362,1,4
0,19111241,157,157,13,39,0,12,19109871,1,4
0,11141122,111,111,13,21,0,8,11139777,0,4
0,4821949,22,22,1,3,0,25,4818629,0,3
0,802447,11,11,7,20,0,19,797690,1,2
0,6404545,26,26,1,2,0,25,6402818,0,3
0,3890743,20,20,1,5,0,25,3888761,1,3
0,7536063,33,33,1,45,0,25,7534078,1,3
0,4110404,74,74,13,37,0,8,4109244,0,4
0,6917763,94,94,13,21,0,11,6916226,1,4
0,14313028,125,125,13,38,0,8,14311819,0,4
0,10471813,41,41,1,6,0,7,10470053,1,3
0,17025788,145,145,13,20,0,12,17024394,0,4
0,17169188,146,146,13,39,0,5,17167599,1,4
0,901193,59,59,13,24,0,11,900303,0,4
0,7485958,32,32,1,11,0,25,7483058,0,3
0,4986283,79,79,13,21,0,11,4984864,1,4
1,11814846,114,114,13,22,1,13,11812601,0,4
0,1138017,61,61,13,21,0,8,1136944,0,4
0,10863636,110,110,13,39,0,8,10862464,0,4
0,3552202,18,18,1,12,0,7,3549812,0,3
0,14246569,122,122,13,39,0,11,14244689,0,4
0,16194865,138,138,13,39,0,11,16193285,1,4
0,19092299,155,155,13,20,0,12,19091385,1,4
0,1488889,8,8,3,18,0,2,1488146,1,1
0,720767,1,1,0,18,0,4,720270,1,0
1,954065,60,60,13,25,1,18,950709,1,4
0,8446783,36,36,1,10,0,7,8444390,0,3
0,4961093,78,78,13,21,0,11,4960051,0,4
1,6731177,91,91,13,26,1,13,6730012,0,4
0,11409218,112,112,13,39,0,11,11407419,1,4
0,15575248,132,132,13,20,0,11,15573908,0,4
1,2395872,70,70,13,42,1,18,2393881,0,4
0,1946524,66,66,13,32,0,8,1945502,1,4
0,15205645,129,129,13,43,0,11,15204587,1,4
0,14297622,123,123,13,39,0,8,14294152,1,4
1,4686426,76,76,13,23,1,13,4684330,0,4
0,7223642,27,27,1,1,0,25,7222040,1,3
0,10367781,109,109,13,39,0,8,10366297,1,4
0,13110183,49,49,1,2,0,7,13108690,0,3
0,1537359,16,16,1,6,0,7,1535937,0,3
0,6873317,93,93,13,20,0,8,6870258,1,4
1,13800591,120,120,13,29,1,18,13799374,1,4
1,9534947,104,104,13,28,1,13,9531795,0,4
0,5758988,24,24,1,0,0,25,5757861,1,3
0,81654,9,9,6,18,0,21,80512,1,2
0,23853903,180,180,13,39,0,12,23852545,1,4
0,16959828,144,144,13,39,0,5,16958119,1,4
1,174089,4,4,2,35,1,22,167799,1,1
0,3888303,19,19,1,44,0,25,3887290,1,3
0,11930294,115,115,13,39,0,8,11928846,1,4
1,99081,2,2,2,35,1,0,91365,1,1
1,7436601,97,97,13,30,1,13,7431780,0,4
0,4822884,23,23,1,17,0,25,4821965,0,3
0,15572469,131,131,13,21,0,8,15571309,1,4
0,13113318,50,50,1,9,0,25,13110727,0,3
1,9897110,107,107,13,22,1,13,9895189,0,4
0,8346935,100,100,13,20,0,8,8345610,0,4
0,21279896,167,167,13,40,0,5,21278778,0,4
0,16271105,139,139,13,36,0,8,16270171,1,4
0,8749,187,187,12,24,0,23,7319,1,4
0,24325727,183,183,13,20,0,5,24324600,1,4
0,14737741,52,52,1,14,0,7,14736827,1,3
1,8123260,35,35,1,31,1,20,8119900,0,3
0,21910490,172,172,13,40,0,12,21909174,0,4
0,7470439,31,31,1,0,0,7,7468958,0,3
0,7438734,98,98,13,20,0,8,7437391,1,4
0,1555909,17,17,1,7,0,7,1553879,1,3
0,18624824,151,151,13,40,0,12,18623627,0,4
0,15718387,134,134,13,39,0,8,15717122,1,4
0,1377494,64,64,13,44,0,8,1376007,1,4
0,7409936,30,30,1,5,0,17,7408131,1,3
0,19068634,154,154,13,20,0,5,19067516,1,4
0,8477276,37,37,1,16,0,25,8475756,0,3
0,3748838,73,73,13,20,0,8,3747495,1,4
1,16290323,140,140,13,41,1,26,16287284,1,4
0,7726763,34,34,1,44,0,7,7725846,1,3
0,12055523,116,116,13,21,0,8,12054483,1,4
0,20344451,161,161,13,20,0,12,20343384,0,4
0,3991758,6,6,4,2,0,1,3988690,0,1
0,5564839,83,83,13,40,0,11,5563799,0,4
0,11526257,43,43,1,8,0,7,11525184,1,3
0,9633706,105,105,13,21,0,11,9632528,0,4
0,21338975,168,168,13,24,0,12,21337707,1,4
0,16629275,142,142,13,20,0,12,16628019,1,4
0,22034406,173,173,13,21,0,5,22033199,0,4
0,9818594,39,39,1,0,0,25,9817575,1,3
0,14962588,128,128,13,20,0,8,14961311,1,4
0,1190069,63,63,13,40,0,11,1189272,0,4
0,6206204,25,25,1,45,0,7,6205003,1,3
1,196430,5,5,2,35,1,10,190759,0,1
0,6273200,87,87,13,21,0,11,6272185,1,4
0,3320883,71,71,13,24,0,6,3319447,0,4
0,1394797,65,65,13,21,0,8,1393953,1,4
0,20644984,165,165,13,21,0,12,20643740,0,4
0,22866651,178,178,13,40,0,5,22865183,1,4
1,2196289,69,69,13,33,1,13,2194207,1,4
1,5133342,7,7,5,35,1,16,5130638,1,1
0,1681418,12,12,8,21,0,15,1679283,0,2
0,13085487,48,48,1,13,0,7,13081270,0,3
0,19457623,158,158,13,20,0,5,19455338,0,4
0,9395484,103,103,13,20,0,11,9394522,1,4
0,1115867,10,10,9,21,0,9,1114074,1,2
0,15555713,130,130,13,20,0,11,15554583,0,4
0,157156,55,55,13,20,0,11,156131,1,4
0,20537413,162,162,13,20,0,12,20536571,0,4
0,9713721,106,106,13,21,0,8,9711766,1,4
1,20643501,164,164,13,25,1,13,20641411,1,4
0,21664027,171,171,13,39,0,12,21662360,1,4
1,13184258,51,51,1,31,1,20,13181388,1,3
0,11528056,44,44,1,0,0,7,11526539,1,3
1,5654798,85,85,13,22,1,18,5652840,1,4
0,10166666,40,40,1,3,0,25,10162488,1,3
0,18805214,152,152,13,21,0,12,18803756,0,4
0,16126477,137,137,13,21,0,11,16125630,0,4
0,18902845,153,153,13,21,0,5,18901746,1,4
0,17430624,149,149,13,37,0,12,17429500,1,4
0,24166126,181,181,13,20,0,5,24164795,1,4
0,20629260,163,163,13,20,0,12,20624929,0,4
0,15699505,133,133,13,20,0,8,15698438,1,4
1,12991286,47,47,1,31,1,20,12990102,0,3
1,9281160,38,38,1,31,1,20,9279771,1,3
0,2148612,68,68,13,20,0,11,2147431,0,4
0,1535813,15,15,1,44,0,7,1533903,0,3
0,12080076,46,46,1,4,0,25,12076498,1,3
0,19933346,160,160,13,40,0,12,19929547,0,4
1,14716347,127,127,13,42,1,13,14714348,1,4
0,23555821,179,179,13,20,0,5,23554982,1,4
0,17204565,147,147,13,39,0,5,17202847,1,4
0,17856906,150,150,13,21,0,12,17855965,1,4
0,8353309,101,101,13,24,0,11,8351207,1,4
1,7252507,28,28,1,15,1,20,7251456,0,3
1,14311528,124,124,13,19,1,13,14310041,0,4
0,22507853,176,176,13,24,0,5,22506750,0,4
0,690524,0,0,0,18,0,3,690027,1,0
0,10473550,42,42,1,2,0,25,10471814,1,3
0,12909233,118,118,13,39,0,11,12907977,1,4
0,8501731,102,102,13,21,0,11,8500823,1,4
0,13635433,119,119,13,40,0,8,13634168,0,4
0,5418484,81,81,13,34,0,11,5417666,1,4
0,4787700,77,77,13,20,0,8,4786735,1,4
0,6830368,92,92,13,20,0,11,6828929,0,4
0,1983400,67,67,13,32,0,8,1981871,1,4
1,19533804,159,159,13,22,1,18,19532201,0,4
0,578294,57,57,13,39,0,8,576495,0,4
0,21494170,169,169,13,20,0,12,21492995,0,4
0,20921047,166,166,13,40,0,12,20919837,0,4
0,7308392,96,96,13,24,0,8,7307190,1,4
0,24417944,184,184,13,39,0,5,24416316,1,4
