Chromosome_Location,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,3114645,5,1,3113716,1
1,11338656,19,2,11337604,0
1,2584883,3,1,2583168,1
1,15208834,26,4,15207657,0
1,2484598,2,1,2482946,1
1,16536814,29,1,16535087,1
1,10739420,17,2,10738391,1
1,19198058,34,1,19196265,0
1,14037154,25,2,14036102,0
1,21652250,38,1,21651465,1
1,7265620,10,1,7263896,0
1,3408436,6,1,3406694,1
1,8102835,11,4,8101324,1
1,12475698,23,1,12473968,0
1,16035426,28,2,16034275,0
1,11110825,18,1,11109716,0
1,5858117,8,2,5857149,0
0,109749,41,1,108094,1
1,19719069,36,1,19717789,1
1,11827525,20,1,11825876,0
1,13536464,24,1,13535010,1
1,16940003,31,1,16938267,1
1,12085133,22,2,12083649,0
1,19493479,35,4,19491830,1
1,729313,0,1,727583,0
1,9500152,14,1,9498311,1
1,2078700,1,0,2077966,1
1,17697736,32,1,17696702,1
1,15966851,27,1,15965034,0
1,10151192,16,1,10149456,0
1,21644712,37,2,21643691,0
1,4856229,7,4,4855079,0
1,10013846,15,5,10011450,1
1,8727146,12,1,8725272,0
1,24170195,40,1,24168318,0
1,9262006,13,1,9260762,0
1,2789368,4,3,2788047,0
1,18084214,33,1,18082439,1
1,7182424,9,4,7181951,0
1,11903031,21,2,11901664,0
1,23930113,39,2,23929616,1
1,16543225,30,1,16541663,1
