Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1174010,188,188,2,0,43,1168695,0
0,7476,1,0,2,0,60,127,0
0,609988,156,156,1,0,10,605538,1
1,1168419,161,161,3,1,50,1158055,1
0,1169344,40,40,1,0,44,1158920,0
1,12299,145,145,3,1,106,2049,1
0,52109,58,58,1,0,5,41772,1
0,18044,36,36,1,0,30,13358,1
0,424181,139,139,1,0,10,413739,0
0,225503,222,222,1,0,8,215040,0
0,940675,89,89,1,0,50,930293,1
0,330111,108,108,1,0,15,322282,0
0,458221,52,52,1,0,10,447770,1
0,328819,66,66,1,0,30,318764,0
0,5481,154,154,2,0,109,1,0
0,83617,101,101,1,0,27,73238,1
1,743366,12,12,3,1,28,733188,0
1,723117,130,130,3,1,33,714922,0
1,796435,42,42,3,1,32,786038,0
1,296067,109,109,3,1,33,288610,0
0,5595,7,7,2,0,63,1,1
0,818767,119,119,1,0,29,810066,0
0,573981,157,157,1,0,10,563530,0
0,390898,218,218,1,0,34,380639,1
0,6832,25,25,2,0,75,2,1
0,46065,190,190,1,0,38,35644,1
0,842551,211,211,1,0,35,832124,0
0,10005,175,175,2,0,110,1,1
0,78813,196,196,1,0,52,72588,1
0,149649,114,114,2,0,23,143326,0
0,816094,68,68,1,0,33,805796,0
1,11516,31,31,3,1,78,2172,0
0,26884,63,63,1,0,16,16478,1
0,22907,2,1,2,0,51,17262,1
0,5929,149,149,1,0,70,3,0
0,193120,183,183,2,0,23,183374,0
0,9732,191,191,1,0,115,1,0
0,970184,184,184,1,0,46,959784,1
0,213628,100,100,1,0,53,203258,0
1,647211,115,115,3,1,46,636820,0
0,138304,215,215,1,0,13,127910,1
1,18759,150,150,3,1,107,8548,1
0,328850,46,46,1,0,29,318795,0
0,6482,4,4,2,0,62,3,0
0,2345195,166,166,1,0,52,2334792,0
1,13525,107,107,3,1,97,3143,0
0,459416,64,64,1,0,34,449073,1
0,13412,85,85,1,0,94,3015,1
0,252973,112,112,1,0,34,245186,1
0,62951,94,94,1,0,54,52593,1
0,347060,219,219,2,0,34,339083,1
0,45907,205,205,2,0,51,38978,1
0,141214,131,131,1,0,27,130814,1
1,789447,212,212,3,1,35,779023,0
0,475972,78,78,2,0,2,470489,0
0,409474,179,179,1,0,33,399029,1
0,47512,123,123,1,0,29,39092,1
0,802151,13,13,1,0,51,791817,1
0,33876,199,199,1,0,120,23431,0
0,1717944,171,171,2,0,49,1709332,1
0,745319,39,39,1,0,32,734937,0
0,891588,19,19,1,0,37,881293,0
1,934030,201,201,3,1,49,926063,1
0,127475,172,172,1,0,55,117093,1
0,6144,65,65,1,0,86,3,0
0,31191,120,120,1,0,35,20812,1
0,7954,192,192,2,0,116,2,0
0,229560,213,213,1,0,28,219184,1
