Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,60,155219,154,0,2,154221,0
1,24,434666,127,1,16,433053,0
0,37,1494962,36,0,22,1493559,1
0,38,831522,13,0,21,830434,1
0,6,586,0,0,33,2,0
0,21,1086604,111,0,22,1085297,1
1,43,852,48,1,31,1,0
0,10,340376,74,0,4,339975,0
0,16,566165,34,0,8,564966,0
1,4,43838,28,1,28,42453,1
1,60,496522,95,1,10,495068,1
0,70,447552,2,0,16,446896,0
1,45,1459767,37,1,22,1458433,0
0,77,405983,8,0,18,405798,0
0,19,423600,145,0,22,422017,0
0,55,1108489,110,0,22,1107152,1
0,74,617159,57,0,5,615924,0
0,15,1398991,107,0,22,1398122,0
0,47,25566,132,0,34,24556,1
1,56,553803,93,1,12,552229,0
0,67,33930,49,0,31,32737,0
1,22,492874,56,1,9,492284,0
0,2,512575,152,0,6,511070,0
0,83,1689293,41,0,20,1687962,1
0,64,485,4,0,25,3,1
1,60,452810,96,1,10,452175,0
0,78,68405,136,0,48,67296,1
0,4,1002291,88,0,21,1001194,0
0,79,526360,149,0,5,525035,1
0,55,1880588,43,0,22,1879185,1
0,15,1933792,5,0,22,1933010,0
0,4,6378,59,0,43,4900,1
0,78,437973,97,0,1,437293,1
0,17,209311,50,0,11,208193,1
1,63,1071422,143,1,21,1070148,1
1,26,1778404,123,1,22,1777100,1
0,28,7259,7,0,26,6249,0
0,49,580857,35,0,8,579490,0
0,4,13382,91,0,45,12657,0
0,48,367224,148,0,5,366097,0
0,5,1248251,62,0,22,1246854,1
0,32,1499180,116,0,20,1497708,0
0,33,626028,39,0,7,624868,1
0,59,290343,73,0,4,289018,0
0,21,1117420,109,0,22,1116176,1
0,35,395265,90,0,23,393862,0
0,13,42426,101,0,3,41221,0
0,62,532332,150,0,5,531106,1
0,86,1741983,16,0,21,1740772,0
0,78,523945,114,0,1,522770,1
0,80,601068,113,0,7,599905,1
0,78,151073,138,0,48,149964,0
0,5,1651899,45,0,22,1651012,1
0,58,919364,85,0,21,918156,0
0,5,1605950,46,0,22,1604628,0
0,29,228042,115,0,4,226948,0
0,73,432268,6,0,15,431189,0
0,86,987463,87,0,21,986558,0
0,55,1733432,125,0,22,1732098,0
0,1,211061,153,0,0,209817,0
1,24,23787,24,1,37,22417,0
0,4,12244,29,0,39,11150,0
0,61,754771,53,0,17,753767,1
1,20,1804221,71,1,21,1803316,1
0,86,207419,58,0,16,207000,0
0,45,598434,75,0,10,597786,1
0,15,1172370,108,0,22,1171051,0
0,0,559992,92,0,5,558766,1
0,72,231983,84,0,10,230514,1
0,15,383794,23,0,22,382214,0
0,4,6048,42,0,41,4708,0
1,26,2074708,18,1,22,2073437,1
0,68,472615,52,0,5,471425,0
0,62,412929,51,0,5,411703,0
0,15,1898756,44,0,22,1897875,1
0,21,1751668,124,0,22,1750310,0
0,79,1093548,135,0,18,1092211,0
0,37,1683736,14,0,21,1682645,0
0,16,437003,65,0,18,436320,0
0,38,155993,112,0,19,154689,1
0,45,146779,94,0,10,145715,1
1,11,379854,79,1,15,379126,0
0,55,742418,38,0,22,741516,1
0,37,1277102,66,0,20,1275858,0
0,53,308539,82,0,18,307640,0
0,81,37052,129,0,47,35940,0
0,41,7956,33,0,30,6742,1
0,82,233697,3,0,11,233434,1
0,7,1572694,70,0,20,1571525,1
0,19,1951553,122,0,22,1950669,0
1,66,597683,128,1,10,596868,1
