Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,99,7608,40,1,88,6745,1
1,115,326018,97,1,22,323649,0
1,15,476915,36,1,3,476025,0
1,72,114401,60,1,59,112584,1
1,92,2332647,195,1,54,2330257,0
1,139,80177,230,1,13,78453,1
1,93,8014,79,1,10,5234,1
1,62,557,86,1,104,3,1
1,73,74182,13,1,21,73355,1
0,51,346408,201,0,60,346178,1
1,79,921959,61,1,35,919047,0
1,8,1129891,141,1,42,1128836,0
1,11,2216,39,1,87,1884,0
1,77,40192,221,1,63,38090,1
1,122,612,67,1,43,103,1
1,135,929,170,1,127,3,0
1,120,9109,148,1,27,6119,1
1,120,35665,146,1,27,33647,1
1,35,223303,151,1,24,221369,0
1,88,30441,191,1,130,27628,1
1,76,1639600,194,1,53,1637255,0
1,6,67398,219,1,52,66466,1
1,65,122795,34,1,8,121053,0
1,8,1121147,211,1,42,1120731,0
1,131,216652,229,1,26,216302,1
1,72,53404,239,1,37,53066,1
1,15,20561,115,1,40,20007,1
1,7,215357,59,1,25,214062,1
1,105,543960,132,1,6,542011,0
1,89,23503,234,1,5,21764,1
1,77,56787,222,1,63,55507,1
1,87,857583,104,1,32,854629,0
1,35,615828,182,1,24,612868,0
1,23,3521,171,1,83,564,0
1,114,640889,119,1,14,638082,0
1,12,119855,177,1,7,118959,1
0,110,202126,72,0,57,201683,0
0,37,157631,180,0,50,157230,0
0,46,218,150,0,121,3,0
1,63,578507,183,1,24,577500,0
1,103,835,3,1,86,1,0
1,60,12423,123,1,25,10753,1
1,139,100170,25,1,13,98553,1
1,20,74123,118,1,58,73479,1
1,61,17384,120,1,113,15111,1
1,15,395,197,1,84,3,1
0,96,1415811,18,0,46,1415230,0
1,132,229154,238,1,7,227562,0
1,24,47729,117,1,58,46503,1
1,9,10942,196,1,30,10619,1
1,71,45868,107,1,45,44981,1
1,136,10805,101,1,110,10074,0
1,120,706956,35,1,27,704473,0
0,128,4265,62,0,98,3411,0
1,99,8105,56,1,95,5802,1
1,18,1034156,70,1,38,1031220,0
1,69,1842055,205,1,49,1840004,0
1,21,7838,212,1,133,7741,1
1,16,4117,5,1,64,2168,1
0,101,1231,11,0,71,899,1
1,73,51751,102,1,21,49106,0
1,1,2184398,81,1,54,2181870,1
1,20,76293,26,1,58,74227,1
1,113,28437,215,1,54,25624,1
1,21,1399795,22,1,46,1397420,0
1,60,6985,77,1,101,4031,1
1,30,46358,87,1,15,44298,1
1,109,1122061,140,1,42,1121249,0
1,58,57738,223,1,63,56893,1
1,122,11717,172,1,128,11061,0
1,108,629366,204,1,46,627348,0
1,129,34648,28,1,37,31775,1
1,92,41471,152,1,54,39177,1
1,133,42976,227,1,39,42014,1
1,33,2400,162,1,124,211,0
1,42,3058,134,1,118,647,0
0,26,71748,31,0,52,71398,1
0,119,202086,210,0,56,201577,0
1,85,368350,48,1,56,367493,0
1,58,83691,192,1,2,83233,1
1,127,33312,75,1,38,32212,1
1,90,1050263,154,1,47,1049748,0
1,55,358301,168,1,56,355485,0
1,7,23148,135,1,41,20869,1
1,38,877,15,1,74,2,0
1,40,1381,98,1,108,2,0
0,94,1130987,142,0,42,1130442,0
1,131,33975,33,1,26,32362,1
1,84,47107,231,1,13,46339,1
1,118,25397,147,1,27,23602,1
1,6,2035,125,1,116,1445,0
1,79,254233,176,1,35,251879,1
0,49,282,113,0,82,1,1
1,4,270124,225,1,53,267929,0
1,45,3364,166,1,126,1112,0
1,3,8634,57,1,96,6310,0
1,44,6051,105,1,81,3256,0
1,63,88109,216,1,24,87465,0
1,45,794,7,1,65,3,0
1,118,36817,145,1,27,35931,1
1,27,15156,23,1,76,14362,1
1,76,903359,156,1,53,902475,0
1,3,513917,236,1,5,513297,0
1,52,24472,184,1,14,23342,1
1,139,46075,232,1,13,44094,1
1,32,4117,224,1,47,1346,1
1,116,1991,174,1,129,321,1
1,26,7580,82,1,102,6150,1
1,1,281858,149,1,54,279111,0
0,54,581031,237,0,19,580762,0
1,57,783875,65,1,29,783721,0
1,41,929,16,1,72,492,0
1,138,6341,58,1,97,3546,0
1,134,28634,137,1,17,28311,1
1,123,392192,100,1,28,389835,0
0,59,2270,55,0,94,1968,1
0,22,17833,29,0,46,17345,1
1,72,609376,203,1,11,606950,0
1,14,2735,213,1,134,1362,1
1,108,1444050,21,1,46,1442287,0
1,19,922,8,1,66,412,0
1,81,481120,103,1,0,478592,0
1,39,215,4,1,115,3,0
1,67,2208,139,1,119,1,1
1,93,15743,202,1,31,15195,1
1,2,4959,95,1,107,2632,0
1,38,38673,85,1,103,38134,1
1,1,317768,188,1,54,315381,0
1,6,781276,163,1,30,779186,0
1,52,46181,179,1,14,45609,1
1,18,703894,109,1,22,701207,0
0,94,2011553,2,0,51,2010699,0
1,0,4564,43,1,90,2810,1
0,102,1066,0,0,68,947,1
1,64,3052,53,1,93,605,0
1,3,498493,235,1,5,497942,0
1,75,6017,218,1,136,3066,0
1,130,4965,122,1,114,2173,1
1,91,585603,185,1,12,583600,0
1,83,2706,83,1,80,1,1
1,15,89160,178,1,3,86623,1
1,8,88412,90,1,42,86619,1
1,84,101201,24,1,13,100433,1
1,15,5632,12,1,69,4214,0
1,76,1161359,88,1,53,1159086,0
1,129,1686,1,1,73,1,1
1,22,10351,173,1,129,7736,1
1,108,1338938,189,1,46,1337487,0
1,137,699100,68,1,23,696140,0
1,21,16367,30,1,46,13620,1
1,121,1153652,143,1,42,1152030,0
1,43,32383,198,1,131,29822,0
1,85,69602,78,1,4,68706,1
