Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Genomic_Start_Position
0,1160395,345,21,3,1159709
0,18293,402,94,3,17649
0,7200,132,44,4,6637
0,55025,357,82,4,54438
0,1464254,86,27,4,1463646
1,494817,200,22,4,494134
0,2016292,327,26,4,2015537
0,9057,386,89,4,8128
0,4555,130,63,4,3962
0,683253,96,27,4,682675
0,844685,366,21,3,844098
0,112468,399,93,1,111971
0,4870,338,77,4,4217
0,2682,261,75,4,1954
0,158502,17,8,4,158113
0,1955674,330,27,4,1955171
1,756041,97,27,4,755460
1,1368555,307,27,4,1367977
1,1487064,90,27,4,1486369
1,44362,298,14,3,43754
0,265007,255,22,4,264339
0,128464,414,13,2,128075
1,1921473,106,27,4,1920904
0,458814,350,16,4,458125
0,316703,369,15,4,316059
0,548591,222,18,2,548190
0,1604078,114,27,4,1603452
0,85370,59,57,4,84681
0,17407,258,73,4,16820
0,1033564,295,17,4,1032920
0,1738968,26,26,3,1738420
1,6677,377,85,4,6162
1,278070,218,3,4,277438
0,1731530,334,27,4,1730895
0,515441,203,6,4,514617
0,567879,379,19,2,567310
0,10321,124,60,4,9749
0,1686468,110,27,4,1685914
0,7629,226,69,4,6979
0,1645,354,82,4,1004
1,376974,53,3,4,376393
1,807869,23,26,3,807330
0,431207,424,4,4,430704
1,39701,50,56,4,39237
0,307213,256,22,4,306524
1,782,44,53,4,129
1,1132814,315,27,4,1132212
1,36247,70,14,4,35642
1,170789,66,13,4,170208
1,717564,267,26,4,716974
1,1637787,112,27,4,1637185
0,487905,167,3,4,487330
1,628319,181,12,3,627354
0,1932015,105,27,4,1931470
0,2027,38,51,4,1341
0,1743790,333,27,4,1743146
0,521226,204,6,4,520573
1,1118634,317,27,4,1117975
0,347837,16,3,3,347313
0,250738,321,3,4,250097
1,1579,2,33,4,1004
0,578960,74,7,4,578253
1,552848,142,21,4,552180
0,52129,262,75,4,51491
1,19103,378,85,3,18480
0,4829,254,72,4,4128
1,603114,235,9,4,602248
0,436400,10,15,4,435816
0,1148872,408,26,4,1148204
0,339516,221,3,4,338926
1,1581481,211,25,4,1580900
1,1081012,404,26,4,1080440
0,15668,342,78,4,15015
1,6518,301,1,4,5874
1,33001,18,13,4,32291
1,527500,426,4,4,526817
1,668902,146,21,4,668282
0,1995197,213,26,4,1994529
0,216763,320,3,4,216122
0,596495,157,4,4,595866
0,416038,381,30,4,415541
1,463493,99,0,3,462885
1,14001,392,91,4,13402
0,385637,19,21,3,384969
1,627298,98,6,4,626603
1,1845,387,90,2,1489
1,375081,120,11,4,374536
0,1473130,85,27,4,1472456
1,1134002,406,26,4,1133424
0,444695,30,3,4,444042
0,42175,384,87,4,41594
0,9261,126,61,4,8539
0,382637,55,3,4,382086
1,35038,300,1,4,34388
0,416102,244,15,4,415509
1,13194,347,80,3,12661
1,653543,82,10,4,652923
1,327963,421,4,4,327337
0,78452,297,14,4,77844
0,2893,382,86,4,2228
1,38888,77,13,4,38181
1,22995,302,13,2,22609
1,1066542,403,26,4,1065931
0,438865,349,16,4,438233
0,345916,151,15,4,345353
0,499409,364,21,3,498789
0,262228,36,21,4,261515
1,350824,412,13,2,350453
0,224418,164,16,4,223792
0,17055,46,55,4,16375
1,1049,281,47,4,204
1,807166,149,21,4,806492
1,874302,272,26,3,873739
1,281,8,35,5,3
0,16035,340,77,4,15472
1,311595,410,13,2,311224
1,6125,9,35,4,5631
0,582243,75,7,4,581596
0,1670681,27,26,4,1670067
0,544317,144,21,1,543658
0,285006,243,15,4,284026
0,482096,251,15,4,481446
0,16573,162,65,4,15977
0,1236,123,43,4,691
1,2152710,104,27,4,2152117
0,218124,163,16,4,217234
1,505974,292,9,4,505327
0,314714,121,11,4,314181
0,729959,94,27,4,729363
1,358436,275,13,2,358038
1,594102,229,9,4,593512
1,22696,71,14,4,22061
0,1261581,322,25,3,1260970
0,160801,401,93,4,160181
0,10872,102,59,3,10210
1,412598,277,29,4,411981
1,517192,291,9,4,516578
1,53893,304,10,4,53279
0,253563,285,15,4,252895
0,237931,283,15,4,237338
0,266589,174,16,4,265723
0,1078119,190,27,4,1077559
1,468817,294,9,4,467864
1,1243238,184,27,4,1242540
0,1176204,397,22,4,1175530
0,6197,385,88,4,5628
1,47042,78,13,4,46335
0,374682,40,27,4,374062
0,1420673,89,27,4,1420101
1,388432,192,28,2,388043
0,70633,57,57,4,70109
0,11230,372,48,4,10535
0,694973,305,26,4,694383
0,1677970,116,27,4,1677395
0,5761,373,49,4,5141
0,1886263,214,26,4,1885670
1,320021,420,4,4,319437
1,282372,171,13,4,281740
0,456160,319,22,4,455483
1,36542,383,87,4,35961
1,602338,318,6,4,601643
1,377041,361,11,4,376496
1,1142859,407,26,4,1142287
1,1481322,91,27,4,1480762
1,1306828,205,25,4,1306226
1,1739,5,32,4,1236
0,410649,138,13,2,410251
0,1587490,208,25,4,1586741
1,2442,282,47,4,1612
1,333597,422,4,4,332944
0,1411596,20,27,4,1410949
0,260483,175,16,4,259935
0,917604,271,26,4,916954
1,371048,274,13,4,370350
1,11470,45,54,2,11081
0,377176,139,13,4,376607
0,1943209,7,27,4,1942577
1,7470,266,76,4,6853
0,120884,33,13,2,120498
1,21243,13,37,4,20602
1,617680,230,9,4,617066
0,340144,411,13,4,339536
0,862102,239,21,3,861431
0,1875155,215,26,4,1874526
1,633183,231,9,2,632827
0,59685,47,55,4,58891
0,1611491,328,26,4,1610868
0,31626,355,82,4,31012
1,76266,276,13,4,75574
0,430625,11,15,4,430509
0,288480,173,16,4,287506
0,1187163,344,21,4,1186465
0,1200244,310,27,4,1199621
0,18926,388,91,4,18276
1,2115566,24,27,4,2114982
1,1109679,314,27,4,1109041
1,1559,49,56,4,987
0,413954,416,27,4,413337
1,159847,65,13,4,159101
1,1139142,313,27,4,1138561
1,462219,362,21,4,461563
1,1348,165,66,4,512
0,1344856,196,20,4,1344239
1,203566,68,13,2,203195
1,3660,193,67,4,3085
0,1001979,93,27,4,1001410
0,1671935,117,27,3,1671336
1,3008,160,45,4,2760
0,17644,346,79,4,17072
0,393310,278,29,4,392783
0,1025055,189,27,4,1024453
1,1654543,29,26,4,1654004
1,11006,12,36,4,10434
0,1840810,108,27,4,1840178
1,1182146,311,27,4,1181541
1,356421,429,12,3,355831
0,398667,246,15,4,398035
1,1235855,185,27,2,1235211
0,1806636,335,27,4,1806064
0,7249,51,56,4,6641
0,452612,279,27,4,451995
0,425782,137,13,2,425384
0,1121,1,31,4,531
1,725245,148,21,4,724664
0,7534,341,78,2,7151
0,14571,375,49,4,14272
0,244449,286,15,4,243556
0,622513,25,27,4,621803
0,261062,172,13,4,260553
0,253089,176,16,4,252442
0,305429,370,23,4,304515
0,690105,145,21,3,689434
1,26110,303,13,4,25487
0,55203,79,13,4,54550
1,6670,224,68,4,6140
0,467996,363,21,4,467418
0,1079,125,61,2,750
1,1784731,331,27,4,1784156
0,1392058,306,27,4,1391459
1,174019,63,13,4,173294
1,44727,393,92,3,44119
0,978860,273,26,1,978390
0,7294,259,74,4,6638
0,9111,129,62,2,8734
1,641578,81,10,4,640880
0,2852,15,39,4,2211
0,1610144,113,27,4,1609563
1,225709,67,13,3,225092
1,873,4,34,4,262
1,504309,425,4,3,503911
0,1707,376,84,4,1054
0,570400,73,7,4,569783
0,897457,270,26,4,896894
1,528985,290,9,4,528356
1,930600,240,21,4,929947
0,459742,247,15,4,459083
0,8892,374,49,4,8245
0,410431,179,14,4,409799
1,95645,62,2,4,95094
1,296809,419,4,4,296102
1,438791,31,3,4,438168
0,302673,242,15,4,302005
0,332148,409,13,4,331510
0,22912,56,57,2,22523
1,20624,72,42,4,19953
0,276224,133,21,4,275592
1,605996,236,9,4,605367
1,631273,155,4,4,630704
1,893116,237,21,3,892445
1,9993,32,40,4,9376
1,1448091,87,27,4,1447573
1,12594,195,46,4,11959
0,389569,245,15,4,388676
0,28027,42,52,4,27344
1,426818,134,4,4,426186
0,32545,260,75,4,31979
0,11424,39,51,3,10828
0,474095,352,16,4,473496
1,891600,269,26,1,891058
1,1570983,119,27,4,1570405
1,487260,199,22,4,486679
0,28680,127,62,3,27985
0,478938,100,0,4,478315
0,1109266,396,22,4,1108595
0,21792,343,78,4,21193
1,652493,234,9,4,651543
1,538452,143,21,4,537880
0,21840,227,70,4,21079
0,567898,122,18,2,567485
0,53116,395,92,5,52718
0,308712,368,15,4,308044
1,641268,232,9,4,640657
0,1591262,329,26,4,1590720
0,559332,141,19,2,558976
0,643220,197,6,4,642618
1,588625,154,4,3,587969
0,269583,418,4,4,268954
0,1591401,209,25,3,1590901
1,1060193,187,27,4,1059636
0,272757,178,16,4,271798
0,21892,337,77,4,21179
1,400683,54,3,4,400036
0,11825,43,52,4,11139
1,610947,365,21,4,610288
0,1183104,323,25,4,1182499
0,1871216,107,27,4,1870641
1,1100102,405,26,4,1099440
0,223254,287,15,4,222562
1,2130876,103,27,4,2130250
1,5418,228,70,4,4696
1,274287,170,13,4,273715
1,212591,428,7,4,211887
0,253619,168,13,4,252897
1,190891,64,13,4,190256
1,33533,389,91,4,32910
0,66227,299,1,4,65685
1,1038285,188,27,4,1037734
0,1299223,183,27,4,1298663
0,555039,76,7,4,554104
1,1790185,216,26,4,1789544
1,110877,152,2,5,110344
0,70385,296,14,4,69732
0,406686,135,4,4,406078
1,1894275,109,27,4,1893637
0,48963,356,82,4,48349
0,63431,61,58,4,62859
0,563485,92,19,2,563114
1,1947,14,38,3,1330
1,849658,22,26,4,849029
0,17246,264,75,4,16593
1,11667,257,73,4,10975
1,1192370,312,27,4,1191744
1,789660,147,21,4,789061
0,484940,353,16,4,484143
0,551183,223,18,2,550740
0,1665163,28,26,4,1664528
0,15815,359,82,4,15231
0,423275,201,22,4,422700
0,50225,394,92,4,49587
0,23909,360,82,4,23259
0,1935320,212,26,4,1934724
1,1439745,88,27,4,1439215
0,1646736,210,25,4,1646206
1,5356,348,81,4,4736
0,281837,177,16,4,281250
0,217404,21,15,4,216745
0,462632,136,4,4,462006
0,565167,380,19,2,564760
1,4939,6,32,4,4241
0,497547,249,15,4,496699
0,2159962,324,26,4,2159390
1,1722444,336,24,4,1721857
1,627125,83,10,4,626559
0,510533,430,5,4,509916
1,2103139,217,27,4,2102468
0,211634,417,0,5,211245
1,34921,265,76,4,34262
