Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Genomic_Start_Position
0,1169344,41,44,1,1158920
1,7614,2,60,0,1030
1,609988,159,10,1,605538
0,1211309,164,49,1,1200861
1,71128,82,45,1,60752
1,18759,153,107,3,8548
1,52109,56,5,1,41772
1,64484,128,30,2,55971
0,424181,139,10,1,413739
0,225503,223,8,1,215040
0,1026196,142,49,3,1015775
0,330111,110,15,1,322282
1,458221,51,10,1,447770
0,685626,120,30,1,675331
0,18045,175,110,1,7588
1,108909,131,27,1,98518
1,47512,125,29,1,39092
0,775910,132,33,1,765552
1,22103,172,33,1,14689
0,332104,169,33,1,321641
1,7780,8,63,2,2
1,11317,87,30,3,5433
0,573981,160,10,1,563530
1,459416,62,34,1,449073
1,5380,25,75,3,2
1,214744,9,38,3,206012
1,31572,76,36,1,21127
1,63253,176,111,1,52823
0,286931,192,51,1,283691
0,149649,116,23,2,143326
1,14171,181,34,2,4392
1,11492,32,78,1,5925
1,26884,61,16,1,16478
1,45907,207,50,2,38978
0,13390,162,70,1,2987
0,698669,83,23,1,688299
0,9732,193,116,1,1
1,1233807,179,46,3,1224493
1,62951,95,53,1,52593
1,970184,186,46,1,959784
1,138304,216,13,1,127910
1,13701,154,108,1,3220
0,689245,14,29,1,678794
1,5595,6,62,2,1
0,213628,101,52,1,203258
0,24168,113,98,3,13795
1,31191,122,35,1,20812
0,3034,92,95,2,2
1,347060,220,34,2,339083
1,127990,151,53,3,117557
1,390898,219,34,1,380639
1,60872,208,50,1,50520
1,225073,35,27,1,217409
0,842551,213,35,1,832124
0,475972,78,2,2,470489
1,534898,114,33,2,529028
1,59093,70,29,1,53591
0,2345983,167,50,1,2335691
0,33876,201,121,1,23431
0,2017022,4,48,2,2011656
0,796435,42,32,3,786038
0,908777,38,37,1,898398
0,1020605,202,48,3,1014285
1,25728,94,55,3,21774
0,13163,66,87,1,2601
0,789447,214,35,3,779023
0,7954,194,117,2,2
0,743366,12,28,3,733188
0,1028641,19,40,1,1018586
1,69531,218,13,1,59128
0,5243,69,88,1,2
0,9826,22,74,2,2831
1,12411,134,102,3,1858
0,6482,3,61,2,3
1,78813,198,51,1,72588
1,12312,197,51,2,7990
1,40663,199,120,1,30197
1,51361,102,27,1,40991
0,288082,210,50,1,277652
0,328819,65,30,1,318764
1,127475,173,54,1,117093
1,32850,188,9,1,28143
0,207695,53,15,1,204667
1,36235,217,13,1,25871
0,11147,33,79,2,4143
0,1351353,156,46,3,1340908
0,30892,75,22,1,20468
0,745319,40,32,1,734937
1,353296,98,51,2,348857
0,7476,0,59,2,127
1,21015,77,18,1,14486
0,5481,157,109,2,1
1,5231,27,66,1,1
1,78745,64,43,1,68291
0,574518,143,12,3,565420
1,27113,195,118,3,16665
0,647211,117,46,3,636820
1,802151,13,50,1,791817
0,65194,21,0,1,54806
1,6388,124,100,1,323
0,296067,111,33,3,288610
0,62219,39,82,1,51870
1,19188,34,80,1,11071
1,34912,171,33,1,27714
0,239506,163,15,2,231410
0,595061,49,25,3,584655
1,52443,44,48,3,42064
0,5929,152,69,1,3
