Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
1,0,1037760,370,370,4,168,22,1037092
0,0,18293,404,404,3,156,94,17649
0,0,7200,136,136,4,24,44,6637
0,0,55025,360,360,4,100,82,54438
0,0,1464254,88,88,4,96,27,1463646
1,0,487260,204,204,4,124,23,486679
0,0,2016292,331,331,4,61,26,2015537
0,0,9057,388,388,4,90,89,8128
0,0,4555,133,133,4,130,63,3962
0,0,683253,98,98,4,57,27,682675
1,0,807166,154,154,4,116,22,806492
0,0,112468,401,401,1,37,93,111971
0,0,4870,342,342,4,139,77,4217
0,0,2682,267,267,4,130,75,1954
1,0,163066,8,8,4,142,8,162521
0,0,1955674,334,334,4,160,27,1955171
1,0,756041,99,99,4,96,27,755460
1,0,1368555,311,311,4,75,27,1367977
1,0,1487064,92,92,4,28,27,1486369
1,0,36247,72,72,4,62,15,35642
0,0,1187163,348,348,4,168,22,1186465
0,0,120884,34,34,2,106,14,120498
1,0,1921473,108,108,4,57,27,1920904
0,0,438865,353,353,4,21,17,438233
0,0,308712,371,371,4,26,16,308044
0,0,1033564,301,301,4,167,18,1032920
0,0,1604078,116,116,4,75,27,1603452
0,0,85370,61,61,4,76,57,84681
0,0,17407,264,264,4,42,73,16820
0,0,497483,126,126,4,113,17,496893
0,0,1738968,27,27,3,41,26,1738420
1,0,6677,379,379,4,89,85,6162
1,0,278070,225,225,4,157,3,277438
0,0,1731530,338,338,4,57,27,1730895
0,0,477620,209,209,4,112,6,476973
0,0,565167,382,382,2,80,20,564760
0,0,10321,127,127,4,42,60,9749
0,0,1686468,112,112,4,96,27,1685914
0,0,7629,233,233,4,42,69,6979
0,0,1645,357,357,4,104,82,1004
1,0,376974,55,55,4,150,3,376393
1,0,807869,24,24,3,117,26,807330
1,0,426818,139,139,4,128,4,426186
1,0,39701,52,52,4,42,56,39237
0,0,265007,262,262,4,5,23,264339
1,0,782,46,46,4,126,53,129
1,0,1132814,319,319,4,57,27,1132212
1,0,30799,73,73,4,66,15,30158
1,0,159847,67,67,4,98,14,159101
1,0,717564,273,273,4,122,26,716974
1,0,1637787,114,114,4,57,27,1637185
0,0,487905,171,171,4,150,3,487330
