Entity_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,3,12909,144,0,113,10807,1
0,0,126,6110,100,0,101,3849,0
0,0,133,477337,9,0,9,476408,0
0,0,41,477141,199,0,7,476586,0
0,0,94,16869,154,0,116,14662,0
0,0,16,4025,165,0,16,1761,1
1,0,14,20192,203,1,29,18165,1
0,0,126,3770,48,0,89,732,1
1,0,22,828777,109,1,48,827212,1
1,0,42,9061,53,1,74,6806,1
0,0,41,2776,157,0,117,509,0
1,0,30,211189,118,1,34,209180,1
1,0,48,7765,26,1,43,5519,1
0,0,1,3747,22,0,72,1363,1
0,0,55,555948,171,0,20,553549,0
0,0,71,487264,94,0,17,485114,0
0,0,7,763294,176,0,26,761027,0
0,0,38,1178466,117,0,44,1176085,0
1,0,36,53359,116,1,40,52601,1
0,0,73,471716,220,0,5,470270,0
1,0,24,45480,197,1,122,43330,1
1,0,41,609383,76,1,20,607077,0
1,0,2,5633,10,1,62,4134,0
1,0,114,813661,182,1,38,811541,0
0,0,58,243718,96,0,19,243449,0
0,0,31,56175,82,0,5,53914,1
0,0,82,120751,187,0,3,119534,1
0,0,64,14957,61,0,76,12933,0
1,0,29,356577,107,1,53,354673,0
0,0,21,371476,172,0,18,369323,0
1,0,56,50723,122,1,106,48507,1
0,0,99,611448,112,0,10,610807,0
0,0,62,67467,83,0,5,65254,1
1,0,87,1621,62,1,95,2,1
0,0,131,4679,115,0,40,2307,1
0,0,126,11646,125,0,107,9286,1
0,0,21,45278,101,0,18,42840,0
0,0,1,47037,178,0,120,44773,1
0,0,124,487691,27,0,18,485538,0
1,0,40,619207,206,1,9,617003,0
0,0,52,828692,195,0,49,827244,1
1,0,90,909033,29,1,40,906619,0
0,0,93,1062,3,0,71,1,0
0,0,63,15153,209,0,30,12949,1
1,0,25,96434,222,1,5,94266,1
0,0,61,65232,218,0,52,62692,1
0,0,21,710857,46,0,23,709519,0
0,0,102,76316,25,0,52,74154,1
1,0,67,799420,225,1,32,796943,0
0,0,126,7491,128,0,22,5182,1
0,0,126,2056,47,0,88,2,1
0,0,126,4947,42,0,86,2638,0
1,0,14,441740,91,1,29,439797,1
0,0,113,2326647,15,0,54,2325364,0
1,0,115,777368,224,1,32,775140,0
1,0,132,51771,234,1,36,49540,1
0,0,88,59089,37,0,57,56687,1
1,0,51,552888,219,1,15,550654,0
0,0,88,79561,119,0,57,77369,1
1,0,72,1451239,130,1,52,1449053,0
0,0,119,1009290,41,0,39,1006993,0
1,0,94,170211,124,1,50,168412,1
0,0,126,4516,51,0,91,3179,1
1,0,96,122003,229,1,11,119982,1
0,0,111,5046,159,0,118,2860,1
1,0,16,1375691,121,1,46,1373202,0
0,0,86,27070,142,0,16,24536,1
1,0,38,224206,202,1,35,222371,1
1,0,12,689616,79,1,54,687517,0
1,0,14,372955,230,1,29,370655,1
1,0,16,1204656,198,1,46,1202680,0
