Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,6912,10,10,0,36,4054
0,166284,41,41,1,5,162214
1,3512,39,39,0,45,570
0,2374,42,42,1,46,2
1,613086,35,35,0,11,611617
1,39716,20,20,0,14,38265
0,106904,21,21,1,4,101847
0,2321780,60,60,0,20,2320431
0,2321637,22,22,1,21,2320534
1,513352,29,29,1,12,509741
1,5459,11,11,1,37,369
0,588483,38,38,0,3,586278
1,6009,72,72,1,56,1594
0,574606,47,47,0,2,573398
0,10189,66,66,0,55,8723
1,12357,13,13,0,39,7624
1,13981,7,7,1,16,12296
0,219070,16,16,0,6,217661
0,2470,33,33,0,43,2
1,48747,75,75,1,15,45235
1,14382,54,54,0,3,9970
1,1879,4,4,0,24,2
0,826483,26,26,0,10,824891
1,22057,57,57,0,7,19652
1,3165,36,36,0,44,1
1,528926,68,68,0,10,526836
0,2326,12,12,1,38,2
1,72456,17,17,1,5,65872
1,467386,67,67,1,10,461438
0,576641,69,69,1,1,572922
1,515521,32,32,0,6,512909
1,1251315,40,40,1,18,1250056
1,85207,71,71,1,3,81746
1,31870,56,56,1,50,22712
0,585395,46,46,0,2,582072
0,2053,50,50,0,32,2
1,13747,18,18,1,17,12191
1,6974,53,53,1,49,1995
1,1537,1,1,0,26,2
1,1556,2,2,0,59,3
0,1997,5,5,0,25,1
1,26175,24,24,0,20,23011
0,375450,15,15,1,22,373273
1,11280,8,8,1,34,2713
1,72487,45,45,0,21,68564
0,3322,9,9,0,35,2
0,2309,31,31,0,31,3
1,5982,0,0,0,58,4234
0,4784,27,27,0,42,3
0,1059473,74,74,0,19,1058121
1,2868,25,25,0,28,1600
1,348754,59,59,0,21,344585
1,4686,63,63,0,53,1
1,24031,23,23,0,27,21731
1,478366,55,55,0,13,476669
0,4676,65,65,0,54,3
0,1271,28,28,0,29,3
0,8695,51,51,1,33,5075
0,2498,43,43,0,47,3
1,1119042,64,64,1,18,1112740
1,595601,34,34,0,11,591036
1,78154,48,48,0,0,73799
1,37338,37,37,0,23,35617
0,799963,44,44,0,8,796517
1,89064,49,49,0,0,84641
0,769652,6,6,0,9,767703
1,5803,62,62,0,52,896
0,4720,19,19,0,41,2
1,4039,61,61,0,51,1
0,2312,52,52,0,48,2
1,35785,3,3,0,7,34078
1,5221,30,30,0,30,2141
0,4653,14,14,1,40,1
0,152656,70,70,0,5,149750
0,2190,73,73,0,57,1
1,21673,58,58,0,23,20189
