Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,38827,224,1,25,35924
0,4679,182,1,134,1893
0,308397,302,1,58,305485
0,825842,310,1,40,823350
0,502030,130,0,0,499289
1,79193,78,1,3,76656
0,2449,0,1,152,11
1,7010,290,0,148,4233
1,66235,246,0,41,64469
1,21822,317,1,13,18838
1,3014,95,1,66,228
1,77950,17,0,24,74987
1,510295,140,1,27,507728
0,847503,311,1,40,845194
0,6673,231,1,139,3815
1,181574,314,1,30,180063
0,625252,227,1,28,622190
1,981807,276,1,52,979324
1,16715,185,1,46,14439
1,2940,211,1,136,73
0,8383,218,0,137,7271
1,17724,292,0,59,14986
0,13435,270,1,144,10745
1,86361,187,0,15,83876
0,225780,79,1,27,223900
0,578138,99,1,27,576360
0,504140,266,1,2,500865
0,636457,212,1,13,635763
0,847195,163,1,35,845501
0,492362,27,1,1,490971
0,236472,222,1,3,233641
0,779582,202,0,31,776703
0,7188,124,1,121,4384
1,8831,110,1,119,6234
0,650247,101,0,27,648161
0,984,304,1,151,31
1,1094,23,1,75,159
0,24358,271,0,144,21590
1,1225,53,0,79,1
0,628999,142,1,12,626735
1,13990,115,1,16,11384
1,28068,65,1,67,25282
1,3158,253,1,93,408
0,2351295,263,1,58,2348338
0,9939,57,0,102,8926
1,65081,84,0,25,62292
1,9052,245,1,142,7148
0,805554,313,0,40,804478
0,782600,203,0,31,781197
0,3790,209,1,89,806
1,1721524,41,1,58,1718519
0,2010044,11,0,56,2009265
0,794113,241,0,33,793295
0,1008775,188,1,58,1006142
1,56433,247,0,41,54619
0,654938,251,1,27,652152
0,1032018,50,1,44,1029001
0,1140600,195,0,46,1138639
0,411506,59,1,33,408474
0,1137976,136,0,57,1133828
0,1204,126,0,87,2
1,8397,15,0,9,5578
0,764760,201,0,31,762982
1,976,20,1,74,2
1,587182,272,1,37,584897
0,3258,40,1,77,436
1,6116,58,1,103,4224
0,606712,236,0,12,603989
1,21218,240,1,26,18921
1,2501,83,0,38,102
1,7457,213,1,41,4911
0,490870,46,0,1,489493
1,4777,18,1,70,2027
1,26225,205,0,65,24447
1,22430,44,1,34,19944
1,15107,261,1,2,12237
1,41742,307,1,44,39727
0,663320,257,0,24,660522
1,58458,114,0,16,55432
0,486237,24,1,47,483109
1,644271,98,1,58,641242
1,16574,221,1,138,14088
0,3713,282,0,97,2106
1,44770,25,1,50,42977
0,3597,233,0,140,1834
0,5794,135,1,123,3014
0,655728,168,0,18,653962
1,33262,308,0,44,31331
0,791878,121,0,37,790079
0,760085,242,1,33,757590
0,169312,67,0,55,166550
0,130785,104,1,20,128263
1,122539,189,1,14,120197
0,594892,225,0,28,591674
0,571445,197,0,21,567813
0,690966,178,1,32,687994
0,9553,113,1,85,7784
0,582823,21,1,21,581135
1,1917064,173,0,56,1914173
1,25743,229,1,14,24748
1,71114,194,1,4,69705
0,103187,323,0,9,101616
0,702008,179,0,32,700188
0,585311,226,1,28,582390
0,2350211,167,1,59,2347587
1,491613,133,1,41,488857
1,12191,230,1,14,9909
1,1182,92,1,115,1
1,59561,139,1,50,57681
1,14595,66,0,67,12280
0,9360,254,1,94,6577
1,14953,301,1,53,12005
1,29749,161,1,29,26915
0,430057,184,1,33,427406
0,14455,90,1,113,11690
1,30562,277,0,18,28739
0,4524,239,0,141,2574
1,4216,132,0,47,1460
0,19758,183,0,135,17038
1,47207,81,0,112,45534
1,36437,102,0,117,35517
1,5595,69,1,107,2761
0,912033,73,1,41,909235
0,2693,279,1,96,396
1,4036,64,0,67,1289
1,93761,72,1,65,90201
0,11733,74,1,82,9154
0,706189,14,1,29,704129
0,120500,322,0,9,118605
1,26060,258,1,2,23298
0,351197,216,1,62,348939
1,8589,29,0,42,6541
0,1385359,153,0,52,1383590
0,688837,88,1,26,685982
1,54516,94,0,41,53479
1,1739,12,0,72,3
0,201879,298,0,61,200095
0,1320804,150,1,59,1318300
0,628364,100,1,27,625434
0,3779,181,0,133,1517
1,64637,149,0,65,62859
0,4799,269,1,144,2103
0,7313,234,1,140,4734
1,19476,159,0,128,17815
0,7957,141,1,126,5381
0,829858,119,1,37,827087
0,2120212,105,1,58,2117660
0,411543,243,1,31,408877
0,848494,162,1,35,847454
1,8756,144,1,45,5919
1,169188,306,0,44,166855
0,16396,293,1,149,13598
0,492103,129,1,0,489575
1,3892,45,0,54,599
0,427483,286,0,46,425420
0,570499,250,1,27,567725
1,3857,103,1,118,1095
1,924785,235,1,57,922281
0,245943,62,1,4,244298
1,556405,238,1,28,554000
