Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,1160395,347,347,3,1,22,1159709
0,18293,404,404,3,1,95,17649
0,7200,134,134,4,0,45,6637
0,55025,359,359,4,0,83,54438
0,1464254,88,88,4,0,28,1463646
1,494817,202,202,4,0,23,494134
0,2016292,329,329,4,0,27,2015537
0,9057,388,388,4,0,90,8128
0,4555,132,132,4,0,64,3962
0,683253,98,98,4,0,28,682675
0,844685,368,368,3,1,22,844098
0,112468,401,401,1,1,94,111971
0,4870,340,340,4,0,78,4217
0,2682,263,263,4,0,76,1954
1,163066,7,7,4,0,8,162521
0,1955674,332,332,4,0,28,1955171
1,756041,99,99,4,0,28,755460
1,1368555,309,309,4,0,28,1367977
1,1487064,92,92,4,0,28,1486369
1,44362,300,300,3,1,15,43754
0,265007,257,257,4,0,23,264339
0,128464,416,416,2,0,14,128075
1,1921473,108,108,4,0,28,1920904
0,458814,352,352,4,0,17,458125
0,316703,371,371,4,0,16,316059
0,548591,225,225,2,0,19,548190
0,1604078,116,116,4,0,28,1603452
0,85370,61,61,4,0,58,84681
0,17407,260,260,4,0,74,16820
0,1033564,297,297,4,0,18,1032920
0,1738968,27,27,3,1,27,1738420
1,6677,379,379,4,0,86,6162
1,278070,221,221,4,0,3,277438
0,1731530,336,336,4,0,28,1730895
0,477620,205,205,4,0,6,476973
0,567879,381,381,2,0,20,567310
0,10321,126,126,4,0,61,9749
0,1686468,112,112,4,0,28,1685914
0,7629,229,229,4,0,70,6979
0,1645,356,356,4,0,83,1004
1,376974,55,55,4,0,3,376393
1,807869,24,24,3,1,27,807330
1,426818,136,136,4,0,4,426186
1,39701,52,52,4,0,57,39237
0,307213,258,258,4,0,23,306524
1,782,46,46,4,0,54,129
1,1132814,317,317,4,0,28,1132212
1,36247,72,72,4,0,15,35642
1,170789,68,68,4,0,14,170208
1,717564,269,269,4,0,27,716974
1,1637787,114,114,4,0,28,1637185
0,487905,169,169,4,0,3,487330
1,628319,183,183,3,1,13,627354
0,1932015,107,107,4,0,28,1931470
0,2027,39,39,4,0,52,1341
0,1743790,335,335,4,0,28,1743146
0,515441,206,206,4,0,6,514617
1,1118634,319,319,4,0,28,1117975
0,347837,17,17,3,1,3,347313
0,250738,323,323,4,0,3,250097
1,1579,2,2,4,0,34,1004
0,570400,76,76,4,0,7,569783
1,552848,144,144,4,0,22,552180
0,52129,264,264,4,0,76,51491
1,19103,380,380,3,1,86,18480
0,4829,256,256,4,0,73,4128
1,599763,232,232,4,0,10,598996
0,436400,11,11,4,0,16,435816
0,1148872,410,410,4,0,27,1148204
0,339516,224,224,4,0,3,338926
1,1581481,214,214,4,0,26,1580900
1,1081012,406,406,4,0,27,1080440
0,15668,344,344,4,0,79,15015
1,6518,303,303,4,0,1,5874
1,33001,19,19,4,0,14,32291
1,504309,428,428,3,1,4,503911
1,668902,148,148,4,0,22,668282
0,1995197,216,216,4,0,27,1994529
0,216763,322,322,4,0,3,216122
1,588625,156,156,3,1,4,587969
0,416038,383,383,4,0,31,415541
1,463493,101,101,3,1,0,462885
1,14001,394,394,4,0,92,13402
0,385637,20,20,3,1,22,384969
1,602338,320,320,4,0,6,601643
1,1845,389,389,2,0,91,1489
1,375081,122,122,4,0,12,374536
0,1473130,87,87,4,0,28,1472456
1,1134002,408,408,4,0,27,1133424
0,444695,31,31,4,0,3,444042
0,42175,386,386,4,0,88,41594
0,9261,128,128,4,0,62,8539
0,382637,57,57,4,0,3,382086
1,35038,302,302,4,0,1,34388
0,416102,246,246,4,0,16,415509
1,13194,349,349,3,1,81,12661
1,653543,84,84,4,0,11,652923
1,320021,423,423,4,0,4,319437
0,78452,299,299,4,0,15,77844
0,2893,384,384,4,0,87,2228
1,38888,79,79,4,0,14,38181
1,22995,304,304,2,0,14,22609
1,1066542,405,405,4,0,27,1065931
0,438865,351,351,4,0,17,438233
0,345916,153,153,4,0,16,345353
0,499409,366,366,3,1,22,498789
0,262228,37,37,4,0,22,261515
1,350824,414,414,2,0,14,350453
0,224418,166,166,4,0,17,223792
0,17055,48,48,4,0,56,16375
1,1049,283,283,4,0,48,204
1,807166,151,151,4,0,22,806492
1,874302,274,274,3,1,27,873739
1,281,9,9,5,0,36,3
0,16035,342,342,4,0,78,15472
1,311595,412,412,2,0,14,311224
1,6125,10,10,4,0,36,5631
0,578960,77,77,4,0,7,578253
0,1670681,28,28,4,0,27,1670067
0,544317,146,146,1,1,22,543658
0,285006,245,245,4,0,16,284026
0,482096,253,253,4,0,16,481446
0,16573,164,164,4,0,66,15977
0,1236,125,125,4,0,44,691
1,2152710,106,106,4,0,28,2152117
0,218124,165,165,4,0,17,217234
1,497850,294,294,4,0,10,497083
0,314714,123,123,4,0,12,314181
0,729959,96,96,4,0,28,729363
1,358436,277,277,2,0,14,358038
1,584282,133,133,4,0,10,583626
1,22696,73,73,4,0,15,22061
0,1261581,324,324,3,1,26,1260970
0,160801,403,403,4,0,94,160181
0,10872,104,104,3,1,60,10210
1,412598,279,279,4,0,30,411981
1,514088,293,293,4,0,10,513441
1,53893,306,306,4,0,11,53279
0,253563,287,287,4,0,16,252895
0,237931,285,285,4,0,16,237338
0,266589,176,176,4,0,17,265723
0,1078119,192,192,4,0,28,1077559
1,198335,42,42,4,0,10,197730
1,1243238,186,186,4,0,28,1242540
0,1176204,399,399,4,0,23,1175530
0,6197,387,387,4,0,89,5628
1,47042,80,80,4,0,14,46335
0,374682,41,41,4,0,28,374062
0,1420673,91,91,4,0,28,1420101
1,388432,194,194,2,0,29,388043
0,70633,59,59,4,0,58,70109
0,11230,374,374,4,0,49,10535
0,694973,307,307,4,0,27,694383
0,1677970,118,118,4,0,28,1677395
0,5761,375,375,4,0,50,5141
0,1886263,217,217,4,0,27,1885670
1,311313,422,422,4,0,4,310645
1,282372,173,173,4,0,14,281740
0,456160,321,321,4,0,23,455483
1,36542,385,385,4,0,88,35961
0,541203,103,103,4,0,6,540331
1,377041,363,363,4,0,12,376496
1,1142859,409,409,4,0,27,1142287
1,1481322,93,93,4,0,28,1480762
1,1306828,208,208,4,0,26,1306226
1,1739,5,5,4,0,33,1236
0,410649,140,140,2,0,14,410251
0,1587490,211,211,4,0,26,1586741
1,2442,284,284,4,0,48,1612
1,327963,424,424,4,0,4,327337
0,1411596,21,21,4,0,28,1410949
0,260483,177,177,4,0,17,259935
0,917604,273,273,4,0,27,916954
1,371048,276,276,4,0,14,370350
1,11470,47,47,2,0,55,11081
0,377176,141,141,4,0,14,376607
0,1943209,8,8,4,0,28,1942577
1,7470,268,268,4,0,77,6853
0,120884,34,34,2,0,14,120498
1,21243,14,14,4,0,38,20602
1,605996,238,238,4,0,10,605367
0,340144,413,413,4,0,14,339536
0,862102,241,241,3,1,22,861431
0,1875155,218,218,4,0,27,1874526
1,633183,233,233,2,0,10,632827
0,59685,49,49,4,0,56,58891
0,1611491,330,330,4,0,27,1610868
0,31626,357,357,4,0,83,31012
1,76266,278,278,4,0,14,75574
0,430625,12,12,4,0,16,430509
0,288480,175,175,4,0,17,287506
0,1187163,346,346,4,0,22,1186465
0,1200244,312,312,4,0,28,1199621
0,18926,390,390,4,0,92,18276
1,2115566,25,25,4,0,28,2114982
1,1109679,316,316,4,0,28,1109041
1,1559,51,51,4,0,57,987
0,413954,418,418,4,0,28,413337
1,159847,67,67,4,0,14,159101
1,1139142,315,315,4,0,28,1138561
1,462219,364,364,4,0,22,461563
1,1348,167,167,4,0,67,512
0,1344856,198,198,4,0,21,1344239
1,203566,70,70,2,0,14,203195
1,3660,195,195,4,0,68,3085
0,1001979,95,95,4,0,28,1001410
0,1671935,119,119,3,1,28,1671336
1,3008,162,162,4,0,46,2760
0,17644,348,348,4,0,80,17072
0,393310,280,280,4,0,30,392783
0,1025055,191,191,4,0,28,1024453
1,1654543,30,30,4,0,27,1654004
1,11006,13,13,4,0,37,10434
0,1840810,110,110,4,0,28,1840178
1,1182146,313,313,4,0,28,1181541
1,356421,430,430,3,1,13,355831
0,398667,248,248,4,0,16,398035
1,1235855,187,187,2,0,28,1235211
0,1806636,337,337,4,0,28,1806064
0,7249,53,53,4,0,57,6641
0,452612,281,281,4,0,28,451995
0,425782,139,139,2,0,14,425384
0,1121,1,1,4,0,32,531
1,725245,150,150,4,0,22,724664
0,7534,343,343,2,0,79,7151
0,14571,377,377,4,0,50,14272
0,244449,288,288,4,0,16,243556
0,622513,26,26,4,0,28,621803
0,261062,174,174,4,0,14,260553
0,253089,178,178,4,0,17,252442
0,305429,372,372,4,0,24,304515
0,690105,147,147,3,1,22,689434
1,26110,305,305,4,0,14,25487
