Gene_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,0,3,12909,144,113,10807,1,1
0,0,124,6110,100,101,3849,1,0
1,0,39,457048,91,9,454787,0,0
0,0,137,478833,231,6,476677,1,0
0,0,92,16869,154,116,14662,1,0
1,0,50,552888,219,15,550654,0,0
1,0,12,20192,203,29,18165,0,1
0,0,124,3770,51,89,732,2,1
1,0,21,828777,109,48,827212,0,1
1,0,41,9061,56,74,6806,0,1
0,0,40,2776,157,117,509,1,0
1,0,29,211189,118,34,209180,0,1
1,0,47,7765,29,43,5519,0,1
0,0,1,3747,24,72,1363,1,1
0,1,90,692573,70,19,690150,1,0
0,0,89,27924,6,17,26149,3,1
0,0,6,763294,176,26,761027,1,0
0,0,37,1178466,117,44,1176085,1,0
1,0,35,53359,116,40,52601,0,1
1,0,24,96434,222,5,94266,0,1
1,0,23,45480,197,122,43330,0,1
0,0,66,604953,81,20,602554,1,0
1,0,2,5633,12,62,4134,0,0
1,0,112,813661,182,38,811541,0,0
0,0,49,4215,72,19,1969,1,1
0,0,87,480713,37,4,478230,1,0
1,0,67,114439,8,3,112868,0,1
0,0,61,14957,64,76,12933,1,0
1,0,28,356577,107,53,354673,0,0
0,0,20,45278,101,18,42840,1,0
1,0,55,50723,122,106,48507,0,1
1,0,68,562476,173,10,560179,0,0
0,0,30,56175,86,5,53914,1,1
1,0,85,1621,65,95,2,0,1
0,0,130,4679,115,40,2307,1,1
0,0,124,11646,125,107,9286,1,1
0,0,70,487264,96,17,485114,1,0
0,0,1,47037,178,120,44773,1,1
0,0,20,371476,172,18,369323,1,0
0,0,132,477337,10,9,476408,3,0
0,0,51,828692,195,49,827244,1,1
1,0,88,909033,32,40,906619,0,0
0,0,91,1062,3,71,1,3,0
0,0,60,15153,209,30,12949,1,1
1,0,7,81519,11,5,79698,0,1
0,0,59,65232,218,52,62692,1,1
0,0,20,710857,49,23,709519,2,0
0,0,100,76316,28,52,74154,1,1
1,0,65,799420,225,32,796943,0,0
0,0,124,7491,128,22,5182,1,1
0,0,124,2056,50,88,2,3,1
0,0,124,4947,45,86,2638,1,0
1,0,12,441740,94,29,439797,0,1
0,0,111,2326647,17,54,2325364,3,0
1,0,113,777368,224,32,775140,0,0
1,0,131,51771,234,36,49540,0,1
0,0,86,59089,40,57,56687,1,1
1,0,50,113111,169,15,111105,0,1
0,0,86,79561,119,57,77369,1,1
1,0,71,1451239,130,52,1449053,0,0
0,0,117,1009290,44,39,1006993,1,0
1,0,92,170211,124,50,168412,0,1
0,0,124,4516,54,91,3179,3,1
0,0,97,611448,112,10,610807,2,0
0,0,109,5046,160,118,2860,1,1
1,0,15,1375691,121,46,1373202,0,0
0,0,15,4025,166,16,1761,1,1
1,0,37,224206,202,35,222371,0,1
1,0,10,689616,83,54,687517,0,0
1,0,12,372955,230,29,370655,0,1
1,0,15,1204656,198,46,1202680,0,0
1,0,65,11060,143,32,8994,0,1
1,0,118,2096,147,114,747,0,1
0,0,124,1138,5,108,2,3,0
1,0,30,8253,103,42,6340,0,1
1,0,73,1189025,189,52,1186812,0,0
1,0,126,496899,102,1,495853,0,0
0,0,99,1474,16,31,101,3,1
0,0,132,1039862,77,38,1037046,1,0
0,0,49,20107,69,51,17801,1,1
0,0,45,14203,58,33,11819,1,1
0,0,3,391932,7,59,389746,1,1
0,0,77,3932,163,119,1401,1,0
0,0,68,915393,63,34,914149,2,0
0,0,125,244454,159,19,243822,2,0
0,0,132,394758,20,9,393970,2,0
0,0,33,580782,170,21,579763,3,0
1,0,11,4883,41,83,2628,0,1
1,0,44,519612,205,28,517492,0,1
0,0,74,2976,165,78,781,1,0
0,0,133,1159648,145,42,1157084,1,0
0,0,124,7454,53,90,5259,1,1
1,0,28,654471,76,53,652312,0,1
0,0,96,2907,35,73,667,1,0
0,0,43,4593,1,17,2230,1,1
0,0,111,1705791,90,54,1703299,1,1
0,0,54,3230,129,22,921,1,1
0,0,52,2152,9,61,38,1,0
0,0,30,507624,192,3,505363,1,0
1,0,68,459000,174,10,456733,0,0
1,0,57,123424,232,8,121439,0,0
1,0,42,805063,180,39,803291,0,0
0,0,76,3147,42,84,535,1,1
0,0,124,7548,55,92,5362,1,0
0,0,124,11573,110,104,9210,1,0
0,0,59,81116,4,13,80040,2,1
0,0,119,707127,48,23,704929,1,0
0,0,4,351915,201,58,350539,2,1
0,0,8,6111,23,69,4843,2,1
1,0,78,299939,227,11,297915,0,1
1,0,58,464804,167,22,462621,0,1
0,0,53,1036,14,64,2,3,1
1,0,112,763015,84,38,760970,0,0
1,0,19,547726,136,7,545198,0,0
0,0,117,19404,200,123,17227,1,0
0,0,121,53099,223,39,50910,1,1
0,0,129,2191081,89,54,2188577,1,1
1,0,26,52834,184,0,50840,0,0
1,0,7,13918,123,106,11750,0,1
1,0,31,18062,135,109,16122,0,1
1,0,114,436942,177,24,434816,0,0
1,0,116,34512,92,98,32440,0,1
0,0,124,5683,57,93,3845,3,0
1,0,22,1835456,208,49,1833030,0,0
1,0,19,731499,31,23,729406,0,0
0,0,29,482055,113,10,479794,1,0
1,0,94,89110,210,16,86993,0,1
0,0,26,92121,141,41,90979,1,1
0,0,98,7735,186,80,5258,1,1
0,0,26,2352753,132,54,2351474,2,0
1,0,101,5117,217,82,2943,0,0
0,0,80,120751,187,3,119534,3,1
0,0,16,9642,213,125,7252,1,0
0,0,124,28514,111,105,26043,1,0
0,0,58,1699,87,8,101,3,1
1,0,16,3774,18,66,1570,0,0
1,0,132,468090,39,2,465892,0,0
0,0,60,3637,164,34,1680,2,1
1,0,39,619207,206,9,617003,0,0
0,0,32,369971,61,56,367785,1,0
1,0,64,10067,27,46,8418,0,1
1,0,104,1108,162,77,1,0,0
0,0,124,3468,71,96,1171,1,0
0,0,132,1009265,78,38,1006986,1,0
0,0,84,560608,181,16,558551,1,0
0,0,132,28523,82,38,26538,1,1
0,0,40,2650,25,35,386,1,1
0,0,113,6868,185,121,4559,1,1
0,0,134,50074,190,3,47909,1,1
0,0,122,487691,30,18,485538,1,0
1,0,128,17178,108,103,14941,0,1
0,0,13,669010,134,16,666635,1,0
0,0,14,2335,171,12,101,3,1
0,0,93,798,168,79,1,3,1
1,0,111,1167843,146,42,1165567,0,0
0,0,66,140815,228,11,140096,2,1
1,0,46,18493,46,34,16673,0,1
0,0,124,5471,139,112,3207,1,1
0,0,49,5333,21,67,3093,1,1
0,0,56,59387,95,42,57738,3,1
0,0,40,477141,199,7,476586,2,0
0,0,124,5583,99,100,3223,1,0
1,0,9,40877,204,29,40377,0,1
1,0,48,636865,80,20,634829,0,0
0,0,79,180595,120,60,178343,1,0
0,0,117,827,13,63,3,2,0
1,0,94,122003,229,11,119982,0,1
0,0,104,16433,194,81,14709,2,1
1,0,23,35613,196,122,33460,0,1
1,0,133,16106,74,97,14127,0,0
0,0,38,194620,126,55,192110,1,0
0,0,41,85349,66,4,84366,2,1
0,0,138,303473,216,12,301437,3,1
0,0,20,703891,73,23,701787,2,0
0,0,124,7225,106,102,4853,1,0
0,0,36,3201,60,75,2560,2,1
0,0,124,17152,138,111,14774,1,1
0,0,95,43304,158,57,40902,1,1
0,0,34,52112,104,45,49749,1,1
0,0,62,316113,226,11,313945,1,1
0,0,135,3704,22,68,1446,1,1
