Gene_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,24,38827,226,25,35924,3,1
1,0,185,4679,183,135,1893,3,0
1,0,13,308397,304,59,305485,3,0
1,0,69,847503,311,40,845194,3,0
0,0,139,502030,132,0,499289,0,0
1,0,97,79193,79,3,76656,3,1
1,0,142,2449,0,153,11,3,0
0,0,141,7010,292,149,4233,0,1
1,0,129,491613,135,41,488857,3,1
1,0,26,21822,317,13,18838,3,1
1,0,83,3014,97,67,228,3,1
0,0,5,77950,18,24,74987,0,1
1,0,4,510295,142,27,507728,3,1
1,0,159,7457,214,41,4911,3,1
1,0,92,6673,233,140,3815,3,0
1,0,9,181574,314,30,180063,3,1
1,0,36,625252,229,28,622190,3,0
1,0,145,1133115,271,53,1130755,3,1
1,0,137,60671,176,47,58218,3,1
1,0,154,2940,212,137,73,3,1
0,0,19,8383,219,138,7271,0,0
0,0,184,17724,294,60,14986,1,1
1,0,174,13435,273,145,10745,3,0
0,0,163,86361,188,15,83876,0,1
1,0,4,225780,80,27,223900,3,0
1,0,4,578138,101,27,576360,3,0
1,0,27,504140,268,2,500865,3,0
1,0,26,636457,213,13,635763,3,0
1,0,1,847195,164,35,845501,3,0
1,0,168,492362,28,1,490971,3,0
1,0,46,236472,223,3,233641,3,0
0,0,138,779582,203,31,776703,0,0
1,0,110,7188,126,122,4384,3,0
1,0,111,8831,112,120,6234,3,1
0,0,51,650247,103,27,648161,0,0
1,0,108,984,306,152,31,3,0
1,0,107,1094,24,76,159,3,1
0,0,133,24358,274,145,21590,0,0
0,0,90,1225,53,80,1,0,1
1,0,124,628999,144,12,626735,3,0
1,0,11,13990,117,16,11384,3,1
1,0,134,28068,65,68,25282,3,1
1,0,67,3158,255,94,408,3,1
1,0,132,2351295,265,59,2348338,3,0
0,0,29,9939,57,103,8926,0,0
0,0,23,65081,86,25,62292,0,1
1,0,14,9052,247,143,7148,3,1
0,2,180,805554,313,40,804478,0,0
0,0,94,782600,204,31,781197,0,0
1,0,86,3790,210,90,806,3,0
1,0,13,1721524,41,59,1718519,3,1
0,0,155,2010044,11,57,2009265,2,0
0,0,24,794113,243,33,793295,1,0
1,0,13,1008775,189,59,1006142,3,0
0,0,166,66235,248,41,64469,0,1
1,0,91,654938,253,27,652152,3,0
1,0,170,8756,146,46,5919,3,1
0,0,60,4216,134,48,1460,0,1
1,0,175,411506,59,33,408474,3,0
0,0,156,1137976,138,58,1133828,0,0
0,0,84,1204,128,88,2,0,0
0,0,109,8397,16,9,5578,0,1
0,0,7,764760,202,31,762982,0,0
1,0,147,976,21,75,2,3,1
1,0,105,587182,275,37,584897,3,1
1,0,6,3258,40,78,436,3,0
1,0,181,6116,58,104,4224,3,1
0,0,12,606712,238,12,603989,0,0
